#{"t_start": 1678501452.9059775, "env_id": "Asterix-v4"}
r,l,t
800.0,937,6.247947
900.0,920,8.222696
250.0,281,8.937924
800.0,939,10.564376
350.0,508,11.606279
1000.0,820,13.404142
500.0,487,14.419447
550.0,406,15.024677
800.0,681,16.658219
850.0,599,17.819281
1000.0,1100,20.05288
550.0,443,20.961567
1000.0,962,23.188693
1250.0,1282,25.61467
950.0,1105,27.779347
50.0,286,28.483292
500.0,574,29.555636
550.0,606,33.217437
700.0,773,34.583777
1000.0,741,36.372118
750.0,741,37.727922
650.0,644,39.351199
1100.0,1061,41.540651
400.0,634,42.828659
1000.0,748,44.225613
750.0,661,45.45636
1250.0,1095,47.672035
650.0,552,49.207303
550.0,509,49.874682
650.0,719,51.604432
450.0,469,52.581302
500.0,403,53.153117
700.0,871,55.192624
800.0,541,56.291396
500.0,475,57.338322
900.0,627,58.773634
600.0,503,59.918714
300.0,440,63.376557
600.0,766,64.843032
500.0,651,66.555819
800.0,773,67.992255
400.0,383,68.863568
1050.0,761,70.276585
550.0,451,71.26983
600.0,547,72.43786
700.0,645,73.688628
1150.0,849,75.623396
1050.0,677,76.906268
750.0,508,77.982777
500.0,554,79.183702
1150.0,883,81.195193
750.0,472,82.236381
550.0,482,83.363561
350.0,262,83.747963
500.0,535,84.871876
400.0,504,85.951563
400.0,420,87.184053
550.0,790,89.211004
600.0,559,90.392129
750.0,595,93.674394
750.0,448,94.30999
700.0,555,95.93641
1350.0,1081,98.265537
1250.0,1087,100.577672
500.0,482,101.577735
1000.0,856,103.143355
1000.0,788,104.999847
500.0,515,106.166217
900.0,868,107.749548
650.0,529,108.910702
750.0,636,110.18442
450.0,347,111.150711
400.0,543,112.385324
950.0,818,114.549677
700.0,550,115.739506
600.0,581,117.00018
650.0,547,118.205799
650.0,541,119.553143
550.0,605,120.981838
350.0,375,124.9114
600.0,509,126.075408
450.0,519,127.264917
800.0,689,128.700381
700.0,616,130.081907
900.0,561,131.340796
700.0,500,132.524438
800.0,581,133.758445
1000.0,916,135.941705
750.0,501,136.998641
400.0,380,137.899927
200.0,280,138.31071
600.0,466,139.373507
350.0,451,140.402871
400.0,561,141.602301
1050.0,1065,144.164094
1050.0,678,145.625313
950.0,717,147.4743
500.0,445,148.187193
850.0,774,150.131762
500.0,450,151.164933
950.0,833,152.87549
700.0,580,156.928115
650.0,588,158.77835
450.0,399,159.436025
750.0,610,160.833959
650.0,488,162.068263
600.0,689,163.867418
500.0,604,165.227861
550.0,540,166.462352
400.0,461,167.571968
450.0,538,168.801435
650.0,545,170.060408
750.0,667,171.47319
900.0,754,173.016795
650.0,713,174.925911
600.0,558,176.259891
300.0,543,177.467435
650.0,557,178.69446
500.0,468,179.832896
700.0,648,181.245889
700.0,664,182.594043
850.0,712,184.123591
700.0,648,186.066643
900.0,768,191.786356
1050.0,1264,195.053843
700.0,679,196.41018
650.0,548,197.64454
700.0,575,198.917544
1350.0,854,201.007545
1050.0,710,202.433618
550.0,571,203.638672
700.0,679,204.95281
1000.0,763,206.899895
1000.0,1065,209.260082
500.0,488,210.305216
1650.0,1549,213.568674
1500.0,1286,216.261107
800.0,966,218.394004
1050.0,1011,223.689011
1950.0,2355,228.716742
1050.0,1043,231.154068
1000.0,850,233.09311
700.0,787,234.729544
550.0,431,235.851892
800.0,929,237.996727
300.0,313,238.878174
700.0,425,239.518136
550.0,619,241.248015
1900.0,1473,244.157988
950.0,771,245.962839
1250.0,904,247.921825
1100.0,1102,250.395712
500.0,561,255.526262
800.0,624,256.844767
700.0,566,258.144939
850.0,676,259.529936
550.0,490,260.724573
250.0,363,261.727966
1900.0,1634,265.640312
650.0,766,267.275388
900.0,765,269.320137
350.0,296,269.822031
1000.0,839,272.019876
450.0,338,272.91876
1200.0,1178,275.480094
900.0,918,277.659795
300.0,417,278.30116
1250.0,935,280.686333
1050.0,846,282.847085
900.0,978,288.828827
450.0,490,289.979376
1600.0,1695,293.764492
700.0,675,295.120032
700.0,738,297.052106
1300.0,1069,299.683796
1350.0,1218,302.340343
350.0,568,303.685024
950.0,1272,306.494753
700.0,699,308.409547
600.0,597,309.744972
900.0,821,311.34982
450.0,530,312.541342
1250.0,997,314.890826
1000.0,1039,317.423827
450.0,585,322.239589
1050.0,905,324.425166
300.0,487,325.629329
1050.0,964,327.994284
500.0,646,329.499215
850.0,716,331.031871
700.0,639,332.865586
1450.0,1096,335.418052
750.0,494,336.640682
1100.0,786,338.292387
650.0,641,339.829083
1050.0,956,342.282289
800.0,855,344.570618
1000.0,690,346.14887
1000.0,761,348.306644
1450.0,1094,350.849395
600.0,610,352.243952
550.0,589,356.757014
700.0,677,358.162301
850.0,706,359.609299
700.0,627,361.37756
800.0,773,362.849108
700.0,563,364.0525
450.0,552,365.3022
950.0,983,367.694703
1100.0,935,370.031337
300.0,451,371.108821
900.0,677,372.540882
550.0,467,373.609529
600.0,676,375.046628
1000.0,1218,377.8608
850.0,684,379.775949
650.0,532,381.042787
500.0,536,382.257705
300.0,524,383.376374
900.0,882,385.106269
1100.0,878,390.143896
1350.0,1079,392.78411
850.0,601,394.080887
850.0,650,395.467866
300.0,423,396.568116
1050.0,886,398.810143
900.0,673,400.250531
450.0,560,401.482406
900.0,702,403.367867
1050.0,721,404.862277
500.0,680,406.288119
450.0,524,407.497835
600.0,586,408.791272
1000.0,680,410.65337
550.0,580,411.927989
1750.0,1052,414.382379
1750.0,1182,417.183183
600.0,444,418.304865
800.0,674,423.300494
900.0,644,424.732771
800.0,667,426.641674
950.0,942,428.697069
650.0,447,429.860049
750.0,775,431.922686
550.0,617,433.37159
1300.0,1018,435.862343
450.0,589,437.189092
800.0,628,438.56169
1000.0,818,440.621696
800.0,777,442.280644
450.0,434,443.416729
700.0,745,445.121846
700.0,715,447.071072
250.0,237,447.474834
1450.0,1120,450.161848
850.0,876,452.441625
1350.0,977,458.276387
950.0,696,459.780152
1000.0,983,462.241956
900.0,611,463.57966
500.0,526,464.767573
1200.0,1340,468.011471
500.0,647,469.35893
1150.0,1007,471.68363
1300.0,1071,474.209707
750.0,594,475.519722
1350.0,1011,477.806858
400.0,597,479.090224
500.0,625,480.371995
450.0,364,481.313997
1650.0,980,483.589588
1050.0,673,485.059835
700.0,539,489.395639
1000.0,807,491.021748
400.0,498,492.153771
500.0,481,493.310927
850.0,675,495.110242
350.0,464,495.869021
350.0,301,496.733625
900.0,844,498.828915
1650.0,1054,501.260902
1800.0,1658,505.09655
750.0,558,506.274709
400.0,322,506.69868
700.0,763,508.629282
1100.0,910,510.979353
1000.0,726,512.597719
1350.0,1060,515.047312
850.0,817,517.147671
1350.0,1112,523.51753
1600.0,1323,526.612904
900.0,922,528.955847
850.0,1108,531.46357
400.0,548,532.717324
1650.0,1191,535.301832
650.0,575,536.601358
900.0,1016,538.969465
650.0,585,540.720065
350.0,506,541.918257
1600.0,1160,544.468307
400.0,406,545.411444
750.0,705,546.871586
1900.0,1526,550.420904
500.0,584,551.70556
700.0,706,556.457391
1900.0,1518,560.008986
400.0,513,561.170815
550.0,530,562.386043
900.0,826,564.601526
750.0,783,566.296223
1050.0,900,568.482039
1150.0,998,570.766879
450.0,359,571.263605
800.0,822,573.398977
1000.0,892,575.583056
1600.0,1182,578.152766
900.0,765,579.771125
1000.0,965,581.94317
1700.0,1235,585.024951
500.0,537,590.113452
1150.0,1250,592.852222
750.0,802,594.926806
1500.0,1239,597.817769
700.0,1206,600.648314
1450.0,1270,603.943591
1000.0,744,605.542611
2700.0,1802,609.996794
400.0,451,610.693301
950.0,865,612.893433
2100.0,1277,615.675138
1050.0,918,617.77525
650.0,518,618.97208
950.0,684,624.741942
1400.0,1083,627.184231
1350.0,784,628.638173
1500.0,952,631.001358
450.0,490,632.219236
950.0,735,633.764521
950.0,1092,636.305267
1900.0,1294,639.38189
1200.0,623,640.745287
550.0,510,641.913751
1700.0,1504,645.503324
1050.0,801,647.159373
1400.0,1291,650.387748
1050.0,772,651.910831
1050.0,736,657.077375
850.0,635,658.444335
750.0,617,659.769149
850.0,835,661.821853
850.0,780,663.505765
1250.0,817,665.630589
1200.0,799,667.276604
600.0,517,668.542465
1250.0,1094,671.109387
1300.0,1189,674.189007
1300.0,915,675.967559
