#{"t_start": 1678594957.3944721, "env_id": "Breakout-v4"}
r,l,t
39.0,1451,8.31674
48.0,1333,11.390817
30.0,1160,13.804588
29.0,1123,16.2098
14.0,810,17.819882
17.0,878,19.800841
29.0,1128,22.233338
45.0,1574,25.727517
23.0,1132,28.146732
23.0,982,30.334641
29.0,1435,33.115613
22.0,1161,39.949501
18.0,1023,41.787163
16.0,958,43.882563
26.0,1106,46.306419
43.0,1232,49.273657
37.0,1354,52.301009
27.0,1127,54.863309
24.0,1162,57.345645
14.0,818,59.306772
17.0,1091,61.840476
28.0,1199,64.525155
19.0,953,66.750425
31.0,1493,74.314912
21.0,1063,76.692674
25.0,987,78.882463
50.0,1750,82.66605
13.0,846,84.655643
28.0,1287,87.415426
45.0,1600,91.037144
38.0,1541,94.385899
14.0,884,96.340906
17.0,1079,98.658973
31.0,1255,106.592929
25.0,1131,109.194908
11.0,729,110.680896
19.0,867,113.025234
35.0,1038,115.472686
13.0,776,117.129196
35.0,1384,120.469411
41.0,1627,124.245103
24.0,1063,126.646387
14.0,811,128.28979
16.0,883,130.471143
36.0,1514,133.919716
35.0,1528,141.492208
16.0,987,143.811684
34.0,1338,147.081471
20.0,918,148.799095
22.0,1187,151.86088
34.0,1267,154.649256
14.0,842,156.272186
44.0,1633,159.818213
23.0,1027,162.10457
5.0,484,163.125553
26.0,1003,165.43588
27.0,1241,168.088145
22.0,889,170.094472
19.0,1146,177.808464
28.0,960,180.044328
16.0,957,181.862036
45.0,1608,185.466522
16.0,733,187.34072
34.0,1335,190.225787
26.0,1008,192.509583
36.0,1333,195.279517
30.0,1320,198.401821
14.0,779,199.970529
25.0,1255,202.64125
37.0,1353,205.875587
13.0,781,212.1853
36.0,1299,215.415268
51.0,1741,219.816502
50.0,1779,223.982903
20.0,1065,226.507072
36.0,1299,229.832271
22.0,1000,231.818371
49.0,1867,236.329375
20.0,1138,238.906981
21.0,1212,241.718263
17.0,956,247.816148
18.0,1008,250.101111
57.0,1923,254.468978
42.0,1543,258.26503
13.0,736,260.226133
40.0,1548,263.536868
28.0,1020,265.938335
20.0,1027,268.377201
28.0,1225,271.192448
36.0,1328,274.411109
22.0,1104,280.823089
31.0,1202,283.687923
11.0,808,285.865727
18.0,932,287.829757
34.0,1404,291.691919
17.0,1015,294.328944
22.0,885,296.223092
50.0,1526,300.1658
22.0,1046,302.74847
46.0,1086,305.419608
23.0,977,307.763695
39.0,1691,311.951995
15.0,843,318.303505
23.0,1031,320.854157
18.0,842,323.199105
11.0,684,324.77966
20.0,931,327.348097
16.0,973,329.827466
30.0,1218,332.584289
22.0,1095,335.142456
14.0,813,336.849374
17.0,957,339.192034
18.0,1011,341.735531
26.0,1186,344.524251
18.0,821,346.305012
12.0,711,348.264143
25.0,1181,356.217867
18.0,910,358.553063
14.0,757,360.921092
47.0,1539,364.998143
57.0,1935,369.789906
16.0,964,372.266186
32.0,1419,375.741557
38.0,1342,378.779541
39.0,1312,382.414395
37.0,1238,385.707474
56.0,1375,389.088769
48.0,1424,397.558848
35.0,1377,401.280833
27.0,1281,404.19418
18.0,999,406.608954
41.0,1405,409.924733
34.0,1501,413.942481
7.0,548,415.217045
32.0,1400,418.596507
22.0,930,420.449303
23.0,1109,423.07562
28.0,1113,425.955577
14.0,977,433.449527
24.0,1229,436.652019
13.0,629,438.559511
18.0,866,440.501248
51.0,1749,444.881822
26.0,1083,447.477444
20.0,1126,450.212809
32.0,1214,453.615005
29.0,1079,456.406144
13.0,767,458.141095
19.0,999,460.483577
46.0,1672,464.560817
31.0,1132,473.640294
36.0,1188,476.645344
26.0,1035,479.42398
30.0,1333,483.014654
15.0,773,484.753145
26.0,1247,487.748324
20.0,856,489.925696
37.0,1338,493.04301
21.0,1054,495.770652
24.0,1004,498.479958
14.0,896,500.914365
16.0,941,502.772058
14.0,904,504.963398
4.0,399,510.794428
41.0,1314,514.355302
23.0,1154,517.209138
43.0,1521,521.257022
21.0,1005,523.916753
15.0,852,525.759299
26.0,1177,528.498444
17.0,851,530.654565
30.0,1038,533.397223
43.0,1700,537.948916
36.0,1374,541.234291
22.0,951,544.211343
28.0,1067,552.276751
24.0,1223,555.312152
40.0,1383,559.43465
20.0,1172,562.546105
17.0,996,565.228262
19.0,1056,568.018296
30.0,1210,571.20887
25.0,1116,573.883626
40.0,1476,577.649312
37.0,1532,581.714859
18.0,974,583.837624
26.0,1040,593.281075
19.0,980,595.835579
23.0,990,598.384355
32.0,1277,601.549235
42.0,1271,605.080973
68.0,2030,610.104544
43.0,1622,614.459924
21.0,1006,617.020536
25.0,830,619.30967
15.0,830,621.242701
29.0,1253,624.807904
14.0,867,632.771709
29.0,1329,636.153511
30.0,1163,638.804334
24.0,944,640.983659
17.0,855,643.349612
13.0,666,644.917705
30.0,1360,648.663149
47.0,1521,652.660928
29.0,1227,655.671982
35.0,1235,658.496454
21.0,930,660.963158
19.0,999,663.553554
23.0,1065,670.824724
21.0,1086,673.462922
47.0,1809,678.562003
32.0,1445,682.460674
20.0,883,684.490966
25.0,1115,687.481103
