#{"t_start": 1678316608.3061802, "env_id": "DemonAttack-v4"}
r,l,t
5980.0,6182,26.090183
8155.0,6338,37.766996
9050.0,8792,78.621917
1000.0,2593,83.652701
8395.0,9235,125.901482
980.0,2381,131.023957
8605.0,8376,172.801156
7045.0,6278,185.534142
8445.0,7349,229.04457
8300.0,9566,282.003364
8835.0,7831,299.110898
7485.0,6192,341.072428
6440.0,6856,356.641442
7195.0,7605,395.365454
7830.0,7324,439.164205
8175.0,8175,458.926075
9085.0,8794,507.747883
2725.0,4019,517.505046
7730.0,7148,562.130308
5400.0,5208,573.389417
7810.0,9602,623.233143
7820.0,7690,678.028742
8735.0,8248,696.111329
7705.0,7557,743.045789
5000.0,5773,755.94554
370.0,1820,759.811979
8430.0,8301,805.139548
7810.0,7875,845.689877
5460.0,7022,860.665065
3990.0,5503,900.076924
6690.0,6982,915.690791
7840.0,7683,962.648087
8880.0,9085,1012.157233
6330.0,6319,1025.463593
7365.0,6422,1065.405148
8325.0,8292,1083.268664
8735.0,7653,1138.703692
9060.0,7284,1155.487676
8600.0,7546,1198.402552
6440.0,5810,1210.848312
8990.0,8665,1254.737304
3455.0,5372,1291.939641
9690.0,8807,1310.754993
4410.0,5611,1350.969918
5190.0,6032,1363.993532
7825.0,7794,1407.936811
5190.0,5864,1420.838377
7215.0,6933,1454.799265
6290.0,5892,1468.6314
6540.0,5980,1500.237019
8135.0,8438,1518.928599
7540.0,7752,1557.845371
370.0,1648,1561.195698
5650.0,5579,1604.090052
5410.0,5625,1615.787235
7565.0,7396,1659.692865
6930.0,6953,1673.891152
9065.0,8141,1718.199764
23110.0,16709,1784.326727
5860.0,6234,1821.931503
7875.0,8329,1839.994573
9585.0,9831,1892.263918
6850.0,7041,1945.248395
7800.0,6794,1959.864785
9955.0,7907,2001.264175
7535.0,6880,2016.162437
9390.0,7718,2054.91141
4470.0,4772,2066.41011
6915.0,6929,2114.231192
1760.0,3126,2120.975742
9025.0,7904,2162.906844
7145.0,6613,2176.451941
7875.0,7686,2222.951388
2150.0,4254,2231.714946
6820.0,7292,2289.101559
13815.0,11567,2345.994012
6685.0,6538,2359.055658
5190.0,5572,2405.007297
8550.0,8996,2424.476952
1980.0,3488,2453.427367
5400.0,5985,2467.59918
7735.0,8306,2513.03462
5760.0,5628,2526.652761
7060.0,7051,2580.146366
4640.0,5186,2591.90536
9295.0,8761,2637.803368
5540.0,5944,2649.613912
14225.0,11948,2702.068691
8390.0,7390,2743.329331
7715.0,7433,2761.859039
8530.0,8381,2804.724042
7990.0,9296,2850.822967
7705.0,7519,2867.375173
9490.0,9177,2912.420396
14520.0,11309,2962.870029
6935.0,7219,2979.31965
8660.0,8018,3022.760433
