#{"t_start": 1680733722.11391, "env_id": "Freeway-v4"}
r,l,t
33.0,2734,10.230336
33.0,2708,16.255133
32.0,2745,22.466187
31.0,2749,29.050208
32.0,2710,48.362023
33.0,2720,54.515278
32.0,2744,61.099975
32.0,2723,67.235746
33.0,2738,73.356459
33.0,2736,93.411928
31.0,2703,99.327703
32.0,2733,105.647237
32.0,2727,111.756203
33.0,2734,132.593518
31.0,2754,138.881543
34.0,2737,145.102348
34.0,2742,151.504015
33.0,2720,157.472033
32.0,2714,177.515543
32.0,2722,184.102098
30.0,2759,190.348035
32.0,2753,196.410791
30.0,2750,216.888267
32.0,2728,223.132265
33.0,2738,229.410315
31.0,2737,236.051476
32.0,2741,242.506256
31.0,2719,263.031755
33.0,2760,269.914686
32.0,2708,276.380143
33.0,2722,282.847366
31.0,2723,288.991784
32.0,2724,309.835689
32.0,2744,316.384956
33.0,2731,322.858351
33.0,2746,329.738422
32.0,2731,350.103675
32.0,2749,356.527034
33.0,2732,363.757473
32.0,2735,370.741648
33.0,2754,377.463691
32.0,2739,398.599252
32.0,2761,405.122364
33.0,2699,411.574969
31.0,2707,418.39347
32.0,2736,439.778193
32.0,2720,446.017209
32.0,2757,452.620498
33.0,2720,459.619125
31.0,2724,466.165095
33.0,2726,487.073708
33.0,2732,493.75441
33.0,2746,500.055646
32.0,2739,506.671385
32.0,2732,513.584847
34.0,2709,534.334927
31.0,2734,540.571518
34.0,2712,547.232653
32.0,2723,553.724677
32.0,2730,575.144066
32.0,2724,581.552618
32.0,2693,588.302432
31.0,2731,594.645277
31.0,2750,601.152049
32.0,2746,623.796155
33.0,2718,630.538392
32.0,2739,637.193736
33.0,2728,643.749163
33.0,2738,665.717923
34.0,2732,672.540955
32.0,2744,679.197536
32.0,2726,686.208246
33.0,2710,692.683669
33.0,2760,714.605672
32.0,2732,721.678612
33.0,2737,728.272534
31.0,2771,734.953184
31.0,2736,741.8727
33.0,2759,764.295404
33.0,2745,771.585463
33.0,2727,778.892292
32.0,2718,785.373225
32.0,2728,806.56745
32.0,2752,814.74551
30.0,2733,822.455099
31.0,2723,829.671666
32.0,2735,836.528764
33.0,2733,859.349858
32.0,2735,866.763401
32.0,2736,874.049959
33.0,2740,882.244577
33.0,2728,904.995847
33.0,2747,912.000479
31.0,2727,920.629023
31.0,2747,928.630616
32.0,2748,936.016312
33.0,2729,958.61354
32.0,2722,965.479787
32.0,2748,973.585419
32.0,2727,982.081842
34.0,2750,989.458617
31.0,2743,1012.452994
31.0,2725,1019.673712
32.0,2717,1026.56523
32.0,2739,1034.585251
33.0,2737,1058.231224
32.0,2746,1066.60372
34.0,2730,1073.671425
31.0,2727,1080.853935
31.0,2744,1089.013854
31.0,2732,1112.54941
32.0,2730,1121.05376
32.0,2718,1128.943395
33.0,2711,1135.786779
32.0,2746,1159.266181
31.0,2727,1167.047421
32.0,2728,1174.723741
33.0,2733,1182.884667
33.0,2736,1190.220242
32.0,2725,1212.428299
32.0,2743,1219.429306
33.0,2745,1226.159195
32.0,2742,1234.634749
34.0,2719,1242.442244
33.0,2746,1265.421049
33.0,2750,1272.807503
33.0,2723,1279.628872
33.0,2742,1287.386186
34.0,2729,1310.572388
31.0,2728,1318.379585
32.0,2710,1326.230376
33.0,2725,1333.908239
33.0,2730,1340.876831
33.0,2727,1363.924485
33.0,2722,1371.125996
33.0,2713,1378.949795
34.0,2749,1385.915972
32.0,2736,1409.481456
33.0,2756,1417.433141
32.0,2713,1424.253257
32.0,2722,1431.859468
32.0,2744,1440.107393
32.0,2747,1463.758797
33.0,2740,1471.632159
31.0,2742,1479.028132
32.0,2725,1486.083462
31.0,2734,1493.278015
32.0,2743,1517.743364
31.0,2742,1525.678526
32.0,2733,1533.168451
32.0,2739,1540.842845
32.0,2725,1563.513593
31.0,2748,1571.731598
32.0,2757,1580.001804
31.0,2749,1587.96763
31.0,2725,1595.311296
32.0,2745,1617.48138
34.0,2737,1625.369618
33.0,2699,1632.803647
33.0,2732,1639.777443
33.0,2720,1662.027615
32.0,2724,1668.811348
32.0,2718,1675.536991
32.0,2720,1683.567014
32.0,2732,1691.108413
32.0,2755,1713.706161
32.0,2727,1720.643438
32.0,2752,1728.066312
32.0,2739,1735.44076
33.0,2738,1743.076184
33.0,2716,1767.10108
33.0,2736,1774.196856
34.0,2740,1781.330894
32.0,2733,1788.905228
32.0,2714,1811.52625
32.0,2739,1819.407724
33.0,2705,1827.100333
32.0,2734,1833.927138
32.0,2746,1840.946839
34.0,2765,1865.037544
32.0,2691,1872.896423
33.0,2746,1880.841271
32.0,2737,1888.234348
33.0,2736,1911.199912
31.0,2730,1919.254301
31.0,2719,1927.323237
32.0,2738,1936.063271
32.0,2715,1943.740306
33.0,2738,1966.669794
32.0,2735,1975.199499
31.0,2734,1982.804803
33.0,2723,1991.043584
32.0,2732,1998.701679
32.0,2709,2021.73553
33.0,2728,2029.216324
32.0,2752,2036.825593
32.0,2715,2045.326451
32.0,2727,2068.649012
32.0,2713,2076.431284
32.0,2709,2083.568397
31.0,2726,2091.616251
32.0,2746,2099.490843
32.0,2733,2123.127509
32.0,2736,2131.324668
33.0,2742,2138.845112
32.0,2716,2145.771846
32.0,2714,2170.213241
34.0,2751,2177.627236
32.0,2740,2185.644913
32.0,2742,2193.212074
31.0,2732,2200.08115
33.0,2729,2223.248615
34.0,2723,2231.14712
34.0,2717,2237.945287
32.0,2702,2245.624238
32.0,2723,2252.918258
32.0,2725,2276.955347
33.0,2711,2284.835236
33.0,2723,2292.122764
32.0,2725,2299.915603
33.0,2725,2322.75413
32.0,2737,2330.844595
33.0,2730,2338.800155
32.0,2743,2347.018268
30.0,2740,2354.762883
33.0,2715,2377.50951
33.0,2730,2385.670849
32.0,2728,2393.746244
32.0,2752,2401.426547
33.0,2736,2424.965323
31.0,2727,2432.222123
31.0,2731,2439.980978
32.0,2729,2448.177138
31.0,2713,2455.556239
33.0,2733,2479.184366
33.0,2739,2487.435096
33.0,2736,2495.190865
33.0,2725,2502.841474
31.0,2718,2510.492861
32.0,2737,2533.24348
32.0,2726,2540.156294
32.0,2741,2548.277357
32.0,2754,2556.566699
32.0,2721,2579.584835
32.0,2737,2587.449768
32.0,2728,2595.774692
33.0,2744,2603.752143
33.0,2714,2611.782418
33.0,2729,2635.110194
32.0,2718,2642.729966
33.0,2747,2650.688334
31.0,2729,2658.77232
33.0,2729,2682.788518
34.0,2703,2689.915327
32.0,2730,2697.72544
32.0,2731,2705.37305
32.0,2742,2712.862959
32.0,2740,2737.648771
33.0,2712,2744.941534
33.0,2755,2752.437376
32.0,2732,2759.446336
32.0,2723,2767.313576
32.0,2732,2790.94115
34.0,2740,2798.452039
