#{"t_start": 1680732788.1844215, "env_id": "Frostbite-v4"}
r,l,t
9130.0,2295,8.699305
9020.0,2136,13.222213
9250.0,2362,18.081162
8920.0,2267,23.199174
8270.0,2376,28.069133
2550.0,1297,30.993359
8690.0,2230,44.715663
9010.0,2330,49.41217
8950.0,2172,54.374662
9260.0,2362,59.662068
9810.0,2312,64.464574
8790.0,2193,79.515277
8980.0,2269,84.704373
9180.0,2176,89.364532
9240.0,2227,93.948893
8980.0,2287,98.471164
8330.0,2298,103.513816
8830.0,2179,118.0075
7990.0,2220,122.697588
8650.0,2045,127.084299
8840.0,2213,131.713392
9020.0,2210,136.183645
8790.0,2275,140.711131
8640.0,2317,155.837339
8620.0,2103,160.248956
8590.0,2253,164.903145
8260.0,2130,169.351029
8310.0,2129,173.737022
9270.0,2321,178.33984
9210.0,2244,193.179264
8970.0,2310,197.891022
8960.0,2108,202.286151
9010.0,2283,206.939257
9160.0,2175,211.817898
9050.0,2192,216.265273
8450.0,2255,230.913929
8990.0,2238,235.452519
8980.0,2220,240.093523
8750.0,2107,244.53493
8680.0,2275,249.622414
8830.0,2112,264.385228
8760.0,2120,269.011291
8610.0,2145,273.549463
9290.0,2154,278.017038
8760.0,2259,282.572646
8640.0,2334,287.283893
9030.0,2221,302.498676
9170.0,2264,307.229373
8580.0,2184,311.781193
8980.0,2200,316.304613
8370.0,2204,320.809937
9110.0,2252,325.709082
8780.0,2458,340.677384
8650.0,2237,345.66718
9040.0,2238,350.287335
9310.0,2331,355.162735
8440.0,2150,359.87496
8870.0,2094,364.551999
9030.0,2202,378.725651
8770.0,2148,383.238128
8900.0,2191,388.267967
8710.0,2131,392.750544
8540.0,2129,397.284575
9040.0,2291,401.97642
8890.0,2312,416.60682
8760.0,2160,421.121794
8850.0,2202,426.160141
9160.0,2298,431.345299
8980.0,2268,436.471313
9240.0,2283,451.624341
8870.0,2292,457.068184
9120.0,2269,461.922745
8240.0,2135,466.561752
8900.0,2117,471.290266
9120.0,2330,476.404066
9040.0,2208,490.999905
8900.0,2102,495.751416
9340.0,2306,501.109141
8950.0,2201,506.334846
8900.0,2105,511.124677
8880.0,2244,516.411959
9280.0,2554,532.504696
8840.0,2109,537.8261
9130.0,2237,543.716222
9270.0,2114,548.672912
8440.0,2102,553.039541
9000.0,2113,558.447748
8610.0,2140,574.968577
8900.0,2730,581.561788
9130.0,2230,587.150751
8870.0,2241,592.553881
8850.0,2236,597.792784
9080.0,2186,603.056577
8860.0,2132,618.600133
8980.0,2269,623.774499
8650.0,2317,628.863236
8470.0,2165,634.478488
8640.0,2234,640.393091
8890.0,2240,655.938482
9060.0,2170,661.129855
9290.0,2283,666.745994
8920.0,2235,671.974402
8740.0,2257,677.435493
