#{"t_start": 1680734804.2186475, "env_id": "Krull-v4"}
r,l,t
5990.0,1750,7.672259
6520.0,1936,11.775675
6230.0,1887,16.174773
6890.0,1922,20.615146
6980.0,1946,24.751186
6150.0,1915,29.238982
6610.0,1920,41.851704
6800.0,1887,45.828132
7090.0,1944,50.351125
7000.0,1994,54.959143
6910.0,1930,59.397691
5500.0,1704,63.187298
6590.0,1937,67.762566
6430.0,2310,80.853763
6890.0,1971,85.543979
6800.0,1957,90.108086
6700.0,1929,94.34675
6710.0,1890,99.105263
6760.0,1925,103.419643
8820.0,2679,118.767168
6620.0,1911,123.012989
7360.0,1993,127.768783
7120.0,1958,132.422307
6890.0,1891,136.579963
6720.0,1949,141.158514
7090.0,1927,145.566671
6730.0,1921,159.38667
7600.0,1964,164.396581
6990.0,1915,169.32005
7000.0,1938,174.190447
7440.0,2472,179.931719
7240.0,1938,184.684692
6700.0,1982,198.753878
6880.0,1951,203.520061
6680.0,1924,208.014615
6800.0,1933,213.209605
7130.0,1951,218.296031
6840.0,1910,222.940979
7150.0,1900,227.812116
7120.0,1994,241.894848
7140.0,1927,246.266328
7030.0,1995,251.181871
6570.0,1929,255.975869
5850.0,1824,260.240163
6850.0,1977,265.205081
6830.0,1931,278.383156
6690.0,1932,283.233007
6700.0,1842,287.533169
6900.0,1993,292.715297
8140.0,2524,299.517021
6200.0,1933,304.161399
6790.0,1891,318.594691
6800.0,1933,323.575175
5740.0,1845,328.234812
5680.0,1750,333.138731
6780.0,1952,337.945438
6570.0,1957,343.050587
5840.0,2142,348.704831
6580.0,1888,364.090269
7010.0,1973,369.133434
6870.0,1931,374.90574
6970.0,1902,380.889349
6890.0,1918,386.119454
6800.0,1904,391.443365
5920.0,2115,396.822288
5870.0,1733,411.753912
5900.0,2091,417.515061
6770.0,1959,423.414049
7010.0,1993,429.410109
8150.0,2615,436.674626
5960.0,1859,441.519538
6620.0,1953,457.943106
5260.0,1678,462.614644
6580.0,1942,468.193253
8010.0,2639,475.966144
4840.0,1507,480.57154
6520.0,1942,486.434257
3550.0,1572,490.914015
6280.0,1933,506.908118
5770.0,1891,512.59957
7150.0,1970,518.191008
6280.0,2108,524.064153
7140.0,1993,529.9786
7350.0,1988,534.750244
3430.0,1259,538.296386
6800.0,1965,553.626362
6920.0,1896,558.475451
7330.0,1955,563.562896
7190.0,1962,568.654633
5620.0,1752,573.405662
5140.0,1659,578.140774
6850.0,2014,593.735274
6840.0,1914,599.473247
6810.0,1899,604.598963
7070.0,1926,610.135143
7060.0,1969,615.971178
6530.0,1902,620.957982
6680.0,1940,626.57605
6960.0,2003,642.888603
7350.0,1980,648.664996
6810.0,1976,654.123914
7280.0,2003,659.859495
6870.0,1961,665.468214
7070.0,1917,670.946404
6950.0,1926,685.966231
7050.0,1960,691.571887
6980.0,1918,697.177137
6910.0,1904,702.259087
6540.0,1897,707.507494
6680.0,1923,713.076822
6890.0,1941,718.071504
6720.0,1912,733.734865
6320.0,1920,739.215795
7120.0,1934,744.412493
5770.0,1779,749.798947
6670.0,1939,754.690577
4290.0,1445,758.573439
7020.0,2477,765.47727
5310.0,1650,779.542093
5570.0,1730,784.238626
7480.0,1972,789.72455
7420.0,1945,795.233186
4570.0,1419,799.010333
7510.0,1935,804.476638
7030.0,1954,810.121695
4830.0,1449,823.259424
6860.0,1945,828.885046
7160.0,1955,834.771452
7370.0,1990,840.675408
6600.0,1935,845.85495
7080.0,1956,851.544111
7160.0,1944,857.261209
6640.0,1877,871.74192
6000.0,2082,877.034184
7330.0,2041,883.270875
7150.0,2000,889.361278
7210.0,1987,894.910444
7230.0,1902,900.075688
7030.0,1951,915.94947
4500.0,1474,919.895856
6580.0,1867,924.925535
7060.0,1942,930.104064
4020.0,1445,934.500245
7230.0,1934,940.422904
7020.0,1946,946.209603
6630.0,1875,961.592309
6410.0,1914,967.316023
5530.0,1615,971.516966
6480.0,1936,976.572195
6950.0,1971,981.863834
6840.0,1948,987.74317
7250.0,1936,993.555113
6990.0,1906,1009.165038
6550.0,1920,1015.19075
6870.0,1945,1020.812333
6930.0,1986,1025.580502
7080.0,1934,1030.89943
7150.0,1944,1036.735939
6820.0,1958,1042.42391
7510.0,1930,1059.049888
6500.0,1898,1064.921779
7130.0,1961,1070.731947
6940.0,1922,1075.357607
7090.0,1929,1080.652547
6630.0,1971,1086.521018
7430.0,1976,1102.414825
6000.0,1809,1107.344864
6290.0,1926,1113.179361
7220.0,1922,1118.625927
6480.0,1906,1124.049973
6720.0,1920,1129.35764
6030.0,1748,1134.1457
6830.0,1938,1150.118287
6540.0,1897,1155.141056
6970.0,1923,1161.10498
5360.0,1598,1165.796257
7120.0,1938,1171.529454
7090.0,1960,1176.510662
7130.0,1973,1181.967567
6690.0,1971,1197.567592
5440.0,1633,1201.953532
6720.0,1943,1207.610433
6330.0,1941,1213.20478
4960.0,1920,1218.932696
6860.0,1910,1224.349771
7360.0,1962,1229.150794
6600.0,1945,1245.279616
6670.0,1965,1250.817582
6820.0,1920,1256.577213
4840.0,1605,1261.491178
6990.0,1928,1267.114956
6850.0,1937,1272.881719
6640.0,1883,1287.730731
6190.0,1937,1292.958966
6920.0,1951,1298.682143
6700.0,1975,1304.183647
7440.0,1964,1309.57872
6700.0,1935,1315.321833
7220.0,1952,1320.913468
4960.0,1570,1334.321835
5380.0,1651,1339.075268
7090.0,1976,1344.833886
4860.0,1831,1349.638463
5350.0,1640,1353.828957
5820.0,1892,1359.705854
7210.0,1975,1365.442939
6910.0,1882,1379.99164
7040.0,1939,1385.400466
5390.0,1614,1389.91222
6840.0,1919,1395.386736
7250.0,1952,1400.554119
6700.0,1953,1406.36745
6270.0,1795,1412.055739
7710.0,1972,1427.372642
7630.0,1974,1433.047103
7210.0,1977,1438.624872
6550.0,1922,1443.933515
8680.0,2584,1451.169099
6990.0,1948,1456.455294
6580.0,1911,1472.725365
7160.0,1948,1478.515175
7050.0,1944,1483.696342
6870.0,1911,1489.17785
7090.0,1955,1494.711212
7130.0,1971,1499.925343
7450.0,1961,1504.688179
6440.0,2582,1522.175983
7330.0,1990,1528.003952
7140.0,1965,1533.626032
7550.0,1939,1538.563978
7340.0,1951,1544.133686
7220.0,1982,1549.478922
5680.0,1702,1564.950262
7410.0,1969,1570.919657
8350.0,2641,1578.740454
6930.0,1938,1584.309272
7170.0,1924,1589.348286
6870.0,1962,1594.808623
6140.0,1899,1609.563841
6590.0,1860,1614.826461
7200.0,1932,1620.779773
7000.0,1944,1626.750531
6590.0,1932,1631.730726
7370.0,1966,1637.3538
7150.0,1939,1642.932876
7480.0,1966,1657.096808
7330.0,1949,1663.027848
4650.0,1559,1667.601467
7120.0,1951,1673.326966
6550.0,1844,1678.448845
6870.0,1946,1684.066691
7620.0,2033,1689.828694
4490.0,1451,1703.178312
6030.0,1952,1708.685725
6810.0,1921,1714.372919
6870.0,1869,1719.968323
6990.0,1961,1725.399032
6410.0,1763,1730.807095
6900.0,1937,1735.755172
7040.0,2013,1751.710434
7470.0,2604,1758.910067
5250.0,1631,1763.488376
8730.0,2572,1771.010377
7250.0,1990,1776.965363
6940.0,1937,1782.627762
7130.0,1979,1798.801203
6310.0,1879,1803.255492
6830.0,1948,1808.558736
7140.0,1946,1814.253316
6650.0,1936,1819.712986
6800.0,1916,1825.626273
7220.0,2001,1842.148404
7090.0,1933,1847.041206
3630.0,1229,1850.303861
6830.0,1866,1854.641045
6840.0,1957,1860.44746
6860.0,1973,1866.390009
7420.0,2013,1872.501103
7100.0,1935,1887.353771
7640.0,1973,1893.201908
7010.0,1894,1898.681181
6880.0,1910,1903.219649
6890.0,1846,1908.217799
7350.0,1997,1914.398905
6240.0,1923,1919.801644
6970.0,1895,1935.216631
6900.0,1940,1940.762682
6820.0,1943,1946.129917
6060.0,1752,1950.803662
7410.0,1953,1955.276165
7540.0,1971,1960.434414
7130.0,1960,1966.037257
5280.0,1921,1980.967372
7010.0,1959,1986.469955
6780.0,1936,1992.242315
4630.0,1454,1996.528386
7210.0,1938,2001.148029
7390.0,1948,2006.343157
7240.0,1979,2011.750648
5150.0,1535,2026.701932
7190.0,1968,2032.12757
7000.0,1960,2037.966897
7050.0,1954,2043.694704
6960.0,1942,2049.167994
2870.0,1147,2051.959473
7750.0,2561,2068.099355
7620.0,1952,2073.429136
7880.0,2458,2080.581288
7090.0,1941,2086.313466
6740.0,1977,2092.295965
7120.0,1957,2097.389589
7710.0,2526,2113.910653
6920.0,1949,2119.667371
7010.0,1911,2125.105168
7190.0,1944,2130.695073
6320.0,1915,2135.63683
7100.0,1990,2140.827804
8440.0,2598,2147.718279
6850.0,1969,2162.410161
7030.0,1990,2167.731632
4320.0,1548,2171.681395
7210.0,1982,2177.431318
7450.0,1992,2183.174975
6950.0,1948,2188.309014
7440.0,2443,2205.072137
6950.0,1916,2210.714768
6950.0,1906,2215.746861
7360.0,1983,2221.365209
7210.0,1938,2227.053236
6900.0,1947,2232.592853
3640.0,1715,2237.326159
7530.0,2495,2253.704997
7020.0,1895,2258.215352
6280.0,1920,2263.742238
6290.0,1791,2268.714772
7030.0,1930,2274.30233
6450.0,2142,2280.661458
7150.0,1994,2295.803718
7330.0,1969,2301.367802
6710.0,1912,2306.058958
5120.0,1952,2311.530399
7140.0,1944,2317.083295
7440.0,1982,2322.810437
6200.0,1860,2327.875269
6980.0,1923,2343.673949
4690.0,1482,2347.895501
7370.0,2003,2352.612066
6520.0,1826,2357.441832
7310.0,1961,2363.082608
7380.0,1971,2368.410713
6930.0,1937,2373.966026
7770.0,1975,2389.681383
7230.0,1951,2394.872263
7100.0,1936,2400.331627
6870.0,1921,2405.512607
5960.0,1783,2410.453999
5820.0,1748,2415.946081
7210.0,1959,2431.327382
7090.0,1924,2437.049447
7330.0,1919,2442.08508
7360.0,1959,2446.970743
7130.0,1936,2451.868456
5180.0,1571,2455.827633
6940.0,1919,2460.833045
7120.0,1937,2475.446259
5350.0,1625,2480.667622
7160.0,1938,2486.184445
5870.0,1699,2490.748383
6840.0,1855,2496.177075
7010.0,1967,2501.380084
6870.0,1913,2505.641016
7050.0,1969,2521.23567
6900.0,1886,2526.791214
6730.0,1899,2531.764002
2820.0,1401,2535.818254
7510.0,1979,2541.502756
6280.0,1789,2546.367978
7330.0,1934,2552.088342
7490.0,1984,2568.105993
6600.0,1883,2573.042209
7460.0,1952,2578.590847
7440.0,1920,2583.754753
7050.0,1904,2589.364202
7490.0,1968,2595.161021
7140.0,1974,2600.862269
7570.0,2386,2616.709884
7460.0,1970,2622.621805
5940.0,1792,2627.378965
5030.0,1578,2631.624233
7140.0,1915,2637.335916
5610.0,1728,2641.961212
7020.0,1926,2657.128124
7050.0,2010,2662.686523
7080.0,1910,2667.947555
7220.0,1940,2673.694132
7070.0,1941,2679.2793
5730.0,1664,2684.028634
6980.0,1953,2689.693165
7170.0,1995,2705.189164
6790.0,1931,2709.868056
5040.0,1550,2714.174412
5830.0,2135,2720.495334
6940.0,1941,2726.206173
7280.0,1997,2731.761045
6090.0,1715,2736.605575
6850.0,1968,2751.473728
6470.0,1885,2756.19812
6290.0,1885,2761.293339
5940.0,1741,2766.123549
7080.0,1953,2772.162773
6660.0,1917,2777.798517
6820.0,1911,2783.016019
7250.0,1981,2798.771817
7140.0,1947,2804.483349
7260.0,2009,2809.691917
7120.0,1940,2814.731658
4920.0,1502,2819.223859
6920.0,1934,2825.122107
7220.0,1994,2840.752898
7130.0,1910,2845.905978
7080.0,1982,2851.826149
7080.0,1956,2857.262559
6350.0,1903,2861.975896
6920.0,1892,2867.587675
6040.0,2080,2874.078298
5330.0,1666,2888.816018
6530.0,1857,2894.347083
7420.0,1993,2900.466219
4830.0,1484,2904.370743
7120.0,1970,2909.679617
6660.0,1920,2915.076735
7230.0,1977,2921.069021
7020.0,1900,2936.429672
6590.0,1898,2941.755909
7150.0,1923,2947.370849
7220.0,1905,2952.56379
6850.0,1954,2957.888742
4950.0,1570,2962.1795
6570.0,1918,2967.782046
6660.0,1898,2983.488477
7080.0,1977,2988.878816
4960.0,1596,2993.050077
7630.0,1977,2998.977072
7330.0,1981,3004.572517
2760.0,1082,3007.289683
5900.0,1746,3011.462738
7410.0,2024,3026.753268
6960.0,1911,3031.919776
6920.0,1944,3037.279576
6280.0,1790,3042.170061
5460.0,2028,3047.670612
6930.0,1882,3053.409269
7200.0,2012,3058.742365
6890.0,1922,3074.652318
7460.0,2511,3081.875552
5710.0,1737,3086.845492
6970.0,2567,3093.217795
5910.0,1874,3098.08446
7220.0,1964,3103.920375
4380.0,1471,3118.235429
7130.0,1967,3123.908283
6780.0,1952,3129.347384
6800.0,1886,3134.571619
6060.0,1758,3139.000173
7000.0,1936,3144.255563
5380.0,2014,3150.147954
7070.0,1943,3164.19031
5860.0,1710,3169.217573
5160.0,1571,3173.880727
5860.0,1793,3178.97741
4690.0,1451,3183.174937
6880.0,1922,3188.228201
4800.0,1520,3192.185855
6940.0,1948,3207.50012
7190.0,1964,3212.706814
6350.0,1841,3217.782427
6740.0,1894,3223.416256
5190.0,1563,3227.919944
6890.0,1925,3233.162625
7060.0,1994,3238.833243
7060.0,1972,3254.413215
7170.0,1962,3259.863547
6890.0,1881,3264.829586
4600.0,1467,3269.264124
7370.0,1972,3275.421422
7180.0,1963,3281.15781
5430.0,1629,3285.785239
7450.0,1952,3301.058352
7030.0,1924,3306.481926
7080.0,1975,3312.069555
6550.0,2447,3319.346215
6600.0,1877,3324.747953
7230.0,1943,3330.588147
7860.0,2459,3348.146116
5780.0,2151,3354.161777
6090.0,2227,3360.327721
7050.0,1971,3366.050496
7090.0,1925,3371.42978
6590.0,1887,3377.388828
6940.0,1964,3393.405869
7170.0,1943,3398.596172
7160.0,1931,3403.817225
7110.0,1941,3409.188028
7020.0,1911,3414.369061
7240.0,1964,3420.160664
7110.0,1955,3426.130318
7490.0,1972,3442.138675
7170.0,1918,3447.306219
5120.0,1835,3452.374292
7280.0,1924,3457.311495
8250.0,2552,3464.336811
6950.0,1893,3470.038196
6470.0,1986,3486.023153
6880.0,1908,3491.351406
5160.0,1577,3495.874408
6920.0,1942,3501.137786
6290.0,1815,3506.059087
5440.0,1977,3511.286259
7300.0,1999,3516.953798
7520.0,2003,3534.002641
5760.0,1731,3539.151582
6870.0,1900,3545.013139
8490.0,2660,3552.45149
7480.0,1984,3557.803181
6600.0,1908,3563.322635
6740.0,1866,3569.113086
6950.0,1938,3585.948316
4720.0,1474,3590.052615
7030.0,1887,3595.81697
7140.0,1980,3601.487948
6630.0,1922,3606.452682
6750.0,1956,3611.036546
7040.0,1912,3626.795395
7150.0,1923,3632.196931
7110.0,1924,3637.478289
7270.0,1913,3643.195298
6960.0,1963,3648.944024
7120.0,1903,3653.791949
7110.0,1962,3658.860266
6980.0,1945,3672.944282
7520.0,1980,3678.053164
7030.0,1921,3683.618995
6820.0,1887,3689.331391
6450.0,1822,3694.450672
7480.0,1993,3700.325737
6810.0,1962,3705.79861
6460.0,1849,3720.673706
6220.0,1900,3726.072621
6060.0,2108,3731.844475
7120.0,1919,3737.413567
6820.0,1928,3742.675659
5260.0,1684,3747.348818
7080.0,1950,3762.76757
7390.0,1939,3768.196298
7340.0,1983,3773.890859
6640.0,1908,3778.930313
5180.0,1939,3784.489621
7080.0,1911,3790.165196
7140.0,1961,3795.540498
8150.0,2496,3813.265868
5880.0,2013,3818.703071
6760.0,1904,3824.444128
7100.0,1955,3829.822227
6930.0,1912,3835.609037
7420.0,1938,3841.547086
7390.0,1983,3857.599225
7270.0,2014,3863.088315
4220.0,1445,3867.084987
5730.0,1722,3872.002925
7110.0,1953,3877.94818
6770.0,1948,3883.694466
5360.0,1653,3888.581887
6950.0,1917,3903.956434
4600.0,1454,3907.933222
7640.0,1955,3914.033907
7040.0,1919,3919.938231
7110.0,1987,3925.474662
7020.0,1945,3931.064022
6700.0,1904,3936.767719
7410.0,1946,3953.052012
7090.0,1931,3958.118502
7070.0,1962,3964.101171
5100.0,1712,3968.990582
7080.0,1939,3974.620125
6570.0,1948,3980.321589
7000.0,1963,3985.820216
7140.0,1999,4002.160163
6850.0,1985,4007.565421
7310.0,2023,4013.302784
6980.0,1967,4019.288991
4790.0,1501,4023.195983
7110.0,1927,4028.915356
7080.0,1918,4034.79335
7040.0,1931,4050.589554
5560.0,1656,4054.784849
6630.0,1928,4059.432872
6870.0,1968,4065.125011
6850.0,1914,4070.610487
6980.0,1938,4075.769811
7230.0,1943,4092.54916
6270.0,1915,4098.385294
7520.0,1962,4103.986313
7060.0,1962,4108.595018
6850.0,1941,4113.781871
