#{"t_start": 1678673451.0278594, "env_id": "MsPacman-v4"}
r,l,t
5380.0,1703,8.498605
3320.0,1597,11.806545
5380.0,1685,15.214583
5180.0,1717,18.727129
5190.0,1632,22.422156
2980.0,1577,25.809579
610.0,698,27.14201
5170.0,1478,30.410277
5180.0,1408,41.001438
5180.0,1590,44.376919
3780.0,1487,47.640498
5360.0,1429,50.818563
4180.0,1644,54.210044
5180.0,1542,57.466603
2370.0,1383,60.557012
5580.0,1594,63.964807
5180.0,1633,74.370638
2270.0,1401,77.521697
5180.0,1520,80.730268
5090.0,1550,84.126305
850.0,833,85.673352
3790.0,1747,89.696943
5170.0,1529,92.923573
2990.0,1599,96.32566
5190.0,1783,100.156579
3780.0,1634,110.498288
5380.0,1495,113.727165
5190.0,1655,117.264896
5190.0,1697,121.282588
2780.0,1419,124.115706
2580.0,1640,127.694438
5190.0,1527,131.172789
5180.0,1657,135.138484
5180.0,1644,145.354403
5390.0,1614,148.750555
5690.0,1720,152.24684
3770.0,1510,155.5513
5180.0,1518,158.829262
5180.0,1787,162.572015
3080.0,1718,166.662234
5180.0,1615,177.453797
3790.0,1559,180.871424
5250.0,1525,184.248981
4130.0,1885,188.254759
5380.0,1638,192.218057
5190.0,1781,195.878028
5180.0,1449,199.101103
3470.0,1774,202.838476
2490.0,1562,212.478911
5380.0,1530,215.698285
5190.0,1780,219.710686
5170.0,1556,223.203186
5170.0,1401,225.982245
3230.0,1507,229.344791
5180.0,1601,232.864177
5190.0,1626,236.592038
5380.0,1618,248.116595
5170.0,1506,251.141286
2190.0,1516,254.691885
2110.0,1311,258.027259
5180.0,1701,261.749029
3540.0,1538,265.407706
5370.0,1743,269.81342
5190.0,1640,273.525681
5080.0,1472,284.536403
5180.0,1552,288.000767
5380.0,1550,291.327574
5720.0,1735,295.030334
1860.0,1326,297.727029
5190.0,1683,301.848806
2180.0,1485,304.861572
5180.0,1658,308.790332
5380.0,1655,318.700906
2850.0,1736,322.510245
5170.0,1828,326.698981
4130.0,1705,330.273607
5160.0,1638,333.844948
3700.0,2050,338.669066
5180.0,1766,342.783402
5380.0,1588,347.422132
5390.0,1687,358.955842
2890.0,1684,362.917212
5180.0,1754,366.819813
5590.0,1723,371.428634
2730.0,1506,375.076373
7980.0,1551,378.90176
5180.0,1521,382.79937
2160.0,1451,393.881799
2950.0,1343,397.308125
3780.0,1666,401.298602
5260.0,1496,404.807139
5180.0,1484,408.117765
7210.0,2497,413.79849
2730.0,1499,417.237914
2570.0,1531,421.059412
5770.0,2119,431.94145
5180.0,1847,435.949861
3790.0,1678,439.720939
5180.0,1594,443.420174
5380.0,1549,446.941358
5180.0,1633,451.193162
5180.0,1472,454.230995
5360.0,1545,457.843167
5380.0,1546,468.652658
5180.0,1497,472.661686
5380.0,1396,476.292892
5190.0,1490,480.290806
5180.0,1694,484.538474
5380.0,1480,488.123029
3790.0,1692,492.163482
2110.0,1395,495.518378
5160.0,1493,505.583566
2180.0,1518,509.174847
5150.0,1591,512.900038
5180.0,1696,516.643754
2350.0,1584,520.255984
5180.0,1459,523.659353
5160.0,1631,527.480683
5080.0,1663,531.22463
5380.0,1598,542.741191
5180.0,1623,546.892998
5190.0,1968,551.441788
5160.0,1476,555.135686
2110.0,1487,558.973024
5180.0,1593,562.742627
5190.0,1743,566.72749
2180.0,1391,570.501456
5180.0,1641,581.8689
5570.0,1874,587.225323
2150.0,1707,591.827309
6350.0,2135,597.832032
2350.0,1593,602.137734
5170.0,1561,606.20941
3540.0,1954,611.09565
2380.0,1664,623.406317
3790.0,2030,628.725155
5180.0,1595,632.752322
2350.0,1438,636.570998
5190.0,1641,640.756848
5090.0,1612,645.028687
2160.0,1456,648.969589
5380.0,1624,653.029753
5190.0,1684,663.736851
3960.0,1831,668.006565
2140.0,1570,671.926897
5180.0,1512,675.795496
5380.0,1528,679.907365
1860.0,1517,683.88763
5190.0,1726,688.227673
5390.0,1620,699.895053
5160.0,1477,703.753325
3790.0,1622,707.566684
2980.0,1581,711.358464
5190.0,1774,716.345872
5190.0,1566,720.544587
3780.0,1534,724.78918
3780.0,1579,728.858247
5190.0,1931,741.572712
3760.0,1528,745.718893
5180.0,1546,749.487102
5710.0,1753,753.740236
7800.0,2338,759.924298
5080.0,1481,763.893175
5190.0,1600,768.153222
5180.0,1799,773.281558
5700.0,1810,785.518323
3790.0,1714,790.362183
5190.0,1725,794.249258
5180.0,1607,798.145542
5180.0,1598,802.303187
5380.0,1493,806.322884
5290.0,1520,810.48438
5180.0,1601,821.143518
3790.0,1533,825.116885
5170.0,1743,829.480179
3780.0,1560,833.730924
810.0,732,835.841673
5190.0,1582,839.591938
770.0,838,841.346723
5190.0,1768,846.442332
5190.0,1576,850.760833
660.0,665,852.490518
500.0,515,853.919946
1340.0,1382,866.189483
1010.0,898,868.090335
3790.0,1607,872.298775
5190.0,1889,877.722415
5190.0,1677,881.95904
5190.0,1977,887.173315
5770.0,2111,892.925461
3780.0,1728,905.455962
5390.0,1497,909.354119
5180.0,1528,913.390477
1020.0,918,916.010565
580.0,782,918.384199
3790.0,1978,923.319883
5170.0,1609,927.160348
2530.0,1348,930.692016
3920.0,1597,934.972761
3780.0,1438,945.678659
5560.0,1664,950.071964
5150.0,1601,954.016978
5180.0,1765,959.134373
5590.0,1923,964.087661
5180.0,1800,968.929186
5720.0,1994,973.72625
4120.0,2231,987.623188
3770.0,1493,991.766101
5280.0,1490,995.613395
4960.0,1525,999.728134
2780.0,1436,1003.32652
5390.0,1698,1008.177808
5790.0,1813,1012.473863
2380.0,1586,1016.185756
5190.0,2228,1029.299918
5180.0,1519,1033.003851
2290.0,1471,1036.954015
5190.0,1518,1040.917107
6430.0,2168,1046.63209
5190.0,1988,1051.976963
4940.0,1482,1055.600623
