#{"t_start": 1680679718.5970273, "env_id": "Asterix-v4"}
r,l,t
50.0,283,4.959036
450.0,466,6.403777
250.0,343,7.019396
400.0,420,8.269874
150.0,383,9.470216
50.0,273,10.045254
300.0,328,11.224063
100.0,290,12.30918
50.0,270,12.818081
100.0,280,13.827312
250.0,350,14.587098
300.0,412,15.883994
200.0,351,17.057981
450.0,460,17.945746
600.0,492,19.404264
700.0,520,20.945606
200.0,284,21.944483
500.0,470,23.389293
100.0,269,23.909401
300.0,379,25.241683
100.0,275,25.850945
250.0,295,26.982498
500.0,384,28.258433
450.0,382,29.070302
150.0,271,30.129214
100.0,252,30.587476
500.0,593,32.646372
650.0,645,34.240079
250.0,345,34.863935
450.0,436,36.165693
650.0,590,37.723139
400.0,387,38.992729
300.0,298,40.056087
400.0,391,40.779191
200.0,406,44.211627
350.0,342,45.336528
150.0,280,45.887494
250.0,371,46.980688
500.0,391,48.190252
300.0,356,48.893429
350.0,341,50.108365
400.0,379,51.268137
200.0,298,51.907354
150.0,229,52.771469
100.0,225,53.161696
50.0,273,53.660184
200.0,277,54.701172
200.0,357,55.883574
500.0,498,56.940953
300.0,327,58.052549
450.0,497,59.509229
350.0,293,60.606483
200.0,404,61.431628
350.0,303,62.431408
400.0,407,63.572315
200.0,276,64.100398
100.0,384,65.307112
150.0,236,65.710743
100.0,351,66.850479
400.0,462,68.140436
100.0,268,68.624945
150.0,275,69.68122
400.0,399,70.351333
150.0,321,71.407117
250.0,323,72.418238
50.0,247,72.840851
150.0,290,73.886501
100.0,277,74.390733
100.0,272,75.298361
350.0,274,75.788644
300.0,351,76.993327
200.0,312,77.502
500.0,495,78.743805
300.0,351,79.717651
250.0,365,82.195077
450.0,412,82.9653
350.0,360,84.089594
300.0,333,85.145028
150.0,320,85.758899
100.0,282,86.671229
350.0,374,87.348394
150.0,241,88.136857
150.0,258,88.542023
250.0,371,89.565366
100.0,284,90.039879
200.0,271,90.967366
350.0,320,91.979306
250.0,273,92.483583
150.0,270,92.996231
250.0,393,94.24439
600.0,490,95.610363
450.0,447,96.84627
100.0,280,97.297699
250.0,375,98.343497
150.0,276,99.291364
200.0,318,99.801708
350.0,561,101.268594
300.0,326,102.305212
350.0,367,103.375374
150.0,264,103.830938
100.0,271,104.734038
100.0,280,105.23853
400.0,433,106.495376
450.0,401,107.623567
150.0,269,108.152985
650.0,642,109.763302
150.0,228,110.561274
300.0,332,111.186231
550.0,526,112.558553
100.0,307,113.485822
200.0,315,114.091825
500.0,422,115.438623
200.0,244,116.304683
300.0,292,118.438504
200.0,283,119.420567
300.0,363,120.15063
350.0,368,121.293807
300.0,315,122.270652
450.0,495,123.14168
200.0,271,123.975308
250.0,278,124.446017
350.0,414,125.635306
400.0,355,126.692952
400.0,463,128.014872
200.0,336,128.615311
300.0,452,129.811462
250.0,270,130.649272
600.0,512,131.936395
350.0,328,132.482332
450.0,512,133.735317
150.0,286,134.799656
250.0,314,135.387167
250.0,342,136.485033
350.0,384,137.504155
250.0,229,137.865072
200.0,242,138.244832
50.0,267,139.110982
200.0,316,139.642868
150.0,280,140.543176
200.0,320,141.488163
400.0,490,142.41249
300.0,416,143.605639
250.0,353,144.696374
400.0,359,145.797777
200.0,282,146.339934
500.0,601,147.913542
300.0,367,148.979475
300.0,368,149.631323
300.0,388,150.78428
300.0,480,152.226387
250.0,309,154.724274
350.0,474,156.064982
150.0,385,156.784046
400.0,425,157.985707
350.0,336,158.928533
400.0,359,159.503016
150.0,323,160.498319
450.0,397,161.621354
100.0,306,162.088764
250.0,408,163.162754
300.0,427,164.295398
100.0,271,164.743794
250.0,258,165.63244
50.0,233,165.97652
250.0,377,166.978308
300.0,377,167.522776
300.0,375,168.619808
100.0,277,169.523356
450.0,438,170.282436
250.0,330,171.309277
300.0,320,172.203833
200.0,381,172.834058
150.0,291,173.729705
150.0,260,174.118928
100.0,300,174.973931
350.0,362,175.508208
550.0,495,176.752028
150.0,315,177.790731
250.0,402,178.887197
350.0,426,180.075495
250.0,440,180.851178
150.0,348,181.945199
250.0,400,183.126819
100.0,283,183.685734
150.0,246,184.526281
250.0,304,185.093579
100.0,313,186.125842
500.0,449,187.380782
200.0,316,189.382656
550.0,596,190.869314
150.0,264,191.840308
600.0,578,193.365237
100.0,280,193.882297
300.0,399,195.066262
400.0,406,196.217492
700.0,760,198.118462
100.0,307,199.079688
250.0,408,200.178065
250.0,358,200.787874
200.0,307,201.717299
350.0,402,202.848309
200.0,365,203.507917
550.0,679,205.577531
250.0,404,206.30396
350.0,379,207.384496
150.0,273,207.920754
350.0,470,209.270641
650.0,534,210.604296
350.0,472,211.796369
400.0,334,212.800518
150.0,270,213.37292
600.0,642,215.408527
250.0,357,216.014594
150.0,355,217.051168
250.0,395,218.120577
350.0,361,218.700438
150.0,297,219.678663
550.0,404,220.869931
200.0,260,221.335335
100.0,273,221.822325
50.0,271,222.730561
200.0,367,225.339101
200.0,353,225.979586
200.0,319,227.003016
300.0,297,227.518008
550.0,689,229.734524
350.0,404,230.522016
50.0,311,231.504929
450.0,410,232.747495
250.0,326,233.34987
150.0,271,234.308518
250.0,443,235.632025
100.0,276,236.150874
150.0,360,237.193125
250.0,309,237.825178
100.0,273,238.768807
550.0,479,240.137871
550.0,510,241.501162
550.0,580,242.993382
150.0,300,243.568716
150.0,277,244.493088
150.0,284,245.03298
