#{"t_start": 1680679696.6459973, "env_id": "Breakout-v4"}
r,l,t
2.0,294,4.635048
3.0,362,6.092743
3.0,324,6.869837
2.0,295,7.553547
0.0,196,8.50572
1.0,266,9.079371
0.0,186,9.510689
0.0,193,10.439572
0.0,193,10.826414
2.0,288,11.423515
2.0,294,12.522865
1.0,246,13.031261
2.0,277,13.639835
3.0,395,15.090852
5.0,490,16.999649
0.0,188,17.406391
2.0,322,18.788084
2.0,320,19.763525
2.0,304,20.964061
2.0,301,21.828711
0.0,187,22.221493
0.0,196,23.144963
1.0,244,23.822467
1.0,256,24.330537
0.0,202,24.747717
2.0,286,25.892756
3.0,354,26.695424
3.0,345,28.043469
0.0,194,28.415793
3.0,360,29.75925
2.0,284,30.403143
2.0,289,31.498325
1.0,222,31.910516
2.0,319,33.06699
2.0,301,33.709839
4.0,406,35.145178
1.0,245,35.661028
4.0,428,37.254767
2.0,323,38.056042
3.0,313,39.273515
2.0,296,39.987716
3.0,324,41.267663
3.0,365,42.036486
0.0,197,42.418341
2.0,286,43.566857
1.0,246,44.044092
3.0,318,45.213748
0.0,198,45.56181
2.0,317,46.275622
2.0,315,47.296646
6.0,489,48.981915
7.0,570,50.749653
4.0,386,51.684368
4.0,398,55.378335
2.0,287,56.002717
5.0,449,57.49921
5.0,408,58.775241
5.0,426,59.783228
9.0,664,62.175744
3.0,337,62.998141
2.0,295,64.099996
2.0,269,64.667856
6.0,534,66.298938
7.0,536,67.861941
1.0,254,68.276131
6.0,463,69.807163
4.0,410,71.147632
3.0,360,71.988573
3.0,329,73.138734
7.0,532,74.815214
5.0,424,75.738464
7.0,535,77.537977
5.0,463,79.077785
3.0,338,80.357409
11.0,627,82.301677
0.0,189,82.661456
5.0,454,84.180586
7.0,525,85.741143
8.0,568,87.517357
3.0,376,88.287567
5.0,457,89.794214
3.0,337,90.52168
6.0,487,92.114638
4.0,400,93.367487
4.0,395,94.16485
6.0,491,95.704162
5.0,423,97.022378
10.0,556,98.598198
4.0,405,102.622054
1.0,238,103.045832
2.0,298,103.630263
7.0,530,105.339852
6.0,477,106.850784
3.0,328,108.037522
5.0,446,108.972268
5.0,442,110.355994
6.0,492,111.764647
8.0,580,113.449662
6.0,483,114.967489
5.0,409,115.88752
2.0,265,116.814275
6.0,550,118.482596
8.0,621,120.190339
6.0,473,121.49063
7.0,527,123.002535
4.0,426,123.859946
3.0,367,125.005481
7.0,486,126.546293
6.0,484,127.623677
10.0,734,130.144287
4.0,378,130.924523
3.0,322,132.080759
9.0,700,134.005751
6.0,517,135.508846
3.0,417,136.674761
4.0,384,137.328118
3.0,326,138.425405
4.0,398,139.246457
9.0,606,140.990261
6.0,501,142.490767
7.0,548,147.068039
8.0,593,148.798814
9.0,634,150.622986
9.0,617,152.294565
9.0,604,153.902338
2.0,302,154.959212
7.0,557,156.55118
7.0,594,158.231452
3.0,329,158.7906
8.0,586,160.411214
7.0,519,161.907033
9.0,653,163.635666
8.0,595,165.275193
5.0,477,166.695568
5.0,465,168.189946
7.0,536,169.879476
5.0,479,171.356276
8.0,654,173.300755
6.0,493,174.768404
10.0,618,176.4152
3.0,307,177.048875
4.0,378,178.291315
5.0,404,179.140041
7.0,539,180.755857
3.0,314,181.911608
9.0,631,183.780139
9.0,667,185.685034
7.0,531,187.237546
7.0,523,190.839256
6.0,488,192.341867
10.0,713,194.216302
7.0,493,195.668274
4.0,404,196.328862
3.0,309,197.366629
8.0,580,198.953294
8.0,581,200.609414
4.0,420,201.871913
4.0,392,202.632064
8.0,551,204.439115
7.0,544,206.06318
4.0,431,207.529376
9.0,661,209.592636
9.0,673,211.369064
14.0,772,213.906041
6.0,482,214.896208
7.0,521,216.487461
10.0,698,218.547286
4.0,442,219.888073
1.0,279,220.910517
7.0,552,222.080542
7.0,506,223.659353
5.0,447,225.124525
4.0,370,226.316079
7.0,540,227.896599
10.0,696,229.886641
9.0,605,234.945454
4.0,415,236.35189
7.0,567,237.928671
8.0,623,239.627944
2.0,274,240.101005
7.0,542,241.679199
11.0,761,243.820149
5.0,412,245.168873
5.0,434,246.530793
8.0,544,248.247557
3.0,377,249.016196
9.0,685,251.106187
5.0,414,252.398525
6.0,511,253.900113
6.0,490,255.445618
5.0,440,256.280763
4.0,414,257.585852
5.0,436,258.992441
10.0,668,260.906312
5.0,456,262.303041
1.0,270,262.849375
9.0,668,264.821466
7.0,541,266.438074
4.0,399,267.679719
9.0,498,269.183873
9.0,605,271.003741
6.0,509,272.520329
7.0,550,273.678591
7.0,503,275.238301
8.0,578,279.940072
9.0,627,281.914428
9.0,634,283.866564
8.0,610,286.277104
6.0,477,287.354937
4.0,392,288.709778
7.0,560,290.360813
11.0,716,292.435696
8.0,592,294.198659
8.0,620,296.119433
7.0,532,297.778353
9.0,609,299.488303
8.0,598,301.234475
9.0,622,303.089419
8.0,629,304.939618
5.0,437,306.395533
6.0,492,307.815578
6.0,473,309.247473
9.0,668,311.215643
4.0,382,312.450904
13.0,738,314.536008
4.0,419,315.939844
13.0,697,318.03071
7.0,575,319.579964
7.0,571,321.073241
17.0,887,326.308859
12.0,750,328.911896
6.0,494,330.35551
10.0,696,332.294573
10.0,771,334.404892
9.0,639,336.310337
14.0,755,338.895466
9.0,664,340.913353
6.0,470,341.925826
12.0,838,344.661502
16.0,807,346.873948
8.0,621,348.633176
15.0,772,351.274287
7.0,616,353.098563
10.0,693,355.142459
5.0,433,356.481494
4.0,373,357.166986
8.0,637,359.446126
6.0,458,360.330336
15.0,762,362.786134
9.0,625,364.521942
12.0,696,369.467755
7.0,512,371.024748
8.0,569,372.764108
8.0,603,374.583298
4.0,395,375.829031
6.0,501,376.987945
9.0,649,379.404166
18.0,855,381.781724
1.0,239,382.19992
7.0,589,383.976027
14.0,716,386.464692
6.0,538,388.103868
8.0,660,389.965319
13.0,828,392.256944
5.0,510,393.670712
14.0,892,396.478632
12.0,798,398.609327
5.0,477,399.98431
8.0,571,401.547625
7.0,626,403.22772
12.0,798,405.355509
8.0,427,406.729395
8.0,628,408.473886
18.0,1045,415.062456
15.0,803,417.733915
7.0,553,418.825629
12.0,851,421.470716
16.0,791,423.739562
10.0,687,426.193901
7.0,551,427.912009
5.0,475,428.876172
9.0,646,430.67086
13.0,864,433.601283
7.0,568,435.356234
10.0,648,437.227805
7.0,500,438.799609
11.0,769,440.983191
7.0,549,442.610806
13.0,857,445.303685
7.0,602,447.037719
18.0,572,448.653628
6.0,526,450.208041
13.0,854,452.59219
7.0,571,454.405789
11.0,745,459.970801
11.0,742,462.122782
9.0,657,464.10759
11.0,575,465.774662
8.0,588,467.424361
11.0,683,469.323013
6.0,480,470.784811
11.0,778,472.969224
7.0,546,474.705049
