#{"t_start": 1680744605.7313344, "env_id": "DemonAttack-v4"}
r,l,t
2305.0,4562,17.313911
370.0,1843,22.839772
520.0,2418,29.257483
2950.0,5114,65.32075
1620.0,3767,75.975851
1900.0,5098,91.043751
2810.0,6384,127.93828
2835.0,5386,143.841096
680.0,3428,153.646479
2160.0,4560,190.307761
2395.0,4539,203.084628
1460.0,3228,212.207602
1880.0,4706,241.611157
1000.0,2447,247.968516
3415.0,6503,283.398138
740.0,3121,291.729908
2270.0,7440,312.138759
1400.0,4508,346.800531
1860.0,4210,357.583415
1220.0,3568,367.735179
3955.0,6565,405.97784
2755.0,6016,423.078005
310.0,2356,429.184687
1660.0,3717,456.94457
370.0,2340,463.398881
1580.0,4548,475.876445
3610.0,5110,508.350323
1200.0,3275,517.169635
1840.0,5143,531.028228
1880.0,4248,570.201224
640.0,2931,577.686039
400.0,3094,585.991508
4610.0,6467,624.592856
1960.0,4303,635.713222
1360.0,3375,645.220868
1780.0,5122,679.29572
3965.0,6662,697.599066
1880.0,4654,729.629746
1140.0,6786,747.454012
2475.0,6387,783.934173
1700.0,4544,796.309754
80.0,1047,798.690019
4610.0,7900,835.759582
1880.0,4032,847.065462
1640.0,3671,856.193281
1280.0,3287,878.759479
880.0,3329,887.578847
600.0,2506,894.318231
1040.0,2894,901.406606
1140.0,4320,922.640324
1520.0,4351,934.408352
325.0,2945,942.375918
2850.0,6748,972.00562
150.0,1089,974.651144
980.0,3671,984.769025
1400.0,4434,996.318325
1420.0,4141,1021.454592
1900.0,4491,1033.376017
1240.0,3971,1043.928074
3180.0,4665,1074.021622
340.0,1979,1078.960529
2000.0,5386,1091.83566
370.0,2086,1097.11317
600.0,2811,1127.58536
1880.0,4841,1138.515795
2910.0,6474,1168.72475
400.0,2473,1175.389632
2590.0,5829,1189.089054
1020.0,3772,1218.975629
1600.0,4492,1231.057739
800.0,4057,1240.887349
310.0,2597,1247.143084
400.0,3181,1273.947563
1760.0,4312,1285.006662
175.0,1406,1288.243721
600.0,4027,1297.712791
1420.0,3639,1317.252542
205.0,1362,1321.185024
370.0,2926,1328.802941
820.0,3028,1336.647362
800.0,3040,1344.744386
1380.0,3885,1366.738455
1320.0,3129,1375.216822
4460.0,6532,1407.964376
1460.0,5115,1422.121385
1100.0,3310,1430.077262
420.0,3226,1437.986949
1680.0,5063,1467.217084
1180.0,3824,1476.461473
100.0,1033,1479.005389
1860.0,4333,1504.647246
980.0,3635,1514.366424
1160.0,3507,1522.982224
720.0,3239,1530.47954
355.0,2596,1548.803053
1380.0,4002,1559.610465
1020.0,3324,1567.905309
250.0,2412,1573.94925
1320.0,3708,1601.673096
1100.0,3525,1610.905403
1740.0,4291,1622.802333
370.0,2848,1629.643884
1460.0,3982,1661.668651
385.0,3039,1669.639977
660.0,2780,1677.769997
1340.0,4017,1708.392457
325.0,2857,1716.749606
250.0,1269,1720.162257
1140.0,3750,1730.281037
440.0,2898,1738.031231
740.0,3589,1766.163391
1800.0,4628,1779.138283
1100.0,3970,1789.451468
355.0,2214,1810.531026
560.0,3667,1820.873133
1780.0,3441,1830.167164
140.0,1927,1835.216352
1340.0,4187,1859.694437
2895.0,9302,1884.850391
370.0,2250,1890.960406
1780.0,4739,1918.600696
400.0,3263,1927.269048
1300.0,3766,1937.197626
660.0,3386,1961.600953
310.0,2570,1969.196673
1220.0,4230,1980.692538
295.0,1793,1985.031559
2345.0,4869,2016.818793
500.0,2752,2025.283395
340.0,2413,2031.576944
2590.0,5556,2061.439949
1100.0,4289,2073.58894
2025.0,5973,2089.911867
1800.0,3660,2113.947975
1700.0,3691,2124.127154
310.0,2110,2130.734082
1300.0,4208,2142.948566
295.0,2130,2164.84824
1020.0,2881,2172.64595
340.0,2176,2178.885131
2120.0,4702,2192.277063
4130.0,6652,2227.22968
340.0,2051,2233.002235
1180.0,3765,2243.389125
2740.0,5748,2275.941916
175.0,1110,2278.897016
720.0,3244,2287.881319
1960.0,4127,2299.829838
620.0,3043,2322.929161
1040.0,2869,2330.655323
3125.0,6651,2349.472013
500.0,2500,2372.011697
1860.0,4197,2384.006183
1440.0,3626,2394.17918
400.0,2457,2400.484998
2995.0,5773,2434.386475
2910.0,5216,2448.99926
880.0,3529,2474.601017
370.0,3312,2483.541323
150.0,1373,2487.095705
80.0,522,2488.479551
540.0,2707,2495.744881
3550.0,5579,2532.743754
1960.0,5016,2546.059277
1700.0,4307,2558.135485
440.0,3008,2581.88233
4150.0,8557,2605.819352
1740.0,4377,2633.911284
1440.0,4455,2646.450111
1300.0,3918,2657.36175
420.0,3226,2666.033772
1320.0,4033,2692.321619
1960.0,5440,2707.625418
2340.0,4534,2735.55112
1560.0,4247,2747.744526
920.0,3011,2755.966663
2850.0,5721,2789.909122
2215.0,7460,2810.686944
130.0,1787,2815.973504
1820.0,4234,2839.089578
2545.0,4826,2852.31779
1360.0,3755,2862.734985
310.0,2466,2885.127704
1920.0,4094,2896.831788
3990.0,6368,2914.963605
920.0,2700,2939.179721
1120.0,3360,2949.087645
2040.0,5015,2963.124962
740.0,2900,2970.740555
1600.0,3658,2998.450289
2150.0,5622,3013.804726
1340.0,3924,3024.617409
1300.0,4284,3049.412895
1380.0,3654,3059.671057
205.0,1620,3063.839867
600.0,2874,3071.80406
1340.0,3939,3098.776088
1240.0,3859,3109.421666
560.0,2283,3115.716313
90.0,686,3117.46016
640.0,2936,3126.012698
1760.0,4629,3155.675349
1220.0,3536,3165.515527
1240.0,3304,3174.844499
640.0,3141,3196.854237
560.0,2751,3204.69558
1620.0,3759,3215.086249
2080.0,4741,3241.632485
190.0,1463,3245.708186
1200.0,4351,3257.459893
780.0,5930,3273.457433
1540.0,3809,3296.883564
1340.0,3501,3305.938312
540.0,2886,3313.69342
385.0,2759,3321.251843
2820.0,5598,3359.626693
880.0,3674,3369.434606
3620.0,5850,3405.476056
370.0,1930,3411.046488
600.0,3413,3420.489182
370.0,1998,3425.976533
540.0,2958,3433.988237
1080.0,4418,3461.459624
1900.0,4217,3473.055884
1320.0,3955,3483.756781
1720.0,4524,3512.122453
880.0,3369,3521.737379
1320.0,3841,3532.363006
1200.0,2951,3557.541832
280.0,2126,3563.17107
310.0,2247,3569.220531
1480.0,4472,3581.706404
