#{"t_start": 1680679546.6906197, "env_id": "Freeway-v4"}
r,l,t
0.0,2743,10.814072
11.0,2752,17.814934
14.0,2714,25.199456
20.0,2733,33.170948
19.0,2744,57.327518
23.0,2759,65.066102
23.0,2718,72.823857
19.0,2693,80.126699
21.0,2734,87.686324
23.0,2730,113.09908
26.0,2729,121.298324
21.0,2713,129.679766
21.0,2725,138.034407
22.0,2722,165.667899
21.0,2707,175.507563
20.0,2735,184.345381
25.0,2749,194.052369
22.0,2729,203.047657
19.0,2757,231.189332
21.0,2747,240.34167
22.0,2717,249.511501
23.0,2750,258.004723
20.0,2735,285.637487
25.0,2730,294.714003
22.0,2704,303.420311
18.0,2724,312.813712
20.0,2732,321.916684
25.0,2724,349.86028
20.0,2751,358.84012
20.0,2732,368.258908
23.0,2729,376.904124
22.0,2710,385.840122
23.0,2732,413.245039
21.0,2718,421.638077
19.0,2724,430.413517
26.0,2741,439.658519
19.0,2733,465.826407
23.0,2731,474.390071
20.0,2729,483.312681
21.0,2723,492.589878
23.0,2743,501.573859
21.0,2752,527.415798
22.0,2719,536.756291
19.0,2745,545.538307
21.0,2743,554.12771
21.0,2729,580.974196
22.0,2730,590.024291
23.0,2748,598.606021
25.0,2743,607.375593
23.0,2724,615.7218
19.0,2739,642.106699
20.0,2723,650.612865
20.0,2738,659.476003
19.0,2715,667.830174
21.0,2723,676.545544
24.0,2742,703.962189
19.0,2713,712.032791
21.0,2737,720.818454
22.0,2706,730.288948
28.0,2732,755.742893
24.0,2743,764.234452
21.0,2711,772.88095
24.0,2741,782.179809
22.0,2691,790.584763
19.0,2729,816.418916
20.0,2710,825.6948
26.0,2741,834.746384
24.0,2749,842.960302
22.0,2733,851.79823
21.0,2715,878.693911
22.0,2730,887.291954
18.0,2737,895.490955
21.0,2739,904.267534
28.0,2724,931.666524
23.0,2738,940.267268
21.0,2715,949.238342
22.0,2739,957.909553
21.0,2724,966.85627
20.0,2754,993.627604
22.0,2762,1002.084807
24.0,2753,1010.653999
24.0,2720,1020.179809
23.0,2749,1046.647418
23.0,2749,1055.114894
20.0,2739,1064.347525
21.0,2723,1072.940366
23.0,2760,1081.757572
20.0,2750,1108.733279
22.0,2729,1117.301444
23.0,2741,1126.077157
26.0,2737,1135.478611
17.0,2724,1161.265245
21.0,2711,1169.854203
28.0,2741,1178.975693
22.0,2747,1188.577911
24.0,2735,1197.433348
19.0,2734,1223.858618
26.0,2711,1233.118477
19.0,2726,1241.863394
22.0,2717,1250.019705
24.0,2741,1258.362058
21.0,2727,1286.172745
21.0,2740,1294.863339
19.0,2740,1302.995197
22.0,2716,1311.853085
23.0,2715,1339.394328
20.0,2727,1347.43357
22.0,2739,1356.178889
28.0,2727,1364.978578
22.0,2752,1373.628381
28.0,2715,1400.425241
26.0,2711,1408.949873
22.0,2722,1418.026834
20.0,2721,1427.015681
27.0,2740,1435.67036
28.0,2708,1461.806207
25.0,2726,1470.687125
21.0,2742,1479.212655
25.0,2732,1487.811173
22.0,2733,1514.481641
