#{"t_start": 1680766125.5020504, "env_id": "Frostbite-v4"}
r,l,t
2960.0,1306,7.499498
5460.0,1870,11.975175
5640.0,1902,16.854735
5680.0,1834,21.286581
3020.0,1252,24.713274
2630.0,1360,27.960015
5710.0,1856,32.861891
5220.0,1981,45.105753
4900.0,1673,49.415023
3300.0,1364,52.63252
4940.0,1638,57.45858
8140.0,2152,63.148356
2740.0,1280,66.771898
3090.0,1220,69.758403
4960.0,1579,73.935775
5530.0,1807,87.283142
3060.0,1277,91.112499
2870.0,1324,94.492871
1250.0,956,97.088115
2410.0,1235,100.127112
3120.0,1261,103.580652
2430.0,1298,106.51424
4740.0,1654,110.739867
7850.0,2129,116.415399
3090.0,1289,120.113842
2910.0,1283,130.162544
4560.0,1606,134.549189
210.0,649,136.167362
4910.0,1623,140.851797
5600.0,1865,146.198203
3110.0,1350,149.456262
250.0,732,151.718138
5490.0,1969,156.627518
3070.0,1394,160.639314
2620.0,1295,171.5165
2670.0,1346,175.48496
1420.0,914,177.593456
4850.0,1771,183.197624
5440.0,1909,188.007894
3050.0,1599,192.298422
3090.0,1353,196.175815
2900.0,1315,199.53755
3220.0,1644,204.441304
5300.0,1890,218.207003
2970.0,1355,222.1512
7710.0,2304,228.252232
4590.0,1618,232.712855
1490.0,1010,235.702181
4680.0,1667,240.511579
2900.0,1517,244.784843
2890.0,1344,248.163363
3340.0,1314,251.824617
4580.0,1659,264.038175
5420.0,2007,269.563601
5460.0,1900,274.727028
2920.0,1253,278.727929
2630.0,1304,282.218921
3300.0,1378,286.107278
4640.0,1613,290.677495
4850.0,1643,295.314834
230.0,674,304.787131
7870.0,2119,310.908518
3260.0,1462,315.338594
3250.0,1336,319.126083
3090.0,1319,323.455263
4510.0,1649,328.383516
5690.0,2239,335.211558
3160.0,1285,339.295127
4660.0,1673,350.660249
3220.0,1424,354.848232
2370.0,1435,359.222615
3050.0,1427,363.58667
4670.0,1638,368.55407
2970.0,1285,372.197712
4990.0,1610,377.185506
4890.0,1674,382.564589
5600.0,1849,388.136226
3510.0,1338,400.790886
3250.0,1255,404.782595
4920.0,1656,409.743499
2940.0,1347,413.451162
5480.0,1823,419.22981
5410.0,1848,424.273453
5580.0,1953,429.829842
3060.0,1416,433.872612
2700.0,1311,445.136476
2930.0,1403,449.538188
2910.0,1360,453.498354
5350.0,1824,459.411938
4720.0,1748,464.520788
3110.0,1333,467.911978
1890.0,1063,470.687215
2460.0,1316,474.615362
5810.0,1945,480.14123
3190.0,1381,490.905083
2630.0,1349,495.0738
2820.0,1434,498.90047
3390.0,1637,504.214987
2510.0,1513,508.095981
2580.0,1616,512.708831
4920.0,1774,518.25813
2730.0,1368,521.996731
3320.0,1374,534.360259
2560.0,1287,537.929488
5500.0,1982,544.075171
5430.0,1943,550.12401
2660.0,1312,554.032811
3050.0,1428,558.402877
3150.0,1307,561.818531
4900.0,1689,566.905644
5290.0,1876,581.305937
2860.0,1295,584.850775
2980.0,1352,588.849427
5390.0,1873,593.874052
2910.0,1429,598.399678
4950.0,1698,603.175348
2520.0,1387,607.437012
5360.0,1908,613.496902
4640.0,1683,618.446987
1860.0,1082,628.054998
3110.0,1342,631.641417
5410.0,2089,637.913673
1430.0,1274,642.209753
2750.0,1299,645.715167
2970.0,1346,649.760599
3020.0,1403,653.517327
2910.0,1276,657.492247
2610.0,1365,661.241219
2500.0,1271,674.188977
2800.0,1297,678.630553
3000.0,1327,682.518025
2930.0,1314,686.666023
2810.0,1473,690.856655
3340.0,1704,695.758605
3270.0,1310,699.339143
5370.0,2051,705.726379
5630.0,1828,711.237779
5710.0,1964,724.916266
2690.0,1426,729.375785
2880.0,1616,734.057094
7640.0,2647,741.85785
5510.0,2013,748.031585
3090.0,1324,751.421442
4690.0,1618,756.191423
2920.0,1290,768.185835
2870.0,1254,771.793586
5750.0,1886,777.294816
2740.0,1407,781.317843
2530.0,1591,786.109128
2900.0,1294,789.931874
7780.0,2055,796.248343
5450.0,1883,801.646366
2790.0,1612,813.621609
2900.0,1378,817.657521
4950.0,1730,822.745354
5540.0,1955,828.789887
4670.0,1921,834.062176
3450.0,1391,838.501032
2910.0,1647,843.367423
2760.0,1341,847.835553
150.0,1026,858.854417
7910.0,2092,864.879556
1630.0,966,867.721959
1450.0,1229,870.927984
2850.0,1427,875.334029
4620.0,1974,881.254307
2580.0,1459,885.694072
3360.0,1400,889.576979
4580.0,1639,894.56688
5290.0,2067,907.913098
960.0,1017,910.883702
4800.0,2104,917.297246
4600.0,1674,921.966864
3050.0,1378,926.214217
5490.0,1858,931.385737
3010.0,1350,935.553468
1200.0,990,938.628123
990.0,925,941.087843
4980.0,1748,954.298745
3160.0,1408,958.407851
5380.0,1959,964.694607
1190.0,966,967.717236
5820.0,1907,973.439373
5530.0,1907,979.275575
3040.0,1334,982.882763
3200.0,1314,987.049714
3420.0,1375,998.311569
3120.0,1385,1002.543195
4940.0,1753,1007.675889
4740.0,1624,1012.575042
5670.0,2153,1019.338619
2530.0,1433,1024.171317
2830.0,1284,1027.969921
5380.0,1910,1033.519197
2900.0,1341,1046.029457
4920.0,1785,1051.302686
2870.0,1212,1054.878299
4720.0,1694,1060.023255
3250.0,1468,1064.475943
2790.0,1458,1068.997184
1300.0,1322,1072.677357
3110.0,1253,1076.461251
3060.0,1435,1080.302099
2370.0,1513,1091.934931
2590.0,1469,1096.479241
2790.0,1259,1100.188999
2950.0,1570,1105.013038
2940.0,1622,1109.790965
5450.0,2113,1116.10397
2650.0,1279,1120.113747
3000.0,1575,1124.782269
2870.0,1425,1128.823766
4720.0,1838,1142.771072
2820.0,1322,1146.960717
4880.0,1797,1152.831742
2500.0,1561,1157.996863
140.0,789,1160.108709
3230.0,1346,1164.312098
2920.0,1519,1169.30595
2900.0,1537,1173.87227
2520.0,1298,1177.977783
2730.0,1353,1188.506136
3500.0,1319,1192.564898
2260.0,1544,1197.587957
1090.0,1131,1200.991841
2230.0,1300,1204.564841
160.0,784,1207.170152
2480.0,1296,1210.932978
2650.0,1410,1215.65357
3080.0,1493,1220.501738
2560.0,1322,1224.330862
2620.0,1350,1235.998234
2620.0,1294,1240.200771
2490.0,1529,1245.079707
2410.0,1323,1248.751288
2950.0,1166,1252.005774
2400.0,1249,1256.353863
1220.0,1038,1259.642762
2220.0,1228,1263.30323
2590.0,1460,1268.177218
2450.0,1658,1273.119701
3200.0,1436,1283.348642
2350.0,1243,1287.6911
2770.0,1289,1291.597695
940.0,1093,1294.884678
2750.0,1350,1299.169511
1470.0,1091,1302.425202
2340.0,1526,1307.219563
3280.0,1374,1311.107881
3080.0,1568,1315.957127
2840.0,1370,1327.944302
2720.0,1712,1333.340087
2800.0,1365,1337.281272
170.0,675,1339.729728
1240.0,959,1342.355222
950.0,952,1345.307675
170.0,633,1346.997436
170.0,657,1348.775784
1040.0,1120,1352.0224
150.0,560,1353.659923
140.0,758,1356.196876
140.0,569,1357.866084
5650.0,1913,1363.511378
160.0,1001,1366.480226
2270.0,1277,1377.907033
2600.0,1280,1381.290201
1060.0,1152,1384.693067
160.0,810,1387.367955
1290.0,1082,1390.296912
1430.0,1173,1394.318224
2530.0,1290,1398.007908
150.0,568,1399.758935
130.0,518,1401.229864
2630.0,1352,1405.793284
1260.0,1082,1408.678841
2470.0,1492,1413.396184
2940.0,1315,1425.100021
2880.0,1651,1429.955893
2230.0,1274,1433.595058
1010.0,1063,1436.871713
3410.0,1312,1441.363672
2610.0,1383,1445.466791
2900.0,1258,1449.718529
2640.0,1334,1453.674259
4530.0,1541,1458.767896
4970.0,1635,1470.434412
2010.0,1050,1473.541264
3050.0,1324,1477.115546
180.0,577,1478.581388
3100.0,1378,1482.839599
4780.0,1765,1488.161934
4550.0,1726,1494.044659
230.0,629,1495.848243
2580.0,1432,1500.058481
2560.0,1262,1504.312127
1450.0,1036,1507.564436
3130.0,1391,1518.174557
2930.0,1530,1522.563601
1400.0,959,1525.631119
2880.0,1364,1530.20941
