#{"t_start": 1680735491.6921668, "env_id": "Krull-v4"}
r,l,t
7240.0,1979,9.561256
4580.0,1466,13.630487
6100.0,1924,19.180373
6080.0,1848,23.693131
6500.0,1998,28.990455
7100.0,1979,34.190983
7070.0,1909,49.722836
7130.0,1995,55.509238
6680.0,1950,61.661784
5840.0,1793,66.754112
4250.0,1455,71.20799
6150.0,1831,76.598235
3190.0,1232,79.914929
6060.0,1855,84.678724
6080.0,1929,100.812009
6450.0,1913,106.192638
6980.0,1968,112.350721
6190.0,1978,118.30309
5230.0,1703,124.172804
6880.0,2004,130.030166
6070.0,1900,145.416993
6860.0,1955,151.591947
5510.0,1737,156.400064
6000.0,1889,162.652909
5700.0,1896,168.221491
5390.0,1783,174.016045
6130.0,1915,179.881347
6400.0,1964,195.565
6410.0,1941,201.532505
7270.0,1973,206.889926
5050.0,1710,212.262876
6460.0,1985,218.732831
4350.0,1431,222.786793
5880.0,1934,228.845742
6560.0,1965,245.511583
6300.0,2001,251.270135
6780.0,1956,256.453484
6950.0,1983,262.758689
6770.0,1903,268.900173
6780.0,1939,274.248177
6120.0,1993,280.235799
6360.0,1933,296.701602
4860.0,1568,301.201862
6750.0,1977,306.963633
7170.0,2002,312.44832
4350.0,1457,316.552562
6450.0,1952,322.232879
5910.0,1899,328.263316
4420.0,1504,343.932132
6480.0,1952,350.266033
6990.0,1968,356.361797
4390.0,1462,360.215151
6990.0,1992,365.653649
5920.0,1958,370.924296
3760.0,1371,375.432932
5390.0,1734,391.414241
4610.0,1459,396.002007
4390.0,1467,400.518592
4890.0,1597,405.306169
6810.0,1987,411.56227
4170.0,1473,415.404561
6700.0,1967,420.902415
6500.0,1953,426.459481
5850.0,1841,441.996256
6400.0,1992,447.805575
5220.0,1699,452.962148
4120.0,1468,457.484386
7330.0,1987,463.79346
6250.0,1976,469.618876
6210.0,1923,474.701925
5660.0,1782,490.771291
7000.0,2017,497.227702
6570.0,1974,503.082445
6100.0,1748,508.994794
5580.0,1891,514.889361
6600.0,1958,521.026154
