#{"t_start": 1680704275.8247561, "env_id": "MsPacman-v4"}
r,l,t
1860.0,1086,6.671692
1460.0,1149,9.493395
2550.0,1199,12.371267
1970.0,1453,16.230016
1870.0,1199,19.280999
1760.0,1659,23.434863
2130.0,1360,26.998474
2650.0,1235,30.072875
1330.0,991,32.696416
1470.0,1175,36.080647
1920.0,1380,45.399934
2060.0,1121,48.309787
3180.0,1165,51.745194
2290.0,1365,55.487374
1820.0,1285,59.562645
2150.0,1074,62.491
1930.0,1244,65.971523
2830.0,1242,69.733287
1690.0,1339,73.364514
1880.0,1430,77.345752
1610.0,1066,86.006398
2480.0,1442,89.917228
1540.0,1111,92.901306
2320.0,1139,95.867964
2970.0,1134,99.036571
2330.0,1584,103.390228
1920.0,1464,107.785058
1740.0,1211,111.102878
2280.0,1412,115.445911
1610.0,1147,118.722263
1960.0,1221,128.69816
2240.0,1189,131.608263
1950.0,1453,135.331468
1630.0,1218,138.531451
1850.0,1084,141.403828
2080.0,1357,145.063169
2330.0,1269,148.565536
1420.0,969,151.353515
2320.0,1186,154.541092
1740.0,1154,157.671412
1940.0,1508,168.568022
1760.0,1009,171.361397
2480.0,1097,174.376288
2120.0,1200,178.077725
1880.0,1117,181.170158
1940.0,1336,184.729185
1870.0,1203,188.268741
2150.0,1200,191.335598
1930.0,1163,194.106958
1550.0,1093,196.750455
1510.0,1061,199.376596
1680.0,1224,209.639116
1570.0,1161,213.007343
1470.0,1225,216.408481
1580.0,1097,219.372655
3080.0,1407,223.150836
2310.0,1092,225.963823
1550.0,1207,229.22616
1450.0,1118,232.633482
1830.0,1234,235.649565
2210.0,1074,238.377705
1100.0,999,241.105975
2280.0,1381,250.497652
570.0,783,252.685754
1040.0,1050,255.535876
600.0,653,257.296471
1630.0,1481,261.510077
2930.0,1425,265.390641
710.0,770,267.213165
2200.0,1510,271.410158
2230.0,1584,275.970397
1880.0,1222,279.390976
1660.0,1162,283.164068
1600.0,1255,292.300394
1420.0,1368,296.190403
2460.0,1260,299.455055
2290.0,1255,303.149444
2460.0,1398,306.588345
1620.0,1186,310.162664
2430.0,1248,313.382668
1820.0,1109,316.263728
2020.0,1243,319.586552
