#{"t_start": 1678775356.0301168, "env_id": "Asterix-v4"}
r,l,t
3500.0,1774,7.806972
4400.0,2015,12.330466
4800.0,2069,16.831753
5300.0,2136,21.453034
5700.0,2217,25.924399
4300.0,2434,38.640639
3400.0,1884,42.831863
3500.0,1557,46.120904
3800.0,1787,49.738302
3700.0,2142,54.198285
2800.0,1490,57.365283
2800.0,1288,59.83396
2800.0,1355,62.872367
3600.0,1425,74.614559
6200.0,2232,79.428385
3600.0,1484,82.808292
1600.0,847,84.850059
6000.0,2254,89.533159
2500.0,1323,92.200047
2700.0,1313,95.384375
4100.0,1746,99.176679
3500.0,1535,111.201976
4100.0,1735,115.771055
3800.0,1739,119.533914
7100.0,2912,126.336581
3800.0,1848,130.393119
4500.0,2285,136.000726
5800.0,2302,148.824134
5300.0,2370,154.023865
3800.0,1920,157.887101
1450.0,943,160.215855
3700.0,1574,163.837299
3900.0,1682,167.67179
3100.0,1615,171.468985
4700.0,2694,184.975847
5300.0,2611,190.772844
2900.0,1528,194.212737
3400.0,1640,197.814683
2800.0,1405,201.214776
2350.0,1334,204.043262
2350.0,1261,206.814433
3200.0,1510,210.459159
3200.0,1704,221.430228
3800.0,1865,225.413241
4800.0,2132,230.27826
2250.0,1401,233.802541
5400.0,2573,240.517739
4100.0,1653,244.740643
2350.0,1404,248.472093
5900.0,2572,262.391008
5800.0,2570,268.51506
2450.0,1287,271.464328
4700.0,2113,276.565929
4500.0,2238,282.366365
3400.0,1962,286.318546
3600.0,1762,297.003924
7400.0,3301,304.849855
2500.0,1439,308.345617
4800.0,2156,313.464365
4900.0,2384,319.156837
7500.0,3638,335.46699
3600.0,2058,340.538831
3900.0,2069,345.32881
3500.0,1666,349.209159
6800.0,3587,357.523617
3900.0,1666,361.413413
5400.0,2397,374.795456
2600.0,1880,379.121043
3700.0,2312,385.311203
4200.0,2334,391.026286
2500.0,1360,394.751178
3900.0,1907,399.855909
4800.0,2113,412.700138
3200.0,1638,416.769276
3800.0,2126,421.73628
5600.0,2620,427.925194
4000.0,1802,432.526905
4600.0,2530,438.694444
4700.0,2188,454.722875
6100.0,2739,461.194162
3300.0,1803,465.443084
6800.0,2619,472.543521
4600.0,1790,477.136175
3400.0,1749,481.584749
4100.0,1712,495.153651
4200.0,2213,500.710611
3200.0,1801,504.822416
4700.0,1880,510.199882
4100.0,1697,514.480302
4600.0,2266,521.059102
4100.0,1968,536.741068
3500.0,2384,543.466275
3600.0,1786,548.057394
3800.0,1796,552.882476
4500.0,1844,557.326191
2700.0,1400,560.888813
3800.0,1473,564.391619
5600.0,2271,577.969535
3800.0,1747,582.544497
3900.0,1719,586.654656
3000.0,1317,590.127781
5200.0,2067,595.434458
4300.0,2185,600.489071
4000.0,2134,605.667964
4400.0,1562,619.639907
4400.0,2312,625.126037
2800.0,1647,629.775697
2800.0,1351,632.839343
3600.0,1916,637.628428
4200.0,2020,643.083641
7400.0,3217,659.770877
5100.0,1936,664.669532
1250.0,931,666.943757
5400.0,2888,674.325589
3100.0,1309,678.152101
4800.0,1781,682.700265
4300.0,1856,687.710953
6700.0,2521,702.437563
5400.0,2836,708.915041
4600.0,1817,713.827324
3200.0,1360,717.097118
4100.0,1712,721.870022
3700.0,1711,726.281459
3900.0,1650,730.560792
1450.0,861,740.736396
7500.0,3117,748.109964
6300.0,2091,753.379262
4600.0,1877,758.295292
3200.0,1708,763.153295
4400.0,2145,768.656429
2500.0,1464,780.216906
1800.0,1081,783.041217
4000.0,2092,788.057938
7500.0,2916,794.958715
7900.0,2675,802.288825
1600.0,1219,805.3209
2800.0,1422,809.014735
3400.0,1539,821.872642
3700.0,1818,826.535618
2700.0,1554,830.273921
3800.0,1902,835.169425
3100.0,1696,839.558464
5000.0,2594,846.918277
3200.0,1705,851.454671
4700.0,2213,868.253718
5400.0,2362,873.97216
2600.0,1363,877.679683
4100.0,1689,882.215432
3800.0,1852,887.370438
4900.0,2732,895.010894
1400.0,655,896.749672
3600.0,1731,909.819632
4400.0,2457,916.058645
4200.0,1802,921.080179
2350.0,1206,924.059622
1850.0,1121,926.883552
4200.0,2222,932.719333
3600.0,2609,939.938654
2800.0,1763,952.277069
3400.0,1749,956.723458
3800.0,1910,961.66871
3000.0,1955,966.538399
2900.0,1625,970.697261
3000.0,1705,975.318592
4300.0,1743,980.078009
3100.0,1460,992.470766
3400.0,1931,997.747618
6400.0,2842,1004.914009
3200.0,1759,1009.765543
4700.0,3195,1018.402451
4100.0,2531,1035.967659
4700.0,2368,1041.582597
7700.0,2986,1049.870518
3600.0,1625,1054.505695
4100.0,2012,1060.082182
5200.0,2325,1066.765497
3800.0,2522,1082.671494
4000.0,1876,1087.372824
6200.0,2895,1095.855019
3500.0,1580,1100.150887
3400.0,1601,1104.327959
3700.0,1491,1108.522924
3800.0,1740,1120.718691
5500.0,2540,1127.664424
5700.0,1915,1133.169267
4200.0,1841,1138.025393
4100.0,1897,1143.485513
4000.0,1959,1148.851868
2900.0,1436,1152.786116
3000.0,1705,1165.786584
2500.0,1470,1169.645997
5200.0,2523,1176.660973
3600.0,1562,1181.051811
2100.0,1079,1184.064706
3300.0,1702,1188.68335
