#{"t_start": 1678842844.5522335, "env_id": "Breakout-v4"}
r,l,t
11.0,764,5.706378
49.0,1284,8.781078
43.0,1463,12.641221
22.0,1230,15.417309
50.0,1835,20.169002
28.0,1259,23.010341
47.0,1455,26.63414
45.0,1232,29.40594
19.0,975,31.796224
40.0,1382,34.772235
15.0,791,42.876066
64.0,2221,48.213444
25.0,1202,51.073082
42.0,1487,54.730155
54.0,1827,58.949675
31.0,1074,61.58754
36.0,1389,65.119126
58.0,1587,68.89143
16.0,927,71.272242
34.0,1197,79.731627
30.0,1237,82.565105
38.0,1229,85.392465
40.0,1326,88.84956
38.0,1118,91.461722
32.0,1339,94.502536
27.0,1146,97.210422
24.0,1191,99.920664
33.0,1356,103.377763
44.0,1534,107.170924
39.0,1290,110.114766
38.0,1587,121.394205
18.0,1033,123.916789
12.0,772,125.592662
53.0,1532,129.48131
48.0,1571,133.38813
34.0,1117,136.049758
28.0,1279,139.342631
18.0,929,141.341353
27.0,1120,144.067343
43.0,1331,147.63951
21.0,1051,150.414683
35.0,1313,159.968929
14.0,640,161.467228
69.0,1910,166.474707
49.0,1325,169.556792
43.0,1341,173.007964
58.0,1801,177.351945
70.0,1864,182.266461
41.0,1186,185.193005
17.0,846,187.145843
23.0,1114,190.434824
15.0,720,197.899187
17.0,929,200.34735
37.0,1465,203.650162
25.0,1044,206.224863
33.0,1459,209.939007
22.0,1182,212.804338
27.0,1167,215.652494
37.0,1522,219.660411
48.0,1859,224.673856
38.0,1011,226.787287
27.0,968,234.243547
35.0,1100,237.121265
43.0,1522,241.002565
31.0,1337,244.031278
29.0,1308,247.543741
26.0,1403,251.31193
47.0,1416,254.76743
26.0,1223,257.757377
24.0,1044,260.389043
16.0,949,262.889982
39.0,1270,265.942062
25.0,1069,274.411717
44.0,1607,278.400687
35.0,892,280.753868
50.0,1308,283.886247
28.0,1192,287.276996
17.0,865,289.151574
44.0,1575,293.20538
19.0,962,295.69058
41.0,1374,298.916337
14.0,840,301.310814
37.0,1341,304.639705
49.0,1631,314.476974
16.0,932,316.925951
34.0,1144,319.964777
20.0,1006,322.576994
38.0,1205,325.640141
27.0,1332,329.865841
35.0,1463,333.772218
38.0,1354,337.776601
30.0,1272,341.077394
42.0,1617,345.454541
47.0,1620,355.224429
