#{"t_start": 1679499319.6678545, "env_id": "DemonAttack-v4"}
r,l,t
130.0,1195,8.621612
160.0,1013,10.795059
120.0,1499,13.60217
90.0,943,15.684103
120.0,1515,19.017264
900.0,9307,45.061945
205.0,2414,50.362978
130.0,919,52.006391
295.0,1830,56.134426
140.0,1044,58.298652
60.0,495,59.305283
140.0,1222,61.740051
90.0,672,62.984706
205.0,1519,66.241915
100.0,882,72.691564
90.0,1058,74.855382
40.0,260,75.573005
130.0,703,76.91104
130.0,1257,79.405451
60.0,806,81.292137
50.0,511,82.342375
520.0,2445,87.210501
160.0,1766,91.130946
120.0,1215,93.556128
160.0,1344,96.107663
235.0,1463,103.712294
130.0,877,105.640119
190.0,1530,108.890757
90.0,959,110.585296
190.0,1039,112.718941
440.0,2309,117.750164
310.0,1963,121.500957
175.0,1140,123.817774
160.0,2303,128.861686
325.0,4317,143.94283
150.0,2255,148.656689
250.0,1993,153.180202
370.0,2031,157.518097
175.0,972,159.650696
220.0,1475,162.841574
265.0,1246,170.376203
160.0,1900,174.553325
420.0,2913,181.567067
100.0,1004,183.867338
175.0,918,186.050005
100.0,768,187.643083
175.0,1534,191.211629
190.0,1655,194.905737
190.0,1444,198.318085
355.0,1827,208.082585
90.0,788,209.505768
70.0,810,211.339442
310.0,1761,214.953577
310.0,1658,218.563078
80.0,821,220.398349
325.0,2421,225.21844
325.0,1781,229.166538
70.0,532,230.347965
250.0,1983,239.71785
140.0,1063,242.116685
520.0,2609,247.54028
120.0,817,249.357835
160.0,1319,251.855074
160.0,1527,254.951023
190.0,1229,257.29167
205.0,1517,260.400507
140.0,1157,262.63249
120.0,1176,273.656595
355.0,3271,280.332687
110.0,1592,283.564656
80.0,1169,285.873673
175.0,1086,288.005996
110.0,958,289.999223
70.0,1029,292.066857
60.0,673,293.255104
60.0,642,294.604445
130.0,1104,297.053349
370.0,2119,308.188888
40.0,437,309.136937
340.0,2480,314.33118
160.0,1390,316.993092
130.0,1132,319.259493
340.0,1823,323.279738
140.0,704,324.53701
175.0,1269,327.022946
190.0,1126,329.307679
190.0,2024,340.200994
50.0,433,341.147668
235.0,1783,344.681914
220.0,1509,347.82234
700.0,2361,352.988848
175.0,1210,355.387336
100.0,860,356.921783
325.0,2372,362.047989
110.0,996,364.134912
1500.0,3534,385.655541
295.0,2189,390.786293
190.0,1453,393.91001
480.0,2450,399.868618
70.0,514,401.03987
295.0,2670,407.232388
130.0,1042,409.343285
150.0,947,504.188286
120.0,1369,506.964414
780.0,5329,518.668744
175.0,1552,521.742363
235.0,1697,525.728012
325.0,1745,529.580305
130.0,1051,542.006876
190.0,1258,544.72267
220.0,2102,549.579473
265.0,1860,554.108562
310.0,1806,557.993198
325.0,2064,562.821675
385.0,2406,567.787702
900.0,3410,581.254032
500.0,2969,588.191342
580.0,2567,593.338221
520.0,2457,599.393649
1000.0,3046,621.881682
355.0,2730,627.456185
110.0,1681,630.867647
480.0,3195,637.689495
280.0,1457,640.945561
680.0,3168,647.621397
1020.0,3390,667.506239
385.0,2421,672.233078
1080.0,3873,680.601784
355.0,2079,684.716234
30.0,569,685.851534
100.0,1087,696.202687
340.0,2717,702.519814
280.0,1766,706.192484
680.0,3097,712.871261
175.0,1181,715.155927
370.0,2654,720.601933
60.0,955,722.563303
660.0,3574,740.198633
355.0,2318,745.016579
150.0,1742,748.694476
30.0,513,749.757829
100.0,685,751.087408
130.0,774,753.008413
150.0,1925,756.913925
370.0,2622,770.669066
355.0,1849,774.622885
440.0,2620,780.284777
175.0,1552,783.708857
460.0,2932,789.772137
250.0,2212,795.070871
295.0,3231,811.480754
60.0,587,812.601006
325.0,2179,817.041549
520.0,2381,821.786908
1540.0,4384,831.428685
265.0,1883,844.018511
80.0,830,845.836172
385.0,3002,852.030659
250.0,1883,855.572903
370.0,3400,862.864918
580.0,27836,992.95353
110.0,1247,995.313401
265.0,2779,1001.045888
50.0,382,1001.92398
220.0,1208,1004.357015
420.0,3364,1012.756212
175.0,1553,1016.231945
370.0,2382,1032.723224
310.0,2876,1039.633126
280.0,2090,1043.876193
295.0,5077,1055.231199
370.0,2834,1074.249172
1120.0,3923,1082.268223
660.0,3773,1090.156433
1200.0,5027,1115.555342
520.0,2501,1120.776412
1740.0,5629,1132.051573
1660.0,6048,1159.017669
2160.0,4903,1169.559728
1240.0,4544,1179.77758
235.0,1841,1194.103019
660.0,3308,1201.727777
340.0,2609,1207.54446
780.0,3182,1214.120619
370.0,2216,1218.573884
325.0,3406,1237.190675
90.0,1097,1239.406982
265.0,1356,1241.992117
370.0,1862,1246.000473
325.0,3194,1252.844241
220.0,1351,1255.801991
325.0,2198,1271.821229
385.0,2846,1278.16661
700.0,2921,1285.01664
1620.0,3955,1294.649463
1300.0,3524,1316.794257
355.0,2597,1322.052319
310.0,2408,1326.78252
250.0,1791,1330.709909
385.0,2569,1335.682402
220.0,1565,1338.891624
110.0,1280,1341.753527
250.0,1913,1357.98708
190.0,1881,1361.962879
680.0,3269,1368.610717
250.0,1592,1371.797155
1020.0,3848,1380.624353
1280.0,4041,1403.378546
355.0,2279,1408.062008
355.0,3497,1415.459975
235.0,1937,1419.4843
340.0,2730,1441.853012
1160.0,4291,1450.817904
355.0,3043,1457.609156
1040.0,4856,1477.212976
140.0,1315,1480.338546
265.0,1882,1484.150062
355.0,2265,1489.169517
1600.0,4720,1499.360941
480.0,2629,1513.617543
1160.0,2325,1518.134966
400.0,2069,1522.325609
1460.0,3629,1529.836882
420.0,3203,1536.670496
265.0,2253,1554.992133
620.0,2661,1560.93312
130.0,868,1562.822474
340.0,2440,1568.055482
310.0,4475,1577.322461
385.0,2694,1595.351871
280.0,2159,1599.808086
560.0,3127,1606.320938
385.0,2610,1611.585203
1020.0,2824,1617.730626
385.0,2440,1631.016538
385.0,2996,1637.401484
580.0,3197,1644.57822
355.0,1629,1648.034831
1000.0,3366,1667.640358
295.0,1628,1670.926776
680.0,3798,1678.873328
150.0,1176,1681.226884
190.0,1688,1684.698455
560.0,2655,1690.244774
520.0,3518,1709.768811
460.0,2921,1715.916855
700.0,2854,1722.334596
740.0,3539,1730.432337
205.0,1717,1733.899613
640.0,3427,1758.654917
130.0,1378,1761.912819
1020.0,5379,1774.27585
1340.0,2917,1797.083066
340.0,2671,1803.077278
355.0,3964,1812.103424
660.0,3165,1819.05916
1100.0,3351,1844.359268
540.0,3304,1851.078799
310.0,2097,1855.492325
340.0,1792,1859.055986
1520.0,4471,1869.388957
420.0,2838,1967.83117
1040.0,3825,1976.093462
1500.0,11959,2017.305306
1140.0,3047,2023.878434
1160.0,4414,2033.060985
1340.0,6868,2068.230875
1660.0,28589,2173.690348
1080.0,4022,2203.933059
1240.0,3703,2212.815659
2865.0,4737,2223.995319
1640.0,4065,2247.615375
325.0,2229,2252.746096
620.0,4910,2264.001159
1080.0,4778,2290.454724
840.0,3498,2298.906791
385.0,3354,2306.917012
540.0,2455,2312.262866
460.0,2344,2317.846911
580.0,2873,2335.24838
250.0,1328,2338.499459
1020.0,3395,2345.974557
500.0,3506,2354.589792
340.0,2526,2373.289227
370.0,2741,2379.466406
1100.0,2758,2385.709965
2025.0,5222,2397.48381
1620.0,4623,2424.18591
1260.0,3226,2431.556871
250.0,1938,2436.085724
720.0,2085,2441.469964
1340.0,3698,2462.945575
1480.0,3591,2470.79971
1240.0,3687,2479.136378
600.0,2847,2485.922276
2500.0,4430,2509.604051
1340.0,3812,2519.230726
310.0,2228,2524.640633
190.0,1570,2528.36516
340.0,3480,2553.158472
1760.0,4491,2563.454812
370.0,1719,2567.29834
1300.0,4738,2577.866345
2040.0,4308,2612.870039
420.0,2966,2618.966964
540.0,2798,2625.185094
780.0,3493,2632.888967
1260.0,4089,2662.978279
6595.0,10683,2697.639111
1520.0,4018,2706.305634
3270.0,6971,2747.564002
3630.0,6101,2760.895365
3100.0,6459,2775.114627
3505.0,6550,2814.419496
640.0,3735,2823.365602
520.0,2098,2828.437488
370.0,2811,2853.880518
1200.0,3732,2862.644144
1360.0,4007,2872.702366
520.0,3381,2898.927467
1400.0,4264,2908.462729
250.0,2626,2914.400988
1320.0,4352,2925.293692
1460.0,4819,2952.637007
340.0,2788,2959.335077
235.0,2378,2965.386466
840.0,3894,2987.854941
310.0,2132,2993.121727
1140.0,3489,3001.616304
800.0,3537,3010.00797
160.0,1093,3013.011845
460.0,23841,3196.449819
80.0,615,3197.893727
110.0,867,3200.250506
1460.0,3008,3213.072801
175.0,1549,3216.913594
20.0,252,3217.670868
160.0,1973,3222.407216
190.0,2256,3228.365126
235.0,4300,3239.062194
295.0,3377,3255.195359
295.0,1980,3260.266165
70.0,547,3261.426422
520.0,2608,3267.300376
205.0,1783,3271.680786
100.0,805,3273.836208
190.0,1349,3276.927722
280.0,1784,3281.546964
370.0,2364,3298.594079
130.0,1185,3301.291215
295.0,2690,3307.397485
60.0,575,3308.749386
385.0,1889,3313.640144
1760.0,5735,3337.882984
780.0,2948,3344.757419
