#{"t_start": 1680702621.9028978, "env_id": "Freeway-v4"}
r,l,t
31.0,2729,10.765523
30.0,2737,17.450829
32.0,2721,24.036038
32.0,2711,30.981156
31.0,2729,52.624282
32.0,2748,59.249644
32.0,2757,66.226154
32.0,2724,72.841837
32.0,2727,79.820636
32.0,2742,102.913465
32.0,2729,109.83101
31.0,2732,116.743285
32.0,2717,123.683968
32.0,2733,146.489771
31.0,2716,153.115695
32.0,2711,160.011927
32.0,2727,167.325146
30.0,2732,174.153509
32.0,2746,196.090489
31.0,2745,203.467138
32.0,2704,210.361578
32.0,2730,217.268037
32.0,2723,224.117914
30.0,2737,246.648443
31.0,2741,253.580474
31.0,2696,260.422081
31.0,2751,267.74989
32.0,2734,290.371339
32.0,2729,297.692941
32.0,2732,305.144171
32.0,2730,377.664176
32.0,2738,385.531472
32.0,2732,409.245138
31.0,2745,417.01392
31.0,2716,425.017488
31.0,2737,432.462597
31.0,2719,455.994753
31.0,2732,464.564858
32.0,2726,473.484053
32.0,2752,482.079553
31.0,2752,489.598993
32.0,2735,514.887665
32.0,2749,523.894272
31.0,2718,532.082481
31.0,2724,539.652438
31.0,2727,547.455685
32.0,2738,571.599834
32.0,2757,579.84451
32.0,2735,588.212384
31.0,2697,595.98723
31.0,2713,621.363531
31.0,2737,628.636354
32.0,2762,637.160189
31.0,2724,645.291025
32.0,2715,653.428821
32.0,2767,678.96617
32.0,2703,686.329985
31.0,2743,693.608277
32.0,2741,701.598702
31.0,2734,726.781128
32.0,2719,734.980889
32.0,2731,742.496632
32.0,2729,749.534598
32.0,2749,757.393779
32.0,2727,784.246074
32.0,2722,792.420758
32.0,2739,799.595177
32.0,2719,806.814706
32.0,2753,833.293393
32.0,2740,841.845613
31.0,2738,849.165297
31.0,2734,856.905459
31.0,2745,864.671751
32.0,2727,889.919476
31.0,2727,898.777856
32.0,2738,906.211132
30.0,2722,913.431227
31.0,2720,921.360898
31.0,2737,948.494951
32.0,2739,956.54512
32.0,2767,964.314224
31.0,2731,971.718524
31.0,2719,996.400865
30.0,2724,1004.555488
32.0,2745,1012.413554
30.0,2722,1019.16748
32.0,2775,1026.722651
32.0,2730,1052.28517
31.0,2737,1060.25878
31.0,2756,1067.579251
29.0,2741,1074.993739
31.0,2743,1098.873232
32.0,2746,1107.157648
31.0,2723,1115.398503
30.0,2730,1123.163033
32.0,2761,1130.484156
31.0,2730,1155.221811
32.0,2737,1163.138699
32.0,2724,1170.488054
32.0,2743,1178.347531
30.0,2706,1186.113468
31.0,2733,1211.201166
31.0,2754,1218.806788
31.0,2750,1226.574007
32.0,2713,1235.070674
32.0,2750,1259.325284
32.0,2740,1267.619889
31.0,2715,1274.870887
32.0,2732,1283.008237
31.0,2725,1291.542134
31.0,2739,1316.092094
31.0,2747,1323.56475
31.0,2759,1331.354794
31.0,2736,1339.892772
32.0,2741,1364.99344
32.0,2752,1373.571982
31.0,2752,1381.03764
32.0,2715,1389.321507
32.0,2723,1398.535769
32.0,2715,1422.98945
31.0,2726,1430.469177
32.0,2761,1438.19347
32.0,2729,1446.711107
32.0,2740,1455.741402
32.0,2747,1480.929079
32.0,2737,1489.3168
31.0,2719,1497.289365
32.0,2729,1506.021131
32.0,2752,1530.411961
32.0,2710,1538.227473
32.0,2745,1545.839186
31.0,2740,1554.614247
31.0,2766,1563.097511
32.0,2722,1587.218403
32.0,2734,1595.170005
32.0,2729,1603.384238
32.0,2725,1611.871682
31.0,2738,1636.907199
31.0,2740,1644.762078
31.0,2729,1653.302947
32.0,2726,1662.231304
32.0,2730,1670.795384
30.0,2740,1694.954249
32.0,2702,1703.075499
32.0,2732,1711.519391
31.0,2738,1719.812697
31.0,2735,1728.187214
30.0,2704,1752.664187
29.0,2745,1760.454983
32.0,2751,1769.304284
32.0,2720,1778.225617
30.0,2744,1802.565306
32.0,2721,1809.449929
31.0,2747,1818.039339
32.0,2725,1826.480516
31.0,2737,1834.474988
32.0,2728,1858.810194
31.0,2700,1866.215177
32.0,2737,1874.197671
30.0,2730,1882.889177
32.0,2742,1908.067667
32.0,2738,1915.037669
31.0,2733,1922.343298
31.0,2752,1930.826397
32.0,2732,1939.752246
31.0,2736,1964.718554
32.0,2764,1971.945708
31.0,2735,1979.998851
31.0,2724,1988.542429
31.0,2747,1997.456525
32.0,2716,2021.783953
32.0,2753,2029.194071
31.0,2731,2036.739633
31.0,2747,2045.780777
32.0,2725,2070.637247
31.0,2728,2077.69678
32.0,2724,2085.367734
32.0,2722,2093.004879
32.0,2740,2101.601439
32.0,2729,2125.804667
32.0,2739,2133.296612
32.0,2715,2140.552199
32.0,2744,2148.17573
32.0,2727,2173.938209
32.0,2730,2181.431199
30.0,2721,2188.741931
32.0,2717,2196.396037
32.0,2744,2203.905243
32.0,2754,2229.118916
32.0,2736,2236.946755
31.0,2708,2244.592513
32.0,2751,2252.101108
32.0,2723,2260.812667
32.0,2723,2285.54038
31.0,2751,2293.392818
30.0,2734,2301.102484
32.0,2712,2309.260221
28.0,2737,2334.022412
31.0,2718,2341.928612
32.0,2736,2351.079268
31.0,2758,2358.580681
32.0,2738,2365.946939
31.0,2730,2391.15473
31.0,2724,2399.277561
32.0,2725,2407.806621
31.0,2722,2415.455457
32.0,2749,2439.67467
32.0,2747,2447.342938
31.0,2744,2456.294167
32.0,2719,2464.486974
32.0,2738,2472.099373
30.0,2765,2495.92406
31.0,2733,2504.191252
31.0,2752,2512.431855
32.0,2711,2520.560928
32.0,2745,2528.885085
32.0,2726,2552.17249
29.0,2734,2560.8378
31.0,2720,2569.965269
31.0,2737,2578.237466
32.0,2724,2601.617615
31.0,2751,2610.082444
32.0,2755,2618.596203
32.0,2750,2626.79771
32.0,2713,2635.555145
32.0,2719,2659.00389
31.0,2717,2667.811725
32.0,2752,2676.663006
32.0,2748,2685.052599
32.0,2748,2708.809297
32.0,2732,2717.430955
32.0,2715,2725.840091
31.0,2722,2734.178966
31.0,2746,2742.517716
33.0,2715,2766.379364
32.0,2742,2774.935215
31.0,2725,2783.600425
32.0,2761,2792.181018
32.0,2723,2800.483554
32.0,2764,2824.212053
32.0,2744,2833.390671
32.0,2731,2842.262461
32.0,2754,2851.130948
31.0,2722,2875.58218
32.0,2731,2883.674969
32.0,2734,2891.924847
31.0,2741,2900.824715
32.0,2739,2909.164977
32.0,2741,2932.910784
32.0,2714,2941.719642
32.0,2725,2950.288548
31.0,2709,2958.764122
31.0,2737,2983.250668
31.0,2729,2991.395699
32.0,2748,2999.886138
32.0,2764,3008.276311
32.0,2762,3017.32114
32.0,2708,3041.125788
32.0,2718,3048.864341
32.0,2748,3057.713611
32.0,2739,3066.533453
32.0,2732,3091.053948
32.0,2741,3098.787313
31.0,2743,3106.899399
32.0,2736,3115.25992
31.0,2741,3124.126229
31.0,2729,3148.721625
31.0,2727,3155.956994
31.0,2714,3164.39564
32.0,2736,3172.945572
31.0,2739,3181.898355
32.0,2736,3207.093248
32.0,2734,3214.394477
31.0,2718,3222.499514
31.0,2718,3230.806222
32.0,2734,3255.608943
32.0,2724,3263.010674
32.0,2734,3270.306574
32.0,2707,3278.972067
31.0,2748,3287.509938
32.0,2734,3311.705315
31.0,2756,3320.292876
32.0,2729,3327.896652
31.0,2726,3336.238234
32.0,2736,3360.74961
31.0,2730,3369.809958
32.0,2717,3377.884041
32.0,2738,3385.837132
31.0,2709,3394.82173
32.0,2739,3420.031829
32.0,2745,3427.546671
31.0,2701,3435.268671
32.0,2740,3443.049354
32.0,2739,3451.141438
31.0,2728,3477.357478
32.0,2736,3485.302999
32.0,2719,3492.900084
32.0,2708,3500.882749
32.0,2752,3525.366
31.0,2749,3533.832218
31.0,2750,3541.621961
32.0,2746,3549.425961
32.0,2741,3557.450374
32.0,2735,3582.017535
30.0,2737,3591.099594
32.0,2714,3599.47324
31.0,2724,3607.133183
30.0,2735,3632.060916
32.0,2740,3640.602446
31.0,2724,3648.310055
31.0,2728,3655.838262
31.0,2759,3663.628595
32.0,2733,3688.187502
32.0,2734,3696.58918
31.0,2738,3704.82867
32.0,2725,3712.952947
31.0,2754,3720.497991
31.0,2744,3745.407722
32.0,2725,3754.021701
32.0,2746,3761.746984
29.0,2746,3769.473897
32.0,2735,3792.79971
31.0,2731,3801.102774
31.0,2732,3810.054836
32.0,2731,3817.782284
30.0,2715,3825.161765
32.0,2713,3849.262456
31.0,2729,3858.037478
32.0,2736,3866.202732
32.0,2742,3873.740854
31.0,2756,3897.960454
32.0,2718,3906.332652
32.0,2709,3914.862403
32.0,2725,3923.493235
31.0,2721,3931.061965
32.0,2735,3954.636559
32.0,2746,3963.061372
31.0,2728,3971.670615
32.0,2719,3980.037254
32.0,2761,3987.831598
31.0,2771,4012.337276
32.0,2730,4020.640865
31.0,2724,4029.809536
31.0,2757,4038.084838
31.0,2728,4061.40898
32.0,2727,4070.055004
32.0,2746,4078.623094
32.0,2744,4087.285232
32.0,2730,4095.869601
32.0,2736,4119.992393
31.0,2720,4128.678779
32.0,2736,4137.2992
32.0,2727,4145.843196
32.0,2750,4168.911226
31.0,2759,4177.345695
32.0,2735,4186.237156
32.0,2743,4194.740534
32.0,2721,4202.49654
32.0,2741,4226.451375
32.0,2729,4234.738034
30.0,2721,4243.158657
31.0,2760,4251.86961
31.0,2700,4259.427137
32.0,2751,4283.715372
31.0,2713,4292.593712
32.0,2735,4301.031497
32.0,2693,4308.47779
32.0,2703,4332.088069
32.0,2727,4340.656448
32.0,2723,4349.329872
32.0,2742,4357.701924
32.0,2720,4365.658416
32.0,2737,4389.981296
32.0,2707,4398.027838
31.0,2727,4406.748483
32.0,2720,4415.111881
31.0,2708,4440.572667
31.0,2743,4448.594561
32.0,2729,4457.011212
31.0,2738,4465.233781
33.0,2720,4472.84646
32.0,2744,4498.920017
31.0,2755,4507.168502
32.0,2723,4515.273378
32.0,2752,4523.995679
31.0,2730,4532.573483
30.0,2734,4558.331568
30.0,2737,4566.487785
31.0,2750,4574.717951
33.0,2734,4583.423748
32.0,2745,4609.887822
32.0,2744,4618.688667
31.0,2721,4626.347705
31.0,2729,4634.407917
32.0,2723,4642.968663
32.0,2739,4669.494666
32.0,2753,4677.922695
32.0,2707,4686.315762
31.0,2734,4693.941866
32.0,2739,4720.066755
31.0,2742,4729.330619
32.0,2718,4737.73401
32.0,2756,4745.486406
31.0,2740,4753.242388
32.0,2739,4779.63249
32.0,2749,4788.106202
31.0,2728,4796.89772
31.0,2737,4804.491133
32.0,2759,4812.311273
31.0,2742,4839.219548
32.0,2738,4847.296823
30.0,2729,4855.040909
29.0,2727,4862.742337
32.0,2759,4888.387854
32.0,2729,4896.496103
32.0,2729,4903.855029
32.0,2736,4911.814692
30.0,2740,4919.419822
32.0,2723,4944.516227
32.0,2720,4952.530121
32.0,2728,4959.396343
31.0,2725,4966.615267
31.0,2725,4991.249407
30.0,2724,5000.839629
32.0,2729,5008.462518
32.0,2738,5015.661476
32.0,2743,5023.540512
32.0,2732,5048.913862
31.0,2725,5057.259231
30.0,2737,5064.634738
32.0,2742,5071.738504
32.0,2722,5080.343233
31.0,2698,5105.65772
32.0,2749,5114.044649
31.0,2716,5121.352479
32.0,2725,5128.401671
31.0,2719,5154.019629
32.0,2740,5162.099155
32.0,2715,5169.475358
31.0,2742,5176.860214
32.0,2755,5184.591746
31.0,2710,5210.089614
32.0,2732,5218.396531
31.0,2709,5226.115403
32.0,2730,5233.369381
32.0,2730,5257.682865
31.0,2719,5266.55793
31.0,2723,5274.351444
32.0,2713,5281.465155
32.0,2717,5289.440763
32.0,2714,5314.184121
31.0,2735,5322.640685
31.0,2742,5330.347698
32.0,2750,5337.985002
31.0,2738,5345.569815
32.0,2726,5370.774739
32.0,2722,5379.412172
31.0,2706,5387.310505
32.0,2757,5394.503939
30.0,2714,5419.212326
32.0,2731,5427.822009
31.0,2715,5435.225113
32.0,2719,5443.482111
32.0,2736,5452.060658
31.0,2746,5478.016309
31.0,2754,5486.295125
31.0,2711,5494.276837
32.0,2739,5502.091454
32.0,2710,5526.914324
30.0,2742,5535.869085
32.0,2734,5543.450348
31.0,2714,5551.252416
30.0,2720,5559.498398
31.0,2705,5584.339044
32.0,2746,5592.888673
32.0,2712,5600.502079
31.0,2724,5608.335283
32.0,2716,5616.506499
31.0,2749,5640.778001
32.0,2702,5649.247896
32.0,2745,5657.681146
32.0,2716,5665.490593
32.0,2725,5690.091748
32.0,2728,5699.007366
30.0,2739,5707.280082
31.0,2721,5714.835686
32.0,2740,5723.628763
32.0,2728,5747.825606
31.0,2726,5755.688628
32.0,2734,5763.092239
32.0,2734,5771.367499
30.0,2746,5796.427521
31.0,2710,5804.201962
32.0,2729,5812.121802
32.0,2736,5820.697683
32.0,2735,5829.04652
32.0,2728,5854.012033
32.0,2717,5861.184307
31.0,2742,5868.539655
31.0,2740,5876.387435
32.0,2717,5885.175875
32.0,2725,5909.695866
31.0,2762,5916.899105
32.0,2734,5924.652027
32.0,2717,5933.305885
32.0,2723,5958.246168
32.0,2746,5966.043718
32.0,2741,5973.33925
32.0,2716,5980.956175
32.0,2724,5989.887936
32.0,2740,6014.548067
31.0,2741,6021.570229
31.0,2725,6028.742618
31.0,2755,6037.40302
31.0,2726,6063.115064
32.0,2739,6070.724615
31.0,2721,6078.159613
31.0,2743,6085.315165
32.0,2729,6093.999961
32.0,2715,6119.609472
32.0,2724,6126.978318
32.0,2739,6134.068404
32.0,2725,6142.172912
32.0,2731,6150.784436
