#{"t_start": 1680732843.3448923, "env_id": "Frostbite-v4"}
r,l,t
8640.0,2230,10.078428
8400.0,2272,15.541601
2780.0,1422,18.924546
4820.0,1714,22.843337
8800.0,2230,28.260256
8850.0,2196,33.672048
8750.0,2196,49.353919
8350.0,2123,54.394364
8550.0,2226,59.885894
3430.0,1435,62.999566
8830.0,2205,68.510706
8170.0,2260,73.614682
8650.0,2269,88.906908
7960.0,2244,93.943474
9180.0,2226,99.47223
9060.0,2272,104.534268
8760.0,2238,109.521569
8790.0,2128,114.346884
8700.0,2300,129.663574
8650.0,2248,135.094514
8830.0,2196,140.062622
8510.0,2151,144.95742
8860.0,2189,149.887279
8760.0,2215,154.88487
2770.0,1290,168.627234
8590.0,2178,173.817095
9250.0,2197,178.776028
7970.0,2162,183.635261
8830.0,2176,188.594492
8280.0,2201,193.584875
8800.0,2214,208.552893
9140.0,2187,213.996613
8630.0,2143,219.289728
8820.0,2157,224.538127
8390.0,2084,229.620438
8970.0,2194,234.936319
8500.0,2149,249.533381
8070.0,2183,254.42762
8750.0,2228,259.392939
8190.0,2135,264.167344
8650.0,2180,268.989371
8930.0,2225,274.321177
8340.0,2188,289.01235
7980.0,2195,293.905506
8660.0,2237,298.934327
8950.0,2164,304.201667
9020.0,2274,310.246976
8040.0,2148,315.361087
8520.0,2131,330.798789
8580.0,2192,335.990402
8460.0,2158,341.18418
8640.0,2203,346.317326
8770.0,2167,351.473463
7880.0,2104,356.50711
8810.0,2209,372.755824
4690.0,1578,377.180673
8850.0,2188,382.977673
8780.0,2221,389.024608
8250.0,2100,394.137919
5850.0,2093,399.427041
8640.0,2149,415.71575
8810.0,2264,421.131682
8780.0,2138,426.298846
8350.0,2135,431.500647
8560.0,2151,436.849022
2660.0,1412,440.719424
8740.0,2240,458.278959
9060.0,2158,464.129292
8830.0,2234,469.633778
2480.0,1384,473.258145
8620.0,2098,478.975523
8630.0,2292,485.365457
8800.0,2113,491.214442
8610.0,2187,508.273314
8870.0,2218,514.480243
5490.0,1871,519.946243
8760.0,2266,526.281504
8760.0,2178,532.664627
8600.0,2192,538.558015
8640.0,2256,556.139964
8570.0,2152,561.940016
8450.0,2106,567.626146
8720.0,2332,574.355722
8790.0,2156,580.791466
8590.0,2294,599.668674
8480.0,2155,606.038094
8780.0,2203,612.530207
8760.0,2254,619.205123
8860.0,2177,625.813394
8930.0,2218,632.206667
8930.0,2268,650.430389
8590.0,2311,656.903178
8400.0,2107,663.057584
8940.0,2170,669.535375
8720.0,2160,675.952417
8730.0,2169,682.00444
