#{"t_start": 1680678859.0604088, "env_id": "Krull-v4"}
r,l,t
1470.0,1966,8.108335
1890.0,1988,12.849421
1960.0,2204,18.084552
2170.0,2021,22.985214
2460.0,2876,30.116993
1330.0,2294,46.294138
2130.0,1987,51.606637
1720.0,2154,57.076488
2220.0,2007,62.348747
1800.0,1672,66.532047
2030.0,1838,70.744005
1030.0,1540,74.361259
2030.0,1653,88.687136
1850.0,1909,93.93899
2100.0,1925,98.88029
1620.0,1690,103.249085
2310.0,1971,108.687411
1780.0,1933,113.409225
1710.0,1646,118.066505
2530.0,1796,130.830471
2420.0,2025,136.321553
1700.0,1490,140.293265
1820.0,1948,145.323362
2030.0,2714,153.329556
1490.0,1710,158.247551
2310.0,1897,163.947255
600.0,1004,178.326933
1760.0,1926,183.792523
1790.0,1954,189.612529
2220.0,1951,195.205659
1490.0,1494,200.004261
2040.0,1959,206.394902
2070.0,1956,212.658682
2060.0,2060,230.453704
1840.0,2037,235.631563
1720.0,1687,240.422222
1030.0,1463,244.116044
1600.0,1810,249.648883
1600.0,1657,254.423746
2370.0,1982,260.390566
800.0,1013,263.257459
2070.0,1976,279.830266
1650.0,1829,284.99229
2250.0,3228,294.287024
1590.0,1299,298.52477
2330.0,2145,305.101669
1550.0,1433,309.127575
2290.0,2037,326.505265
1280.0,1342,330.28829
2220.0,1946,335.504415
2210.0,1729,340.813865
1610.0,1818,346.170879
1720.0,1662,351.177548
1140.0,1420,355.726257
2490.0,2695,375.422852
1370.0,1438,379.417591
2570.0,1965,385.281353
1750.0,2259,392.095463
2740.0,2004,398.470239
1650.0,1466,403.275271
1560.0,1814,409.029907
2540.0,2439,427.699613
2230.0,1934,433.001482
1240.0,1170,436.913854
1500.0,1442,441.010943
2480.0,1990,447.540426
2130.0,1679,452.686915
970.0,1135,456.105939
2630.0,1948,462.32569
3140.0,2686,481.46312
1930.0,1777,486.623313
3340.0,1954,492.126946
2120.0,1935,497.988222
2820.0,1959,503.940264
2150.0,1689,509.050808
1760.0,1569,526.668827
2300.0,1784,531.61136
2720.0,1995,537.015307
2640.0,1803,541.983577
1920.0,1446,545.616685
3240.0,1987,551.902052
3000.0,1944,557.952091
2320.0,1681,575.056386
1720.0,1384,579.052835
3250.0,1991,584.22293
2080.0,1636,588.743813
3450.0,1913,594.101897
3170.0,1852,599.651252
2730.0,1905,605.025527
2970.0,1995,620.641531
1910.0,1458,624.65843
3030.0,2009,630.142251
3060.0,2003,635.443996
2630.0,1694,639.762257
3100.0,1974,645.482756
2410.0,1458,649.719998
3020.0,1901,655.478583
2890.0,1763,671.465937
2980.0,1775,677.045242
3020.0,1935,682.22535
