#{"t_start": 1678317313.4714482, "env_id": "MsPacman-v4"}
r,l,t
2030.0,1208,7.010882
870.0,1555,10.898441
1220.0,987,13.386855
1090.0,1570,17.190582
1180.0,992,19.627329
1130.0,986,21.600217
1140.0,913,23.863113
1080.0,1062,26.36053
1180.0,1194,29.105648
770.0,891,31.329152
1140.0,894,33.536727
1140.0,878,40.850762
970.0,1153,43.588457
1180.0,972,45.969472
1140.0,905,47.835629
1080.0,1010,50.286308
1050.0,817,52.444304
1200.0,934,54.911767
1050.0,858,56.732896
1140.0,897,58.995722
1100.0,971,61.426677
1370.0,948,64.006854
1140.0,889,65.827649
1100.0,1016,68.288946
1150.0,834,70.461798
1140.0,889,77.96918
1140.0,906,80.334773
1190.0,1051,82.946712
1130.0,985,85.59957
1290.0,1398,89.317127
1350.0,1085,92.245792
1320.0,883,94.309747
1350.0,1130,97.780835
1320.0,859,99.659203
1490.0,1474,103.33002
1570.0,1402,106.855587
1570.0,1158,115.177794
2150.0,1456,119.058767
1390.0,958,121.614822
1310.0,849,123.502434
1340.0,954,126.010899
2110.0,1208,128.984212
1650.0,1632,133.131445
2020.0,1310,136.458032
1300.0,887,138.710108
1490.0,1325,141.721861
2160.0,1191,144.731646
1270.0,967,154.55936
1040.0,931,157.208502
1820.0,1458,161.378646
1970.0,1316,164.738698
1150.0,981,167.442249
1720.0,1395,171.314641
1990.0,1297,174.434027
2450.0,1233,177.73684
2050.0,1543,181.525939
1310.0,958,184.143734
1370.0,1131,187.170359
3040.0,1156,197.418476
2200.0,1127,200.409622
2110.0,1108,203.30913
1910.0,1289,207.05483
1450.0,945,209.761904
1960.0,1770,214.161884
2020.0,1400,218.16756
1250.0,960,220.28886
1030.0,1047,223.017993
1860.0,1148,226.41178
1140.0,877,228.5163
960.0,794,237.259703
2270.0,1128,240.255261
1770.0,892,242.953312
2150.0,1321,246.614644
1230.0,952,249.521771
2240.0,1292,253.286186
3140.0,1410,256.631869
1850.0,942,259.471151
1250.0,1002,262.402554
2480.0,1167,265.45553
1870.0,1329,269.295604
1590.0,1164,278.916762
1250.0,1302,282.417699
1270.0,1330,286.519667
950.0,892,289.19386
1050.0,851,291.171305
1850.0,1252,294.846959
1700.0,1291,298.23191
1640.0,1119,301.324557
1940.0,1171,305.081369
1690.0,2014,311.287384
960.0,921,313.451203
1180.0,848,323.184865
1780.0,1318,326.875939
1630.0,1256,330.717962
1700.0,1227,334.103674
1340.0,1065,337.013333
1230.0,993,340.023336
1290.0,1125,343.265157
1870.0,1132,346.473873
1230.0,1052,349.534434
1220.0,974,352.311738
1310.0,835,354.74138
1310.0,866,356.695489
960.0,741,364.763259
1610.0,1139,367.989246
