#{"t_start": 1678713145.921453, "env_id": "Asterix-v4"}
r,l,t
2900.0,2809,10.387058
2000.0,2905,16.897429
2150.0,2481,22.196131
2150.0,2888,28.615908
2050.0,2149,43.221564
2050.0,2460,48.687283
850.0,838,50.580808
1050.0,1261,53.013973
2150.0,2370,58.510412
2300.0,3141,65.700728
1850.0,2390,78.978817
1000.0,1085,81.417742
450.0,570,82.666782
2050.0,2791,89.150722
950.0,1080,91.536707
1200.0,1205,94.153888
2000.0,2480,100.364393
1700.0,1940,104.688601
750.0,597,105.916844
1450.0,1767,119.459233
2100.0,2071,124.457276
2150.0,1991,129.074885
1350.0,1669,132.798595
2150.0,2486,138.351446
600.0,801,140.258122
2200.0,2141,144.845737
500.0,554,153.136615
2400.0,2632,159.26399
2300.0,2630,165.285806
1750.0,1920,169.832625
1850.0,1948,174.476004
1350.0,1817,178.200748
1700.0,1741,194.352466
2400.0,3744,203.983249
2600.0,2621,210.276688
2350.0,2439,216.167325
2350.0,2397,221.506141
2500.0,2364,240.130444
1250.0,1264,242.981782
2450.0,2813,250.128801
1100.0,1239,252.941344
2500.0,2941,259.945127
2700.0,2749,266.270228
2600.0,3138,286.012251
2800.0,2972,293.170908
2800.0,3184,300.802027
2500.0,2732,308.409353
1600.0,1817,321.783684
1350.0,1895,326.9155
2200.0,2303,332.19351
2200.0,2782,338.951924
400.0,455,340.190865
2050.0,2299,346.467213
2150.0,2570,359.938609
2350.0,2610,366.806626
2100.0,2745,373.669785
2450.0,3224,381.742262
2350.0,2579,388.328652
2300.0,2769,405.726672
1550.0,1911,410.690789
1350.0,1434,415.077227
1700.0,1897,420.41401
1900.0,2579,427.324317
2250.0,2813,447.978007
2600.0,3014,456.362122
3200.0,3063,464.114331
2400.0,2386,471.01447
1250.0,1556,475.258743
2600.0,2549,491.685988
1350.0,1596,496.007361
2450.0,2366,501.913422
1500.0,1913,507.200726
1500.0,1638,511.565181
250.0,282,512.497301
1100.0,1137,515.391727
1350.0,1505,519.314857
1450.0,1621,523.419688
1850.0,2259,540.588146
2400.0,2512,547.541273
1200.0,1467,551.53995
2300.0,2764,558.747843
1500.0,1566,562.455264
2600.0,2741,581.204278
2450.0,2780,588.222284
2450.0,3768,597.530214
2700.0,3058,604.690719
1600.0,2003,609.541157
2350.0,3033,628.693112
950.0,1481,632.615971
1100.0,948,635.198584
2250.0,2704,641.807456
2500.0,2865,648.164207
2150.0,2315,654.21791
2300.0,2772,673.040245
2250.0,2693,680.425007
2000.0,2345,685.733163
2050.0,2395,691.98663
2250.0,2379,697.562238
2150.0,2379,711.957831
1650.0,1838,716.408054
1700.0,1767,721.220138
1550.0,1770,725.445835
950.0,905,727.746674
2000.0,1877,732.617153
1150.0,1172,735.415964
1350.0,1677,746.931756
700.0,643,748.446703
1600.0,1731,753.299306
1550.0,1958,757.998101
350.0,397,759.080555
1500.0,1513,762.905681
1650.0,1906,767.521684
1450.0,1558,771.131664
1250.0,1199,773.739937
1200.0,1874,783.317477
650.0,595,784.688683
1100.0,1006,787.300793
1150.0,1170,790.074315
1200.0,1236,792.885663
550.0,579,794.301187
1250.0,1528,798.143172
1550.0,1631,802.550679
1250.0,1213,805.291576
1200.0,1669,809.07449
1650.0,1296,812.385209
1350.0,1186,820.805077
1100.0,1266,823.940539
1550.0,1267,827.447534
1150.0,1154,830.283908
1250.0,1069,832.965425
1050.0,1367,836.615756
1000.0,1195,839.384942
1300.0,1300,842.313063
1550.0,1405,845.798934
1700.0,1494,849.533961
950.0,1059,856.980144
850.0,683,858.497784
1350.0,1083,861.12412
1300.0,1085,863.743496
950.0,871,866.040422
1250.0,1060,868.667495
1550.0,1272,872.063079
900.0,722,873.738634
1250.0,1098,876.473365
1500.0,1110,879.20385
1050.0,1021,881.769424
1050.0,894,884.112556
900.0,975,890.180766
1150.0,893,891.994569
1450.0,1192,895.169515
750.0,678,896.779194
350.0,400,897.838716
1000.0,1063,900.527622
1150.0,1248,903.564351
1100.0,870,906.121857
1200.0,1100,908.771561
1300.0,1248,911.785415
850.0,799,914.14969
1350.0,1197,916.940893
1100.0,1169,919.827259
1100.0,958,926.478914
1050.0,949,928.778499
1350.0,1055,931.245353
1200.0,844,933.494326
950.0,900,935.479062
1150.0,1089,938.19935
850.0,845,940.468466
900.0,910,942.856801
400.0,518,944.175335
1300.0,1196,947.052109
900.0,588,948.401673
900.0,895,950.813894
1300.0,1011,953.418258
1200.0,800,955.129095
1100.0,860,957.454121
1150.0,794,962.566423
1000.0,848,964.818261
1050.0,907,966.986328
1050.0,886,968.658962
900.0,865,970.811535
750.0,735,972.391099
850.0,539,973.735281
850.0,892,976.095715
800.0,611,977.526874
800.0,720,979.773109
450.0,437,981.021148
900.0,801,982.796853
700.0,742,984.444952
750.0,654,986.394801
700.0,506,987.762387
850.0,767,989.4927
800.0,650,991.066035
900.0,732,993.221159
700.0,554,997.632717
1100.0,748,999.379805
850.0,742,1001.453669
1000.0,879,1003.225816
700.0,656,1004.713474
1000.0,840,1006.725477
700.0,737,1008.209713
800.0,601,1009.553027
1100.0,789,1011.631657
900.0,717,1013.197737
550.0,458,1014.372752
1000.0,565,1015.752258
700.0,557,1017.151634
600.0,474,1018.45581
600.0,603,1019.872152
400.0,400,1021.004302
650.0,539,1022.374082
600.0,531,1023.706154
600.0,552,1025.05485
700.0,548,1026.42415
1000.0,638,1030.468335
550.0,424,1031.625103
600.0,519,1033.00913
950.0,753,1035.136696
800.0,588,1036.566654
750.0,597,1037.978428
1300.0,809,1039.810119
900.0,638,1041.777295
750.0,525,1043.125858
700.0,451,1043.8337
700.0,488,1045.026876
600.0,510,1046.193142
600.0,421,1047.224868
700.0,554,1048.457785
650.0,548,1049.745589
750.0,597,1051.093729
550.0,508,1052.306851
650.0,426,1053.491479
550.0,410,1054.643364
950.0,677,1056.270283
950.0,526,1057.584328
700.0,430,1058.747129
750.0,593,1060.209733
500.0,382,1061.348363
350.0,550,1065.310584
350.0,389,1065.979743
550.0,510,1067.304108
1150.0,825,1069.611977
600.0,421,1070.823672
1000.0,809,1072.695941
900.0,582,1074.141183
300.0,409,1075.261691
400.0,382,1076.40646
350.0,407,1077.583332
800.0,542,1079.035296
750.0,618,1080.585084
750.0,685,1082.092932
550.0,429,1083.201652
550.0,546,1084.549373
850.0,635,1085.92232
400.0,360,1086.901949
900.0,660,1088.400494
1150.0,928,1090.742196
500.0,461,1091.893842
650.0,532,1093.149528
400.0,456,1094.326116
800.0,576,1095.755138
300.0,338,1096.32955
1000.0,1051,1101.510812
850.0,708,1103.622575
1150.0,658,1105.351245
650.0,453,1106.692824
600.0,528,1108.11808
650.0,512,1109.491654
1100.0,630,1110.995753
600.0,396,1111.67792
650.0,543,1113.286691
650.0,592,1115.164413
250.0,408,1115.837049
950.0,619,1117.769959
650.0,510,1119.069072
700.0,614,1120.574282
900.0,617,1122.029356
700.0,524,1123.291439
650.0,527,1124.551607
550.0,398,1125.612076
500.0,573,1126.850079
600.0,555,1128.052788
650.0,519,1129.233781
750.0,622,1130.63899
700.0,528,1131.959317
400.0,410,1132.6145
550.0,414,1137.172731
700.0,561,1138.595981
950.0,744,1140.714713
1100.0,1218,1143.780924
550.0,616,1145.251361
600.0,582,1146.63847
650.0,570,1148.012808
750.0,622,1149.426617
650.0,531,1150.729903
500.0,392,1151.826078
850.0,642,1153.338377
900.0,735,1155.494648
1000.0,631,1157.089612
650.0,479,1158.464327
550.0,484,1159.813269
550.0,561,1161.298739
1300.0,917,1163.775104
500.0,538,1165.103894
600.0,581,1166.403444
350.0,476,1167.522843
500.0,515,1168.712859
450.0,414,1171.669636
650.0,607,1173.544862
600.0,528,1174.910711
650.0,642,1176.493063
950.0,721,1178.26539
700.0,519,1179.64104
650.0,501,1180.951633
