#{"t_start": 1678595074.9942183, "env_id": "Breakout-v4"}
r,l,t
24.0,1209,7.050445
27.0,1386,10.339447
30.0,1067,13.049721
21.0,1003,15.555783
16.0,893,17.901996
15.0,825,19.669096
22.0,1070,22.293397
43.0,1678,26.543787
31.0,1250,29.954441
11.0,853,31.789443
30.0,1230,34.828814
31.0,1402,44.397164
23.0,962,46.834715
15.0,751,48.625816
20.0,1070,51.201351
28.0,1345,54.076353
15.0,859,56.172948
23.0,1093,58.748659
42.0,1412,62.323117
11.0,683,63.83328
12.0,742,65.406207
9.0,669,66.827142
35.0,1232,69.986292
3.0,353,70.450156
42.0,1275,73.554475
14.0,844,80.86368
16.0,700,82.438592
24.0,993,85.069849
26.0,1059,87.827576
28.0,1190,90.611923
28.0,1421,94.100252
12.0,773,95.75948
38.0,1358,99.428909
35.0,1293,102.867701
25.0,1105,105.764384
21.0,977,108.429226
23.0,917,110.549406
24.0,1084,113.526314
40.0,1532,123.464233
13.0,751,125.590302
32.0,1076,128.251362
25.0,1359,131.48408
11.0,692,133.077371
15.0,816,135.405113
13.0,862,137.351722
31.0,1284,141.003281
19.0,778,142.77948
36.0,1514,146.765385
12.0,763,148.500926
15.0,954,151.053855
25.0,1208,154.122645
17.0,1017,161.868641
17.0,1041,164.724347
25.0,1209,167.92725
39.0,1380,172.149313
20.0,1141,175.114909
23.0,972,177.509771
19.0,1132,180.647567
22.0,968,183.415098
25.0,1102,186.503675
28.0,1236,190.194608
14.0,809,192.18221
19.0,823,194.613732
21.0,1059,202.970289
29.0,1145,206.689381
23.0,1288,210.309059
19.0,1019,213.120521
18.0,1093,215.955474
18.0,948,218.158908
30.0,1368,222.111881
30.0,1304,225.506436
25.0,1087,228.422405
22.0,1016,231.216156
17.0,1053,234.048466
23.0,997,236.910485
18.0,911,245.891569
30.0,1389,249.672301
51.0,1549,254.241112
21.0,1067,257.218376
33.0,1596,261.697087
12.0,730,263.619417
16.0,854,266.354387
13.0,850,268.564794
18.0,869,271.189887
48.0,1569,275.527951
23.0,1027,278.445812
20.0,1032,281.638011
22.0,1164,290.514828
27.0,1248,293.98467
21.0,1107,297.063507
15.0,975,299.764466
38.0,1482,303.920514
31.0,1226,307.175436
17.0,1007,310.010445
14.0,930,312.224924
21.0,1220,315.659847
34.0,1243,318.974406
38.0,1437,323.283642
23.0,1098,331.302574
24.0,1190,334.6005
6.0,451,335.986032
17.0,868,338.246516
27.0,1178,341.378624
5.0,406,342.494548
32.0,1229,345.636492
25.0,1233,349.464387
34.0,1200,352.510852
31.0,1262,355.841768
19.0,970,358.851878
20.0,1013,361.720712
17.0,1084,364.673566
17.0,1095,372.458963
12.0,748,374.356226
28.0,1279,377.949761
21.0,1129,381.057438
21.0,1041,383.999839
25.0,892,386.4502
19.0,1045,389.056201
26.0,1277,392.162058
24.0,1063,395.109217
27.0,1130,398.228281
23.0,1027,401.293812
24.0,1174,404.511092
21.0,1044,407.424426
26.0,1150,416.44942
12.0,638,418.255363
16.0,955,421.130855
28.0,913,424.176041
25.0,1119,427.545451
20.0,969,429.773117
57.0,1878,435.404541
30.0,1517,440.127944
35.0,1280,443.891708
28.0,1080,447.215408
10.0,692,449.098749
20.0,1199,453.072682
16.0,801,461.003009
14.0,886,463.672018
27.0,1275,467.104998
21.0,1123,470.112071
27.0,1204,473.183801
10.0,653,474.791061
21.0,1109,477.771648
15.0,868,480.416239
23.0,1199,483.838844
30.0,1212,487.242292
16.0,1029,490.171592
21.0,1102,493.237509
33.0,1316,501.545092
27.0,1149,504.824083
26.0,1073,507.863075
25.0,1054,510.770209
22.0,843,512.773834
28.0,1281,516.426339
24.0,1207,519.559036
22.0,1163,522.704805
13.0,580,524.330294
24.0,1067,527.418688
9.0,615,529.023982
12.0,801,531.127009
9.0,689,533.355018
17.0,963,535.649339
10.0,719,538.016521
24.0,1015,546.356915
32.0,1083,549.261521
22.0,1051,552.117098
12.0,828,554.803042
10.0,654,556.6225
36.0,1429,561.101062
23.0,1018,563.501492
25.0,1053,566.623001
19.0,868,569.498326
