#{"t_start": 1678874928.9117486, "env_id": "DemonAttack-v4"}
r,l,t
3755.0,6977,21.037923
620.0,2368,26.556912
800.0,2685,32.792151
860.0,3097,62.640771
5760.0,7464,79.577802
1980.0,4550,106.551638
370.0,2243,112.067576
4540.0,6544,128.883679
3050.0,4916,160.488744
1240.0,3260,167.710835
1660.0,4333,177.111741
1880.0,4511,203.61205
3930.0,6898,220.547199
1880.0,4093,243.526203
2340.0,5008,255.164732
340.0,2141,259.780294
3725.0,6042,286.976259
325.0,1971,291.70577
4500.0,6408,307.29818
3575.0,4706,337.963119
2040.0,4052,347.145165
3055.0,5304,359.199141
310.0,2082,363.905056
2240.0,4708,402.115119
1800.0,3693,411.298591
1720.0,3670,420.33893
2870.0,4455,450.607323
4380.0,6228,464.271223
4370.0,6550,497.093629
1280.0,3685,505.998196
3125.0,5859,535.78781
205.0,1381,538.872535
1360.0,3152,545.661736
1060.0,2935,552.191135
3220.0,5551,581.709729
3265.0,5723,595.553866
660.0,2506,601.078
2510.0,4836,628.56169
1140.0,4517,639.049813
1480.0,4002,649.292761
385.0,1439,652.244184
1160.0,3873,677.312433
370.0,1987,681.254561
2860.0,5507,693.662611
2870.0,5306,723.807234
6340.0,6480,739.344779
2200.0,4107,748.861769
1940.0,3446,774.936371
3540.0,5648,787.100889
1600.0,4432,817.919774
960.0,3267,826.247595
600.0,2692,832.431073
1640.0,3688,840.736205
6040.0,6617,875.093847
1880.0,3660,884.238858
860.0,3099,891.432398
480.0,2516,917.16203
1380.0,3724,925.113048
520.0,2322,930.450609
1000.0,4371,939.871043
2655.0,4523,974.211555
4160.0,6819,991.147168
1220.0,3514,1019.542376
2855.0,5225,1031.403984
4260.0,5660,1043.747715
640.0,2802,1067.768111
4190.0,6819,1084.799423
1200.0,4090,1094.73765
520.0,2251,1114.804446
2740.0,4996,1125.317572
295.0,1365,1128.486568
3025.0,4813,1139.412046
4620.0,6878,1170.11753
4360.0,6539,1204.294263
1880.0,4531,1214.566285
460.0,2461,1219.834756
1440.0,3979,1229.281454
355.0,1668,1258.564497
1500.0,3767,1266.907763
1720.0,4226,1275.934221
1420.0,3614,1284.095939
6250.0,7361,1326.781573
2380.0,4474,1336.684705
420.0,2208,1362.124695
3950.0,7189,1379.436269
1800.0,3950,1388.74195
5680.0,7054,1430.094267
1880.0,4192,1439.564293
3265.0,5684,1470.744349
900.0,3474,1478.860385
6830.0,7386,1517.017873
3465.0,6257,1531.078974
1040.0,3309,1538.740682
4940.0,8095,1575.791339
1280.0,3490,1583.569443
520.0,2810,1590.148088
3590.0,5766,1618.407528
2685.0,5064,1629.478491
1160.0,2895,1654.847988
5120.0,6527,1670.520367
1900.0,4601,1681.46716
800.0,2603,1704.777687
4650.0,6919,1720.173018
355.0,1989,1724.582572
6865.0,7279,1767.445405
3780.0,6372,1782.621798
4730.0,6651,1821.344034
5320.0,7488,1865.823096
1280.0,4533,1876.33062
2585.0,5172,1888.169313
1080.0,2666,1893.918746
2695.0,5397,1926.102348
5330.0,7161,1942.770304
2120.0,3711,1967.498653
1580.0,3567,1976.089611
3375.0,5750,1989.934074
385.0,1886,2008.67779
1560.0,3907,2017.359258
1080.0,4047,2026.558239
1280.0,3711,2050.648359
880.0,2839,2057.403386
3860.0,6872,2073.576504
4810.0,7156,2105.003914
1060.0,2201,2109.618078
150.0,1089,2111.9082
3420.0,4854,2139.352473
620.0,2632,2146.300886
900.0,2846,2153.262071
1840.0,4147,2163.12697
5460.0,6652,2199.19951
2040.0,4650,2209.820575
1040.0,3078,2216.523026
560.0,2706,2237.468011
5210.0,6981,2254.035475
2700.0,4838,2286.545369
5680.0,8190,2305.444813
2605.0,5243,2331.590539
1200.0,2943,2337.511216
370.0,2609,2343.002171
60.0,803,2344.472615
1080.0,3389,2352.095616
1560.0,3463,2374.280232
3090.0,4992,2386.436565
1080.0,3722,2394.864483
310.0,1864,2399.357483
1020.0,3251,2425.232905
1920.0,3821,2434.258892
1820.0,3803,2443.0893
1300.0,4042,2468.955793
265.0,1385,2472.268613
1780.0,4408,2481.596066
2855.0,5394,2493.868438
1360.0,4203,2526.048818
1960.0,4903,2537.139003
1280.0,3864,2545.750494
265.0,1852,2567.192728
2850.0,5625,2580.327114
3380.0,5155,2593.728273
1680.0,4368,2615.647078
2460.0,4265,2625.231656
150.0,870,2627.263654
325.0,2388,2632.360209
600.0,4276,2656.496037
340.0,1824,2660.832925
2525.0,6036,2675.328349
1560.0,3891,2700.639612
1200.0,3350,2708.373135
5460.0,6326,2722.901123
250.0,1540,2743.842945
1400.0,4032,2752.714437
2385.0,5015,2764.200192
640.0,4744,2796.054106
2990.0,6372,2810.566248
2780.0,4716,2835.947095
1720.0,3965,2845.439401
1340.0,3485,2853.968985
2160.0,4166,2863.987694
1800.0,3989,2889.407068
1320.0,3230,2896.763021
5790.0,6805,2930.698551
235.0,1285,2933.400851
7495.0,8228,2952.070424
2905.0,4961,2982.002497
4030.0,6736,2998.451533
3280.0,5419,3027.841228
1080.0,3429,3036.301114
310.0,1995,3040.851731
340.0,1622,3044.903325
2630.0,5464,3075.984344
1080.0,2536,3081.783426
1820.0,4189,3090.96852
1980.0,4590,3100.693533
235.0,1336,3119.423418
1040.0,2765,3126.152858
1160.0,3065,3134.048576
2790.0,4910,3146.136914
355.0,2129,3162.341024
4570.0,6184,3175.745531
980.0,2897,3182.217526
385.0,1884,3185.983006
600.0,2773,3205.971141
720.0,2509,3211.885431
1800.0,3250,3220.510617
2535.0,5402,3251.061608
295.0,2346,3256.118259
1520.0,4259,3265.780163
1000.0,2966,3271.978327
1580.0,3569,3296.683277
355.0,1833,3301.122462
4990.0,6477,3317.017435
3140.0,5670,3346.795331
5280.0,7437,3363.261664
1460.0,3640,3391.602141
3380.0,6894,3406.787782
4350.0,6351,3437.26035
3725.0,6589,3453.537923
205.0,1058,3455.859803
3520.0,5761,3484.693365
1160.0,3702,3492.927105
4860.0,6639,3508.321363
820.0,3469,3534.434072
340.0,2349,3539.861208
1320.0,4559,3549.788987
400.0,2115,3554.211165
90.0,581,3555.378024
2750.0,5746,3594.81709
140.0,1296,3597.897213
4020.0,7136,3642.528726
2860.0,4819,3653.082072
3195.0,5503,3666.103276
5150.0,5741,3701.087286
5020.0,7537,3718.141336
1880.0,3685,3735.932124
860.0,3417,3743.763967
1860.0,5217,3755.63934
2365.0,4418,3778.281245
500.0,2689,3784.261919
1220.0,3986,3793.149012
1580.0,3869,3818.315716
1380.0,4223,3829.070669
385.0,2526,3835.463152
1640.0,4003,3844.459636
370.0,2831,3869.333733
295.0,2739,3875.773564
1620.0,4576,3886.241607
