#{"t_start": 1680678476.488606, "env_id": "Freeway-v4"}
r,l,t
1.0,2725,10.9687
5.0,2752,18.302524
15.0,2732,25.70018
19.0,2719,33.09111
20.0,2736,57.084357
20.0,2712,64.744756
17.0,2716,72.325035
19.0,2745,79.271491
23.0,2756,86.376479
22.0,2723,111.823202
20.0,2728,119.579156
24.0,2722,127.208105
21.0,2722,134.871593
22.0,2732,161.038953
23.0,2740,169.077759
22.0,2716,176.953547
21.0,2745,184.761299
20.0,2739,192.865911
21.0,2748,218.492083
24.0,2755,226.54789
21.0,2719,234.57609
21.0,2732,241.950803
22.0,2729,267.691125
20.0,2729,275.099127
20.0,2709,282.605127
23.0,2721,290.654568
24.0,2725,298.839966
23.0,2742,324.572267
24.0,2731,332.092882
22.0,2726,340.280754
20.0,2727,347.894195
21.0,2753,355.246401
20.0,2762,380.161931
19.0,2727,387.178554
26.0,2722,395.283713
22.0,2750,403.448729
23.0,2725,429.030758
26.0,2732,436.275904
20.0,2742,444.356397
21.0,2737,452.743722
24.0,2732,460.282829
23.0,2730,484.322836
20.0,2725,492.747503
25.0,2753,501.132522
19.0,2743,509.268288
22.0,2737,534.86303
27.0,2734,542.372317
25.0,2776,550.799231
22.0,2707,559.324133
21.0,2748,567.444324
20.0,2717,592.757989
23.0,2744,601.779902
19.0,2729,609.88231
21.0,2745,618.372615
23.0,2734,627.01303
21.0,2711,653.350416
19.0,2715,661.430668
22.0,2734,669.8586
19.0,2711,677.82908
19.0,2721,703.587785
21.0,2729,711.74558
23.0,2718,719.996901
25.0,2731,728.01772
20.0,2739,736.571958
22.0,2713,762.316478
21.0,2714,770.285548
21.0,2729,778.413078
22.0,2713,786.608646
21.0,2731,795.529896
22.0,2747,820.5643
25.0,2731,828.131013
20.0,2737,836.779348
20.0,2736,845.188304
21.0,2724,869.733303
22.0,2700,878.286662
25.0,2713,886.179972
23.0,2742,894.573663
20.0,2717,903.356001
25.0,2755,928.516494
21.0,2753,936.328483
25.0,2735,944.672721
22.0,2712,953.234087
22.0,2746,977.885506
23.0,2739,985.622385
21.0,2750,993.927187
28.0,2747,1002.289157
26.0,2724,1010.04265
23.0,2757,1035.768628
21.0,2736,1042.977384
22.0,2729,1050.655955
19.0,2724,1058.99308
26.0,2731,1086.061158
20.0,2727,1093.386418
25.0,2739,1100.522643
20.0,2746,1109.034811
20.0,2736,1117.625022
21.0,2754,1145.364203
21.0,2760,1152.823924
20.0,2722,1159.670538
21.0,2726,1168.412418
23.0,2735,1177.260681
22.0,2741,1203.942341
26.0,2729,1211.044469
22.0,2752,1218.321288
21.0,2732,1226.650265
21.0,2713,1253.674493
26.0,2719,1262.168823
21.0,2700,1268.814821
20.0,2726,1276.067294
21.0,2743,1284.936784
21.0,2743,1312.126052
22.0,2711,1319.868941
22.0,2748,1326.579577
21.0,2693,1334.058572
22.0,2741,1360.943943
21.0,2703,1369.534963
23.0,2746,1377.300457
22.0,2735,1384.032149
26.0,2734,1391.376049
25.0,2731,1419.411969
22.0,2727,1427.316439
21.0,2743,1434.424167
25.0,2728,1441.466178
25.0,2717,1449.561025
20.0,2735,1477.238219
20.0,2721,1485.616598
23.0,2712,1493.016579
23.0,2727,1499.978107
23.0,2737,1526.230262
20.0,2747,1534.257722
23.0,2749,1542.641924
22.0,2735,1549.886183
27.0,2736,1556.835328
19.0,2746,1584.079129
21.0,2754,1592.794735
23.0,2722,1600.257378
20.0,2736,1607.789332
21.0,2731,1633.322113
25.0,2728,1642.118477
27.0,2704,1651.174741
19.0,2741,1658.665293
26.0,2758,1665.734395
27.0,2739,1691.818969
21.0,2713,1700.294661
22.0,2720,1708.574982
23.0,2725,1715.94291
28.0,2720,1723.06625
26.0,2726,1749.546299
27.0,2703,1757.7453
23.0,2715,1766.068874
19.0,2743,1773.685544
21.0,2706,1798.496998
26.0,2742,1807.330383
21.0,2752,1816.52414
19.0,2725,1824.071054
21.0,2731,1831.283267
21.0,2736,1856.867394
20.0,2700,1865.850783
19.0,2736,1874.42728
21.0,2733,1881.565747
24.0,2735,1889.212294
28.0,2737,1914.888674
28.0,2731,1923.510615
22.0,2728,1931.807899
21.0,2728,1939.125024
21.0,2732,1963.819875
23.0,2757,1973.147997
21.0,2727,1981.935914
21.0,2730,1989.624921
21.0,2723,1996.93722
21.0,2722,2022.39746
23.0,2715,2031.154446
21.0,2730,2039.56121
21.0,2730,2047.314448
22.0,2765,2072.056832
21.0,2721,2080.034356
19.0,2750,2089.456684
28.0,2744,2097.329267
25.0,2745,2104.604717
21.0,2739,2130.062981
24.0,2740,2138.427827
23.0,2709,2146.935333
24.0,2761,2155.469055
20.0,2722,2163.077686
20.0,2724,2188.966037
21.0,2720,2197.929365
22.0,2735,2205.890427
19.0,2725,2213.321559
22.0,2711,2238.687294
21.0,2732,2247.238202
22.0,2743,2255.686418
20.0,2746,2264.208291
21.0,2733,2272.060395
20.0,2723,2296.730432
21.0,2745,2305.261426
20.0,2715,2314.333784
20.0,2721,2322.522135
21.0,2744,2347.013347
21.0,2736,2355.89302
22.0,2730,2364.441433
20.0,2727,2372.592004
21.0,2753,2380.710909
21.0,2705,2406.019903
21.0,2724,2414.492753
23.0,2713,2422.29851
19.0,2731,2430.419869
19.0,2735,2438.10109
21.0,2723,2463.994006
21.0,2745,2471.99955
23.0,2752,2479.721695
20.0,2735,2487.867131
19.0,2763,2513.497109
21.0,2769,2521.363853
22.0,2718,2529.375041
22.0,2714,2537.642118
23.0,2735,2545.879411
19.0,2710,2571.001088
20.0,2725,2579.104868
23.0,2729,2587.495276
21.0,2744,2595.505606
19.0,2755,2620.600744
20.0,2745,2629.378066
21.0,2723,2637.425231
26.0,2738,2645.554382
24.0,2697,2654.162646
24.0,2735,2679.877972
19.0,2735,2688.300354
25.0,2729,2697.141221
25.0,2726,2704.760225
21.0,2750,2712.332186
23.0,2718,2738.310498
17.0,2707,2746.494901
23.0,2741,2753.895953
22.0,2748,2761.536924
21.0,2751,2787.47239
23.0,2725,2796.282198
22.0,2735,2804.609405
23.0,2704,2812.501709
19.0,2730,2820.419027
21.0,2731,2846.388612
20.0,2738,2855.697282
24.0,2715,2863.796711
20.0,2727,2871.462702
21.0,2726,2897.207812
23.0,2748,2906.020806
22.0,2731,2914.561872
20.0,2698,2921.905242
22.0,2736,2929.688393
21.0,2756,2955.707666
23.0,2744,2964.535753
22.0,2713,2972.984167
19.0,2761,2980.223349
22.0,2737,2987.619456
20.0,2736,3014.000451
20.0,2726,3022.784884
22.0,2718,3030.406145
21.0,2719,3037.268351
25.0,2724,3063.196781
21.0,2697,3071.26323
22.0,2736,3080.004948
18.0,2726,3087.064591
22.0,2723,3094.226793
23.0,2754,3120.028807
22.0,2758,3128.756216
24.0,2746,3137.442041
25.0,2750,3144.578817
21.0,2746,3169.567726
23.0,2756,3178.467382
22.0,2729,3187.277468
23.0,2734,3195.292887
22.0,2718,3203.053797
20.0,2739,3228.902965
19.0,2755,3237.265274
26.0,2740,3246.133797
21.0,2720,3253.640297
21.0,2746,3260.658067
23.0,2720,3286.481519
23.0,2737,3295.330335
20.0,2732,3303.558361
22.0,2709,3311.130321
21.0,2727,3336.532038
24.0,2730,3345.020466
22.0,2725,3353.38617
22.0,2751,3361.811037
23.0,2721,3369.256339
26.0,2728,3394.350318
22.0,2722,3403.450397
22.0,2747,3412.110424
24.0,2722,3420.177774
21.0,2737,3445.836087
20.0,2730,3454.245277
24.0,2725,3463.026555
21.0,2742,3470.953982
22.0,2716,3479.379089
20.0,2739,3503.305749
23.0,2720,3510.52404
22.0,2757,3519.279232
21.0,2725,3527.351043
23.0,2757,3535.490704
23.0,2738,3560.801335
25.0,2741,3568.917886
23.0,2722,3577.261146
19.0,2751,3586.099086
22.0,2730,3610.351623
21.0,2739,3617.881325
21.0,2750,3627.233376
21.0,2715,3635.793186
22.0,2741,3643.856589
20.0,2751,3668.667043
23.0,2718,3677.304648
