#{"t_start": 1679345518.5852973, "env_id": "Frostbite-v4"}
r,l,t
50.0,512,4.976119
50.0,520,6.316764
60.0,564,7.768255
120.0,543,9.058535
20.0,396,10.113013
80.0,518,11.446396
150.0,722,13.138568
60.0,506,14.345813
60.0,458,15.525695
120.0,520,16.861415
120.0,483,18.074147
100.0,478,18.93935
60.0,461,20.106406
60.0,468,21.227906
140.0,533,22.499116
110.0,533,23.805609
170.0,571,25.104986
140.0,597,26.506469
150.0,615,27.930144
40.0,371,28.906045
130.0,623,30.372812
70.0,410,31.057612
90.0,490,32.27742
120.0,511,33.550642
60.0,431,34.642723
180.0,636,36.080832
20.0,396,37.266455
100.0,435,40.542099
80.0,550,41.870945
90.0,415,42.994531
170.0,625,44.54278
90.0,473,45.701831
140.0,559,47.097815
150.0,685,48.71538
100.0,446,49.871309
110.0,528,51.139034
110.0,475,52.330266
70.0,448,53.069775
90.0,480,54.31809
120.0,572,55.756309
40.0,487,57.081861
130.0,562,58.499556
70.0,404,59.631315
210.0,748,61.398753
160.0,662,62.99634
110.0,548,64.395073
210.0,761,66.614022
190.0,694,68.177883
170.0,700,69.751297
140.0,532,71.018294
100.0,488,72.225997
170.0,650,73.663743
170.0,605,78.14889
100.0,541,79.627301
140.0,572,81.052839
190.0,705,82.777153
120.0,569,84.17305
120.0,493,85.456273
180.0,785,87.823102
100.0,553,89.200495
100.0,453,89.913378
50.0,426,90.965502
160.0,565,92.348083
160.0,724,94.054895
210.0,598,95.412934
190.0,687,97.31543
210.0,649,98.776155
140.0,565,100.106791
210.0,763,101.78896
200.0,587,103.171723
190.0,659,104.734254
210.0,695,106.737703
200.0,610,108.113033
160.0,539,109.359584
230.0,690,114.136074
160.0,617,115.566781
220.0,772,117.321302
170.0,551,118.639421
180.0,693,120.609657
210.0,648,122.094138
190.0,594,123.495614
210.0,768,125.153206
180.0,700,126.682681
190.0,665,128.52474
160.0,501,129.390503
180.0,578,131.270653
170.0,624,132.761945
180.0,733,134.46335
200.0,671,136.081242
210.0,558,137.51671
170.0,609,138.979469
150.0,591,140.392641
180.0,595,141.768072
130.0,519,142.964468
160.0,569,144.388906
190.0,590,145.852582
170.0,557,147.294905
220.0,625,151.582857
210.0,667,153.149291
200.0,689,155.086008
170.0,585,156.451502
160.0,519,157.687294
210.0,661,159.252808
110.0,489,160.422022
140.0,526,161.29835
210.0,723,163.351925
210.0,687,164.977893
220.0,627,166.537944
200.0,571,168.030844
180.0,738,169.697815
130.0,566,171.024008
190.0,672,172.91094
180.0,614,174.346956
160.0,557,175.67897
200.0,778,177.391631
170.0,701,178.991894
220.0,887,181.634479
200.0,669,183.173324
210.0,613,187.480892
220.0,651,188.985068
240.0,761,191.057288
220.0,633,192.520048
210.0,769,194.258708
220.0,720,196.264847
170.0,620,197.675622
200.0,625,199.079637
130.0,511,200.334855
200.0,601,201.793837
200.0,775,203.515174
170.0,613,204.948668
160.0,544,206.242638
170.0,647,207.813955
180.0,638,209.25452
100.0,420,210.337614
160.0,706,212.088512
210.0,609,213.534814
160.0,652,215.885582
170.0,533,217.320906
160.0,596,218.695155
220.0,631,220.195785
210.0,678,224.991955
120.0,508,226.341476
250.0,693,228.09051
160.0,510,229.453576
130.0,549,230.910368
200.0,627,232.582872
140.0,553,234.027745
180.0,657,235.651027
230.0,851,237.996361
170.0,549,239.458084
180.0,609,241.05423
130.0,512,242.473952
170.0,573,244.004791
230.0,694,245.953942
170.0,716,247.499856
180.0,659,248.985584
160.0,526,250.593744
150.0,566,252.284393
140.0,522,253.737912
130.0,477,254.96185
170.0,550,256.303095
170.0,547,257.662642
160.0,612,259.411066
220.0,713,264.199354
170.0,508,265.577399
170.0,613,267.116388
160.0,517,268.541422
170.0,620,270.140699
240.0,764,272.680424
200.0,633,274.386698
180.0,676,276.076327
210.0,682,277.764096
130.0,547,279.192024
230.0,727,280.987724
210.0,742,283.322881
210.0,765,285.309148
200.0,729,287.463522
190.0,724,289.401598
220.0,772,291.389295
200.0,641,293.161589
170.0,609,294.765864
170.0,552,296.30541
160.0,515,297.710381
230.0,742,299.933506
210.0,705,305.308673
220.0,685,307.000741
200.0,665,308.671343
220.0,765,310.944154
200.0,716,312.828853
180.0,669,314.555185
170.0,550,316.024056
210.0,615,317.656587
220.0,673,319.308297
160.0,540,320.724449
180.0,539,322.157031
200.0,572,323.5845
220.0,762,325.35363
210.0,669,327.464163
240.0,781,329.356416
220.0,785,331.309518
180.0,680,333.49836
210.0,795,335.541785
210.0,632,337.304738
160.0,552,338.7679
220.0,598,343.519399
190.0,648,345.239754
160.0,579,346.824124
170.0,672,348.888601
170.0,622,350.417876
190.0,685,352.176904
200.0,574,353.724781
200.0,599,355.237722
200.0,634,356.794353
190.0,691,358.522449
190.0,589,360.405255
200.0,601,362.071033
240.0,843,364.084984
210.0,732,366.040751
210.0,678,368.141475
120.0,497,369.440115
210.0,701,371.213327
210.0,649,372.766702
160.0,600,374.336146
210.0,630,376.04969
170.0,617,377.777516
220.0,612,379.523561
210.0,624,384.35984
170.0,590,386.06515
160.0,491,387.49404
270.0,788,389.812577
170.0,703,391.447124
180.0,686,393.055956
160.0,639,394.621087
200.0,642,396.195071
170.0,528,397.610249
240.0,693,399.819532
240.0,783,401.854307
170.0,541,403.243305
210.0,657,405.035228
190.0,802,407.549641
210.0,617,409.334442
180.0,640,410.949801
200.0,704,412.820018
190.0,648,414.621118
210.0,606,416.24352
210.0,624,418.000936
190.0,628,419.796885
220.0,737,426.032598
220.0,824,428.115111
220.0,725,430.268232
140.0,492,431.1921
180.0,594,432.68345
240.0,720,434.713279
180.0,675,436.287601
230.0,827,438.183594
230.0,690,440.365939
240.0,771,442.212336
240.0,898,444.742078
170.0,675,446.359436
190.0,607,447.784174
230.0,707,449.476795
190.0,663,451.054137
150.0,652,453.010557
210.0,606,454.508276
190.0,619,456.096116
220.0,653,457.750399
200.0,637,459.404153
140.0,565,464.548742
240.0,744,466.353514
150.0,493,467.635565
180.0,563,469.02882
210.0,636,470.627343
210.0,685,472.867439
200.0,772,474.761184
240.0,649,476.443567
150.0,574,477.984531
240.0,716,479.885495
180.0,699,482.119699
210.0,597,483.798464
250.0,716,485.809585
190.0,728,487.779601
180.0,550,489.334476
210.0,685,491.436544
200.0,720,493.253809
250.0,698,495.158581
230.0,693,497.050844
220.0,665,499.196311
160.0,537,500.174942
240.0,755,506.104514
210.0,680,507.741384
210.0,752,509.533963
210.0,597,511.04895
200.0,702,513.367961
220.0,704,515.266104
220.0,657,516.999167
240.0,782,519.098408
230.0,628,521.190283
220.0,651,522.915821
240.0,788,524.926478
220.0,686,526.786321
230.0,749,529.20796
240.0,786,531.368788
220.0,917,534.24127
220.0,609,536.000079
190.0,650,537.833968
180.0,583,539.481174
170.0,603,541.110905
250.0,714,546.187295
250.0,789,548.700242
230.0,657,550.448098
250.0,795,552.541912
220.0,695,554.822406
250.0,715,556.783625
260.0,696,558.683858
170.0,522,560.034694
170.0,557,561.482329
250.0,738,563.402311
210.0,622,565.293123
220.0,803,567.882417
240.0,761,569.942778
220.0,600,571.731221
200.0,591,573.448846
180.0,667,576.056745
210.0,628,577.784802
200.0,625,579.639577
260.0,752,581.834649
250.0,836,584.504277
260.0,684,590.091922
250.0,730,592.032377
200.0,616,593.788555
200.0,627,595.54827
210.0,575,597.248295
260.0,737,599.763904
200.0,586,601.4245
240.0,708,603.372706
200.0,609,604.940863
270.0,833,607.215952
260.0,762,609.233228
250.0,801,611.364563
210.0,653,613.592265
230.0,726,615.585832
230.0,647,617.458508
260.0,747,619.675025
240.0,662,621.994348
220.0,652,623.810882
230.0,659,625.622521
230.0,786,627.776132
220.0,566,633.263237
230.0,637,635.034258
270.0,730,637.436705
270.0,689,639.284906
210.0,621,641.030355
270.0,691,642.89597
240.0,674,644.833919
220.0,710,647.139502
200.0,604,648.815069
280.0,818,650.660325
240.0,678,652.320266
260.0,694,654.663228
190.0,607,656.379071
240.0,680,658.259293
260.0,804,660.406544
230.0,627,662.226759
260.0,716,664.56375
280.0,642,666.385624
240.0,647,668.216574
220.0,649,670.036812
230.0,629,671.799667
240.0,717,678.157314
200.0,605,679.872099
260.0,652,681.66186
260.0,778,683.785722
240.0,674,685.889419
240.0,654,688.185277
240.0,713,690.111349
260.0,750,692.126635
260.0,818,694.383828
270.0,723,696.083119
270.0,754,698.131239
270.0,731,700.559306
