#{"t_start": 1680734964.5303185, "env_id": "Krull-v4"}
r,l,t
5330.0,1917,8.994914
5570.0,1987,14.286223
4900.0,2001,19.645333
4680.0,1940,24.926162
5070.0,1911,29.408751
5420.0,1961,34.50672
4650.0,1949,49.37746
4940.0,1966,54.476882
2670.0,1346,58.388377
4810.0,1996,64.064235
3580.0,1489,68.204269
4220.0,1865,72.607767
4590.0,1916,77.615247
3910.0,1767,91.998683
4360.0,1621,96.009696
4740.0,1951,101.276605
5140.0,1949,106.725574
4650.0,1950,111.503942
5190.0,1936,116.486972
4910.0,1906,121.854449
3760.0,1447,135.890343
4640.0,1975,141.342345
4280.0,1740,146.560542
5150.0,1985,151.693868
4050.0,1690,156.041082
4560.0,1924,161.639929
4520.0,1918,167.252196
4470.0,1967,184.05354
4580.0,1886,189.420573
3820.0,1856,195.197233
3800.0,1951,200.994377
4640.0,1968,206.272159
4620.0,1923,212.096219
5140.0,1925,218.622779
3740.0,1644,235.035792
4130.0,1875,239.979396
4520.0,1950,246.113143
4620.0,1942,252.662605
4880.0,2021,258.95735
4840.0,1979,264.893181
4780.0,1917,282.015083
4680.0,1933,287.797116
4990.0,1953,292.791398
5160.0,1915,298.815485
5150.0,1956,305.029764
4390.0,1939,311.185523
4600.0,1946,317.093092
4800.0,1952,334.907248
4620.0,1950,340.692091
4190.0,1659,345.729703
4540.0,1949,352.152471
2780.0,1438,356.155249
4860.0,1979,362.139392
4540.0,1976,368.651284
4720.0,1941,384.93606
4840.0,1947,391.239538
4750.0,1904,397.268629
4990.0,1949,403.429007
3680.0,1580,408.427803
3790.0,1654,413.576849
4790.0,1983,419.511358
5090.0,1935,437.187343
4930.0,1835,443.160869
5140.0,1905,448.835591
4730.0,1985,455.346681
2570.0,1251,458.751225
4890.0,1957,464.934545
5360.0,1996,471.310102
3020.0,1480,487.620431
4780.0,1943,493.436408
5540.0,2001,499.531278
5080.0,1951,505.676591
4920.0,1851,511.575326
5220.0,1958,517.190935
5360.0,1965,523.427394
5030.0,2007,542.095593
5160.0,1979,548.206955
4820.0,1953,553.960304
4900.0,1963,560.054722
4810.0,1973,565.93994
3690.0,1795,571.331317
4610.0,1988,589.337521
4930.0,1954,595.434325
4960.0,1979,601.613912
4200.0,1909,606.94219
4770.0,1988,612.56127
4670.0,1914,618.561324
4890.0,1955,624.226237
4500.0,1726,641.5487
5260.0,1996,647.806409
4740.0,1782,653.202959
4680.0,1896,658.36653
4950.0,1930,663.498792
4050.0,1856,669.919616
4300.0,1782,675.560153
5000.0,1898,693.570667
5360.0,1924,699.375625
4710.0,1962,705.474474
5000.0,1928,711.132085
5110.0,1897,716.560375
5390.0,1913,723.085905
4670.0,1912,741.104065
4800.0,1917,746.970201
4490.0,1911,753.060949
