#{"t_start": 1654064189.1014085, "env_id": "MsPacman-v4"}
r,l,t
700.0,873,6.289671
790.0,1012,9.294509
360.0,691,11.188493
270.0,472,12.579604
500.0,914,15.336745
380.0,731,17.346993
270.0,721,19.767735
410.0,622,21.490442
280.0,545,23.041039
430.0,566,24.670146
250.0,561,26.274192
290.0,591,27.957665
270.0,645,29.676813
170.0,417,30.967939
210.0,461,32.39142
570.0,819,35.004303
150.0,461,35.925827
340.0,528,37.500157
340.0,602,39.613955
260.0,613,41.340611
260.0,567,47.515661
120.0,431,48.818802
1240.0,1138,52.077232
330.0,605,53.721987
340.0,672,55.545129
850.0,992,58.463267
630.0,824,61.102601
300.0,563,62.691669
240.0,472,64.054392
400.0,772,66.083284
380.0,704,67.96479
1310.0,1225,71.86606
540.0,875,74.082065
310.0,565,76.118008
490.0,746,78.120425
310.0,697,80.017465
1420.0,1074,83.160737
400.0,877,91.284117
240.0,564,92.914814
730.0,1345,97.013374
240.0,611,98.744236
260.0,542,100.339151
330.0,575,101.988793
290.0,611,103.725276
780.0,1038,106.727088
610.0,789,109.236434
640.0,1103,112.46667
1180.0,1043,115.475762
310.0,529,116.996589
240.0,619,118.695843
1290.0,1011,121.660484
310.0,520,123.183124
370.0,553,124.761689
590.0,968,132.341687
320.0,577,133.909591
300.0,556,135.491855
220.0,426,136.335097
280.0,627,138.458699
920.0,962,140.832372
1010.0,1336,144.893432
740.0,853,147.53535
250.0,742,149.508045
750.0,901,152.250727
570.0,903,154.573162
440.0,702,156.915463
820.0,932,159.678589
360.0,763,161.698601
350.0,691,163.560556
520.0,682,165.782855
1160.0,781,167.793304
550.0,832,174.914871
870.0,899,177.220058
850.0,1251,181.086709
1320.0,968,183.967215
220.0,528,185.495075
1380.0,1006,188.007713
570.0,872,190.657062
1480.0,1359,194.808666
880.0,1010,197.756246
320.0,570,199.372469
740.0,735,201.345775
650.0,798,203.855877
460.0,586,205.484748
590.0,775,207.468473
340.0,597,209.113731
600.0,719,216.205266
260.0,423,217.031437
550.0,777,219.475875
570.0,812,221.562748
860.0,1039,224.557174
810.0,1051,227.534216
590.0,1136,231.150021
450.0,619,232.906817
500.0,635,234.65394
1260.0,894,237.378857
610.0,754,239.326872
1220.0,845,241.945212
770.0,971,244.811939
380.0,563,246.417109
800.0,877,248.678507
480.0,602,250.75894
400.0,583,257.343332
720.0,826,259.462118
410.0,814,262.017247
370.0,737,263.907725
1990.0,945,266.757847
410.0,596,268.403632
560.0,827,270.975501
710.0,993,273.487965
720.0,877,276.207262
880.0,995,279.212253
590.0,938,282.030937
510.0,1013,285.072222
640.0,742,287.051274
460.0,699,288.898175
390.0,609,290.981078
870.0,1005,298.597301
1170.0,1696,303.458208
830.0,1018,306.457998
430.0,890,308.772909
400.0,651,311.0599
650.0,755,313.096779
860.0,1071,316.161817
560.0,1042,319.138525
670.0,1015,322.077471
790.0,997,324.951838
590.0,900,327.638244
1010.0,886,330.277854
390.0,626,331.999975
630.0,1228,339.814937
460.0,758,342.21193
630.0,1084,345.337823
520.0,711,347.22064
1060.0,1032,350.243559
650.0,787,352.287224
750.0,1134,355.945709
1320.0,1206,359.322786
450.0,664,361.132591
390.0,524,362.674713
390.0,674,364.447798
770.0,728,366.803978
460.0,606,368.475617
490.0,734,370.42158
310.0,813,372.939848
730.0,765,374.868924
770.0,834,381.55945
1220.0,635,383.267927
790.0,1265,387.174856
960.0,916,389.501328
1040.0,1253,393.381366
580.0,812,395.449925
480.0,792,397.937274
670.0,743,399.862947
770.0,883,402.50682
540.0,1058,405.538588
2080.0,1025,408.450943
1240.0,842,410.588799
410.0,538,412.118468
520.0,653,414.327253
870.0,784,416.490461
670.0,1018,423.786916
700.0,896,426.476334
810.0,744,428.422235
600.0,686,430.266183
480.0,765,432.696434
380.0,690,434.512667
850.0,1062,437.554712
600.0,884,440.250784
270.0,444,441.585914
370.0,519,443.022287
730.0,781,445.050544
800.0,949,447.857791
2070.0,1039,450.812941
300.0,894,453.542253
900.0,1130,456.658626
590.0,772,464.431718
520.0,1033,467.396292
1200.0,813,469.930635
490.0,881,472.574256
570.0,727,474.46031
880.0,821,476.977122
1710.0,1311,480.565457
1390.0,1128,483.766106
380.0,639,485.523068
770.0,949,488.305479
480.0,634,490.049444
450.0,618,492.13678
1460.0,1096,495.297573
950.0,892,497.548497
1030.0,1102,505.932514
470.0,567,507.52233
360.0,579,509.147139
600.0,815,511.178183
1000.0,767,513.653835
540.0,705,515.462678
700.0,972,518.267759
480.0,873,520.858762
720.0,800,522.949822
980.0,1126,526.04594
1000.0,1106,529.142608
600.0,930,531.876045
620.0,721,533.758883
490.0,650,535.940685
610.0,836,538.037523
630.0,819,540.484541
580.0,687,547.91872
920.0,693,549.753413
250.0,538,551.2484
940.0,1144,554.850199
580.0,851,556.982284
2360.0,1534,561.397932
610.0,776,563.830257
660.0,1299,567.321851
560.0,841,569.903603
1420.0,1021,572.911283
520.0,756,574.864484
550.0,929,577.603807
520.0,701,579.413691
430.0,938,582.187293
540.0,778,589.420437
570.0,643,591.190521
770.0,977,594.045839
1010.0,1349,597.6019
480.0,741,599.969556
990.0,1205,603.224999
450.0,920,605.890397
840.0,874,608.072863
920.0,956,610.827358
630.0,871,613.472645
580.0,1060,616.45382
940.0,669,618.215367
400.0,597,619.814868
670.0,805,622.331415
690.0,797,624.368219
1480.0,1062,633.519452
530.0,854,636.200164
360.0,709,638.068638
470.0,895,640.760264
770.0,983,643.692246
870.0,986,646.654253
910.0,1271,650.167384
660.0,841,652.733087
520.0,592,654.356848
480.0,747,656.33199
430.0,625,658.039477
800.0,827,660.639694
1400.0,1138,663.818122
370.0,590,665.403207
1320.0,1069,673.294457
550.0,755,675.697719
770.0,743,677.577534
790.0,1153,680.739645
510.0,806,683.204814
2240.0,1163,686.461794
390.0,520,687.925734
950.0,871,690.586016
840.0,1286,694.076305
820.0,715,695.897154
570.0,710,698.187599
840.0,1063,701.202163
650.0,965,704.028461
850.0,830,706.108495
2020.0,885,708.748482
770.0,935,716.253252
790.0,919,718.479654
740.0,976,721.300756
460.0,665,723.521696
570.0,784,725.48974
800.0,769,728.058872
580.0,971,730.438774
670.0,1268,734.297341
660.0,1000,737.172051
600.0,866,739.33035
410.0,582,740.922227
1120.0,923,743.618146
720.0,853,746.188037
810.0,1230,749.546323
660.0,816,757.172706
710.0,1166,760.378131
1000.0,1300,764.32611
640.0,1057,767.356022
410.0,633,769.049108
660.0,942,771.801776
360.0,534,773.232564
880.0,941,775.536015
690.0,936,778.277883
490.0,599,779.874629
780.0,1080,782.906249
310.0,482,784.277056
860.0,1159,787.418281
400.0,763,789.8504
670.0,995,798.097012
1080.0,868,800.275648
990.0,988,803.128287
810.0,909,805.848953
900.0,980,808.707867
540.0,708,810.560891
570.0,607,812.233239
670.0,801,814.721644
630.0,750,816.672357
360.0,694,818.90992
590.0,907,821.163114
630.0,788,823.66319
730.0,714,825.528502
520.0,828,828.048698
1060.0,1534,832.419292
1290.0,1612,841.638405
910.0,944,844.416263
530.0,857,846.581763
770.0,740,848.91751
320.0,507,850.345597
910.0,1112,853.450438
430.0,615,855.16817
800.0,1457,859.420826
1530.0,1522,863.768689
610.0,846,865.911058
900.0,859,868.45263
350.0,717,870.333642
460.0,806,872.843815
930.0,951,880.320046
970.0,1078,883.360424
850.0,1053,886.310168
810.0,1102,889.367562
450.0,743,891.247419
560.0,1108,894.320125
900.0,1212,898.014961
270.0,719,899.84869
1260.0,805,902.368834
970.0,994,905.226528
780.0,805,907.311264
1290.0,1076,910.360673
300.0,530,911.830711
480.0,749,914.221076
630.0,868,921.647812
910.0,989,924.42519
620.0,854,927.006216
1310.0,1014,929.858546
620.0,822,931.97758
300.0,893,934.654549
340.0,695,936.472939
1900.0,887,939.073813
1150.0,1115,942.231425
1220.0,685,944.015976
490.0,592,945.625496
1180.0,899,948.239272
700.0,865,950.824511
790.0,814,952.906491
990.0,1134,956.031119
650.0,950,964.257303
450.0,623,965.932117
320.0,747,968.29624
820.0,959,971.10645
580.0,730,973.0231
1570.0,1634,977.615823
520.0,667,979.812489
630.0,934,982.226138
1590.0,903,984.87907
730.0,1108,987.956836
580.0,976,990.753297
360.0,586,992.372444
490.0,966,995.19078
310.0,516,996.638465
970.0,659,998.36565
680.0,989,1006.699324
860.0,1046,1009.694076
800.0,1083,1012.729363
330.0,529,1014.186049
710.0,801,1016.66866
710.0,1077,1019.730071
430.0,617,1021.400446
1170.0,890,1024.059217
1240.0,1533,1028.605199
1030.0,911,1030.843215
700.0,801,1033.332614
390.0,602,1034.931727
550.0,661,1036.656236
740.0,972,1039.501123
600.0,885,1047.953357
460.0,789,1049.934813
770.0,985,1052.782313
980.0,958,1055.524235
1570.0,1299,1058.984887
720.0,839,1061.491858
900.0,1129,1064.624351
840.0,928,1067.363997
330.0,856,1069.901759
1050.0,1128,1073.062502
350.0,638,1074.809776
660.0,773,1076.835892
890.0,856,1079.425433
550.0,612,1081.084899
810.0,878,1089.397272
920.0,1035,1092.374403
930.0,1613,1096.851167
940.0,1227,1100.176476
630.0,878,1102.835081
870.0,1305,1106.776664
590.0,941,1109.113318
530.0,857,1111.712026
600.0,790,1113.740386
2130.0,1129,1117.318776
1120.0,1453,1121.097116
670.0,739,1123.491674
1230.0,1029,1132.325186
520.0,716,1134.158759
950.0,1075,1137.177375
310.0,580,1138.732793
840.0,787,1141.183473
750.0,1080,1144.210855
630.0,964,1147.011784
700.0,966,1149.891513
640.0,872,1152.130837
320.0,613,1153.837054
980.0,1224,1157.680361
910.0,908,1159.912275
1050.0,1311,1163.949567
1160.0,1140,1172.573788
740.0,866,1175.264748
830.0,886,1177.857615
670.0,1103,1181.007607
510.0,771,1182.987967
780.0,1025,1185.897768
520.0,985,1188.704463
880.0,987,1191.497785
770.0,735,1193.369789
790.0,1138,1196.569483
460.0,777,1198.969209
1360.0,1223,1202.313372
740.0,1041,1205.325853
230.0,517,1206.747411
730.0,1080,1214.668444
340.0,646,1216.781022
430.0,684,1218.631903
910.0,970,1221.422609
380.0,625,1223.078396
850.0,1027,1226.048595
490.0,680,1227.872483
2060.0,895,1230.556656
510.0,871,1233.236346
470.0,914,1235.518111
620.0,795,1238.017198
1140.0,1206,1241.313151
690.0,848,1243.869668
580.0,855,1245.990433
1160.0,1195,1249.676757
550.0,638,1258.106527
440.0,831,1260.219586
970.0,1160,1263.848414
490.0,683,1265.64403
630.0,928,1268.405476
340.0,589,1269.943028
450.0,643,1271.678376
740.0,780,1274.048764
320.0,677,1275.883344
790.0,1117,1278.972615
560.0,941,1281.732385
1270.0,879,1284.340936
1400.0,1282,1287.918466
810.0,804,1290.376721
630.0,1003,1297.857426
680.0,854,1300.465449
890.0,1125,1303.637365
330.0,463,1304.983368
620.0,748,1306.928092
780.0,1005,1309.832284
620.0,915,1312.574224
410.0,795,1314.995584
420.0,659,1316.747005
1060.0,1112,1319.796959
880.0,776,1321.789023
640.0,858,1324.382056
2230.0,1026,1327.333436
1060.0,887,1329.967062
780.0,804,1331.986152
510.0,860,1339.787895
450.0,633,1341.616183
1080.0,1094,1344.664263
810.0,1036,1347.606085
710.0,1130,1350.7325
1230.0,1152,1354.334623
660.0,770,1356.285149
1030.0,1212,1359.585548
830.0,860,1362.169816
470.0,809,1364.277005
540.0,779,1366.718358
550.0,705,1368.55034
290.0,546,1370.037152
380.0,639,1372.18104
810.0,1033,1374.664015
1610.0,1095,1382.998146
540.0,894,1385.231244
300.0,708,1387.447919
520.0,705,1389.342146
690.0,698,1391.131049
900.0,1228,1394.919839
1370.0,1112,1398.060227
960.0,1194,1401.331922
840.0,899,1404.006088
1060.0,1244,1407.361115
890.0,859,1409.913597
730.0,892,1412.138537
1260.0,954,1414.966871
440.0,800,1422.85789
2570.0,1090,1425.955671
510.0,760,1427.907312
660.0,966,1430.751461
980.0,1177,1433.960885
510.0,871,1436.588115
480.0,801,1439.064406
1080.0,865,1441.217756
1130.0,1375,1445.226042
510.0,647,1446.98163
690.0,1177,1450.18693
570.0,843,1452.741914
580.0,781,1454.750594
480.0,839,1457.321738
1110.0,905,1464.865855
770.0,991,1467.694093
770.0,819,1469.767264
500.0,813,1472.255357
1230.0,1117,1475.414376
460.0,646,1477.067746
730.0,936,1479.847271
1620.0,914,1482.547784
910.0,1246,1485.909226
650.0,817,1488.398159
560.0,689,1490.220016
460.0,753,1492.114459
260.0,845,1494.716538
760.0,1307,1498.221154
310.0,796,1504.903938
650.0,907,1507.53916
230.0,498,1508.920194
400.0,589,1510.567859
1590.0,1330,1514.065711
420.0,841,1516.662049
840.0,953,1519.456623
230.0,618,1521.092464
610.0,810,1523.159355
710.0,951,1525.933585
460.0,564,1527.488497
710.0,822,1530.024286
550.0,688,1531.860759
270.0,516,1533.338813
1030.0,1085,1536.375975
1000.0,870,1538.939676
550.0,767,1546.038795
730.0,917,1548.748664
520.0,794,1551.210392
600.0,824,1553.280564
370.0,589,1554.878492
280.0,895,1557.549653
790.0,770,1559.532089
760.0,753,1561.901312
690.0,872,1564.460881
920.0,1119,1567.579435
610.0,731,1569.449861
870.0,1177,1572.669257
540.0,776,1575.11484
790.0,1027,1578.099977
630.0,825,1580.163487
670.0,695,1587.884783
920.0,1113,1591.017694
670.0,833,1593.122149
460.0,748,1595.49807
350.0,529,1597.007523
510.0,785,1599.020183
550.0,912,1601.71909
770.0,1234,1605.085785
270.0,475,1606.498756
300.0,437,1607.774791
870.0,978,1610.618066
940.0,994,1613.467033
850.0,1019,1616.393826
480.0,877,1618.570587
520.0,926,1621.344459
740.0,1032,1629.672093
540.0,917,1632.423785
930.0,899,1635.142382
940.0,1167,1638.359334
750.0,730,1640.273272
750.0,963,1643.054437
480.0,696,1644.8513
410.0,793,1647.324903
580.0,897,1649.970029
840.0,822,1652.071364
820.0,797,1654.533734
340.0,488,1655.947271
350.0,625,1657.630576
590.0,902,1659.858294
1060.0,1096,1663.526001
540.0,888,1671.031341
1160.0,830,1673.56855
930.0,1327,1677.047631
640.0,890,1679.650366
770.0,1064,1682.652648
560.0,838,1685.245052
1970.0,1575,1689.830475
510.0,827,1691.948733
650.0,1260,1695.863605
520.0,809,1697.903281
460.0,824,1700.462296
670.0,924,1703.212967
540.0,867,1705.39306
1310.0,1344,1714.53916
630.0,1144,1717.694436
1610.0,1115,1720.846734
2280.0,1020,1723.804866
880.0,814,1726.254393
630.0,717,1728.142956
590.0,818,1730.289297
810.0,958,1733.125381
910.0,953,1735.925431
400.0,866,1738.517203
450.0,677,1740.270797
900.0,832,1742.773877
500.0,685,1744.604276
350.0,511,1746.019162
270.0,668,1747.73114
740.0,1249,1756.13564
490.0,716,1758.022162
590.0,700,1759.829236
1240.0,1153,1763.064658
1670.0,1462,1767.285573
690.0,773,1769.730254
960.0,1068,1772.756307
970.0,1349,1776.331182
590.0,1095,1779.396343
330.0,646,1781.566615
410.0,582,1783.142705
830.0,815,1785.176791
590.0,1237,1788.972828
1270.0,908,1796.69896
530.0,860,1799.40405
1360.0,1102,1802.58209
970.0,903,1805.301711
840.0,921,1808.13139
1040.0,785,1810.136151
1000.0,1252,1814.043931
600.0,796,1816.13523
980.0,984,1818.946028
540.0,997,1821.794211
970.0,1342,1825.366518
850.0,953,1828.188314
300.0,671,1830.330239
660.0,746,1838.371099
520.0,760,1840.382221
1450.0,1147,1844.021491
780.0,808,1846.076589
500.0,596,1847.714861
780.0,1024,1850.604768
1350.0,1063,1853.606189
620.0,723,1855.903919
580.0,642,1857.649767
750.0,996,1860.507267
740.0,817,1862.56302
760.0,942,1865.296144
670.0,768,1867.314438
890.0,1017,1870.271777
780.0,1178,1873.954028
1230.0,1422,1882.329164
650.0,1105,1885.832746
1660.0,1246,1889.208552
370.0,692,1890.985088
280.0,625,1892.694964
780.0,1088,1895.786644
470.0,752,1898.139318
880.0,860,1900.273136
540.0,718,1902.578247
590.0,749,1904.535517
420.0,618,1906.261295
510.0,688,1908.563005
550.0,782,1910.594782
520.0,794,1913.13831
870.0,996,1920.376356
800.0,988,1922.849175
930.0,1040,1925.819498
650.0,974,1928.626662
490.0,695,1930.820105
780.0,971,1933.192476
690.0,768,1935.607588
690.0,896,1938.280885
830.0,868,1940.395179
1270.0,1107,1943.491402
900.0,1067,1946.509761
