#{"t_start": 1679469618.9096963, "env_id": "Breakout-v4"}
r,l,t
1.0,239,4.593389
1.0,248,5.140144
4.0,465,6.87237
2.0,284,7.513845
3.0,343,8.811002
0.0,206,9.171922
1.0,270,10.193288
1.0,236,10.661795
2.0,328,11.371306
3.0,403,12.675071
2.0,289,13.337275
2.0,326,14.463747
3.0,359,15.665867
3.0,336,16.324729
0.0,197,16.682501
2.0,334,17.864275
0.0,179,18.26169
2.0,308,18.961927
3.0,376,20.281636
3.0,354,21.41694
0.0,186,21.72999
1.0,247,22.204761
2.0,335,23.323629
0.0,192,23.724323
2.0,289,24.357676
2.0,278,25.410237
2.0,298,26.067527
2.0,294,27.081057
3.0,365,27.972422
2.0,321,29.191333
3.0,363,30.018856
3.0,406,31.350192
2.0,303,32.011003
2.0,308,33.084018
2.0,297,33.759456
2.0,292,34.77207
1.0,259,35.281531
0.0,197,35.708062
0.0,202,36.509992
2.0,290,37.195509
2.0,278,37.886242
2.0,336,39.072673
2.0,292,39.71961
3.0,352,40.917148
2.0,287,41.575593
0.0,212,42.351083
2.0,303,43.050595
0.0,179,43.434091
0.0,189,44.233018
2.0,294,44.893157
2.0,308,45.540284
3.0,361,46.727355
2.0,273,47.341385
2.0,305,48.343356
0.0,209,48.775895
3.0,348,49.973354
0.0,206,52.027909
3.0,358,53.247535
0.0,182,53.570177
2.0,298,54.178728
6.0,519,55.837633
2.0,271,56.451309
3.0,350,57.545023
2.0,326,58.621218
3.0,355,59.3961
1.0,240,59.80516
0.0,201,60.519207
3.0,366,61.325518
3.0,363,62.544688
2.0,309,63.191088
3.0,342,64.386579
0.0,196,64.703189
2.0,283,65.315913
4.0,429,66.729571
0.0,187,67.109264
0.0,201,67.823521
2.0,290,68.420859
2.0,305,69.009106
0.0,168,69.738474
3.0,369,70.555318
2.0,284,71.531113
0.0,199,71.9221
1.0,256,72.454448
2.0,297,73.427303
5.0,471,74.929161
3.0,375,75.731026
3.0,396,76.940216
4.0,436,77.914791
0.0,203,78.720749
0.0,190,79.046334
3.0,346,80.152813
3.0,357,81.007206
2.0,292,81.995408
2.0,321,82.653521
2.0,331,83.340771
2.0,291,84.350398
3.0,356,85.518347
3.0,346,86.297905
2.0,301,87.27831
0.0,176,87.590187
3.0,362,88.323889
0.0,182,89.071746
3.0,346,89.856416
2.0,296,90.868072
2.0,286,91.45325
3.0,338,92.110945
4.0,417,93.29659
2.0,292,94.230835
2.0,310,94.935064
3.0,363,97.375277
3.0,383,98.143755
2.0,307,99.172588
3.0,370,99.950848
2.0,294,101.005388
3.0,337,101.793271
2.0,303,102.865217
2.0,301,103.489628
2.0,319,104.508071
0.0,186,104.820801
1.0,238,105.279329
1.0,237,106.146764
3.0,353,106.891867
4.0,373,108.120691
2.0,284,108.689692
2.0,277,109.679163
1.0,236,110.179167
3.0,372,110.898932
2.0,297,111.864076
1.0,261,112.325884
3.0,363,113.502768
3.0,361,114.257492
2.0,298,115.21331
8.0,485,116.643775
1.0,247,117.110233
2.0,281,117.677719
1.0,256,118.565838
0.0,211,118.929209
4.0,416,120.158562
6.0,534,121.740139
1.0,247,122.264481
3.0,336,122.937648
6.0,537,124.435578
3.0,342,125.510753
4.0,442,126.761943
4.0,393,127.559975
0.0,190,127.932702
7.0,625,130.025246
3.0,313,130.727041
3.0,331,131.869953
2.0,295,132.493716
14.0,692,134.462628
3.0,345,135.593283
3.0,357,136.341884
4.0,422,137.560828
1.0,254,137.965554
5.0,487,141.289831
3.0,339,142.393736
3.0,331,143.086357
2.0,285,144.117309
2.0,320,144.824477
4.0,406,146.124787
4.0,384,146.891693
6.0,486,148.30068
3.0,339,149.385355
2.0,292,149.908466
4.0,396,151.051874
5.0,450,152.396924
2.0,294,152.985289
7.0,602,154.618706
5.0,475,155.938346
3.0,356,156.598555
4.0,401,157.821309
2.0,343,158.979615
3.0,366,159.752514
3.0,353,160.916717
3.0,370,161.679363
6.0,538,163.16972
4.0,418,164.364377
4.0,378,165.108488
4.0,388,166.280199
5.0,459,167.583209
5.0,427,168.811147
3.0,363,169.535655
4.0,426,170.788384
3.0,348,171.439447
3.0,358,172.49359
6.0,576,174.058963
4.0,412,175.361191
4.0,396,176.109185
4.0,375,177.201422
4.0,384,177.918581
5.0,412,179.143592
3.0,345,180.205127
4.0,368,182.950215
5.0,437,184.218569
3.0,343,184.778018
5.0,496,186.05393
4.0,400,187.192766
4.0,430,188.420462
3.0,331,189.011374
2.0,290,189.850784
5.0,456,190.743443
7.0,615,192.43304
8.0,574,193.896394
2.0,309,194.806036
4.0,422,195.597048
4.0,445,196.744803
4.0,418,197.830032
3.0,354,198.444407
5.0,473,199.791182
3.0,371,200.894505
6.0,497,202.261919
2.0,306,202.776913
8.0,610,204.406494
8.0,472,205.683809
5.0,458,206.984607
3.0,357,207.650378
8.0,644,209.313503
5.0,475,210.56515
6.0,497,211.897108
2.0,271,212.37711
2.0,304,213.308946
4.0,417,214.461818
2.0,293,215.002216
3.0,349,215.995336
1.0,229,216.367825
6.0,565,217.812765
3.0,359,218.45723
6.0,502,219.818195
3.0,374,223.301245
1.0,222,223.669021
5.0,471,225.03644
8.0,450,226.338179
4.0,404,227.145225
