#{"t_start": 1678451618.0617244, "env_id": "DemonAttack-v4"}
r,l,t
140.0,919,5.846836
90.0,711,7.539887
160.0,2099,12.832271
100.0,899,15.285856
100.0,1313,18.900478
70.0,333,19.350911
160.0,1061,22.104897
120.0,1080,24.790707
325.0,5299,42.600668
190.0,1278,45.525125
205.0,1705,49.29045
140.0,1615,53.177636
30.0,269,53.58327
130.0,1935,58.787522
110.0,1375,62.073838
175.0,985,64.553516
100.0,1259,68.056026
80.0,712,69.560298
250.0,1880,78.635468
265.0,1325,81.821266
265.0,1481,85.264354
235.0,1402,88.146559
340.0,1742,92.270964
150.0,701,94.333578
250.0,1458,97.658436
440.0,2684,105.494952
100.0,1616,109.882348
90.0,710,116.282489
80.0,758,118.026412
110.0,1034,120.726087
325.0,1653,124.745271
120.0,937,127.121225
205.0,1336,130.193048
100.0,776,132.211012
265.0,1809,136.321276
235.0,1606,140.189941
175.0,1183,142.956584
140.0,998,145.457153
235.0,1383,155.636571
100.0,886,157.508527
30.0,392,158.464824
310.0,1783,162.527688
190.0,2139,168.05546
310.0,2223,173.303952
280.0,1713,177.456227
800.0,2763,184.406775
295.0,2864,200.46365
720.0,2712,206.911387
150.0,1017,209.243179
640.0,2605,215.246611
420.0,1848,219.341478
760.0,2343,236.321389
265.0,1774,240.767687
385.0,1623,244.977635
235.0,1862,249.522268
140.0,970,252.063271
310.0,1923,256.856739
385.0,2361,261.949524
190.0,1378,265.164311
325.0,1507,277.819026
680.0,3060,285.614127
60.0,469,286.824308
355.0,2624,294.074102
1880.0,3943,305.016972
265.0,1997,309.634284
175.0,967,323.553646
120.0,801,325.747907
1500.0,3948,335.649971
295.0,2162,341.378269
880.0,2676,348.931294
840.0,3011,370.294389
1740.0,4962,383.359313
140.0,1093,386.214726
90.0,590,387.746747
340.0,2014,393.222431
265.0,1934,397.994106
100.0,1144,400.655797
2815.0,4674,426.256328
1900.0,3647,435.543384
1080.0,3330,444.490606
340.0,1896,459.232299
500.0,1684,463.461215
1080.0,3652,473.457307
340.0,1992,478.718658
720.0,3146,486.786026
620.0,3008,506.789392
1620.0,3975,516.873826
580.0,2005,522.207196
175.0,1230,525.395423
1040.0,3338,534.695785
1220.0,3628,560.447267
385.0,2106,565.263702
1000.0,3489,574.250987
2920.0,5337,604.62615
2635.0,5564,618.092261
1620.0,4642,630.022119
860.0,4209,658.296413
1360.0,4273,668.542205
2150.0,4883,680.894003
1340.0,3417,706.640685
5440.0,7685,725.810329
980.0,2689,732.110037
900.0,3563,758.340211
1680.0,4300,769.547485
1240.0,3777,778.911834
1700.0,4901,807.406357
2170.0,5487,821.331832
3605.0,6923,858.027755
1040.0,3218,866.386801
1560.0,4298,878.502138
1700.0,4796,901.983186
3240.0,10170,929.236295
1865.0,4540,962.934937
3370.0,6571,980.612129
385.0,1816,985.216678
920.0,4442,1014.540762
1040.0,3585,1023.847429
1320.0,4075,1033.898734
1720.0,3456,1066.828897
1540.0,4250,1077.685694
740.0,4193,1087.396627
1700.0,4048,1126.128691
740.0,2627,1132.427515
385.0,1968,1136.891607
520.0,2656,1142.95886
2765.0,5277,1179.600694
1160.0,3892,1188.410487
2790.0,5030,1200.857504
1540.0,4367,1231.143082
1300.0,3017,1238.317722
1620.0,5100,1251.164803
1300.0,3666,1277.497548
1920.0,4389,1287.578221
740.0,2789,1293.769375
3395.0,4756,1320.396569
1140.0,4457,1330.942479
1460.0,3457,1339.558857
1620.0,3548,1348.105896
1720.0,4377,1375.023325
920.0,3443,1383.662009
1240.0,4000,1394.451841
370.0,2378,1419.371055
3620.0,6240,1435.028318
1280.0,3636,1444.424516
4210.0,7341,1483.028218
1380.0,3905,1492.278111
1580.0,3897,1518.912578
1120.0,3395,1528.190635
1620.0,4370,1538.511209
600.0,4058,1548.46731
1560.0,4925,1574.049098
1040.0,3517,1582.778732
1950.0,4631,1593.58727
960.0,3124,1621.353403
235.0,1415,1624.735909
1860.0,3953,1633.513223
2205.0,5455,1661.864129
500.0,2393,1668.025863
2445.0,5475,1681.632421
1835.0,5667,1710.754657
355.0,2649,1717.94632
1040.0,4892,1730.073019
2305.0,4782,1757.623301
2000.0,4496,1768.265551
3770.0,7042,1784.663053
1740.0,4704,1810.619317
2305.0,4888,1823.184268
2650.0,5667,1855.918073
1580.0,3997,1864.99112
780.0,2725,1871.080584
940.0,3486,1879.809949
2145.0,4940,1907.293244
1840.0,5637,1920.10383
1500.0,3786,1948.267284
820.0,3349,1956.289841
880.0,3081,1963.94564
3115.0,5090,1995.844521
370.0,2675,2001.906517
2240.0,4793,2012.927773
355.0,1986,2017.129812
2400.0,5293,2047.1699
1440.0,4326,2056.896405
3140.0,5366,2069.01694
295.0,2062,2094.476804
2825.0,5280,2106.276901
1460.0,4490,2116.626503
1200.0,3660,2143.302099
1100.0,3982,2151.921796
2000.0,4847,2163.533253
1360.0,3172,2190.837712
2080.0,4388,2200.428305
340.0,2172,2205.194455
1840.0,4104,2214.755889
1780.0,4482,2245.919514
1080.0,3662,2254.517201
3505.0,5302,2267.772378
420.0,2075,2297.667143
1880.0,5713,2311.982333
1540.0,4053,2321.929726
1780.0,4764,2356.693995
1080.0,4200,2366.744946
1280.0,3375,2374.450297
1260.0,3656,2400.001251
1800.0,3941,2408.872593
1500.0,4774,2420.255599
1640.0,4338,2447.353264
1520.0,3911,2457.040197
1140.0,3669,2466.137881
840.0,3374,2492.773326
540.0,2667,2499.440693
1240.0,3743,2508.910809
2640.0,5608,2521.685507
1880.0,5033,2549.8404
1580.0,4209,2559.645879
2295.0,4500,2593.573098
2805.0,5563,2606.790775
960.0,3105,2614.513454
3210.0,5111,2643.707059
2000.0,4345,2655.295352
2565.0,5507,2668.997861
2095.0,4870,2700.120306
1200.0,3565,2709.460365
560.0,2456,2715.448198
385.0,2552,2721.489522
1580.0,3401,2749.735147
4240.0,6574,2765.867238
2000.0,6418,2802.311257
3840.0,7015,2819.929356
1460.0,3677,2854.496239
2375.0,4900,2866.143246
1760.0,4516,2877.156979
680.0,2602,2906.110475
5530.0,8039,2925.322516
2080.0,4378,2936.715417
4480.0,6905,2971.191091
1400.0,3629,2979.988454
1890.0,3743,3007.062534
3450.0,5796,3020.775394
1580.0,3910,3029.714903
1960.0,5470,3064.073864
1420.0,3843,3073.326975
3320.0,5955,3109.294678
3555.0,5842,3124.615947
1000.0,3489,3133.791186
4460.0,6703,3176.784014
420.0,2672,3183.452763
2320.0,4582,3194.146184
2170.0,4863,3231.921312
2385.0,4565,3243.026728
420.0,2745,3250.00918
1560.0,4217,3283.578981
1880.0,4674,3295.748063
2640.0,5180,3307.753914
3715.0,6426,3345.217977
3335.0,6257,3360.471131
2785.0,5942,3394.05668
2895.0,5693,3408.080174
800.0,3542,3441.80697
5400.0,8464,3462.629084
3415.0,5243,3502.713258
520.0,2796,3509.424564
5160.0,7228,3548.146855
3440.0,5580,3561.106765
1560.0,4562,3571.816944
2745.0,5604,3605.917957
2215.0,5400,3618.215547
3890.0,6110,3654.968991
1680.0,4179,3664.997009
1740.0,3984,3673.869349
1865.0,5094,3704.47462
1060.0,3346,3713.020066
1500.0,4821,3725.369195
340.0,1953,3730.10877
3910.0,6812,3770.640461
3415.0,6456,3815.184458
3190.0,5616,3828.610463
2245.0,5023,3841.387041
420.0,2120,3877.897944
2435.0,5384,3891.624956
5540.0,8762,3944.800105
7020.0,8125,3964.315749
5650.0,7587,4005.682021
2805.0,6532,4019.837675
4910.0,7398,4063.593925
2875.0,6303,4078.294861
5630.0,7476,4123.898856
3135.0,6598,4167.133919
2420.0,4912,4177.792664
3620.0,7230,4224.07703
4700.0,9165,4247.024485
1120.0,4310,4286.37886
4075.0,7778,4304.700312
295.0,1722,4308.773578
4410.0,6782,4344.698353
3430.0,6456,4360.925488
560.0,2148,4398.03871
1420.0,4309,4408.303409
4050.0,7899,4454.776972
4210.0,7081,4472.482453
1910.0,4749,4482.98765
1520.0,3583,4516.356387
3370.0,6995,4532.438942
3275.0,5711,4564.509164
1540.0,4247,4575.371288
3575.0,6078,4615.847691
1440.0,3124,4623.733341
4580.0,7692,4641.859695
700.0,3061,4672.622841
2730.0,4628,4684.03611
4260.0,7221,4730.849799
3730.0,6381,4746.454416
2710.0,5402,4758.520303
4440.0,6843,4798.987231
880.0,3438,4807.601538
3890.0,7821,4844.701107
700.0,3042,4851.799575
1340.0,3845,4861.307333
340.0,1888,4886.731737
1200.0,2866,4893.996518
3890.0,6880,4910.016882
2040.0,4313,4945.669585
1920.0,4314,4956.235266
3815.0,7763,4999.206236
3810.0,6248,5014.130453
860.0,2885,5020.306881
2415.0,5469,5054.060013
1200.0,3975,5062.861606
1860.0,4070,5072.091669
1100.0,2861,5100.14765
2150.0,4318,5109.765841
960.0,3823,5118.271125
1600.0,3779,5152.126828
2725.0,5831,5165.201736
2365.0,5324,5178.047861
1420.0,4534,5221.295681
4030.0,7323,5239.515697
2390.0,5452,5278.917219
2355.0,5067,5291.31565
1000.0,3220,5299.699785
1920.0,4107,5338.537751
2650.0,4712,5349.294536
5450.0,6790,5387.974019
5850.0,8271,5407.658844
4820.0,7758,5452.343404
2940.0,5780,5464.893042
780.0,2275,5494.728783
2670.0,5170,5505.866279
580.0,1999,5510.575666
1560.0,4147,5520.309278
3690.0,6435,5562.834051
4260.0,5852,5575.628972
4600.0,6394,5629.805088
3145.0,4871,5641.939209
4860.0,6256,5681.311407
4725.0,7641,5699.871357
2670.0,4730,5733.53154
4360.0,5766,5748.183739
6885.0,8626,5797.693882
3445.0,5722,5811.518477
7535.0,8327,5858.868389
5350.0,6286,5903.491834
5480.0,6936,5921.093594
2930.0,4547,5932.260211
3040.0,5405,5971.251386
3870.0,6806,5988.344252
4850.0,6506,6028.086641
4300.0,6392,6043.639729
3440.0,5599,6085.937024
5350.0,7626,6105.355879
4750.0,6590,6149.761016
2515.0,4615,6161.808324
1860.0,4328,6197.635345
7080.0,9942,6223.210272
5230.0,7336,6276.056984
4680.0,6839,6323.414279
4030.0,5657,6337.692315
