#{"t_start": 1680703008.479482, "env_id": "Freeway-v4"}
r,l,t
24.0,2750,11.081328
21.0,2744,18.318471
24.0,2731,26.293201
21.0,2734,35.144749
23.0,2721,60.698436
18.0,2738,67.713563
21.0,2724,76.108235
22.0,2712,85.03636
23.0,2718,93.719584
22.0,2728,119.89314
22.0,2726,128.847423
22.0,2724,137.652014
25.0,2716,146.863706
20.0,2722,175.24912
21.0,2727,183.652678
25.0,2719,191.867938
28.0,2755,201.221256
21.0,2741,210.250519
22.0,2740,236.504652
20.0,2718,245.184765
27.0,2733,253.275858
20.0,2732,261.703012
21.0,2691,270.408885
21.0,2722,297.719056
24.0,2709,306.280063
18.0,2738,314.311255
21.0,2735,322.312816
23.0,2734,350.535866
21.0,2737,359.350509
21.0,2759,367.303549
21.0,2729,375.253327
24.0,2728,383.787651
23.0,2753,411.862753
20.0,2731,420.321977
23.0,2727,427.980994
20.0,2716,436.553044
25.0,2743,465.436277
19.0,2722,473.585281
21.0,2733,481.873421
23.0,2746,490.764169
20.0,2742,500.368882
22.0,2714,526.519804
24.0,2710,534.903338
20.0,2724,543.807484
19.0,2716,552.862005
23.0,2733,562.475518
22.0,2747,589.064493
22.0,2726,597.732239
21.0,2737,606.766629
19.0,2730,616.22487
20.0,2751,643.296645
21.0,2723,652.288808
27.0,2751,661.38268
20.0,2681,670.377881
21.0,2712,678.823381
21.0,2723,706.101286
19.0,2732,715.26129
22.0,2738,723.909486
23.0,2736,732.789672
26.0,2772,760.474339
22.0,2719,769.111393
20.0,2726,777.595201
22.0,2766,787.274927
20.0,2717,796.135313
20.0,2735,823.353733
28.0,2715,831.116946
20.0,2749,841.085162
23.0,2723,850.075429
21.0,2750,859.224483
21.0,2735,884.962511
26.0,2732,893.941723
20.0,2706,903.063234
28.0,2722,911.862489
20.0,2717,937.839182
19.0,2738,946.655056
21.0,2708,956.126437
25.0,2755,964.715021
22.0,2717,972.587344
20.0,2707,998.733932
24.0,2737,1008.038447
21.0,2707,1017.019373
19.0,2753,1025.091559
26.0,2751,1051.711928
26.0,2722,1060.548804
23.0,2731,1069.229799
22.0,2728,1077.714473
19.0,2716,1085.329634
20.0,2737,1111.294849
23.0,2727,1120.479782
20.0,2760,1129.674632
21.0,2731,1137.552209
21.0,2742,1145.73189
22.0,2740,1173.685465
24.0,2741,1182.333782
23.0,2709,1189.825785
22.0,2738,1198.455642
25.0,2737,1226.135342
21.0,2730,1234.408751
20.0,2718,1243.03173
19.0,2738,1251.338272
20.0,2731,1259.472902
19.0,2729,1286.913101
19.0,2707,1295.436053
23.0,2729,1303.939435
19.0,2728,1312.183403
21.0,2705,1339.587232
19.0,2731,1348.269241
21.0,2724,1356.627456
26.0,2733,1365.129656
23.0,2746,1374.14549
25.0,2732,1400.12233
21.0,2747,1409.421646
21.0,2726,1417.678208
21.0,2747,1426.660613
25.0,2717,1435.661067
22.0,2726,1463.350529
23.0,2717,1471.698627
21.0,2751,1480.277097
19.0,2730,1489.575894
20.0,2750,1517.369081
19.0,2748,1525.873429
21.0,2743,1534.755475
22.0,2713,1543.488537
22.0,2725,1552.039922
22.0,2725,1578.894221
21.0,2713,1586.588412
22.0,2724,1594.925974
22.0,2732,1604.599137
20.0,2759,1631.184706
27.0,2734,1638.966374
20.0,2764,1647.482765
26.0,2720,1656.713372
28.0,2754,1666.136153
22.0,2728,1692.459501
19.0,2729,1700.276512
23.0,2732,1709.509393
20.0,2756,1719.381291
23.0,2749,1728.448681
22.0,2742,1753.635073
20.0,2712,1762.813231
20.0,2726,1772.333837
25.0,2747,1781.461917
21.0,2735,1807.026344
23.0,2730,1816.478839
24.0,2753,1825.688932
22.0,2752,1835.07092
18.0,2727,1844.053325
23.0,2710,1869.456589
