#{"t_start": 1680678122.8755016, "env_id": "Frostbite-v4"}
r,l,t
70.0,589,5.391107
40.0,504,6.381943
100.0,542,7.856632
80.0,496,9.226597
90.0,507,10.63429
50.0,472,11.916249
60.0,440,13.144683
60.0,540,14.553019
120.0,547,16.062582
140.0,575,17.619039
20.0,396,18.315437
110.0,538,19.862232
60.0,546,21.266066
90.0,478,22.61744
70.0,451,24.167253
50.0,390,25.103294
90.0,517,26.7633
100.0,513,28.188837
90.0,495,29.56816
120.0,519,31.043897
80.0,465,32.215
140.0,638,33.803719
30.0,453,35.071345
110.0,477,36.006914
80.0,447,37.352665
50.0,477,38.817905
130.0,557,40.431612
200.0,743,45.399899
100.0,527,47.05809
90.0,555,48.685368
40.0,360,49.81587
150.0,570,51.504011
140.0,604,53.238818
50.0,442,54.55956
140.0,615,56.341031
100.0,610,58.17832
90.0,519,59.642971
120.0,549,61.147119
80.0,465,62.069651
90.0,607,63.603488
60.0,468,64.908563
100.0,571,66.407918
150.0,554,67.810453
150.0,581,69.282978
110.0,542,70.699003
80.0,474,72.002739
90.0,606,73.485025
100.0,550,74.922353
200.0,790,77.017385
100.0,557,78.605412
200.0,727,80.909809
160.0,551,82.522809
100.0,605,88.757423
120.0,599,90.494554
170.0,727,92.45381
200.0,685,94.336646
80.0,460,95.775917
110.0,511,97.351091
50.0,422,98.710401
200.0,700,100.689711
130.0,562,102.264816
190.0,637,103.921518
210.0,728,105.877761
200.0,659,107.637923
200.0,711,109.865488
180.0,626,111.710194
190.0,649,113.496983
140.0,610,115.249098
160.0,635,117.078175
210.0,718,119.114211
90.0,478,120.585077
200.0,709,122.60947
120.0,563,124.300782
230.0,800,127.129529
180.0,654,132.609076
100.0,470,133.993457
230.0,647,135.682311
190.0,627,137.348154
180.0,554,138.986052
200.0,650,140.909391
170.0,606,142.758572
170.0,613,144.591147
180.0,649,146.739945
100.0,505,147.877786
190.0,676,150.283689
170.0,670,152.248905
190.0,786,154.431924
170.0,661,156.27136
230.0,764,158.758705
250.0,831,161.044885
220.0,690,163.356783
230.0,702,165.295456
160.0,653,167.220637
180.0,751,169.379887
210.0,660,171.701114
220.0,754,177.487274
140.0,517,179.049236
200.0,700,180.945257
170.0,557,182.491672
120.0,573,184.141449
160.0,568,185.785523
250.0,836,188.313416
200.0,750,190.384913
150.0,543,192.005378
170.0,650,193.754764
210.0,766,195.83483
1220.0,1129,199.477661
170.0,610,201.229728
160.0,688,203.31191
190.0,565,204.930071
240.0,779,207.071025
230.0,813,209.760534
190.0,618,211.56753
200.0,762,213.718414
