#{"t_start": 1680765573.8585105, "env_id": "Krull-v4"}
r,l,t
6720.0,1966,9.011207
6420.0,1930,14.477652
6140.0,1782,18.923858
7050.0,2017,24.453218
6890.0,1920,29.941357
6590.0,1892,34.823409
2520.0,981,37.511982
7200.0,1990,54.272349
6790.0,1984,59.598186
6640.0,1937,64.404116
4990.0,1665,69.645174
6850.0,1956,75.135936
7290.0,1995,81.854023
4560.0,1714,98.833521
7150.0,2028,104.485931
7110.0,1970,110.330268
6970.0,1959,116.973186
6990.0,1944,122.729895
5760.0,1770,128.321094
7090.0,1985,134.355907
6060.0,1933,151.734958
5680.0,1838,158.098366
5630.0,1856,164.028694
6540.0,1899,170.466828
5590.0,1868,176.614275
5820.0,1853,182.368084
6800.0,1949,188.193924
6310.0,1890,204.525357
7090.0,1937,211.156286
6850.0,1968,217.910036
6710.0,1953,224.281575
7070.0,1975,229.856186
7160.0,1975,235.614913
7300.0,1998,252.757501
5650.0,2151,259.963547
7390.0,1917,266.666241
7170.0,1978,273.393649
5490.0,1677,279.067645
7400.0,1932,284.759859
6740.0,1913,290.509298
6340.0,1923,309.481719
6740.0,1902,315.486524
7150.0,1962,322.253149
6020.0,2215,329.445932
7080.0,1988,335.664237
7100.0,1978,341.365359
7310.0,2587,361.866338
6710.0,1935,367.958273
6980.0,1969,374.628332
7040.0,1969,381.353326
6390.0,2156,387.886923
5190.0,1615,392.434729
4640.0,1609,397.34638
7080.0,1965,414.885807
6470.0,1957,421.36782
7560.0,2544,429.576428
6920.0,1952,435.265033
6710.0,1952,441.14284
6720.0,1925,447.232463
6540.0,1884,465.274893
4450.0,1429,469.867853
6400.0,1950,476.066259
6900.0,1959,482.635595
6950.0,1941,488.283485
5940.0,1823,493.853207
4750.0,1455,498.003005
6590.0,1977,515.852368
6870.0,1947,522.221914
5430.0,1733,528.005499
6830.0,1963,534.535966
6990.0,1968,540.466965
6120.0,1949,546.018137
6730.0,1944,552.560595
6850.0,1954,571.509522
6360.0,1941,578.01529
6470.0,1893,583.875834
6260.0,1904,590.010732
6530.0,1962,595.755922
6690.0,1979,602.102284
6400.0,1977,608.452082
7150.0,1926,626.211924
6640.0,1930,632.084406
6350.0,2149,638.66147
6530.0,1927,644.755333
7170.0,1968,650.960191
5440.0,1707,656.06968
7230.0,1960,673.909033
6380.0,2124,680.6559
6730.0,1908,686.526803
6560.0,1974,692.38968
6820.0,1965,698.919148
7110.0,1990,705.252311
7080.0,1975,711.276233
6960.0,1941,729.422543
3880.0,1422,733.980446
7190.0,1956,740.356146
6970.0,1996,746.854565
5020.0,1701,752.366514
7380.0,1942,758.487108
7140.0,1942,763.695226
6660.0,1926,782.310435
7310.0,2010,788.549915
7390.0,1981,794.537271
5590.0,1692,800.639726
7660.0,2558,808.844047
7020.0,1921,813.963256
6850.0,1999,832.045164
7140.0,1996,838.265336
5370.0,1662,843.486361
6610.0,1964,850.131267
6820.0,1956,856.673344
6840.0,1968,862.569268
6480.0,1918,868.266768
6810.0,1967,885.983916
7150.0,1954,891.817062
7180.0,1944,898.278502
5930.0,1881,904.740152
6480.0,1914,910.671769
5600.0,1924,916.67306
7050.0,1989,933.918529
5590.0,1804,939.1807
7010.0,1944,945.769665
670.0,742,947.903975
8270.0,2624,956.591227
6830.0,1961,963.072994
7230.0,1956,969.317357
6850.0,1973,987.572654
6680.0,1958,993.471187
5760.0,2239,1001.0726
7180.0,1951,1007.064872
7110.0,1959,1013.472034
6110.0,1868,1019.440699
6190.0,2107,1025.724344
6570.0,1933,1043.574184
6770.0,1980,1050.253887
5270.0,1746,1055.900513
5350.0,1773,1061.894087
6000.0,1885,1067.500685
6640.0,1938,1073.665447
6920.0,1924,1090.286399
6850.0,1941,1096.355664
7000.0,1938,1102.706132
6700.0,1961,1109.197174
7170.0,1989,1115.403152
7380.0,1956,1121.241749
6950.0,1929,1127.409383
7580.0,2652,1147.42223
7180.0,1982,1153.978687
6330.0,1894,1159.878543
7010.0,1963,1166.338953
4670.0,1830,1172.120114
4500.0,1424,1176.215923
6430.0,1809,1181.970706
5980.0,1946,1200.088042
7160.0,1985,1206.073266
6770.0,1969,1212.714035
6600.0,1988,1218.98903
5370.0,1674,1224.04525
2970.0,1125,1227.469076
4790.0,1584,1232.15679
6930.0,1987,1250.388179
8430.0,2630,1259.17466
6790.0,1937,1265.67915
6070.0,1777,1270.883876
6660.0,1916,1277.078893
6900.0,1930,1282.69138
7080.0,1989,1299.480592
7000.0,1959,1306.092689
6720.0,1972,1312.520159
6900.0,1916,1318.325489
6830.0,1910,1324.617106
7240.0,1999,1331.129851
7160.0,1993,1337.48324
6880.0,1950,1354.896851
7350.0,2001,1361.698734
5470.0,1758,1367.278673
6340.0,1916,1373.641504
4950.0,1546,1378.44854
6410.0,1907,1384.523854
6650.0,1921,1390.008801
6940.0,1949,1408.684248
7480.0,1993,1415.378652
7040.0,1980,1421.594657
6330.0,1951,1427.14918
6720.0,1936,1432.865016
6930.0,1921,1438.86139
7450.0,1964,1456.759902
5480.0,1746,1462.416332
6510.0,1943,1468.741166
6810.0,1927,1474.269863
7290.0,1948,1479.945457
6270.0,1816,1485.332527
4940.0,2008,1492.076376
3230.0,1204,1508.760358
6820.0,1980,1515.361459
7200.0,1999,1521.669801
6990.0,2006,1527.593157
5370.0,1668,1532.414406
6960.0,1910,1538.79153
6500.0,1929,1544.724894
6460.0,1860,1562.163586
6860.0,1965,1568.7056
6040.0,1869,1573.876402
4800.0,1540,1578.195854
5560.0,1885,1583.78584
6050.0,1858,1589.566345
6490.0,1932,1595.943273
6680.0,1906,1614.074115
6900.0,1903,1620.081276
6940.0,1924,1625.847098
5240.0,1623,1630.499225
7260.0,1968,1636.685375
6490.0,1895,1642.515536
5550.0,1682,1647.979564
6400.0,1951,1666.165027
6450.0,1957,1672.651705
6200.0,1908,1678.288087
7230.0,1991,1683.394728
6150.0,1926,1689.825893
6870.0,1958,1696.317631
5760.0,1903,1714.496761
6540.0,1932,1720.729653
6670.0,1906,1726.49839
6660.0,1942,1731.607633
6600.0,1948,1737.669508
7060.0,1978,1744.364414
5770.0,2078,1751.33929
5700.0,1939,1769.214261
6060.0,1936,1774.951965
6580.0,1927,1780.563544
6640.0,1983,1786.357115
7130.0,1991,1792.461592
5670.0,1782,1798.467445
6670.0,1946,1804.681134
4750.0,1636,1821.159971
5160.0,1590,1826.090581
7700.0,2634,1833.883926
6650.0,1926,1839.609578
6540.0,1932,1845.954744
6800.0,1947,1852.15879
6970.0,1946,1871.135965
5870.0,1818,1876.294064
6440.0,1899,1882.078746
5090.0,1664,1886.99059
6120.0,1819,1892.246523
6390.0,1875,1898.337857
6520.0,1837,1903.761796
6960.0,1979,1922.127379
5250.0,1772,1927.214557
6720.0,1918,1933.062407
5460.0,1919,1938.889295
5560.0,2140,1945.702924
5940.0,1830,1951.378147
6550.0,1929,1957.549988
6270.0,1911,1974.173082
6890.0,1917,1979.515958
6490.0,1967,1985.745244
6950.0,1910,1991.801029
6950.0,1928,1997.574822
6770.0,1994,2004.256264
6400.0,1945,2023.474787
6790.0,1940,2029.371754
5870.0,2093,2035.966517
5970.0,2084,2042.401819
5550.0,1746,2047.74352
6060.0,1963,2054.320796
6750.0,1949,2060.459857
7070.0,2031,2078.476508
6410.0,1978,2084.608717
6610.0,1922,2090.800177
6520.0,1912,2096.454281
4930.0,1602,2101.593848
6310.0,1954,2108.194584
5360.0,1759,2114.300442
5900.0,1833,2130.766055
6320.0,1957,2137.136036
6840.0,1912,2142.709877
5330.0,1868,2148.710936
6140.0,1962,2155.234716
5240.0,1685,2160.610381
6740.0,1997,2167.166819
6370.0,1946,2184.115582
6590.0,1968,2190.451105
6690.0,1959,2196.564717
5220.0,2062,2203.380468
6660.0,1957,2209.822843
6160.0,1927,2215.695429
6540.0,1952,2233.018329
6500.0,1928,2238.997492
