#{"t_start": 1678777778.3906837, "env_id": "MsPacman-v4"}
r,l,t
1940.0,1197,7.24361
1810.0,1263,10.425988
1940.0,1201,13.445737
1990.0,1278,16.831358
4250.0,2546,23.594339
2280.0,1497,27.77674
4730.0,2600,35.269033
1990.0,1172,45.737139
2400.0,911,48.358801
2330.0,1193,51.457523
2090.0,1445,55.16408
1960.0,1175,57.917714
1910.0,1198,61.01889
2000.0,1231,64.731148
1830.0,987,67.538486
2220.0,1211,70.739948
1950.0,1353,74.665143
4910.0,2364,90.80696
2330.0,1284,94.376718
1980.0,1481,97.73136
4490.0,2560,104.607167
1850.0,1225,108.074477
2180.0,1208,111.185807
1950.0,1261,114.977406
2260.0,1306,118.258176
1890.0,1324,121.997824
3980.0,2257,135.319576
1990.0,1263,138.465312
3990.0,2134,144.344796
1970.0,1396,148.227396
2180.0,1465,152.166584
2050.0,1441,156.091388
2000.0,1205,159.269486
1770.0,1217,162.32853
1970.0,1514,174.723629
2440.0,1231,178.394035
2250.0,1262,181.729759
4390.0,2088,187.64738
2990.0,1059,190.642354
1790.0,1286,194.593262
1600.0,931,196.85763
2370.0,1595,201.373452
3700.0,2394,208.089273
1880.0,1249,217.601963
1950.0,1213,221.089503
4980.0,2748,228.531346
2440.0,1218,231.79705
2260.0,1297,235.653038
4860.0,2411,242.034986
1890.0,1577,246.638061
4010.0,2210,259.351083
1980.0,1394,263.367167
1990.0,1228,266.658059
4490.0,2274,272.805581
2220.0,1294,276.538997
1920.0,1277,279.64512
2490.0,1275,283.291068
4330.0,2331,289.085741
4570.0,2391,304.845026
2270.0,1630,309.381921
2260.0,1320,313.308508
1910.0,1129,316.451177
2210.0,947,319.191779
1260.0,1146,322.271657
3090.0,1969,327.463107
4120.0,2084,333.137314
2250.0,1308,346.026335
2290.0,1515,350.064015
2250.0,1297,353.88048
2250.0,1316,357.273781
2150.0,1231,360.595938
4370.0,2103,366.767238
1860.0,1180,369.973879
2370.0,2010,375.71806
4250.0,2263,389.298323
2290.0,1378,392.970511
1820.0,869,394.967414
4020.0,2214,401.623033
4870.0,2679,409.100348
2350.0,1240,412.436325
4930.0,2013,418.184686
2290.0,1262,421.559027
2370.0,1182,434.002017
4540.0,2125,439.750258
3940.0,2134,445.732711
2000.0,1268,449.16112
2290.0,1484,453.622065
2420.0,1337,457.776949
2240.0,1363,461.474312
2290.0,1285,465.531521
2400.0,1209,481.697398
4220.0,2228,488.341808
2160.0,1325,491.96062
1990.0,1822,497.779826
1960.0,1195,501.396103
2260.0,1313,504.976904
2250.0,1620,509.971776
2260.0,1430,513.776296
2390.0,1188,525.949822
2200.0,1417,529.476499
1870.0,1465,533.462189
2340.0,1111,536.671461
2080.0,1283,540.861434
1890.0,1370,544.603918
1850.0,1307,548.702954
2290.0,1341,552.516073
1820.0,1490,557.033058
1970.0,1288,561.07885
2250.0,1368,572.60592
2140.0,1179,576.045978
1930.0,1376,579.756129
2170.0,1423,583.979635
2030.0,1223,588.042144
4700.0,2166,594.473281
2020.0,1563,599.175101
1950.0,1233,602.778836
1720.0,1152,606.256105
2220.0,1278,619.104443
1990.0,1330,622.730022
2280.0,1315,627.017965
2110.0,1275,630.568656
1880.0,1101,633.784648
2430.0,1218,637.730246
1930.0,1183,641.102598
1910.0,1424,645.439793
2080.0,1323,649.201349
1840.0,1343,653.342374
2060.0,1285,662.760395
1860.0,1174,666.566577
2160.0,1447,670.404121
2150.0,1127,673.563348
1950.0,1294,677.595695
4020.0,2268,684.176877
2340.0,1287,688.137408
1950.0,1232,691.584772
1920.0,1066,694.742169
2200.0,1448,706.269734
2290.0,1339,710.226509
5100.0,2284,717.245635
3910.0,2123,723.679296
2020.0,1339,727.929005
2470.0,1622,732.745357
1990.0,1304,736.303298
1860.0,1238,740.10442
4880.0,2172,753.008198
2150.0,1192,756.11832
3290.0,2383,763.411894
1830.0,1173,766.736549
1900.0,1308,770.787196
2830.0,1273,774.302877
2080.0,1462,778.62187
1960.0,1344,782.050574
1960.0,1315,793.245273
2240.0,1203,796.496171
2070.0,1258,800.236468
1950.0,1276,803.710249
2370.0,1501,808.320204
1980.0,1185,811.669905
2400.0,1161,815.428198
2820.0,1195,818.891915
4410.0,2139,824.947841
2430.0,1010,827.780907
1990.0,1275,840.339234
4260.0,2401,846.983903
3930.0,2287,853.446242
1940.0,1183,857.498322
2210.0,1342,861.33667
4520.0,2356,868.415306
2490.0,1228,871.943108
1990.0,1261,876.030285
4350.0,2424,889.998636
1880.0,1191,893.690335
2220.0,1159,896.731424
1870.0,1264,900.167504
1880.0,1175,903.519294
2440.0,1144,906.930294
2210.0,1384,910.391469
2560.0,1582,914.910368
1510.0,1571,927.569029
3630.0,2242,933.997406
2250.0,1218,937.213743
2210.0,1420,941.303185
4180.0,2194,947.19203
1950.0,1323,950.900611
2070.0,1469,954.745835
3880.0,2608,961.87157
4600.0,2033,975.142986
4310.0,2323,982.060126
2080.0,1018,984.822461
2220.0,1267,987.854967
2250.0,1270,991.510962
4530.0,2410,997.957445
2160.0,1414,1002.140872
2350.0,1348,1013.291716
2200.0,1276,1016.471359
4130.0,2302,1023.201681
2090.0,1133,1026.223755
2010.0,1213,1029.346229
1990.0,1302,1033.147569
2760.0,1294,1036.495621
1890.0,1668,1041.044217
2220.0,1222,1044.896745
1880.0,1178,1057.278721
1840.0,1171,1060.251966
2060.0,1148,1063.341888
4220.0,2449,1069.951951
2750.0,1374,1073.986283
2150.0,1522,1077.863445
1980.0,1261,1081.728707
1990.0,1493,1086.033571
1980.0,1220,1089.397333
4220.0,2311,1102.442316
2160.0,2016,1107.401105
1980.0,1177,1110.987809
1970.0,1269,1114.530188
2230.0,1201,1117.749369
2270.0,1297,1121.60006
2140.0,1233,1124.837899
2260.0,1473,1129.093869
4280.0,2194,1142.271349
2390.0,1364,1146.166064
1910.0,1240,1149.346425
1910.0,1443,1153.324238
2260.0,1548,1157.825427
2490.0,1540,1162.299284
2180.0,1257,1165.567245
1890.0,1366,1169.575352
2060.0,1261,1172.954483
2260.0,1278,1186.075795
1980.0,1308,1189.230698
2170.0,1602,1193.339434
5550.0,2178,1200.11758
2180.0,1222,1203.384801
1930.0,1296,1207.363763
2350.0,1264,1210.851361
2620.0,1583,1215.103256
1940.0,1320,1218.98251
1990.0,1261,1230.0867
2250.0,1258,1233.092858
1950.0,1235,1236.917628
4370.0,2521,1244.047093
2270.0,1430,1247.68108
1890.0,1237,1251.498762
4740.0,2408,1257.996796
2290.0,1512,1262.361027
4330.0,2174,1275.089381
2070.0,1595,1279.67472
1860.0,1227,1282.909829
2090.0,1498,1287.380269
2260.0,1309,1291.089498
1850.0,1207,1295.053677
1880.0,1467,1299.574861
2260.0,971,1302.012598
2200.0,1234,1305.755467
1890.0,1083,1316.652697
1970.0,1591,1321.184746
4250.0,2322,1327.801223
2070.0,1157,1331.564982
3600.0,2111,1337.843314
2160.0,1322,1341.502504
1860.0,1177,1344.722234
2340.0,1567,1349.174844
1910.0,1373,1360.585986
2220.0,1225,1363.79312
