#{"t_start": 1653625110.3563008, "env_id": "MsPacman-v4"}
r,l,t
530.0,922,6.558194
2260.0,1501,11.245605
1260.0,1136,14.628988
380.0,831,17.395873
410.0,586,19.132211
620.0,844,21.909085
350.0,556,23.564977
420.0,622,25.317386
400.0,723,27.38714
340.0,710,29.888363
1160.0,1464,34.018591
290.0,706,36.484616
690.0,891,38.877288
250.0,735,41.441953
290.0,612,47.801535
390.0,578,49.558195
890.0,929,52.472609
290.0,531,54.077418
920.0,1061,57.377193
530.0,982,60.484383
160.0,447,61.866105
450.0,881,64.262017
470.0,700,66.739671
1430.0,1507,71.511082
370.0,657,73.396259
520.0,973,76.434329
580.0,734,78.507468
350.0,830,81.224251
870.0,838,83.606353
420.0,649,85.425163
700.0,912,93.978575
470.0,668,95.838918
820.0,814,98.572838
870.0,1169,102.075772
1490.0,1244,105.709853
540.0,880,108.589716
850.0,922,111.522037
470.0,860,114.280575
770.0,809,116.550467
1110.0,1001,119.674074
340.0,591,121.369516
530.0,767,123.50694
880.0,633,125.75403
370.0,786,127.926835
2080.0,1064,131.161938
670.0,1029,139.708593
720.0,877,142.692104
650.0,762,144.828691
500.0,972,147.93476
600.0,1202,151.527838
490.0,1215,155.584499
780.0,779,157.746585
1050.0,985,160.827991
1090.0,900,163.73499
370.0,771,165.904466
520.0,601,167.653599
440.0,934,170.668926
1080.0,1263,174.786415
290.0,569,176.483732
900.0,1015,183.302987
1200.0,1051,186.428765
620.0,889,188.8165
450.0,998,191.942667
490.0,841,194.678842
550.0,768,196.763747
320.0,510,198.332407
530.0,939,201.305704
690.0,883,204.182657
270.0,801,206.385413
850.0,1227,210.01989
480.0,734,212.593572
370.0,843,214.904586
660.0,728,217.4791
1120.0,1178,225.832849
450.0,538,227.508007
510.0,1129,230.857771
1090.0,1486,235.50624
880.0,1007,238.616912
1520.0,1111,241.906433
690.0,720,244.318585
760.0,956,246.922476
540.0,804,249.577534
310.0,610,251.361098
740.0,862,254.13274
610.0,732,256.200625
680.0,733,258.212137
430.0,719,260.704181
490.0,652,262.590403
860.0,1210,271.129474
870.0,939,274.11189
780.0,915,277.041561
1020.0,1465,281.620415
700.0,911,284.46517
480.0,757,286.548174
480.0,704,288.507264
900.0,813,291.181649
240.0,421,292.53968
1530.0,1329,296.392432
590.0,896,299.282641
370.0,599,301.028898
360.0,659,302.869948
540.0,726,305.398058
430.0,759,307.502743
870.0,908,314.830025
800.0,978,317.807216
450.0,786,319.899038
600.0,721,321.891657
830.0,946,324.89239
750.0,920,327.811219
380.0,584,329.519696
700.0,656,331.381703
950.0,1103,334.745938
760.0,762,337.305728
600.0,788,339.524356
400.0,634,341.758939
820.0,1118,345.153434
800.0,1016,348.262575
990.0,1107,351.614347
970.0,740,358.208889
970.0,1303,362.476139
930.0,655,364.317518
870.0,1151,367.76391
1670.0,1357,372.105341
1870.0,859,374.396534
730.0,996,377.510605
500.0,742,380.055727
1350.0,1015,383.203428
430.0,522,384.837722
550.0,791,387.007898
800.0,926,389.959043
420.0,568,391.588339
510.0,627,393.432799
690.0,1008,401.86968
640.0,729,403.977302
540.0,751,406.581136
650.0,773,408.737858
870.0,868,411.605294
700.0,620,413.45887
820.0,894,416.355675
580.0,620,418.141808
370.0,522,419.729145
600.0,701,421.741291
410.0,654,424.090475
530.0,784,426.279807
970.0,869,429.128693
550.0,749,431.231952
410.0,655,433.137175
890.0,1214,437.187171
420.0,672,439.08058
410.0,633,445.99449
460.0,746,448.635284
410.0,516,450.20517
600.0,798,452.47269
710.0,1189,456.041302
230.0,538,457.658461
250.0,545,459.270393
360.0,639,461.596611
170.0,487,463.134097
670.0,955,465.784998
870.0,1096,469.065281
1040.0,783,471.728492
1150.0,869,474.537924
1650.0,1260,478.239769
660.0,823,480.916125
560.0,796,483.100109
790.0,881,491.247965
660.0,823,493.46897
670.0,774,496.077118
390.0,527,497.657599
680.0,737,499.726755
740.0,979,502.777691
660.0,728,504.817735
620.0,1088,508.103284
890.0,1075,511.868432
360.0,808,514.140389
410.0,813,516.863284
930.0,978,519.93895
450.0,775,522.099125
750.0,835,524.859369
360.0,538,526.536885
1110.0,899,529.007425
1380.0,1264,537.841503
1080.0,1194,541.38612
530.0,698,543.39421
780.0,923,546.327423
690.0,839,549.114162
610.0,954,552.07672
420.0,1032,555.281033
540.0,865,557.655764
560.0,740,560.192047
780.0,810,562.411839
960.0,1067,565.684608
1440.0,1028,568.883096
1250.0,1109,572.242869
800.0,934,580.758903
1400.0,1379,585.186108
970.0,999,588.28866
950.0,1001,591.367647
690.0,844,593.680927
420.0,565,595.364832
1570.0,1059,598.626059
350.0,537,600.249043
410.0,754,602.802493
640.0,869,605.159845
1010.0,865,607.975944
890.0,1047,611.243134
600.0,860,614.012897
600.0,970,616.994575
790.0,912,623.85903
1120.0,1169,627.354646
460.0,857,630.156343
560.0,777,632.873746
1110.0,972,635.90887
550.0,897,638.378691
1060.0,991,641.50882
830.0,909,644.407327
750.0,911,647.312035
980.0,1138,650.664184
590.0,630,652.495713
760.0,903,655.41655
1260.0,932,657.865807
310.0,565,660.051866
530.0,773,667.12355
990.0,796,669.820606
610.0,934,672.390232
670.0,868,675.156034
800.0,774,677.302256
480.0,743,679.834224
930.0,988,682.898626
370.0,688,684.827063
570.0,825,687.488067
360.0,785,689.694042
1380.0,1158,693.154319
980.0,1038,696.313251
500.0,598,698.091112
830.0,1213,702.125469
480.0,825,704.315748
540.0,610,711.499869
990.0,1070,714.760542
1070.0,1061,718.425746
870.0,848,720.739122
720.0,866,723.528337
540.0,794,725.711793
2160.0,1040,728.9401
450.0,736,731.497408
300.0,957,734.022967
900.0,951,736.981221
900.0,1089,740.239349
1710.0,1370,744.629131
780.0,899,747.476359
480.0,838,749.768578
990.0,784,757.016884
760.0,1292,760.742481
870.0,778,763.433185
640.0,836,765.719257
950.0,1251,769.822808
520.0,771,771.96954
830.0,1092,775.240501
650.0,932,778.204073
580.0,620,779.997734
1120.0,1046,783.197616
1480.0,1266,787.370327
840.0,1037,790.580366
940.0,846,792.935467
580.0,832,800.096049
1130.0,698,802.082888
820.0,831,804.827624
790.0,746,806.897945
1010.0,1093,810.197844
690.0,1025,813.456272
460.0,776,816.108121
680.0,1029,819.249013
500.0,830,821.491107
730.0,884,824.293978
590.0,844,826.626671
550.0,789,829.216512
470.0,692,831.249049
500.0,637,833.104025
620.0,707,835.544131
680.0,1066,843.159431
320.0,524,844.744045
750.0,989,847.771004
580.0,865,850.149301
660.0,804,852.80142
580.0,1055,856.093469
660.0,931,859.069653
950.0,1052,862.299331
1080.0,1018,864.962472
860.0,909,867.868304
900.0,950,870.910026
430.0,768,873.526159
370.0,569,875.212258
580.0,909,877.675976
670.0,851,880.530074
330.0,574,886.794072
730.0,965,889.833768
830.0,1005,893.001067
430.0,653,894.88395
560.0,725,896.90777
1220.0,884,899.776138
1360.0,1019,902.998083
900.0,895,905.891773
780.0,694,907.867962
560.0,708,909.857265
800.0,809,912.543013
1180.0,1672,917.595178
620.0,797,920.232266
740.0,926,922.74476
440.0,668,925.145639
490.0,739,932.396194
620.0,792,935.019861
350.0,686,936.969342
500.0,563,938.703064
390.0,734,940.757238
440.0,748,943.293632
1310.0,1201,946.900931
870.0,728,948.964166
1160.0,764,951.559191
690.0,834,954.272857
680.0,739,956.340942
1230.0,1078,959.552022
890.0,940,962.518858
650.0,1074,965.812642
560.0,656,967.680526
820.0,1288,976.326432
500.0,543,978.051039
1140.0,973,981.103073
1160.0,792,983.723426
540.0,874,986.493891
570.0,671,988.431058
620.0,916,990.849552
500.0,662,993.237802
790.0,889,995.610903
1270.0,975,998.710659
300.0,568,1000.340935
790.0,828,1003.104283
860.0,1123,1006.459078
1180.0,975,1009.502134
850.0,1024,1012.696094
940.0,891,1020.014176
580.0,645,1021.869736
440.0,789,1024.022227
1080.0,1283,1028.192019
690.0,813,1030.374296
560.0,616,1032.131265
440.0,643,1034.428132
610.0,658,1036.306126
660.0,835,1038.538487
340.0,499,1040.075267
920.0,987,1043.198485
680.0,894,1046.101872
920.0,1017,1049.19926
650.0,847,1051.957886
350.0,652,1053.863239
