#{"t_start": 1678314068.3886137, "env_id": "Asterix-v4"}
r,l,t
2350.0,1305,7.146221
2900.0,1436,10.554137
2500.0,1231,13.39068
2450.0,1419,16.867297
3100.0,1826,20.952219
1250.0,1141,24.037905
2500.0,1973,28.521098
2600.0,1412,32.191376
3400.0,1601,43.183757
2350.0,1383,46.738107
2450.0,1432,50.197212
3300.0,1626,54.270738
3100.0,1620,58.409852
2700.0,1520,62.723842
3500.0,1768,67.140206
3100.0,1585,71.081077
2800.0,1294,82.659951
2450.0,1561,86.327814
2800.0,1483,89.893209
1950.0,1006,91.896832
1450.0,914,94.295649
2600.0,1454,98.226232
2450.0,1477,101.998551
2250.0,1274,104.806782
2900.0,1452,108.75787
3000.0,1467,112.733222
1750.0,978,121.368562
2800.0,1224,124.19802
2450.0,1656,128.258629
2200.0,1106,131.002543
1900.0,933,133.73936
1950.0,1005,136.43785
2900.0,1436,140.229533
4100.0,1849,144.90236
3000.0,1551,149.307007
2500.0,1377,153.310297
3000.0,1414,163.563443
1750.0,1103,166.293943
2600.0,1789,170.552297
2400.0,1413,174.523844
2600.0,1310,178.173223
2500.0,1388,181.521626
3400.0,1664,186.483613
2700.0,1840,191.533771
1450.0,933,200.196999
2350.0,1341,203.829919
1450.0,1063,206.437493
2700.0,1473,210.040888
2050.0,1081,213.000162
1700.0,861,215.411826
2600.0,1284,219.523704
2700.0,1865,224.592528
2000.0,1516,228.94445
2500.0,1153,232.059311
1050.0,775,234.569456
3100.0,1665,245.118839
2700.0,1674,249.485755
2700.0,1533,253.723561
2200.0,1250,257.529297
2450.0,1324,261.09147
3100.0,1385,265.095258
3200.0,1507,269.247576
2600.0,1326,272.63636
2700.0,1228,281.42858
1550.0,906,284.056988
2400.0,1326,287.85442
2000.0,932,290.553967
2450.0,1440,294.11811
2700.0,1327,298.208081
2500.0,1219,301.481124
2500.0,1167,304.561945
3300.0,1455,308.313142
2700.0,1465,312.635614
3000.0,1483,323.438633
1900.0,1175,326.436757
2600.0,1640,330.803025
2700.0,1258,334.535092
1400.0,784,336.526818
2600.0,1295,340.320949
3000.0,1302,343.454997
2600.0,1306,346.957609
900.0,660,348.506899
2250.0,1193,351.597083
2500.0,1357,355.799851
2100.0,1392,365.237947
2400.0,1266,368.370612
2900.0,1349,372.103441
2100.0,1125,375.253923
850.0,678,376.959393
2100.0,1003,379.617101
2250.0,1486,383.739676
2600.0,1344,387.109478
4300.0,1823,392.331384
2350.0,1159,395.563527
3100.0,1564,407.673089
2150.0,1340,411.544841
3900.0,1785,416.226902
1600.0,936,418.963003
2500.0,1260,422.297336
3000.0,1468,426.380807
2300.0,1323,430.218818
2800.0,1344,433.756219
2000.0,883,436.422013
2600.0,1472,440.610264
2900.0,1487,451.231842
1950.0,1194,454.918711
2700.0,1792,459.938014
2050.0,1152,463.058299
2600.0,1368,466.928337
3100.0,1664,471.506297
1800.0,1193,475.186245
850.0,545,476.604796
3400.0,1554,480.890174
2700.0,1310,490.510936
2700.0,1427,494.504773
1800.0,1036,497.347288
2400.0,1250,500.546031
3100.0,1381,504.402638
2800.0,1393,508.138645
2500.0,1191,511.224144
2500.0,1547,515.658098
2450.0,1265,518.72547
1400.0,845,521.011221
2350.0,1345,530.714998
3200.0,1356,534.524417
2700.0,1555,538.659985
2900.0,1322,542.62144
1750.0,896,544.76615
1550.0,840,547.203698
2500.0,1262,550.291466
2000.0,1004,553.117245
2050.0,1075,556.051347
3200.0,1653,560.423133
3000.0,1625,570.667785
3700.0,1966,575.489601
2100.0,964,578.115757
1650.0,955,580.824093
1250.0,979,583.585087
600.0,436,584.884315
1700.0,1064,587.843009
1150.0,798,589.693148
3100.0,1630,593.758617
2500.0,1169,597.311393
1600.0,1064,600.133248
2300.0,1411,603.753235
2600.0,1846,613.918859
2500.0,1342,617.535344
2500.0,1221,620.616312
2400.0,1269,623.896469
1250.0,854,626.463536
2050.0,1295,629.938672
1200.0,658,631.446582
2300.0,1294,634.774774
2700.0,1270,638.519772
2600.0,1556,642.649716
1150.0,596,651.005803
2600.0,1338,654.347397
800.0,572,655.867281
2250.0,1035,658.734222
950.0,777,661.042902
2800.0,1574,665.190103
2700.0,1407,668.96493
2900.0,2178,674.60652
4300.0,1826,679.339458
2150.0,1259,683.139538
2800.0,1498,693.460331
2500.0,1504,697.495039
3200.0,1721,701.905504
3000.0,1341,705.377267
3000.0,1672,710.341806
1950.0,1154,713.296032
2900.0,1291,716.53223
2000.0,1178,720.122478
2700.0,1434,723.806597
2800.0,1454,732.766093
1750.0,904,735.078094
3700.0,1625,739.003052
3000.0,1536,743.021989
3500.0,1778,747.71
2500.0,1411,751.62131
1050.0,808,753.963975
2250.0,1597,758.197906
2150.0,1347,761.477056
2900.0,1686,772.77179
2150.0,1320,776.061465
2100.0,1059,778.85447
3100.0,1719,783.499525
2800.0,1414,787.546213
2050.0,1279,791.268652
2700.0,1398,794.668664
2150.0,1061,797.463213
3200.0,1872,802.860934
3300.0,1792,814.361337
900.0,618,816.358232
1300.0,694,818.033861
2300.0,1468,822.258696
2000.0,1188,825.406394
2500.0,1319,829.329667
2150.0,1478,832.731213
2500.0,1279,836.456324
2800.0,1408,839.870289
1400.0,1174,843.41972
1450.0,865,850.996952
2700.0,1498,855.250385
2300.0,1394,859.110706
3000.0,1225,862.403778
1600.0,1053,865.311494
2600.0,1330,869.34938
3200.0,1822,874.295515
1200.0,863,876.284831
2500.0,1706,880.850629
1800.0,1359,884.829107
3000.0,1566,895.785055
2700.0,1529,899.896903
3200.0,1707,904.435612
1350.0,820,906.879416
600.0,441,908.026385
2600.0,1519,911.808286
1600.0,1035,914.562318
2200.0,1334,917.834729
1100.0,856,920.289029
2250.0,1599,924.728979
2500.0,1590,935.298793
750.0,630,936.909201
2500.0,1621,941.091255
2050.0,1152,944.114097
2000.0,1246,947.575618
1950.0,1083,950.417723
1000.0,768,952.15028
2600.0,1602,956.392442
900.0,715,958.528103
1600.0,948,961.184357
1450.0,936,963.359705
2000.0,1189,973.949501
2300.0,1357,977.087549
1550.0,1336,980.430415
2600.0,1271,983.456427
2900.0,1844,988.502007
2500.0,1451,992.595354
3300.0,1924,997.533038
1350.0,873,1000.042903
2250.0,1243,1003.349323
1900.0,1497,1014.651232
950.0,908,1017.125004
3000.0,1556,1021.415689
1650.0,965,1024.248353
1700.0,1020,1026.920848
2250.0,1819,1031.514169
3500.0,1610,1035.92929
2800.0,1287,1039.854261
1850.0,1242,1043.114463
2700.0,1318,1046.918509
3700.0,1781,1058.648162
1550.0,948,1061.245292
4300.0,1988,1066.781675
1800.0,1149,1069.797224
3000.0,1365,1073.68907
2900.0,1247,1076.896956
3300.0,1437,1080.896679
2700.0,1402,1084.240814
1950.0,983,1086.870904
2700.0,1613,1098.275615
2700.0,1299,1102.019239
1200.0,1151,1105.059424
3000.0,1905,1110.331302
1850.0,1342,1113.741467
2700.0,1645,1118.684255
1750.0,1065,1121.584811
1300.0,789,1123.510377
2250.0,1183,1126.600972
3500.0,2132,1139.531622
1300.0,1356,1142.910659
2100.0,1460,1147.080645
2700.0,1589,1151.292197
2600.0,1194,1154.231754
1550.0,980,1156.863322
2800.0,1251,1160.511453
3600.0,1631,1165.051478
1400.0,950,1167.273855
2800.0,1423,1171.301779
2500.0,1245,1183.197531
2350.0,1197,1186.436794
2250.0,1212,1189.591125
1600.0,1095,1192.335052
3000.0,1567,1196.623766
2400.0,1621,1201.011778
2450.0,1649,1205.904707
3800.0,1700,1210.436495
1550.0,933,1213.09519
1500.0,851,1215.141384
2400.0,1641,1225.998765
2600.0,1594,1230.606168
1500.0,924,1232.70683
2450.0,1674,1237.039645
2800.0,1794,1242.043288
1550.0,979,1244.582916
2900.0,1499,1248.627417
2500.0,1437,1252.258562
2000.0,1341,1256.080498
650.0,623,1265.593672
1500.0,897,1268.109424
3300.0,2008,1273.194559
2900.0,1589,1277.421537
1850.0,1276,1280.731607
3300.0,1760,1285.798305
3800.0,2546,1292.555955
1950.0,1348,1296.313902
650.0,575,1297.695912
3100.0,1631,1309.626418
2300.0,1388,1313.488338
2400.0,1521,1317.634344
3200.0,1610,1322.152
2000.0,1027,1324.984734
2000.0,1084,1327.951982
2800.0,1255,1331.073
2600.0,1277,1334.791347
3700.0,2171,1340.678072
2200.0,1466,1351.50497
3400.0,1888,1356.613354
2400.0,1771,1361.351835
2350.0,1783,1365.982356
2800.0,1869,1371.275428
2200.0,1337,1375.209351
2600.0,1487,1378.755938
2000.0,1307,1390.588239
3500.0,1860,1395.51904
2700.0,1274,1398.696064
1100.0,853,1401.127476
3100.0,1583,1405.40241
3000.0,1961,1410.536697
2600.0,1671,1415.429812
3000.0,1558,1419.671142
2500.0,1992,1432.372783
2100.0,1686,1436.991217
2600.0,1820,1441.720217
2700.0,1498,1445.908692
700.0,699,1448.13809
1950.0,1166,1451.29704
1550.0,1355,1454.928137
1600.0,930,1457.575733
1650.0,1580,1461.938723
2700.0,1571,1466.309983
450.0,492,1472.776613
2800.0,2063,1478.412397
1250.0,935,1480.876555
1400.0,838,1482.678863
2400.0,1189,1486.224888
750.0,677,1487.975593
3400.0,1517,1492.214007
1750.0,1247,1495.564925
600.0,528,1497.046363
3000.0,1933,1502.376256
1700.0,1192,1505.430358
1150.0,750,1515.222563
1850.0,1249,1518.49262
2300.0,1540,1522.844843
2450.0,1505,1526.983649
2300.0,1753,1531.705555
2800.0,1510,1536.099615
2150.0,1657,1540.403626
1500.0,1034,1543.058956
1750.0,1269,1546.790706
2350.0,1537,1556.904011
1750.0,985,1559.705698
1400.0,994,1562.499549
1000.0,720,1564.279823
2200.0,1429,1568.438707
2050.0,974,1571.073593
1700.0,1378,1574.563924
1750.0,1153,1577.466136
1900.0,1390,1581.260048
2450.0,1521,1585.418222
1350.0,995,1588.04683
1950.0,1317,1596.553047
2500.0,1220,1600.355601
2450.0,1905,1605.402722
2400.0,1337,1609.357993
3200.0,1487,1613.495932
2350.0,1701,1617.878925
3100.0,2218,1623.614446
1550.0,1104,1626.546185
2700.0,1847,1639.721233
2500.0,1487,1644.000798
1950.0,1259,1647.262344
2500.0,1264,1650.89386
2700.0,1505,1655.148447
2200.0,1157,1658.155425
2800.0,1687,1662.21704
2700.0,1605,1666.480236
2600.0,1643,1679.0423
2300.0,1100,1682.188516
2500.0,1388,1685.281235
1500.0,845,1687.782715
900.0,573,1689.270782
3900.0,1833,1694.028267
1950.0,1439,1698.01571
850.0,613,1699.466155
1750.0,1178,1702.792647
1050.0,1190,1706.023155
2100.0,1561,1710.331596
3000.0,1614,1722.726894
2100.0,1426,1726.905931
900.0,611,1728.545799
1650.0,812,1731.017023
1550.0,930,1733.240984
1750.0,1025,1736.188004
2600.0,1502,1740.456592
2250.0,1257,1744.06466
1500.0,1253,1747.294942
2600.0,1666,1751.672276
1000.0,1058,1754.385047
2600.0,1458,1765.50254
2900.0,1539,1769.823644
1100.0,820,1772.220309
2400.0,1831,1777.023512
2100.0,1178,1780.021493
2700.0,1483,1783.99005
1400.0,829,1786.435021
550.0,580,1787.839284
2800.0,1492,1791.755668
1800.0,1198,1794.949181
2450.0,1565,1805.917165
2350.0,1700,1810.715263
2600.0,1416,1814.872036
2900.0,1466,1819.116761
2700.0,1341,1822.243623
3400.0,1871,1827.413546
1150.0,667,1829.04969
1900.0,1316,1832.916278
2600.0,1409,1837.049788
1900.0,890,1846.01352
3200.0,1509,1850.294517
2700.0,1460,1854.52361
2800.0,1902,1859.484334
550.0,549,1860.89595
3000.0,1553,1865.055336
2250.0,1553,1869.317713
2050.0,1257,1872.355023
2700.0,1604,1876.778311
2050.0,1090,1879.722776
1550.0,914,1888.682489
1700.0,1075,1891.638249
200.0,319,1892.649914
2150.0,1392,1896.218549
2250.0,1287,1899.927925
3100.0,1421,1903.690916
2500.0,1230,1906.905942
2250.0,1332,1910.187027
3000.0,1850,1915.400481
1850.0,1182,1918.560001
2350.0,1284,1929.66766
2500.0,1491,1933.949987
2700.0,1173,1937.064725
2400.0,1469,1941.075655
2600.0,1542,1945.078753
2600.0,1635,1949.350682
2400.0,1519,1953.475119
2500.0,1519,1957.745794
2800.0,1738,1962.08415
2500.0,1541,1972.790532
1450.0,848,1975.36474
2600.0,1410,1978.905829
3100.0,1728,1983.81609
2900.0,1510,1987.376451
1100.0,802,1989.75656
1650.0,1051,1992.620465
1950.0,1350,1996.50953
1500.0,1106,1999.331977
2500.0,1295,2002.646671
2000.0,1351,2014.015242
2800.0,1483,2018.297969
1000.0,548,2019.83467
2900.0,1743,2024.216353
2100.0,1206,2027.210071
3000.0,1478,2031.17129
1850.0,1260,2034.797025
1800.0,1126,2037.761349
2200.0,1191,2040.993619
2900.0,1433,2045.092487
2400.0,1437,2055.537657
2600.0,1294,2058.952624
2500.0,1385,2062.870432
2350.0,1760,2067.078028
2450.0,1681,2071.191121
2150.0,1665,2076.229951
1700.0,1195,2079.450502
3100.0,1699,2084.114121
2900.0,1256,2095.431422
2600.0,2112,2101.005524
1050.0,715,2102.603056
2900.0,1671,2106.505628
1950.0,1055,2109.105846
2900.0,1480,2113.420361
2700.0,1761,2118.221536
2100.0,1180,2121.818792
2600.0,1313,2125.211065
1950.0,1074,2135.527897
2200.0,1187,2139.062071
2100.0,1202,2142.196465
2700.0,1453,2146.035464
2600.0,1318,2149.098899
2000.0,1184,2152.116109
2600.0,1477,2156.158535
3200.0,1597,2160.53546
3600.0,1751,2165.664097
350.0,479,2166.978124
2900.0,1871,2179.037147
1900.0,1021,2181.909708
2050.0,1469,2185.933711
1700.0,1278,2188.862863
3200.0,2198,2195.307111
3300.0,1697,2200.013095
2800.0,1612,2204.483
3000.0,1474,2208.535331
2450.0,1369,2220.180697
2150.0,1311,2223.498302
2400.0,1209,2226.445568
3100.0,1452,2230.092415
2700.0,1323,2233.836829
2000.0,1191,2237.024139
3100.0,1734,2241.558322
2900.0,1628,2246.28799
1000.0,849,2248.285485
2450.0,1304,2252.199717
2900.0,1232,2264.146388
1550.0,1248,2267.136134
2500.0,1128,2270.35903
2500.0,1792,2274.943892
1700.0,1313,2278.709981
1250.0,931,2280.846394
1700.0,1163,2284.489138
1950.0,1061,2287.432323
1550.0,996,2290.259339
2800.0,1487,2294.023537
1200.0,751,2303.184976
2500.0,1204,2306.254744
1200.0,961,2308.851037
2700.0,1378,2312.572158
2350.0,1393,2316.18784
950.0,676,2318.521734
2500.0,1390,2322.303017
2900.0,1449,2326.652612
