#{"t_start": 1678671855.724621, "env_id": "Breakout-v4"}
r,l,t
41.0,1471,7.653705
36.0,1333,11.267506
36.0,1253,14.350798
37.0,1563,18.601987
27.0,1152,21.581359
34.0,1082,24.456968
35.0,1450,28.57087
43.0,1270,31.785692
25.0,1010,34.446379
25.0,1259,37.529991
15.0,807,46.247263
21.0,1230,49.43928
25.0,1168,52.421907
26.0,1287,55.710124
31.0,1190,59.178144
17.0,891,61.237164
10.0,676,62.986707
27.0,1202,66.783848
34.0,1507,70.816539
19.0,1073,73.962994
15.0,916,76.487123
28.0,1185,79.574715
15.0,911,87.643666
23.0,1251,90.868081
12.0,760,92.724992
39.0,1518,97.225136
28.0,946,99.969774
34.0,1328,103.567423
31.0,1223,107.399158
43.0,1745,112.03016
39.0,1448,116.079795
20.0,1006,118.339303
23.0,1079,121.191394
20.0,1208,130.407681
29.0,1237,133.845652
18.0,1101,136.964449
36.0,1550,141.503621
27.0,1302,145.005318
26.0,1253,148.278475
27.0,1172,151.919497
13.0,745,153.720254
13.0,898,156.54501
12.0,700,158.529846
19.0,1013,161.78021
41.0,1123,165.074663
30.0,1140,173.780499
18.0,964,176.786873
20.0,1009,179.280602
27.0,1223,183.146134
26.0,1067,186.095996
23.0,1002,188.525548
37.0,1188,192.532901
21.0,1054,195.089648
36.0,1496,199.741817
31.0,1351,204.01158
12.0,766,206.060432
21.0,1021,209.102023
11.0,721,210.955727
23.0,993,219.485282
21.0,1036,222.460112
20.0,1061,225.44163
22.0,1141,228.665313
21.0,900,231.305581
21.0,1057,234.233849
39.0,1504,238.328751
25.0,1167,242.184642
12.0,831,244.511872
28.0,1162,247.90471
14.0,861,250.50697
25.0,1238,253.82816
34.0,1451,263.188969
48.0,1507,267.33048
36.0,1142,271.313434
17.0,756,273.377148
48.0,1469,278.072351
19.0,971,280.43346
23.0,1131,283.692017
24.0,1229,287.78459
16.0,969,290.181767
31.0,1360,294.360898
32.0,1542,299.275321
24.0,1095,308.713484
21.0,1064,311.885981
26.0,1243,315.593065
16.0,942,318.443084
30.0,1313,322.022119
18.0,981,325.089132
34.0,1142,328.615142
24.0,904,331.562278
25.0,1273,335.303283
13.0,848,337.949934
16.0,912,340.231733
15.0,970,343.269552
19.0,990,352.845832
29.0,1175,356.401489
17.0,1111,359.510564
26.0,1318,363.283939
30.0,1214,367.297761
25.0,1282,371.154931
52.0,1439,375.737876
33.0,1413,379.58061
6.0,492,381.057114
32.0,1150,384.460974
23.0,1083,387.640134
23.0,981,390.564355
30.0,1364,400.150809
36.0,1440,404.122658
22.0,1080,407.39527
57.0,1788,413.304968
29.0,1177,416.853736
35.0,1367,420.65082
16.0,854,423.169732
16.0,953,426.17495
36.0,1485,430.612015
25.0,1355,435.100464
10.0,649,437.157396
37.0,1365,447.095953
32.0,1362,450.925669
29.0,1459,455.325278
23.0,1072,458.53271
35.0,1262,462.300909
11.0,822,464.913439
16.0,833,467.153946
31.0,1152,470.533923
20.0,1021,473.811358
21.0,1036,477.073051
32.0,1324,481.079172
25.0,1105,489.660895
16.0,1006,492.79455
15.0,836,495.608795
24.0,1045,498.749549
26.0,1208,502.16686
32.0,1454,506.629351
17.0,968,509.085536
34.0,1203,512.626081
23.0,1004,515.656051
24.0,1074,519.061132
16.0,979,522.122576
33.0,1345,526.617683
28.0,1362,536.299722
27.0,1405,540.672702
15.0,908,542.857356
20.0,831,545.398899
18.0,992,548.302103
15.0,1002,550.659121
29.0,1212,554.425616
22.0,1168,557.789147
11.0,687,559.569432
14.0,815,561.592052
27.0,1299,565.620912
17.0,1017,568.700997
26.0,1217,572.101269
26.0,1319,580.89498
25.0,995,583.862046
21.0,1046,586.82935
20.0,896,589.367494
14.0,848,591.541929
32.0,1309,595.644332
32.0,1208,599.0196
19.0,802,601.0901
29.0,1324,605.126815
22.0,926,607.387599
25.0,1284,611.520031
11.0,666,613.412801
23.0,1136,616.694945
23.0,1105,625.374286
23.0,751,627.207993
37.0,1448,631.614286
14.0,694,633.243706
12.0,768,635.621545
26.0,1128,638.667722
19.0,950,641.050082
31.0,1405,645.194601
16.0,860,647.457935
23.0,1163,651.453841
17.0,909,653.684297
19.0,796,656.28458
42.0,1535,660.858838
31.0,1070,669.693971
26.0,1186,673.112489
15.0,870,675.369048
15.0,935,678.047489
38.0,1350,681.804819
36.0,1361,685.980679
23.0,1018,688.905563
29.0,1132,692.104132
22.0,1182,695.405622
24.0,1311,699.100792
19.0,1037,702.155767
19.0,1089,711.009902
28.0,1210,714.642171
34.0,1217,718.087445
28.0,1132,721.283193
48.0,1715,726.286929
29.0,1178,729.577652
29.0,1358,733.670506
23.0,1035,736.741289
26.0,1201,740.083744
35.0,1404,743.938576
26.0,1049,747.07328
29.0,1341,756.316711
31.0,1413,759.926895
26.0,1246,763.76127
25.0,1106,766.9693
27.0,1129,770.212415
22.0,981,773.028905
26.0,1176,776.336549
18.0,1108,779.516643
25.0,1188,782.741458
20.0,1004,785.702591
32.0,1211,789.033472
47.0,1331,798.167326
20.0,850,800.456493
28.0,1108,803.678404
14.0,867,806.402785
18.0,862,808.421391
22.0,1179,811.612842
26.0,1310,815.8393
16.0,904,818.677901
23.0,1097,821.83918
21.0,1012,824.361067
35.0,1256,828.117451
31.0,1177,831.336982
44.0,1468,840.988772
14.0,864,843.266911
28.0,1294,846.782547
32.0,1359,850.739491
32.0,1243,853.954103
30.0,1237,857.675047
11.0,704,859.689539
24.0,1193,863.233221
28.0,1170,866.389267
29.0,1136,869.568989
12.0,805,871.999507
27.0,1095,875.116369
35.0,1547,885.381553
25.0,1174,888.750522
29.0,1137,891.925339
15.0,792,893.821635
22.0,1164,896.799099
29.0,1293,900.915169
36.0,1312,904.502268
11.0,654,906.280729
13.0,764,908.630875
27.0,1408,912.3465
17.0,889,914.979196
22.0,1087,918.080556
15.0,946,920.985889
17.0,922,928.627609
20.0,1200,931.877688
26.0,1162,935.590845
17.0,809,937.468888
26.0,1152,940.525018
23.0,1186,943.973609
23.0,968,946.801558
12.0,762,948.817523
14.0,863,951.358031
28.0,1262,954.849753
16.0,775,957.436344
18.0,896,959.695758
17.0,1042,962.665607
35.0,1437,972.968257
36.0,1395,976.881508
13.0,755,979.416761
27.0,1287,982.642115
19.0,970,985.319493
21.0,956,988.337901
13.0,813,990.397236
29.0,1207,993.750067
35.0,1483,998.008265
13.0,846,1000.632635
10.0,661,1002.415714
31.0,1145,1005.763343
15.0,787,1007.887761
16.0,803,1015.951861
31.0,1330,1019.454312
26.0,1042,1022.507152
18.0,910,1025.162969
18.0,909,1027.073787
26.0,1187,1030.204032
18.0,946,1033.166389
22.0,1349,1037.451436
23.0,943,1039.910451
23.0,984,1042.866095
21.0,1095,1046.027582
23.0,1227,1049.46937
7.0,501,1050.923326
33.0,1427,1060.28242
38.0,1307,1063.83711
21.0,1165,1067.436014
28.0,1434,1070.936941
37.0,1381,1074.642045
25.0,1073,1077.519972
14.0,931,1079.913318
35.0,1399,1084.136271
26.0,1343,1088.308869
23.0,1047,1090.81497
32.0,1150,1094.056933
25.0,1221,1104.168501
19.0,841,1106.281487
20.0,1195,1109.643571
15.0,691,1111.988343
12.0,801,1113.932572
30.0,1147,1116.811863
10.0,661,1118.216331
40.0,1274,1121.995942
9.0,679,1123.730868
25.0,1086,1126.743008
18.0,963,1129.665132
31.0,1031,1132.192072
27.0,1098,1135.848289
28.0,1330,1144.804375
15.0,903,1147.543536
20.0,1102,1150.754261
35.0,1231,1154.215203
52.0,1370,1158.056622
31.0,1330,1161.980332
24.0,1039,1164.688204
27.0,1159,1167.980004
36.0,1436,1172.396373
12.0,764,1174.400455
33.0,1286,1177.950673
46.0,1712,1188.534521
15.0,1000,1191.676002
21.0,996,1194.756513
24.0,1137,1198.048081
15.0,931,1200.86341
19.0,961,1203.75348
39.0,1531,1207.267009
24.0,937,1209.82098
37.0,1429,1214.101068
11.0,715,1215.938265
30.0,1094,1219.144257
31.0,1426,1223.536196
16.0,829,1231.784754
14.0,906,1234.485033
24.0,1019,1237.422889
25.0,1064,1240.387488
32.0,1296,1244.004004
14.0,769,1245.997694
19.0,998,1248.756486
36.0,1459,1252.703689
9.0,600,1254.177102
24.0,972,1257.072377
24.0,1038,1260.031616
32.0,1275,1263.627942
7.0,512,1265.079124
20.0,1129,1268.315004
39.0,1389,1279.465327
27.0,1245,1283.514412
22.0,1119,1286.912558
22.0,1119,1290.263189
35.0,1278,1293.661129
16.0,910,1296.170411
14.0,870,1298.091627
19.0,996,1300.83054
30.0,1241,1304.110883
14.0,831,1306.68415
24.0,1020,1309.610597
28.0,1200,1312.919398
19.0,907,1321.255335
17.0,831,1323.386677
16.0,942,1326.240793
17.0,703,1328.137884
18.0,984,1331.085454
23.0,1041,1334.282625
31.0,1263,1337.931884
28.0,1155,1341.14349
21.0,869,1343.607371
16.0,993,1346.387042
11.0,661,1348.148098
18.0,1035,1351.205714
21.0,1050,1354.266368
29.0,1308,1357.90413
23.0,1098,1365.633628
16.0,857,1368.213576
22.0,965,1370.652755
19.0,939,1373.459258
13.0,862,1376.113536
30.0,1419,1379.69396
17.0,906,1382.374174
23.0,1134,1385.437126
17.0,735,1387.221072
33.0,1420,1391.214633
21.0,1253,1394.575277
33.0,1341,1398.608094
21.0,893,1407.06366
25.0,998,1410.019546
20.0,952,1412.934267
25.0,973,1415.776461
40.0,1335,1419.535704
40.0,1376,1423.778451
6.0,478,1424.523277
29.0,1238,1428.183508
27.0,1048,1431.161244
26.0,1157,1434.155853
34.0,1324,1437.681555
17.0,997,1440.694797
33.0,1381,1450.919091
41.0,1558,1455.64163
29.0,1074,1458.286785
25.0,1153,1462.056554
17.0,911,1464.469285
34.0,1455,1468.874463
26.0,1138,1472.02602
10.0,681,1473.799226
21.0,853,1476.288351
16.0,908,1478.360653
27.0,1080,1481.234168
45.0,1446,1485.500817
18.0,1041,1493.958046
21.0,1175,1497.330616
24.0,998,1500.34644
18.0,1074,1503.519866
28.0,1126,1506.66746
13.0,617,1508.361182
27.0,1063,1511.41606
16.0,946,1514.028058
14.0,722,1515.807647
23.0,1178,1519.108602
26.0,1272,1522.455554
21.0,1078,1525.463673
36.0,1359,1529.723619
29.0,1271,1538.752948
37.0,1278,1542.854794
19.0,1051,1546.002524
42.0,1272,1549.513286
15.0,904,1552.266943
17.0,1081,1555.356468
20.0,1033,1557.671483
24.0,1138,1560.580337
21.0,1205,1564.310258
17.0,1082,1567.253405
21.0,1181,1570.550062
19.0,1075,1573.673294
17.0,1022,1581.419125
22.0,1120,1584.682457
24.0,1216,1588.149575
17.0,898,1590.951406
22.0,1219,1594.476593
25.0,1112,1597.775317
31.0,1136,1601.021367
15.0,1009,1603.890025
20.0,1044,1606.893759
25.0,1137,1610.019313
25.0,1302,1613.492623
12.0,753,1615.394136
20.0,1198,1624.173419
20.0,1031,1626.709949
15.0,947,1629.532718
25.0,1005,1632.579427
12.0,805,1635.161876
28.0,1212,1638.545964
28.0,1309,1642.286559
21.0,1000,1645.174072
30.0,1221,1648.539798
11.0,701,1650.378535
17.0,850,1652.939931
21.0,1060,1655.736269
20.0,1195,1658.924208
21.0,1115,1668.085467
23.0,1061,1671.240137
25.0,1031,1674.308075
28.0,947,1677.315649
21.0,861,1679.502224
16.0,995,1682.545182
26.0,1101,1685.578162
15.0,958,1688.440187
18.0,934,1690.65601
40.0,1362,1694.847174
28.0,1178,1698.208193
27.0,1077,1701.218495
16.0,997,1704.153363
23.0,1245,1713.380772
25.0,920,1716.223561
9.0,618,1717.859634
23.0,850,1719.956447
31.0,1352,1724.039463
25.0,1301,1727.577735
24.0,1088,1730.571079
25.0,1069,1733.734514
31.0,1423,1738.289886
19.0,940,1741.243092
15.0,879,1743.43753
9.0,672,1745.151097
26.0,1022,1747.969167
12.0,812,1755.931867
26.0,978,1758.863047
32.0,1354,1762.535435
34.0,1403,1766.81089
27.0,1120,1770.142174
31.0,1303,1773.713027
15.0,926,1776.246134
11.0,690,1777.923441
28.0,1218,1781.364272
35.0,1368,1785.729666
32.0,1504,1789.826286
29.0,1364,1798.528582
9.0,707,1800.441811
31.0,1274,1804.374828
24.0,1106,1807.607154
22.0,1146,1810.862288
