#{"t_start": 1678172008.2062466, "env_id": "DemonAttack-v4"}
r,l,t
5790.0,6568,21.544497
6685.0,7155,82.287785
6865.0,6944,100.546194
295.0,1982,105.90466
6460.0,6180,154.406643
5760.0,6155,170.365955
5810.0,5289,221.739877
6270.0,6514,238.593469
7815.0,7083,290.788081
90.0,510,292.194686
7385.0,7344,311.226889
4580.0,5060,361.171096
5980.0,6056,376.159605
7700.0,8028,430.829954
1120.0,2452,436.817772
6515.0,7024,496.374904
7190.0,6497,512.492332
6760.0,7818,569.426286
6200.0,6177,584.948167
5250.0,5812,624.206019
4480.0,5095,637.46536
5480.0,6317,675.412895
9315.0,7764,697.682943
7320.0,7210,740.771374
8950.0,9620,787.778367
4330.0,5625,802.781098
4630.0,8995,862.015542
1140.0,2231,868.314146
2625.0,3767,879.069345
6080.0,6844,933.468938
4820.0,5720,949.807246
6130.0,6507,1003.826824
7210.0,7554,1025.344974
7465.0,8722,1078.893033
7220.0,6239,1096.603582
6730.0,6811,1141.671967
6530.0,5620,1156.878052
3050.0,3819,1193.82716
6050.0,7323,1213.662368
6480.0,6315,1266.679436
7000.0,7276,1286.471612
7425.0,7183,1335.336636
8440.0,8126,1395.379148
4310.0,5939,1411.26338
7720.0,8016,1466.752272
6780.0,6306,1484.112489
7495.0,7700,1535.494124
7515.0,7641,1556.559072
6150.0,6029,1603.381798
6320.0,6568,1621.776393
10110.0,13617,1692.839102
7560.0,7619,1742.59859
6780.0,6697,1791.553051
2600.0,3297,1799.729067
150.0,892,1802.102332
7885.0,7755,1822.717095
3920.0,4835,1865.72589
325.0,1641,1869.933398
6850.0,7266,1923.826063
4115.0,5066,1937.11761
4240.0,5153,1950.215716
5480.0,6422,2019.83788
7515.0,7086,2039.552863
1040.0,2376,2084.024677
7920.0,7288,2103.964414
6420.0,6086,2151.551585
7815.0,6846,2170.34383
6520.0,6100,2211.604737
7100.0,7469,2231.75783
370.0,1643,2236.034553
2075.0,3391,2273.253009
8140.0,7517,2293.715499
7510.0,7180,2346.509466
1480.0,2371,2352.667523
1320.0,2570,2359.93363
7505.0,7272,2408.114774
7685.0,7497,2428.29695
6720.0,6718,2484.247311
6280.0,6001,2501.288045
4600.0,6022,2545.238022
6490.0,7274,2565.415117
4300.0,5112,2612.635716
6515.0,6201,2629.205948
6240.0,6172,2676.695084
5130.0,6901,2694.187668
6775.0,6621,2744.836787
8215.0,7296,2763.446395
5660.0,6240,2807.799083
5870.0,6790,2824.967094
6805.0,6849,2875.681359
6320.0,6170,2891.263334
1480.0,2774,2932.098043
2550.0,3880,2942.044217
7530.0,7574,2989.203104
7760.0,8340,3011.13038
8225.0,7584,3056.81056
6675.0,8034,3077.572755
8035.0,7389,3132.345118
6790.0,7454,3184.375778
6975.0,6540,3200.432027
7605.0,7289,3254.979771
6540.0,6624,3271.627015
6590.0,6632,3316.775799
5870.0,5822,3331.204758
6705.0,7420,3382.264391
400.0,1860,3387.211763
6635.0,6141,3402.384612
5630.0,6195,3447.020707
7220.0,6935,3464.110741
6700.0,6027,3512.152067
6830.0,7187,3530.47314
5190.0,5371,3575.437928
3250.0,4934,3588.128121
5760.0,6402,3631.195343
6330.0,5895,3646.210119
6400.0,7336,3691.61713
6200.0,6028,3708.130492
6300.0,7386,3751.632819
6730.0,6640,3769.665004
5140.0,5483,3816.578185
5990.0,6204,3833.30279
4990.0,6076,3878.785449
6555.0,6160,3895.075903
5370.0,6364,3941.121477
5310.0,5431,3954.558118
6250.0,6872,3996.233719
6645.0,6452,4012.612141
6320.0,5977,4056.392697
6320.0,6160,4071.813011
6460.0,6913,4113.999622
3950.0,6455,4131.192004
6985.0,7490,4183.396016
6130.0,6494,4200.348862
4740.0,5234,4244.273425
8150.0,6907,4261.881853
6960.0,7114,4314.535484
6200.0,6301,4330.95739
7820.0,7770,4386.449725
6790.0,7097,4430.968236
8270.0,9418,4455.80599
6470.0,7289,4508.239651
3920.0,5053,4521.920959
8070.0,7675,4573.172614
9330.0,8070,4594.297837
6230.0,6277,4644.09221
5420.0,5706,4659.325277
5190.0,5131,4705.529849
8390.0,7104,4724.596427
5860.0,5836,4771.360132
8275.0,7208,4790.631317
6740.0,6152,4841.317856
8335.0,8046,4899.021507
6625.0,7065,4916.70055
6660.0,6032,4964.568503
8345.0,8596,4987.598742
7480.0,6542,5037.100195
8530.0,7508,5056.450114
6240.0,5816,5101.226134
6930.0,6995,5119.18594
7170.0,7014,5169.931927
8560.0,7129,5188.18491
