#{"t_start": 1680734093.4067252, "env_id": "Freeway-v4"}
r,l,t
31.0,2743,9.831033
33.0,2727,17.114079
33.0,2744,24.1724
32.0,2730,31.990193
32.0,2737,56.99439
30.0,2727,64.438591
32.0,2704,72.021974
31.0,2743,79.455799
32.0,2731,87.210957
32.0,2745,112.270779
31.0,2757,119.732908
30.0,2709,126.95808
31.0,2742,134.950317
31.0,2712,159.190638
32.0,2732,166.631574
32.0,2729,174.008344
30.0,2747,181.89783
29.0,2744,189.424758
32.0,2740,213.522844
30.0,2722,221.30981
32.0,2730,228.6679
31.0,2750,236.426163
32.0,2738,262.79579
32.0,2726,270.320592
30.0,2708,277.744689
31.0,2747,285.644218
31.0,2734,293.606615
31.0,2746,318.949296
31.0,2719,326.455176
31.0,2724,334.538163
32.0,2721,342.167277
31.0,2754,349.925221
31.0,2740,375.47363
32.0,2717,382.972959
32.0,2727,391.012252
31.0,2722,399.446092
31.0,2728,424.246769
32.0,2744,431.735348
32.0,2751,440.501601
32.0,2727,449.298532
32.0,2724,457.908953
31.0,2735,484.241665
31.0,2739,493.393534
31.0,2734,501.881385
32.0,2747,510.651401
33.0,2701,519.146288
32.0,2724,545.946299
32.0,2728,555.029928
32.0,2744,563.918426
31.0,2727,571.640354
32.0,2742,598.66172
32.0,2730,608.29089
32.0,2736,617.417567
32.0,2709,625.113219
31.0,2717,633.093221
32.0,2729,661.347275
32.0,2728,670.176453
31.0,2714,677.655959
32.0,2732,685.878897
31.0,2736,713.841144
31.0,2748,723.287185
31.0,2727,731.071049
33.0,2715,739.493572
31.0,2733,748.754849
32.0,2719,776.561088
32.0,2745,785.467236
31.0,2758,793.843804
32.0,2736,802.428604
31.0,2714,812.149745
32.0,2751,838.490593
30.0,2732,846.192549
31.0,2711,854.224043
32.0,2763,863.560584
32.0,2735,890.396371
32.0,2735,899.329088
32.0,2723,907.128983
30.0,2747,915.51825
33.0,2725,924.921475
31.0,2718,951.918932
32.0,2731,960.341919
32.0,2734,968.805507
32.0,2755,977.4752
32.0,2735,1004.643277
30.0,2712,1012.606213
31.0,2743,1020.816699
31.0,2748,1029.218993
31.0,2722,1038.309021
31.0,2725,1066.482303
32.0,2709,1074.341801
32.0,2723,1081.949386
31.0,2745,1091.328225
32.0,2720,1119.269038
30.0,2717,1127.928505
32.0,2727,1135.770464
31.0,2714,1145.551422
32.0,2746,1154.322539
31.0,2745,1181.290616
32.0,2728,1189.718282
32.0,2736,1198.789761
33.0,2720,1207.988286
32.0,2760,1217.627646
32.0,2698,1243.218938
33.0,2719,1251.91369
32.0,2717,1261.579637
32.0,2748,1270.973819
32.0,2720,1297.486006
32.0,2711,1305.518963
32.0,2739,1314.714956
32.0,2739,1323.967211
31.0,2763,1332.793531
32.0,2710,1360.45581
32.0,2750,1368.928269
31.0,2733,1377.628154
31.0,2716,1386.457614
32.0,2763,1414.44092
32.0,2734,1423.079648
30.0,2730,1432.305891
31.0,2719,1440.899154
31.0,2726,1449.84908
31.0,2714,1476.388781
32.0,2720,1485.28202
32.0,2731,1493.911678
32.0,2741,1503.290596
31.0,2753,1512.74832
31.0,2750,1539.48664
32.0,2739,1548.645944
32.0,2738,1558.380376
32.0,2742,1567.571233
32.0,2730,1594.777883
32.0,2733,1604.37027
32.0,2732,1613.482503
31.0,2746,1622.98812
32.0,2704,1631.036467
31.0,2721,1658.964002
31.0,2747,1668.025305
32.0,2741,1677.499458
32.0,2729,1686.52234
31.0,2748,1713.541753
31.0,2713,1722.324908
32.0,2723,1732.251395
31.0,2741,1740.924373
31.0,2722,1749.037758
32.0,2716,1777.054121
31.0,2737,1786.88018
31.0,2700,1795.56254
31.0,2759,1804.056232
32.0,2742,1813.652009
33.0,2757,1842.873276
32.0,2717,1852.104013
32.0,2718,1861.599559
32.0,2729,1870.7789
32.0,2733,1897.576065
31.0,2709,1907.096426
32.0,2721,1916.540123
32.0,2731,1925.385244
32.0,2741,1934.311308
32.0,2717,1962.589999
31.0,2723,1971.706319
32.0,2728,1980.533578
32.0,2729,1990.102537
32.0,2742,1998.124362
32.0,2754,2026.236642
31.0,2727,2035.467133
32.0,2730,2043.928917
31.0,2752,2052.265568
31.0,2726,2081.652471
31.0,2734,2090.082757
32.0,2720,2097.916184
32.0,2736,2106.804515
32.0,2727,2116.42446
32.0,2742,2144.792239
32.0,2745,2152.892903
32.0,2744,2162.702575
32.0,2759,2171.587524
32.0,2738,2199.112385
32.0,2710,2207.700948
32.0,2745,2216.837525
31.0,2731,2225.864454
32.0,2749,2235.52863
32.0,2735,2263.123318
32.0,2730,2272.080731
33.0,2733,2281.298462
31.0,2739,2290.051398
32.0,2735,2317.458289
