#{"t_start": 1680733221.7725644, "env_id": "Frostbite-v4"}
r,l,t
8830.0,2151,9.80061
2530.0,1450,13.056111
8230.0,2035,18.265308
8760.0,2194,23.944578
9120.0,2115,29.384364
8660.0,2126,34.869146
8810.0,2114,52.037218
9420.0,2218,57.742835
5990.0,1898,63.242371
9030.0,2134,69.43576
8790.0,2111,75.146277
5640.0,1797,79.753704
9290.0,2185,98.630219
9430.0,2205,105.395301
9150.0,2176,111.444517
8810.0,2124,117.208232
9230.0,2139,123.08039
8850.0,2063,129.465884
9340.0,2098,147.540692
8800.0,2144,154.223745
8840.0,2174,160.639945
8680.0,2113,166.648895
8970.0,2192,172.475499
9360.0,2162,178.33677
6090.0,1994,196.792475
8780.0,2162,203.74675
8160.0,2089,210.085532
8770.0,2088,215.757497
8910.0,2179,221.747755
8500.0,2193,228.232309
8750.0,2071,247.994804
8690.0,2035,253.911346
9290.0,2143,259.476083
8460.0,2178,265.53034
9100.0,2126,271.859035
9050.0,2164,278.273101
9020.0,2091,284.432797
8770.0,2119,300.978183
8800.0,2146,307.041464
8870.0,2149,313.482702
9000.0,2118,319.874682
9130.0,2081,326.003215
8860.0,2159,332.217409
9190.0,2188,349.747725
8960.0,2132,355.843974
9040.0,2189,362.327223
4860.0,1645,367.04148
8950.0,2161,373.702111
8820.0,2161,379.861938
8780.0,2113,396.083686
9040.0,2114,402.133937
9060.0,2128,408.361558
8850.0,2118,414.464737
9080.0,2135,420.688124
8610.0,2127,426.861525
8460.0,2027,443.671176
8820.0,2251,450.154512
8550.0,2087,456.423608
3320.0,1308,460.001434
9320.0,2129,466.059111
7970.0,2047,471.72763
8470.0,2141,490.126868
8870.0,2044,495.827055
8350.0,2122,502.263277
9340.0,2098,508.322378
9040.0,2087,514.218438
9300.0,2144,520.58801
9330.0,2104,527.039663
9580.0,2194,544.933243
8700.0,2090,551.43609
8670.0,2103,557.636237
8860.0,2116,563.568078
9090.0,2223,570.214696
2800.0,1304,574.186852
9100.0,2197,593.880261
9430.0,2203,600.410781
8860.0,2235,606.944911
8670.0,2161,613.224854
8410.0,2048,619.543068
8470.0,2127,625.805836
8790.0,2141,644.233409
8980.0,2085,650.303502
8730.0,2094,656.431646
8800.0,2052,662.561604
8880.0,2078,668.665078
8720.0,2081,675.128209
9180.0,2156,692.371535
8960.0,2124,698.861191
5970.0,1873,704.227033
9360.0,2192,710.526093
9360.0,2140,716.664898
9090.0,2087,723.243682
8660.0,2049,741.37402
8590.0,2066,747.754212
8830.0,2130,754.354492
6090.0,1917,760.110902
9330.0,2149,766.548729
8820.0,2108,772.985102
8860.0,2074,779.39981
8980.0,2192,797.337322
8820.0,2100,803.420721
8730.0,2181,809.681801
8690.0,2059,815.314962
8890.0,2192,821.666603
8790.0,2136,828.292287
5910.0,1933,846.566334
8640.0,2094,853.079501
8660.0,2012,858.28514
8610.0,2079,863.900031
9100.0,2085,870.475062
8700.0,2054,876.963516
8720.0,2144,895.882144
8360.0,2109,902.225388
8800.0,2101,908.312978
8970.0,2088,914.73506
8280.0,2115,921.47824
