#{"t_start": 1680735015.9442058, "env_id": "Krull-v4"}
r,l,t
5370.0,1986,8.825649
6960.0,1978,13.98291
7170.0,1931,19.081147
7170.0,1982,24.149307
6520.0,1943,28.928222
7100.0,1964,34.141105
5060.0,1635,49.187451
7240.0,2030,54.593421
6700.0,2006,59.86681
6840.0,1946,64.636937
6970.0,2042,70.132282
7130.0,1991,75.434218
6540.0,1957,80.493409
7020.0,2020,97.813984
6700.0,1954,103.180691
6760.0,1948,108.64021
6260.0,1917,113.977658
6820.0,1901,118.875149
6850.0,1971,124.049618
6950.0,1934,140.533199
6220.0,2005,146.153962
5140.0,1704,150.95006
6650.0,1951,156.447197
6510.0,1962,161.3362
6560.0,1928,166.50821
6720.0,1940,171.621123
6140.0,1941,187.784891
6820.0,1937,192.982789
6920.0,1993,199.753908
6970.0,1945,206.001264
6820.0,1928,211.431093
6450.0,1911,217.303867
5900.0,1875,234.948256
6670.0,1943,239.981139
6600.0,1999,245.514493
6170.0,1889,250.758861
6080.0,1926,256.161605
3380.0,1289,260.308306
7180.0,1945,266.359143
6750.0,1923,283.298286
6770.0,1895,288.726206
7000.0,1965,293.980173
5840.0,1781,298.66252
6880.0,1916,304.282172
8360.0,2572,312.453958
6890.0,1941,318.070149
6500.0,1927,335.186849
5310.0,1643,339.755186
6370.0,1882,345.123754
6630.0,1925,350.663978
6750.0,1936,356.954036
6650.0,1945,363.007083
4870.0,1892,368.403903
6890.0,1939,385.781881
6770.0,1935,391.166558
7210.0,1992,396.022197
5460.0,2031,401.648734
6610.0,1949,407.781137
6870.0,1991,413.916848
6960.0,1904,430.309073
7090.0,1930,436.211058
6660.0,1949,441.764269
7350.0,1956,447.16995
6830.0,1988,452.44447
7340.0,1970,458.608768
6750.0,1882,464.400431
6840.0,1911,481.176008
7040.0,1945,486.82089
5260.0,1972,492.508652
4980.0,1592,497.159207
6360.0,1906,502.286529
6470.0,1945,508.363581
6410.0,1915,514.192673
6550.0,1878,531.295551
5740.0,1931,536.818156
6490.0,1904,542.389644
7060.0,1957,547.818584
7020.0,1953,553.967296
6890.0,1890,560.070146
6960.0,1940,577.740085
6290.0,1817,583.122192
6440.0,1943,588.629758
6060.0,1798,593.676814
6810.0,1954,599.505418
6840.0,1931,605.326851
6870.0,1964,610.947812
6650.0,1981,627.245907
6600.0,1949,633.130396
6810.0,1978,638.699736
5600.0,1717,643.339521
7030.0,2271,649.918288
3990.0,1395,654.33089
5480.0,1715,659.344413
7030.0,1949,676.332525
5160.0,1908,681.897071
7230.0,1963,687.828476
7220.0,1969,693.265997
6520.0,1902,698.541902
6600.0,1914,703.752057
5490.0,1707,708.706007
