#{"t_start": 1679467787.4436908, "env_id": "MsPacman-v4"}
r,l,t
980.0,1088,7.603566
410.0,687,9.195075
920.0,1199,12.265973
260.0,479,13.569137
830.0,914,16.075632
330.0,755,17.904149
440.0,629,19.434239
400.0,728,21.46426
370.0,670,22.956207
780.0,901,25.269956
450.0,872,27.132463
400.0,605,28.969226
340.0,870,31.014262
270.0,716,33.120407
330.0,655,34.761831
290.0,591,36.29022
340.0,704,42.467256
280.0,634,44.446392
390.0,648,46.024513
390.0,868,48.040845
360.0,705,50.087402
680.0,1374,53.352307
370.0,628,55.204859
400.0,792,56.988903
320.0,683,58.641263
360.0,631,60.563213
1250.0,1078,63.252566
230.0,539,64.574927
500.0,1006,67.064748
250.0,600,68.625213
840.0,976,71.375882
350.0,674,72.985178
520.0,1051,80.164299
630.0,929,82.693807
420.0,921,84.765953
430.0,614,86.721546
700.0,824,88.519016
350.0,727,90.476813
460.0,735,92.189723
240.0,434,93.336382
330.0,604,94.848646
370.0,723,96.496295
430.0,871,98.843547
450.0,771,100.535869
510.0,853,102.765009
270.0,545,104.207765
390.0,697,105.752411
360.0,626,107.644549
320.0,754,109.332873
710.0,854,111.696353
300.0,607,117.610309
850.0,1233,120.574371
1310.0,913,122.963511
600.0,895,125.497779
410.0,630,127.085882
270.0,651,128.800278
690.0,1044,131.598914
690.0,815,134.035924
280.0,657,135.688257
370.0,660,137.456666
350.0,782,139.350607
470.0,905,141.941538
480.0,862,144.606663
650.0,1305,147.762707
240.0,625,149.321866
350.0,629,156.376283
1040.0,874,158.490643
450.0,790,160.910042
530.0,1149,164.022171
530.0,741,165.90013
750.0,874,168.417859
320.0,594,169.920333
630.0,901,172.353798
320.0,790,174.198718
520.0,845,176.748131
520.0,838,179.138469
560.0,719,180.770806
370.0,753,182.482138
460.0,648,184.512772
880.0,1053,187.376915
970.0,1377,195.243627
690.0,1232,198.796666
740.0,951,201.51988
550.0,846,203.539943
470.0,697,205.244901
470.0,881,207.715872
830.0,883,210.191279
730.0,802,212.229978
420.0,814,214.747739
530.0,734,216.615282
1060.0,1302,220.396752
820.0,891,222.447706
450.0,633,224.449694
350.0,559,225.881938
1030.0,785,227.785513
250.0,649,234.77657
810.0,849,237.307039
530.0,852,239.800496
1170.0,1020,242.144371
740.0,646,244.198652
560.0,676,245.917202
470.0,679,247.727947
650.0,895,250.291743
450.0,761,252.145007
420.0,912,254.703295
340.0,741,256.877461
540.0,915,259.046152
670.0,842,261.368335
530.0,839,263.135834
760.0,804,265.370774
650.0,799,267.756982
510.0,997,274.719539
1060.0,825,277.075139
550.0,744,278.858749
900.0,1308,282.699741
1100.0,1187,285.967989
470.0,621,287.618808
580.0,683,289.886748
1100.0,1170,293.122349
940.0,898,295.945034
620.0,1026,298.978658
1980.0,1405,302.449199
1070.0,1155,305.4424
1510.0,1133,309.13747
870.0,1110,318.289159
420.0,732,320.221287
710.0,856,322.816774
1240.0,1277,326.314146
880.0,1383,330.404134
300.0,626,332.11809
460.0,614,333.812009
540.0,775,336.038654
440.0,564,337.498873
750.0,990,340.239964
450.0,654,341.867387
510.0,666,343.484407
510.0,742,345.712779
500.0,759,347.740723
330.0,597,349.396216
440.0,644,355.589437
280.0,638,357.6458
780.0,828,359.778288
620.0,1000,362.704068
1130.0,814,365.264186
940.0,803,367.323802
850.0,920,370.015366
580.0,670,371.706947
980.0,1113,374.751247
360.0,659,376.523766
940.0,1299,380.53643
220.0,524,381.991987
350.0,558,383.418741
650.0,738,385.135044
990.0,1292,388.811796
590.0,840,391.022544
380.0,700,399.0763
290.0,604,400.728458
960.0,1204,404.068607
720.0,851,406.658345
680.0,820,408.671044
580.0,1263,412.443402
810.0,866,414.714641
710.0,889,417.386005
930.0,1277,421.324796
550.0,920,423.704029
690.0,997,426.311248
2750.0,1000,428.909722
990.0,1019,431.834541
310.0,707,438.517907
720.0,862,441.176523
1720.0,1014,444.120814
670.0,765,445.999742
510.0,696,448.179512
320.0,630,449.86113
520.0,767,451.866262
