#{"t_start": 1653998212.158372, "env_id": "Asterix-v4"}
r,l,t
300.0,394,4.759891
50.0,274,5.842355
100.0,382,6.643359
350.0,343,7.816102
100.0,283,8.851058
100.0,264,9.389287
500.0,384,10.594498
300.0,376,11.767005
300.0,394,12.597039
300.0,434,13.937258
250.0,384,15.086367
500.0,638,16.897412
50.0,274,17.461896
150.0,225,18.366802
400.0,437,19.738636
100.0,335,20.415624
400.0,457,21.742389
150.0,266,22.734007
300.0,324,23.415353
150.0,274,24.420128
200.0,322,25.055906
150.0,354,26.211376
250.0,318,26.869425
50.0,285,27.91151
400.0,416,29.258671
150.0,352,29.975413
300.0,285,31.014852
100.0,302,32.034222
100.0,303,32.706265
150.0,295,33.77773
250.0,250,34.335019
50.0,275,35.253167
200.0,268,35.805243
150.0,304,36.794329
100.0,255,37.29403
300.0,366,38.462
100.0,276,39.051183
100.0,271,40.057906
400.0,427,40.883336
350.0,410,43.957359
250.0,377,45.199782
350.0,326,46.297036
550.0,610,48.004244
200.0,321,48.673987
650.0,597,50.28676
50.0,255,51.216951
350.0,382,52.409614
350.0,378,53.141938
350.0,360,54.260948
350.0,346,55.385462
450.0,433,56.273941
350.0,443,57.62121
50.0,284,58.65179
550.0,438,59.947786
350.0,331,60.656421
200.0,296,61.678413
200.0,286,62.249884
150.0,294,63.296143
300.0,390,64.096816
500.0,418,65.366069
200.0,298,66.381717
400.0,429,67.654066
700.0,579,69.318909
400.0,351,70.032843
200.0,275,71.05516
150.0,275,71.581975
100.0,251,72.499636
150.0,285,73.02625
250.0,322,74.131569
250.0,338,74.79117
100.0,274,75.792542
450.0,415,77.0512
100.0,243,77.526596
100.0,294,78.516866
250.0,329,79.162571
300.0,259,80.138381
300.0,403,82.652142
250.0,250,83.624977
50.0,291,84.186004
350.0,342,85.311789
200.0,286,85.860226
300.0,429,87.191655
400.0,486,88.627494
200.0,277,89.680308
200.0,289,90.249652
200.0,295,91.279615
350.0,278,91.838154
200.0,256,92.797938
250.0,316,93.406959
250.0,398,94.668283
350.0,372,95.887872
250.0,261,96.414291
150.0,282,97.444174
450.0,364,98.186514
250.0,273,99.190245
350.0,438,100.555582
200.0,307,101.162318
100.0,270,102.141981
400.0,418,103.389866
200.0,282,104.001204
300.0,364,105.279654
200.0,369,106.003477
350.0,348,107.164165
150.0,274,107.726225
550.0,398,108.959138
200.0,331,110.051909
250.0,287,110.603241
150.0,274,111.562108
450.0,439,112.879462
250.0,304,113.476558
200.0,301,114.515041
300.0,325,115.194222
500.0,503,116.650189
150.0,308,117.681785
250.0,437,118.951863
250.0,284,119.550666
50.0,268,120.06104
150.0,333,123.112895
200.0,280,124.071249
250.0,363,124.803834
100.0,298,125.825209
250.0,303,126.43917
200.0,329,127.530214
150.0,279,128.063752
400.0,327,129.119709
150.0,305,129.739473
50.0,282,130.767049
200.0,294,131.806524
450.0,403,132.654782
650.0,546,134.208237
150.0,267,135.184954
250.0,304,135.776056
200.0,299,136.814298
50.0,297,137.381241
300.0,331,138.500833
200.0,280,139.035215
100.0,269,139.996891
250.0,341,141.104344
300.0,324,141.797507
400.0,461,143.176911
300.0,310,144.282219
150.0,376,144.984661
400.0,329,146.067669
150.0,227,146.53438
300.0,389,147.763665
300.0,288,148.776008
200.0,275,149.340816
550.0,387,150.587373
100.0,272,151.143172
150.0,275,152.15441
1100.0,942,154.937608
200.0,337,155.627459
250.0,425,156.915385
250.0,349,158.048793
200.0,313,158.681071
400.0,311,159.732877
150.0,275,161.933696
150.0,314,163.02814
150.0,281,163.582933
100.0,282,164.585723
300.0,320,165.231417
150.0,276,166.217972
300.0,412,167.477571
400.0,415,168.322132
200.0,332,169.420788
200.0,274,170.364491
300.0,297,171.024392
150.0,271,171.949121
150.0,339,172.676431
150.0,320,173.760506
450.0,400,174.560654
250.0,278,175.554088
150.0,250,176.038812
200.0,318,177.077721
0.0,272,177.602815
350.0,353,178.75093
250.0,331,179.827644
100.0,344,180.537086
200.0,353,181.708635
50.0,279,182.687872
500.0,465,183.637913
450.0,422,184.889057
0.0,275,185.908225
500.0,434,186.792189
150.0,375,187.980807
100.0,266,188.91759
450.0,545,190.479696
150.0,275,191.070319
500.0,459,192.411186
250.0,386,193.660733
100.0,269,194.193392
300.0,297,195.22892
150.0,292,195.809095
300.0,319,196.86383
200.0,275,197.425376
550.0,541,199.033713
450.0,416,201.835695
150.0,270,202.834171
100.0,292,203.438784
100.0,273,204.444077
400.0,416,205.293027
450.0,416,206.623972
250.0,400,207.882921
100.0,267,208.387582
300.0,348,209.558765
250.0,374,210.730624
150.0,270,211.284195
100.0,286,212.331479
500.0,547,213.914083
450.0,365,214.660592
750.0,644,216.877699
350.0,435,217.746639
150.0,268,218.699384
150.0,278,219.260325
400.0,387,220.494685
550.0,428,221.838158
300.0,257,222.369423
100.0,284,223.38447
150.0,268,223.901273
150.0,283,224.88826
350.0,342,226.062076
200.0,346,226.819293
300.0,453,228.13009
150.0,285,229.153402
100.0,282,229.732255
400.0,387,230.950774
100.0,286,231.512586
150.0,274,232.558784
450.0,409,233.801596
450.0,340,234.519885
100.0,233,235.4162
200.0,302,236.005368
200.0,295,237.066554
200.0,362,237.759209
200.0,292,238.845215
100.0,251,240.771884
350.0,366,241.96522
150.0,377,243.166424
400.0,433,244.022747
250.0,451,245.420538
200.0,270,246.391104
550.0,577,248.006817
350.0,373,248.756867
150.0,265,249.755233
200.0,284,250.325526
200.0,317,251.454904
750.0,618,253.159563
200.0,313,254.22333
200.0,288,254.781554
100.0,270,255.748517
50.0,275,256.315207
300.0,326,257.383353
400.0,420,258.669683
400.0,460,259.99929
600.0,540,261.572119
400.0,389,262.369786
300.0,292,263.32318
900.0,806,265.41321
200.0,389,266.624612
350.0,464,268.010301
200.0,284,268.593745
150.0,271,269.591807
300.0,335,270.695324
250.0,318,271.308769
850.0,660,273.186139
550.0,555,274.739184
150.0,255,275.704554
250.0,336,276.369332
400.0,325,277.469117
50.0,284,280.658823
300.0,359,281.424012
350.0,367,282.60675
350.0,370,283.785388
150.0,253,284.293724
300.0,270,284.805554
200.0,366,285.971485
100.0,269,286.946362
100.0,310,287.554974
300.0,357,288.729215
200.0,317,289.335054
550.0,373,290.53346
150.0,249,291.419762
150.0,326,292.092918
400.0,373,293.294359
200.0,338,293.955506
350.0,447,295.285309
200.0,323,296.377038
200.0,273,296.926099
100.0,288,297.951198
350.0,329,298.59156
300.0,385,299.802257
200.0,273,300.830833
250.0,288,301.334603
200.0,281,302.320582
350.0,500,303.842364
100.0,277,304.364071
500.0,493,305.802342
200.0,278,306.811154
400.0,319,307.463965
150.0,266,308.483838
200.0,361,309.226799
150.0,292,310.257406
250.0,352,310.94407
250.0,326,312.031457
250.0,367,313.233239
100.0,302,313.818645
500.0,432,315.139431
100.0,273,316.104737
500.0,460,317.092081
100.0,305,319.746979
250.0,330,320.833742
600.0,497,321.839954
350.0,462,323.230171
150.0,303,324.288573
150.0,321,324.91644
400.0,402,326.117065
200.0,377,327.310037
100.0,274,327.834252
200.0,293,328.882837
250.0,302,329.508854
100.0,285,330.555272
100.0,274,331.086614
350.0,357,332.27472
600.0,477,333.656829
150.0,291,334.196769
100.0,286,335.215282
250.0,322,336.310593
150.0,284,336.884912
500.0,497,338.355665
450.0,421,339.679299
150.0,231,340.121929
600.0,533,341.679088
100.0,278,342.704751
300.0,441,344.043
550.0,547,345.635774
250.0,262,346.14788
300.0,347,347.282263
250.0,399,348.105931
150.0,287,349.135196
100.0,288,349.706329
100.0,279,350.702832
500.0,511,352.162301
250.0,295,352.732173
150.0,277,353.713823
600.0,566,355.280142
200.0,323,356.344853
150.0,285,356.949751
300.0,393,360.257838
150.0,273,360.772122
500.0,491,362.183787
600.0,520,363.629598
350.0,376,364.888195
150.0,229,365.310481
500.0,506,366.729316
200.0,286,367.771909
150.0,378,368.532842
50.0,303,369.569614
600.0,572,371.202025
350.0,316,372.272627
350.0,341,372.969977
600.0,608,374.627297
350.0,430,375.923143
100.0,279,376.923636
300.0,327,377.588048
100.0,278,378.633998
250.0,346,379.754112
400.0,330,380.453685
150.0,297,381.499777
200.0,319,382.126144
450.0,447,383.483442
150.0,294,384.484531
200.0,425,385.316738
500.0,563,386.93233
150.0,283,387.972641
200.0,278,388.503972
150.0,268,389.466999
150.0,325,390.571923
500.0,514,391.581774
350.0,371,392.815289
350.0,437,394.142412
350.0,500,395.597142
550.0,452,398.298424
450.0,346,398.99858
200.0,268,399.998568
200.0,333,401.15964
300.0,443,402.025389
350.0,444,403.33442
450.0,411,404.617794
100.0,272,405.1493
350.0,353,406.292395
650.0,662,408.091824
450.0,432,409.416019
350.0,328,410.547169
150.0,239,410.988028
300.0,291,412.036288
300.0,356,412.77329
350.0,377,413.94831
150.0,292,415.079546
350.0,406,415.854828
400.0,555,417.418204
550.0,450,418.779236
250.0,294,419.80777
100.0,301,420.422648
650.0,581,422.010742
200.0,277,422.97655
200.0,383,424.155378
150.0,321,424.823768
200.0,346,425.976708
450.0,493,427.411303
200.0,286,427.979153
350.0,399,429.248883
250.0,342,430.401113
350.0,366,431.104947
350.0,299,432.147542
150.0,272,432.681661
400.0,474,434.014597
100.0,321,435.108821
400.0,456,438.502865
650.0,387,439.266752
400.0,361,440.399451
200.0,300,441.461225
350.0,352,442.152732
350.0,316,443.240829
200.0,393,444.473536
200.0,315,445.132889
200.0,286,446.134258
500.0,484,447.503765
100.0,276,448.066921
200.0,303,449.105216
100.0,301,449.6905
600.0,711,451.548655
400.0,439,452.861433
200.0,318,453.923949
400.0,338,454.630844
400.0,503,456.134422
350.0,330,457.199271
350.0,508,458.718052
100.0,327,459.779696
250.0,497,460.810624
550.0,586,462.839207
200.0,341,463.552379
200.0,295,464.570206
50.0,327,465.1994
900.0,638,466.927104
300.0,399,468.155192
250.0,467,469.513966
150.0,367,470.682621
150.0,338,471.310912
550.0,476,472.696003
100.0,275,473.662308
300.0,414,474.466867
450.0,343,477.50882
250.0,297,478.554844
150.0,311,479.198142
400.0,354,480.333684
450.0,395,481.091169
650.0,670,483.358533
500.0,731,485.290627
250.0,428,486.561978
300.0,353,487.679711
300.0,441,488.574328
400.0,470,489.961534
450.0,529,491.464865
350.0,354,492.578617
650.0,732,494.491374
200.0,283,495.509973
400.0,478,496.946853
250.0,396,497.722342
550.0,501,499.191753
250.0,404,500.473057
100.0,289,501.491052
350.0,607,503.135018
