#{"t_start": 1678843706.3161674, "env_id": "Breakout-v4"}
r,l,t
36.0,1399,10.308025
18.0,1058,13.248952
27.0,1237,16.680612
41.0,1469,21.228705
38.0,1653,26.286927
26.0,959,29.305255
44.0,1565,34.152612
86.0,2306,40.523344
26.0,1151,43.679852
34.0,1480,55.557125
56.0,1783,60.853885
38.0,1438,65.169378
23.0,1178,68.680147
29.0,1285,72.957795
22.0,1205,76.581143
13.0,852,78.777822
27.0,1197,82.11174
67.0,2022,88.268465
44.0,1550,100.645301
34.0,1644,105.512193
55.0,1807,111.355044
33.0,1393,115.36008
60.0,1814,121.468194
41.0,1413,125.228053
27.0,1168,128.568938
24.0,1072,131.645013
35.0,1604,136.420262
30.0,1027,146.186288
23.0,1016,149.29805
22.0,1061,152.586962
22.0,1139,155.922941
49.0,1556,160.741241
35.0,1339,165.054808
23.0,1122,168.264054
43.0,1627,173.158451
26.0,1032,175.741574
24.0,1181,179.627742
25.0,1063,182.946493
12.0,798,185.018112
39.0,1576,197.918501
17.0,874,200.300012
36.0,1492,204.886392
32.0,1446,209.552644
35.0,1419,214.026154
21.0,1136,217.377733
49.0,1581,222.315412
56.0,1737,227.580962
49.0,1941,233.61305
18.0,999,243.332124
29.0,1351,247.673436
21.0,1069,250.831897
39.0,1506,255.440665
12.0,771,257.477073
30.0,1310,261.184836
20.0,1162,264.970057
54.0,2008,270.403335
15.0,894,273.236361
38.0,1466,277.860554
18.0,913,287.367699
25.0,1057,290.633692
31.0,1105,293.944362
39.0,1488,298.698086
19.0,1077,301.8235
25.0,1245,305.320018
32.0,1100,308.683548
18.0,1089,311.705641
38.0,1454,316.03691
26.0,1039,319.263577
23.0,1059,322.573315
25.0,1070,325.823858
33.0,1526,337.07689
40.0,1338,341.057274
41.0,1569,346.036095
32.0,1482,350.47248
12.0,838,352.573115
30.0,1149,355.940921
34.0,1340,360.207231
41.0,1391,364.166584
27.0,1112,367.598713
33.0,1392,371.833988
13.0,793,381.589402
40.0,1397,386.040116
43.0,1705,391.248422
40.0,1335,395.219459
32.0,1319,399.005509
34.0,1264,402.789351
26.0,1049,405.845244
23.0,1189,409.500289
43.0,1168,413.457302
21.0,918,415.90831
19.0,1050,418.955763
25.0,1208,429.073328
25.0,1105,432.470251
20.0,1147,436.202305
30.0,1113,439.42075
57.0,1884,444.994364
41.0,1474,449.40947
30.0,1099,452.627841
31.0,1237,456.234174
38.0,1246,459.938521
34.0,1267,464.199245
46.0,1435,474.805781
28.0,1149,478.123298
30.0,1299,482.388013
22.0,1124,485.915779
37.0,1567,490.911395
25.0,1260,494.522614
56.0,1654,499.358713
42.0,1782,505.039507
25.0,894,507.205366
50.0,1586,512.13638
27.0,1276,522.233352
41.0,1528,526.336804
37.0,1222,530.357391
49.0,1685,535.571207
29.0,1367,539.450248
28.0,1206,543.414406
42.0,1449,547.459578
24.0,1053,550.630839
21.0,1044,553.926937
27.0,1041,557.196674
33.0,1296,569.362388
35.0,1343,573.693927
6.0,526,575.310569
26.0,1321,579.211118
15.0,952,582.304142
40.0,1445,586.748093
47.0,1556,590.843261
17.0,1056,593.973521
26.0,1167,597.702814
43.0,1651,602.48937
33.0,1224,606.066779
31.0,1398,618.31518
52.0,1608,623.40925
12.0,777,626.112787
19.0,968,628.940823
28.0,1222,632.374037
22.0,1114,635.712503
39.0,1470,640.023331
9.0,632,641.607401
50.0,1612,646.59931
26.0,1293,650.288077
59.0,1767,663.441656
18.0,912,665.911972
34.0,1327,670.231722
19.0,1102,673.397345
28.0,1229,676.847715
19.0,1115,679.917257
38.0,1590,684.5486
11.0,720,686.582446
42.0,1532,691.33704
24.0,1039,694.619615
35.0,1358,698.583058
61.0,1862,711.888407
25.0,1340,715.852087
39.0,1692,720.697723
12.0,809,723.069398
47.0,1410,726.871272
34.0,1410,731.415544
38.0,1485,735.986184
39.0,1428,739.949907
26.0,1011,743.034242
15.0,860,745.962187
42.0,1718,758.620346
25.0,1253,762.110454
33.0,1479,766.602806
32.0,1362,771.088266
32.0,1452,775.367797
25.0,1205,779.607997
14.0,933,782.133391
21.0,1059,785.478702
47.0,1694,790.764897
49.0,1748,796.472982
19.0,946,806.586391
58.0,1779,812.244945
39.0,1794,817.647797
40.0,1255,821.518581
27.0,1248,825.6051
43.0,1447,829.788479
34.0,1441,834.415936
40.0,1261,838.084832
40.0,1189,841.978075
36.0,1482,852.078555
21.0,1045,855.224278
43.0,1483,859.657381
36.0,1576,864.635575
43.0,1551,869.466138
13.0,831,871.672997
42.0,1526,876.368506
41.0,1275,880.523932
56.0,1618,885.234321
31.0,1263,888.494184
15.0,794,898.137489
35.0,1359,902.309129
27.0,1250,905.741828
56.0,1814,911.642392
55.0,2039,917.697872
36.0,1743,923.482035
16.0,952,925.964557
17.0,916,928.824761
28.0,1078,931.878528
45.0,1744,937.101761
21.0,1031,946.767026
29.0,1274,950.75808
31.0,1186,954.269078
32.0,1240,957.925655
26.0,1335,962.328815
28.0,1264,965.968846
43.0,1396,970.211347
25.0,1185,973.577279
42.0,1739,978.632048
13.0,856,980.995565
39.0,1414,992.84984
48.0,1463,997.391158
37.0,1419,1001.37203
43.0,1686,1007.106763
18.0,944,1009.562494
26.0,1363,1013.744665
41.0,1343,1017.680202
26.0,1276,1021.739799
15.0,770,1023.809896
37.0,1561,1028.67329
32.0,1625,1041.375869
17.0,977,1044.292508
20.0,995,1047.286014
31.0,1115,1050.623371
48.0,1501,1054.561988
33.0,1582,1059.481935
53.0,1606,1064.239325
31.0,1367,1068.516145
49.0,1613,1073.536097
16.0,927,1076.546305
45.0,1686,1089.842189
15.0,917,1092.207702
37.0,1332,1096.477576
61.0,1712,1101.732693
31.0,1439,1106.310251
32.0,1381,1110.315019
38.0,1627,1115.342022
27.0,1373,1119.903617
39.0,1286,1123.826269
50.0,1595,1136.190498
44.0,1550,1140.911451
39.0,1378,1145.43284
26.0,1102,1148.745101
33.0,1400,1152.828897
20.0,1009,1155.820718
43.0,1590,1160.525666
32.0,1195,1164.11575
27.0,1354,1168.589113
31.0,1224,1172.279468
31.0,1511,1184.216411
26.0,884,1186.572969
27.0,1084,1189.924051
28.0,1336,1194.369972
34.0,1339,1198.217215
46.0,1602,1203.074975
32.0,1411,1207.35115
45.0,1445,1211.795871
29.0,1235,1215.340178
44.0,1719,1220.431942
31.0,1376,1232.042787
29.0,918,1234.462564
19.0,1052,1237.743545
46.0,1626,1242.664351
21.0,1088,1246.057281
49.0,1649,1250.904779
18.0,907,1253.77309
16.0,939,1256.659223
42.0,1496,1261.255046
39.0,1424,1265.320974
47.0,1568,1277.717005
15.0,899,1280.646228
29.0,1294,1284.510994
37.0,1350,1288.854448
32.0,1218,1292.430969
18.0,897,1295.223159
28.0,1149,1298.580001
41.0,1487,1302.59958
34.0,1398,1306.810712
32.0,1414,1311.377707
22.0,941,1313.770633
30.0,1324,1325.41436
26.0,1313,1329.285483
44.0,1333,1333.587415
23.0,1062,1336.228093
43.0,1709,1341.547327
40.0,1630,1346.242102
41.0,1609,1351.21302
32.0,1352,1355.084008
42.0,1284,1359.343337
35.0,1284,1362.880534
42.0,1538,1374.543353
36.0,1525,1379.408391
15.0,855,1381.579671
57.0,1440,1385.630183
30.0,1161,1388.788477
41.0,1519,1393.489409
35.0,1210,1397.099375
52.0,1856,1403.080057
37.0,1532,1407.694753
48.0,1811,1418.989348
43.0,1688,1424.16521
36.0,1568,1428.644312
33.0,1305,1432.192259
23.0,1011,1435.153702
53.0,1708,1440.180988
35.0,1376,1444.436818
29.0,1229,1448.082515
22.0,905,1450.966928
34.0,1446,1462.665662
19.0,1051,1465.968706
35.0,1760,1470.756256
28.0,1457,1475.133902
28.0,894,1477.538262
52.0,1652,1482.436572
37.0,1336,1486.764561
35.0,1421,1490.889333
28.0,1103,1494.276942
23.0,1003,1497.47052
44.0,1686,1509.53005
26.0,1108,1512.777491
55.0,1539,1517.434365
32.0,1273,1521.480583
35.0,1523,1525.799943
23.0,1001,1528.887172
39.0,1412,1533.464804
17.0,878,1536.346305
26.0,1457,1540.64152
53.0,1879,1546.520213
46.0,1476,1558.426559
58.0,2008,1564.07188
25.0,1387,1568.409265
34.0,1554,1573.381812
52.0,1809,1578.74106
11.0,648,1580.638793
