#{"t_start": 1678316872.9517798, "env_id": "DemonAttack-v4"}
r,l,t
8125.0,9393,26.157922
4080.0,5739,69.619836
3885.0,5292,83.611227
4700.0,6266,132.298823
6190.0,9073,154.672743
3045.0,5206,198.479733
6370.0,7595,216.17888
6140.0,17459,327.824413
8000.0,7987,346.421636
1820.0,3414,387.349202
4330.0,4970,399.241366
7550.0,8359,452.39227
8255.0,7797,470.573775
250.0,1093,473.345215
6915.0,7141,516.639286
5390.0,7145,534.120411
4240.0,4736,573.225835
5090.0,5630,586.000584
4580.0,5827,621.267253
5310.0,7256,638.17241
3550.0,5506,684.57137
7720.0,8293,704.067543
4100.0,5542,748.008719
7635.0,7986,766.471063
6100.0,7355,817.49371
8035.0,8295,869.338324
7775.0,9192,892.446905
5970.0,6965,933.220844
7510.0,7564,981.614275
6810.0,8020,1000.699771
5750.0,6951,1052.000261
8160.0,8696,1072.342675
6160.0,7504,1117.420713
6200.0,5714,1131.116627
7460.0,8921,1181.62156
5510.0,5456,1228.950413
5480.0,6303,1244.209815
385.0,1969,1249.510233
6070.0,6309,1298.213916
9185.0,9378,1320.900445
5680.0,6130,1364.853264
4040.0,5719,1377.700447
6780.0,7716,1431.549047
4790.0,5720,1446.56615
7225.0,7871,1498.965971
7345.0,8029,1549.051778
6995.0,7740,1567.08449
4950.0,6682,1608.586805
4780.0,5697,1621.451224
3960.0,5148,1658.678642
5000.0,6465,1674.272486
340.0,1987,1678.782897
5590.0,6846,1807.219749
1200.0,3028,1814.698535
6715.0,6647,1856.893215
5630.0,7529,1875.13416
295.0,1799,1879.641381
5190.0,6973,1929.41099
1960.0,3733,1939.030931
6260.0,7425,1988.014805
5680.0,5900,2003.753398
4260.0,6311,2037.899388
7980.0,8515,2060.74631
2095.0,4151,2105.998207
4500.0,5243,2119.746111
1080.0,2269,2126.008026
6895.0,8601,2173.315269
5820.0,6037,2222.349268
6520.0,7963,2240.987502
6750.0,6812,2291.079536
7220.0,8719,2313.549958
7310.0,8966,2370.350962
5350.0,6087,2419.344746
5740.0,8459,2439.241382
6380.0,7915,2491.06554
4140.0,6029,2505.271569
7645.0,9418,2562.965579
5570.0,6029,2609.461943
5380.0,5975,2622.812664
4910.0,5267,2634.577453
1120.0,2807,2669.970475
5590.0,6391,2684.607047
8260.0,8621,2743.099243
7610.0,8730,2792.780563
5240.0,6599,2808.522479
5460.0,6164,2858.454706
7275.0,8436,2878.31279
5550.0,7199,2929.533004
6995.0,8484,2949.885782
7945.0,8684,3008.839651
6320.0,7385,3060.248681
6415.0,8045,3079.481968
7910.0,9196,3128.260013
6100.0,7090,3183.808829
7165.0,7575,3201.620019
5730.0,6973,3251.785912
340.0,1623,3255.726352
7245.0,7152,3272.08885
