#{"t_start": 1680678610.300615, "env_id": "Freeway-v4"}
r,l,t
0.0,2741,12.642458
0.0,2717,20.118227
2.0,2736,27.257965
11.0,2723,35.83449
17.0,2736,63.473878
22.0,2749,71.3941
18.0,2726,79.479033
21.0,2741,87.915598
20.0,2757,96.143901
25.0,2731,123.392797
20.0,2761,131.264962
21.0,2737,138.678031
22.0,2719,146.680997
22.0,2733,174.529315
20.0,2719,183.233501
24.0,2703,190.921018
24.0,2709,198.569486
19.0,2731,207.33403
21.0,2725,235.387491
24.0,2727,243.465639
22.0,2736,250.967079
23.0,2748,259.533079
20.0,2736,287.919408
24.0,2739,295.151402
21.0,2730,302.70927
27.0,2723,311.493035
23.0,2723,319.988265
23.0,2720,346.767888
21.0,2708,354.499415
22.0,2754,363.878935
21.0,2733,372.32999
19.0,2741,381.008956
21.0,2736,407.524307
22.0,2718,415.687055
21.0,2744,424.329806
20.0,2723,433.145423
21.0,2714,458.479444
24.0,2731,466.522964
21.0,2716,475.257021
23.0,2726,483.616853
22.0,2738,491.288452
21.0,2721,515.87109
19.0,2733,524.920892
22.0,2738,533.13496
20.0,2761,541.581436
23.0,2731,566.696839
22.0,2743,574.918443
23.0,2714,582.654516
23.0,2754,590.66892
21.0,2742,599.223514
22.0,2738,625.408802
20.0,2733,633.331759
21.0,2724,641.284911
28.0,2739,649.999912
19.0,2721,658.747761
21.0,2719,683.79289
20.0,2747,692.433366
24.0,2758,701.648556
20.0,2753,710.23075
23.0,2749,734.81029
24.0,2716,743.560767
18.0,2730,751.812734
23.0,2744,760.292604
23.0,2700,767.815587
20.0,2731,792.757408
19.0,2748,801.297562
19.0,2720,809.91409
20.0,2733,817.923561
23.0,2744,843.436286
21.0,2749,851.765748
20.0,2751,860.583265
20.0,2732,868.438268
20.0,2730,876.10345
22.0,2749,902.502273
19.0,2721,910.708035
23.0,2742,918.165658
24.0,2713,925.497238
22.0,2736,932.757551
19.0,2729,958.291447
23.0,2725,965.755071
20.0,2718,973.61292
25.0,2748,980.999309
23.0,2756,1005.931462
25.0,2707,1013.456121
22.0,2755,1020.93533
21.0,2735,1028.337254
22.0,2720,1036.041462
26.0,2727,1061.290839
21.0,2738,1069.496207
23.0,2754,1077.684714
24.0,2758,1085.004055
26.0,2739,1109.853956
18.0,2768,1118.68628
23.0,2750,1127.176843
21.0,2749,1134.669937
22.0,2746,1142.930369
22.0,2740,1168.266017
20.0,2737,1176.425565
21.0,2746,1184.432978
21.0,2723,1191.584128
23.0,2740,1198.869371
22.0,2713,1225.777339
23.0,2721,1233.785197
19.0,2726,1240.950993
27.0,2740,1248.111322
24.0,2740,1274.580496
25.0,2743,1282.590485
24.0,2760,1290.031294
22.0,2715,1298.008368
22.0,2717,1306.213655
23.0,2743,1332.286905
23.0,2723,1339.655138
22.0,2741,1347.057169
23.0,2731,1355.56888
18.0,2737,1381.932405
20.0,2707,1388.980901
22.0,2749,1397.101235
20.0,2746,1405.972016
25.0,2743,1414.605818
23.0,2744,1439.291003
19.0,2709,1446.507998
24.0,2734,1455.452141
23.0,2726,1464.091787
22.0,2727,1472.409561
23.0,2720,1497.043336
20.0,2719,1504.806732
25.0,2730,1513.224184
21.0,2728,1521.824987
22.0,2732,1546.505063
23.0,2755,1554.705681
19.0,2703,1563.691595
22.0,2716,1572.284912
27.0,2725,1579.780436
20.0,2723,1604.886719
24.0,2749,1613.094425
20.0,2733,1621.346249
23.0,2752,1629.211671
22.0,2734,1655.389026
25.0,2729,1662.628511
22.0,2739,1669.889338
20.0,2722,1677.060455
23.0,2703,1685.920044
21.0,2741,1711.130743
19.0,2708,1718.905146
22.0,2743,1727.216819
20.0,2733,1735.811623
21.0,2760,1744.434447
22.0,2712,1768.819218
20.0,2728,1776.992208
24.0,2734,1785.618799
20.0,2730,1793.914644
19.0,2741,1818.850148
20.0,2744,1827.209821
23.0,2701,1835.50451
21.0,2740,1844.497755
24.0,2717,1853.003452
19.0,2735,1877.677797
22.0,2738,1886.645995
22.0,2703,1895.11768
24.0,2722,1903.507059
20.0,2732,1928.078007
25.0,2697,1936.786444
22.0,2737,1945.560836
23.0,2743,1953.884288
22.0,2726,1961.452857
23.0,2754,1986.771424
18.0,2732,1995.110005
21.0,2733,2002.82038
20.0,2761,2010.482164
19.0,2730,2017.802963
23.0,2736,2043.272555
22.0,2728,2051.246917
26.0,2725,2059.040462
23.0,2717,2067.372404
22.0,2739,2093.127982
20.0,2741,2100.791426
21.0,2720,2109.2622
26.0,2726,2117.902718
21.0,2710,2125.820087
25.0,2748,2150.551655
21.0,2763,2159.290626
23.0,2744,2168.21372
24.0,2731,2175.738541
20.0,2727,2200.293112
22.0,2754,2209.296714
23.0,2716,2217.614539
21.0,2737,2225.422144
22.0,2738,2233.097891
21.0,2744,2258.364637
20.0,2727,2266.913306
21.0,2725,2275.565876
21.0,2710,2282.856161
26.0,2734,2290.333105
21.0,2711,2316.451559
21.0,2717,2325.163398
20.0,2744,2332.170152
20.0,2754,2339.665634
21.0,2725,2366.254812
22.0,2724,2374.615621
22.0,2739,2382.137018
25.0,2729,2389.635842
24.0,2715,2397.789943
20.0,2722,2424.09674
22.0,2755,2432.10815
21.0,2753,2439.384392
21.0,2747,2447.057835
21.0,2721,2473.638823
22.0,2750,2481.038028
20.0,2721,2488.535225
19.0,2729,2496.80074
25.0,2728,2505.832981
26.0,2737,2531.671466
24.0,2723,2538.998657
21.0,2752,2547.071205
22.0,2745,2555.297488
19.0,2723,2563.777669
21.0,2745,2589.729953
24.0,2728,2597.029499
22.0,2731,2604.988108
22.0,2754,2613.978322
21.0,2746,2638.774163
23.0,2720,2646.481436
23.0,2730,2653.976246
20.0,2716,2662.409993
20.0,2745,2669.707101
23.0,2752,2694.417459
21.0,2757,2702.16393
21.0,2718,2709.477591
21.0,2737,2717.057492
