#{"t_start": 1679346097.6162088, "env_id": "Frostbite-v4"}
r,l,t
40.0,509,6.280321
20.0,447,7.741848
70.0,497,9.327116
120.0,565,11.195986
80.0,524,12.883142
110.0,612,14.857914
60.0,463,16.375448
100.0,550,18.219252
40.0,518,20.005189
200.0,621,22.005681
100.0,514,23.764181
110.0,548,25.495868
100.0,539,26.825519
140.0,537,28.603266
120.0,494,30.195455
110.0,559,32.002631
80.0,500,33.660233
40.0,399,35.064093
60.0,441,36.099353
80.0,563,37.959254
130.0,644,40.522414
10.0,377,41.311663
90.0,539,43.188365
0.0,367,44.419143
30.0,427,45.867792
110.0,622,47.690923
90.0,497,48.810702
60.0,411,53.4839
130.0,515,55.087786
120.0,576,56.797073
50.0,431,58.256439
110.0,514,59.970728
90.0,484,61.561771
120.0,597,63.467115
120.0,555,65.275534
110.0,483,66.388325
80.0,441,67.892211
80.0,494,69.510943
100.0,517,71.145968
160.0,576,72.968194
70.0,459,74.551594
100.0,516,76.254482
90.0,515,77.490576
100.0,510,79.173344
50.0,449,80.621431
120.0,600,82.501899
170.0,716,84.658575
190.0,653,86.960243
110.0,644,88.863047
100.0,509,90.432628
220.0,753,92.726983
70.0,442,94.157901
150.0,573,96.00247
130.0,602,101.55923
90.0,513,103.196459
180.0,673,105.276172
130.0,521,106.86646
240.0,905,109.424437
170.0,669,111.979681
80.0,497,113.161243
160.0,660,115.591437
180.0,608,117.490739
130.0,629,119.495269
220.0,807,121.817414
130.0,547,123.494763
250.0,894,126.560116
160.0,559,128.271568
150.0,535,129.957462
110.0,477,131.359266
90.0,532,132.870981
200.0,706,134.907123
140.0,516,136.588968
170.0,605,138.438652
110.0,497,140.048915
150.0,530,141.790074
160.0,547,143.534357
170.0,707,149.670187
180.0,570,151.56969
200.0,681,153.601192
200.0,586,155.422176
200.0,756,157.730011
110.0,492,159.288894
170.0,675,161.801783
190.0,691,163.839513
190.0,655,165.857674
210.0,693,167.947824
120.0,486,169.54613
220.0,730,171.843479
180.0,590,173.693112
200.0,606,175.654608
210.0,681,178.162215
200.0,640,180.106791
220.0,698,182.258788
900.0,1037,185.871262
170.0,598,187.733388
170.0,627,189.626046
130.0,591,191.517659
150.0,555,197.165004
120.0,490,198.778959
190.0,577,200.53187
170.0,671,202.596475
160.0,513,204.22704
120.0,494,205.777534
180.0,630,207.710001
230.0,726,209.824155
200.0,684,212.521419
240.0,758,214.80267
150.0,537,216.376122
160.0,558,217.981466
100.0,464,219.459677
160.0,558,221.229685
200.0,687,223.226008
200.0,592,225.001704
160.0,559,226.623086
200.0,626,228.50291
1420.0,1172,232.183852
140.0,524,233.791159
120.0,488,235.379352
170.0,636,237.402746
240.0,745,243.916274
180.0,573,245.795195
210.0,683,248.312308
260.0,892,250.861789
230.0,690,252.970191
200.0,619,255.303948
180.0,602,257.13876
