#{"t_start": 1680765718.9300601, "env_id": "Krull-v4"}
r,l,t
6930.0,1985,10.047037
7570.0,1986,16.707599
6930.0,1984,23.23632
6430.0,1881,29.110704
5480.0,1741,34.73087
4880.0,1442,39.246053
7210.0,2003,57.344651
7160.0,1937,64.023744
6890.0,1951,70.90992
7170.0,1935,77.27937
7050.0,1968,83.247469
6550.0,1881,89.551819
7130.0,1984,95.379375
6910.0,1945,113.378063
7130.0,1983,120.280821
8060.0,2553,128.761973
6240.0,1888,135.223186
6690.0,1900,140.802609
6860.0,1960,146.517118
7420.0,1959,164.320957
6760.0,1902,170.018797
7120.0,1955,176.649328
7430.0,1983,183.224699
7020.0,1950,189.256415
6870.0,1902,194.274214
7530.0,1956,200.179957
6750.0,1946,218.881515
6760.0,1877,224.716125
7080.0,1988,231.234273
7280.0,1988,237.607009
7410.0,1908,242.897866
7080.0,2014,248.589601
6700.0,1909,266.035428
6240.0,1772,271.689213
6900.0,1998,278.099999
7190.0,1920,284.039347
6780.0,1925,289.306523
7320.0,1928,294.688438
7370.0,1986,300.4495
7300.0,1954,318.265225
6580.0,1860,323.994871
6470.0,1910,329.929097
7160.0,1947,336.388377
5870.0,1880,341.980132
7420.0,2360,349.064826
8120.0,2563,370.075123
7970.0,2569,378.443792
7460.0,1909,384.038709
7570.0,2338,391.33566
7540.0,2003,397.18074
5170.0,1494,401.252456
6880.0,1887,418.981055
7030.0,1951,425.067306
7080.0,1939,431.002908
6830.0,1945,437.19064
5330.0,1925,443.277031
6990.0,1934,448.85052
6990.0,1923,454.832224
5780.0,1697,471.912351
6100.0,2036,478.318814
6760.0,1937,484.835795
7760.0,2022,491.16531
6610.0,1950,496.793984
6710.0,1965,503.034461
7030.0,1909,509.113149
6250.0,2089,527.578964
8240.0,2569,535.841931
7290.0,1972,540.768266
7380.0,1908,546.47836
7360.0,1976,552.866444
7230.0,2393,560.019006
5400.0,1990,577.158987
6520.0,1919,583.4904
7140.0,1923,589.538643
6380.0,1902,595.22874
6660.0,1954,601.812438
7700.0,2435,609.26755
7030.0,1947,626.159225
4950.0,1850,632.066134
7570.0,1984,638.344246
6920.0,1959,643.815606
6820.0,1976,650.104459
4380.0,1416,654.807396
7020.0,1966,660.756351
6450.0,1908,677.845166
7280.0,2000,683.964806
6790.0,1894,689.881626
7180.0,2392,697.024427
7140.0,1933,703.443345
7060.0,1960,710.067968
7820.0,1981,727.387309
6720.0,1956,733.225137
5470.0,1649,737.901233
7330.0,1952,743.510577
7610.0,1999,750.198875
6630.0,1884,756.038488
6260.0,1788,762.131715
7370.0,1890,778.676232
7430.0,1961,784.378591
4880.0,1456,788.566717
8160.0,2515,795.679896
6420.0,1790,800.831377
5910.0,1693,806.042912
5080.0,1696,811.317514
7020.0,1893,829.15
7360.0,1939,834.783645
7380.0,1947,840.262409
6810.0,1873,845.85526
6680.0,1958,852.276282
7700.0,2002,858.925232
7100.0,1969,864.789953
6630.0,1835,882.640551
7370.0,1983,888.07682
6770.0,1951,893.184613
5980.0,2071,899.619967
6130.0,1774,905.499668
4860.0,1840,911.095801
4410.0,1466,915.770011
7200.0,1978,934.302906
6240.0,1764,938.953889
7450.0,1984,944.759523
7360.0,1928,951.089661
7370.0,1960,956.682515
6500.0,1923,963.081248
6900.0,1964,981.047421
5920.0,1791,986.050266
7070.0,1926,991.434518
5010.0,1934,996.791366
6820.0,1864,1003.207324
7360.0,1941,1009.674226
6750.0,1939,1015.312121
7120.0,1978,1033.341371
7060.0,1946,1038.893493
6910.0,1920,1043.653303
7960.0,2460,1051.292382
6570.0,1859,1057.419394
7010.0,1893,1063.364259
7660.0,2003,1082.267171
7170.0,1951,1087.772456
7340.0,1962,1092.865738
7200.0,1944,1097.817355
7080.0,1934,1103.937589
6690.0,1897,1110.283617
7480.0,1969,1116.393332
7790.0,1956,1135.110985
6710.0,1929,1140.874394
6960.0,1909,1145.727162
7460.0,1956,1151.265465
6800.0,1943,1157.061285
5150.0,1601,1161.9585
7540.0,1974,1168.182287
7120.0,1961,1186.44931
8770.0,2591,1193.511834
7330.0,1928,1198.910254
4330.0,1458,1203.046024
7310.0,1933,1208.793261
6810.0,1904,1214.97073
7040.0,1936,1233.794286
4870.0,1532,1238.395825
5420.0,1616,1243.145178
7320.0,1913,1248.463197
5420.0,1702,1253.552276
8820.0,2563,1261.305992
7310.0,1887,1267.675588
7070.0,2402,1286.998673
6810.0,1953,1291.977965
6910.0,1973,1297.626923
6830.0,2021,1303.382597
6780.0,1910,1308.842663
4690.0,1585,1313.785105
7300.0,1971,1331.909506
7000.0,1945,1337.846241
5630.0,2032,1344.363624
6840.0,1940,1350.620245
6570.0,1901,1355.693041
6710.0,1811,1361.183741
6930.0,1937,1367.196735
4980.0,1527,1384.211368
7020.0,1992,1390.42498
7570.0,2018,1396.952459
5700.0,1702,1402.154776
7310.0,1931,1407.774208
7150.0,1989,1413.340153
8100.0,2547,1421.465709
6960.0,1945,1440.444925
7730.0,1972,1447.189422
7570.0,1989,1453.825407
6820.0,1893,1458.925757
6740.0,1952,1464.356447
6240.0,1923,1470.511947
7390.0,2004,1488.852637
7530.0,1966,1494.894491
7370.0,1972,1501.462021
7170.0,1972,1507.806082
7050.0,1925,1513.42479
6420.0,1958,1518.5873
7630.0,1980,1524.998657
6910.0,1895,1542.913107
6840.0,1912,1548.889499
6780.0,1959,1555.505579
5200.0,1830,1561.30018
7230.0,1938,1566.362753
6870.0,1995,1572.288429
7330.0,1958,1590.94676
6850.0,1925,1597.399354
5750.0,1807,1603.091658
5170.0,1558,1608.167249
7070.0,1925,1614.068215
7180.0,1965,1619.185473
7360.0,1954,1625.27151
7310.0,1912,1643.67699
6960.0,1913,1649.68964
7030.0,1907,1655.920451
7230.0,1960,1661.934395
6760.0,1888,1667.221778
7600.0,1954,1673.047457
7200.0,1942,1679.14817
7390.0,1948,1696.778889
7780.0,2553,1704.894104
6490.0,1900,1711.388718
7390.0,1959,1717.723096
6450.0,1905,1723.111733
6890.0,1928,1729.069964
7330.0,1954,1747.634879
7720.0,1978,1753.645909
6900.0,1961,1760.290247
7210.0,1962,1766.733458
7010.0,1977,1772.701313
6260.0,1743,1777.468625
7350.0,1950,1783.400007
7030.0,1945,1801.924646
7270.0,2016,1808.279164
7240.0,1908,1814.69695
7110.0,1965,1820.949248
6880.0,1922,1826.047856
5310.0,1673,1831.052455
6710.0,1914,1836.31013
7510.0,2578,1857.896703
7160.0,1950,1864.302328
7540.0,1980,1870.69748
3900.0,1418,1874.71759
7130.0,1942,1880.120341
6630.0,1909,1885.740917
7270.0,1941,1903.533217
7670.0,1998,1910.246359
6850.0,1918,1916.795633
5520.0,1731,1922.298138
7230.0,2612,1929.520363
7230.0,2443,1936.382902
4940.0,1514,1953.124702
6880.0,1889,1958.874847
6190.0,1882,1965.158923
6790.0,2019,1971.737867
9470.0,3240,1981.044206
5070.0,1548,1985.379768
5410.0,1691,1990.459282
6590.0,1863,2009.183925
6680.0,1899,2015.232306
7210.0,1920,2021.72149
7180.0,1949,2027.241327
7430.0,1970,2032.092596
4930.0,1506,2036.318743
7290.0,1940,2042.356849
5060.0,1442,2058.735595
6600.0,1924,2064.626355
7300.0,1961,2070.983371
9030.0,2616,2078.191576
7200.0,1963,2083.663949
6980.0,1984,2089.333477
6970.0,1948,2107.55168
6620.0,1930,2113.789378
4940.0,1456,2118.436253
7980.0,2618,2125.952257
5600.0,1874,2130.908112
6830.0,1926,2136.379043
6140.0,1881,2141.698816
6670.0,1930,2159.149858
6750.0,1948,2165.586879
5810.0,1667,2171.053875
7010.0,1941,2177.211158
8040.0,2554,2184.895855
6690.0,1935,2190.638375
6650.0,1886,2208.286185
5910.0,1723,2213.713492
6950.0,1919,2220.087947
7120.0,1915,2226.496775
7390.0,1939,2231.85272
6730.0,1931,2237.449228
7070.0,1901,2243.533498
7500.0,1950,2261.146448
6050.0,1909,2267.448262
6630.0,1946,2273.733199
5160.0,1551,2278.3699
6990.0,1949,2283.671168
7190.0,1988,2289.602952
6870.0,1972,2295.984352
7080.0,1967,2313.399248
7390.0,1962,2319.029931
7470.0,2018,2325.420555
8120.0,2579,2333.110654
6450.0,1808,2338.974298
9200.0,2690,2360.194112
6680.0,1932,2366.1469
7130.0,1934,2372.486545
7150.0,1926,2378.347731
5860.0,1796,2383.610866
7110.0,1939,2389.669528
7260.0,1961,2395.7272
7280.0,1942,2414.406489
6460.0,1878,2420.567683
5020.0,1566,2425.51446
6770.0,1954,2431.565174
6750.0,1949,2437.304158
7080.0,1972,2443.507369
6620.0,1942,2449.728428
6700.0,1932,2467.671004
6660.0,1961,2474.228787
6180.0,2085,2480.533395
7520.0,1962,2486.462374
7440.0,1970,2492.803833
8270.0,2447,2500.37253
7000.0,1959,2518.554013
9410.0,2686,2526.946595
7050.0,1938,2532.888924
7200.0,1967,2539.597743
7350.0,1990,2545.924562
7320.0,1954,2551.694626
6880.0,1922,2570.438561
7120.0,1956,2576.38254
7300.0,1932,2581.923442
7000.0,1902,2588.215866
6550.0,1827,2593.583288
5510.0,1764,2599.285416
6650.0,1892,2605.176585
6800.0,1948,2622.576797
6620.0,1944,2628.72517
6740.0,1925,2634.83715
6620.0,1917,2640.860162
7200.0,1975,2647.005025
8110.0,2662,2655.261799
6690.0,1897,2673.219705
6930.0,1933,2678.872165
7480.0,1998,2685.219885
6880.0,1903,2691.505355
6760.0,1930,2697.166119
7040.0,1933,2703.431926
7060.0,1932,2709.838931
6450.0,1901,2726.980959
6920.0,1914,2732.834125
6560.0,1924,2739.3481
6680.0,1966,2745.776543
7460.0,1973,2751.893575
5900.0,1895,2758.082322
6460.0,1929,2764.558688
6760.0,1937,2781.808888
4920.0,1496,2786.426261
6790.0,1951,2792.798927
6750.0,1949,2799.143243
6880.0,1961,2804.719524
6460.0,1924,2810.985165
5760.0,1750,2816.403255
7000.0,1928,2832.676548
7020.0,2002,2839.255276
6350.0,1871,2845.080729
3880.0,1780,2850.68992
6880.0,1954,2856.223544
5000.0,1466,2860.753346
6090.0,1982,2878.504857
6890.0,1958,2884.104417
7100.0,1990,2890.431974
7170.0,1960,2896.45283
6790.0,1974,2902.17082
6070.0,1954,2908.224605
6880.0,1923,2914.024942
5590.0,1742,2930.920509
6200.0,1897,2936.094638
7210.0,2014,2942.561595
6190.0,1820,2948.607251
6250.0,1893,2954.316847
6110.0,1840,2960.072718
6920.0,1942,2966.043577
7240.0,1924,2983.465769
5450.0,1716,2988.274134
8100.0,2605,2996.493761
7040.0,1951,3002.854679
6690.0,1924,3008.893404
7010.0,2002,3015.192082
6790.0,1938,3032.946867
4060.0,1476,3037.249568
6850.0,1910,3043.458111
7050.0,1974,3049.947076
5240.0,1749,3055.180697
6850.0,1972,3061.369307
7390.0,2011,3067.275126
6510.0,1931,3084.307496
7120.0,1950,3090.015268
6090.0,1806,3095.448989
6730.0,2007,3102.003907
6670.0,1933,3108.241995
6650.0,1962,3114.22857
6980.0,2007,3120.432559
6980.0,1931,3137.869282
7320.0,2507,3145.94708
4860.0,1706,3151.383107
6740.0,1913,3157.738903
6510.0,1898,3163.39819
7080.0,1959,3169.56935
6910.0,1930,3186.083459
7300.0,2401,3192.781738
6800.0,1921,3198.759026
5580.0,1704,3204.076342
5650.0,1867,3210.378408
7070.0,1998,3216.591187
7050.0,1985,3222.768291
3580.0,1346,3238.470968
6560.0,1884,3244.503292
6920.0,1982,3250.360221
