#{"t_start": 1678737716.2223892, "env_id": "MsPacman-v4"}
r,l,t
4700.0,2926,12.83207
2800.0,1280,16.716217
3380.0,1446,20.131457
3030.0,1511,24.549458
2540.0,1566,29.04442
2550.0,1600,33.658456
2570.0,1292,37.71124
2580.0,1897,52.143934
2680.0,1662,56.801815
3070.0,1645,61.055201
2580.0,1519,65.260406
3720.0,1931,71.029647
2660.0,1592,75.54956
4750.0,2350,81.929695
2660.0,1471,95.155818
3340.0,1418,99.19504
2560.0,1701,103.853254
2540.0,1385,108.130121
2720.0,1493,112.581534
2580.0,1727,117.266409
2540.0,1442,121.377666
2720.0,1274,124.887617
2590.0,2730,143.1411
6640.0,1965,148.864371
2540.0,1650,153.234545
2350.0,1549,157.486111
2590.0,1443,161.740828
2590.0,1504,166.005929
7140.0,2488,173.231318
4060.0,1852,187.612282
2380.0,1892,193.424427
2550.0,1559,197.990243
3150.0,1526,202.387795
3190.0,1650,206.819325
2760.0,1563,211.187931
2650.0,1462,215.356585
4630.0,2489,233.586922
2690.0,1654,238.40921
2570.0,1615,243.046816
3070.0,1475,247.422371
2550.0,1332,251.279796
2560.0,1374,254.812036
4960.0,2160,260.522482
2580.0,1444,264.665166
2550.0,1590,277.807494
2590.0,1433,282.15711
4990.0,2178,288.420616
2580.0,1670,292.762275
2580.0,1490,296.507732
2690.0,2220,302.154391
3450.0,1520,306.673012
3300.0,1406,310.906055
3020.0,1351,324.46721
3180.0,1405,328.277255
3360.0,1771,333.777563
2680.0,1391,337.697976
2580.0,1638,341.591802
4320.0,2003,347.219286
2580.0,1726,352.043411
2580.0,1509,356.475893
2890.0,1634,369.617804
2710.0,1483,374.02486
2760.0,1706,378.665672
3270.0,1613,382.746679
2560.0,1467,386.642282
3090.0,1458,390.538839
3270.0,1388,394.048103
7190.0,2333,401.068627
5530.0,2201,417.836525
2690.0,1405,422.163784
4610.0,2247,428.180007
6300.0,2243,434.694082
3160.0,1586,438.996067
2590.0,1424,442.726403
2580.0,1418,446.726557
4580.0,2441,463.349212
2760.0,1703,467.525133
3340.0,1419,471.272999
3330.0,1340,474.70401
2590.0,1370,478.732872
5080.0,2191,484.686316
2580.0,1553,488.98647
2590.0,1542,502.784739
5370.0,2426,509.700084
2510.0,1282,513.144365
3090.0,1362,517.246686
2590.0,1690,521.938763
3090.0,1499,526.145105
3350.0,1744,531.485891
2690.0,1543,535.873741
2340.0,1343,547.744205
2360.0,1415,551.780028
3080.0,1426,555.806087
2590.0,1546,560.239845
2580.0,1496,564.197379
2590.0,1479,568.470317
4950.0,1350,572.433097
2860.0,2034,578.260972
2580.0,1690,591.597557
2680.0,1755,596.581786
3210.0,1398,600.589123
2890.0,1479,604.988744
2370.0,1362,609.185524
2590.0,1581,613.526068
2580.0,1552,618.058212
2660.0,1319,621.700107
2540.0,1492,626.230248
3370.0,1396,639.021792
3220.0,1200,642.400841
3450.0,1341,646.412207
1980.0,1735,651.295597
1980.0,1295,655.223733
2140.0,1590,659.652244
3370.0,1620,664.374815
2070.0,1378,668.021542
3360.0,1379,680.889246
3320.0,1294,684.334734
4970.0,1544,688.444672
3380.0,1739,693.270963
2440.0,1303,696.696025
2590.0,1398,700.503142
2780.0,1639,705.165885
2590.0,1404,709.480254
2580.0,1411,713.662901
2580.0,1513,726.465925
3470.0,1552,730.710406
