#{"t_start": 1678670630.6046197, "env_id": "Asterix-v4"}
r,l,t
2800.0,1284,15.335293
2800.0,1314,18.647117
2600.0,1282,22.301604
2600.0,1208,25.304004
3100.0,1483,29.280634
3000.0,1693,33.727875
2900.0,1583,37.999456
2700.0,1534,42.081263
2600.0,1165,45.493291
3100.0,1539,56.657768
2450.0,1388,60.010791
3100.0,1551,64.222504
2700.0,1723,68.388031
3400.0,1445,72.548113
2600.0,1344,76.563877
2800.0,1519,80.338735
2600.0,1526,84.327457
2600.0,1361,95.346879
850.0,618,96.845239
2900.0,1377,100.836121
2050.0,1301,104.459868
3100.0,1746,109.111945
2500.0,1460,113.375304
2600.0,1617,117.738576
3600.0,1639,122.161971
2900.0,1415,126.324912
2500.0,1388,136.91756
2700.0,1247,140.531784
2400.0,1449,144.323439
1300.0,849,146.191271
2600.0,1573,150.325691
2600.0,1430,154.231629
2500.0,1280,157.590106
800.0,619,159.658338
2500.0,1386,163.144731
2600.0,1443,167.29593
1550.0,757,169.139632
2450.0,1575,180.959434
1100.0,572,182.423155
2400.0,1293,185.545943
2500.0,1271,189.330602
3200.0,1284,192.527196
2100.0,1132,195.410668
2800.0,1317,199.164036
1600.0,803,201.009507
2500.0,1370,204.949294
3200.0,1317,208.265666
1750.0,952,210.915264
3000.0,1516,222.077404
3200.0,1278,225.743218
2300.0,1251,229.021905
2600.0,1458,233.175107
3000.0,1478,237.095308
2700.0,1188,240.053764
2900.0,1575,244.307978
3800.0,1800,249.17543
2800.0,1487,260.617338
2600.0,1313,264.12836
2600.0,1404,267.517291
1950.0,1156,271.1929
2900.0,1498,275.524419
2800.0,1363,278.847802
3100.0,1227,282.664143
2600.0,1237,285.988431
2800.0,1301,289.479478
2700.0,1518,293.667428
2450.0,1639,305.772014
3000.0,1361,309.660636
3300.0,1559,313.962578
1900.0,1213,317.089563
2900.0,1372,320.814318
1700.0,1051,323.582193
2800.0,1317,327.594902
2600.0,1349,331.070086
2500.0,1362,334.978706
2500.0,1122,344.973454
2600.0,1739,349.4569
2900.0,1342,353.333704
2500.0,1239,356.247463
2800.0,1426,360.144721
2000.0,1168,363.173095
3200.0,1489,367.500969
3000.0,1629,372.079636
2600.0,1412,376.201533
2100.0,1407,386.721973
3000.0,1509,391.059019
2600.0,1248,394.371256
2700.0,1380,398.13251
3200.0,1749,402.49322
1600.0,913,405.160836
3100.0,1467,409.299578
800.0,503,410.720469
2600.0,1701,415.418508
2150.0,1076,418.394926
2800.0,1390,428.938875
2800.0,1322,432.152517
2350.0,1277,435.861211
3000.0,1395,439.401588
2700.0,1725,444.40365
2900.0,1543,448.793771
2600.0,1152,451.890292
2900.0,1312,455.070327
2900.0,1389,458.922716
2500.0,1356,469.578042
3000.0,1498,473.680359
1900.0,982,476.421663
3000.0,1389,480.301044
650.0,449,481.521944
3500.0,1542,485.650291
2600.0,1287,488.930209
1650.0,904,491.550673
2500.0,1334,495.285912
2700.0,1266,498.471141
3000.0,1375,502.486815
3400.0,1458,512.522683
2600.0,1241,516.199166
4300.0,1666,520.538874
2800.0,1567,524.745168
700.0,528,526.085927
3100.0,1523,530.123282
1950.0,1071,532.768644
2350.0,1136,535.526796
2700.0,1393,539.242823
3200.0,1495,543.455245
2800.0,1398,553.927155
2900.0,1278,557.457671
2450.0,1203,560.385882
1400.0,975,562.817682
2800.0,1413,566.54862
3000.0,1368,569.882789
2500.0,1281,573.373529
2700.0,1159,576.07612
3000.0,1558,580.509684
2900.0,1547,591.368311
3600.0,1322,594.585311
3000.0,1529,598.478114
2450.0,1194,601.736343
2200.0,1186,604.796299
2800.0,1612,608.99498
2600.0,1294,612.41658
2500.0,1159,615.173414
2000.0,967,617.660398
2700.0,1160,620.755843
2800.0,1185,630.321849
2700.0,1388,634.085656
2500.0,1304,637.078264
2900.0,1324,640.527892
2600.0,1574,644.52086
3000.0,1442,648.449125
2500.0,1223,651.424153
3000.0,1335,654.907982
1950.0,1120,657.562208
1750.0,1117,660.303566
2450.0,1400,671.275337
3500.0,1503,674.689949
2700.0,1413,678.287915
2500.0,1464,682.09358
2500.0,1182,684.923404
1100.0,724,687.036653
2600.0,1345,690.249083
2500.0,1379,693.87772
2800.0,1170,696.569629
3000.0,1677,700.769087
2250.0,1318,710.954514
750.0,623,712.455512
3000.0,1508,716.285672
2700.0,1504,719.885758
1000.0,762,721.542897
2300.0,1323,725.195566
3100.0,1428,728.354908
2600.0,1281,731.646768
2350.0,1551,735.561698
2300.0,1396,739.371229
3200.0,1499,749.762943
2300.0,1280,752.744347
2800.0,1543,756.716136
2600.0,1273,759.533218
2150.0,1361,763.185966
2250.0,1440,767.085511
1750.0,1097,769.754772
2900.0,1587,773.6673
3200.0,1707,777.817388
2600.0,1285,788.049089
1100.0,851,789.97006
2600.0,1277,793.508731
2600.0,1570,797.483552
1850.0,943,800.009648
3000.0,1343,803.259477
2800.0,1301,806.879407
3000.0,1331,809.871933
2700.0,1386,813.313096
2700.0,1245,816.422872
3000.0,1551,827.097368
3600.0,1593,831.025918
2500.0,1387,834.62663
2700.0,1461,838.284056
2600.0,1596,842.376236
2300.0,1248,845.344464
2100.0,1251,848.578425
2400.0,1578,852.5224
2600.0,1296,862.411771
2800.0,1515,866.462287
2600.0,1122,869.380176
3100.0,1434,873.207544
3300.0,1371,876.815166
2600.0,1274,879.8149
2350.0,1387,883.657246
3100.0,1512,887.604752
2400.0,1738,891.80494
3500.0,1343,902.348861
2700.0,1541,906.346448
2900.0,1292,909.444731
1350.0,755,911.711158
2800.0,1289,914.613192
2900.0,1387,918.386933
2600.0,1268,921.424945
2300.0,1537,925.493698
2800.0,1216,928.294329
2200.0,1095,931.311147
3100.0,1281,934.080162
2600.0,1297,944.234748
2600.0,1140,947.69274
2500.0,1613,951.849768
2600.0,1275,954.811395
2500.0,1334,958.300454
3600.0,1902,962.884696
2800.0,1144,966.206902
2600.0,1269,969.13328
2600.0,1243,971.883794
2450.0,1415,981.18388
2900.0,2154,986.744565
3000.0,1427,990.654002
2500.0,1104,993.611365
2800.0,1396,997.44246
2600.0,1357,1000.719709
2400.0,1426,1004.579014
2350.0,1459,1008.407561
2800.0,1319,1011.746643
2700.0,1459,1021.985908
2800.0,1228,1025.561259
2600.0,1190,1028.42915
2600.0,1471,1032.197841
2450.0,1641,1036.161465
3000.0,1221,1039.257494
2500.0,1358,1043.026953
2450.0,1362,1046.900792
2600.0,1100,1049.605906
3100.0,1712,1060.380995
2800.0,1699,1064.607905
2700.0,1413,1068.363256
3500.0,1630,1072.371611
3000.0,1709,1076.333841
3800.0,1837,1081.400887
2600.0,1115,1084.153201
2200.0,1077,1086.968373
2900.0,1454,1097.720382
2700.0,1270,1100.809706
3200.0,1367,1104.587722
3100.0,1415,1108.386836
1300.0,664,1109.954036
3300.0,1536,1113.666165
2900.0,1635,1117.602375
3000.0,1494,1121.486856
2800.0,1435,1125.255961
2700.0,1314,1128.293998
3000.0,1309,1138.747592
3100.0,1640,1143.031735
2800.0,1268,1146.118464
2900.0,1290,1149.67423
2900.0,1396,1152.744514
3900.0,1571,1157.154976
2700.0,1211,1160.225516
3400.0,1422,1164.054581
2250.0,1652,1168.187822
2600.0,1292,1178.19301
4000.0,1647,1182.57139
3400.0,1480,1186.392967
2500.0,1603,1190.526844
1800.0,957,1193.066244
3900.0,1691,1197.219951
2500.0,1166,1200.575887
2300.0,1304,1203.631671
2450.0,1352,1207.048149
1950.0,1040,1216.5772
2500.0,1273,1219.617591
2600.0,1233,1222.997119
3900.0,1627,1227.075512
4100.0,1591,1230.930073
2700.0,1377,1233.845619
3300.0,1467,1237.747404
2700.0,1291,1241.301786
2350.0,1254,1244.302528
2600.0,1551,1253.96293
3100.0,1556,1258.162396
2500.0,1292,1261.773989
2500.0,1444,1265.133001
4000.0,1643,1269.879474
2500.0,1547,1273.801944
2900.0,1535,1277.154744
2900.0,1667,1281.850837
2500.0,1394,1285.042783
2500.0,1200,1295.097286
2900.0,1427,1298.51689
2800.0,1525,1302.716927
2800.0,1252,1306.175813
2600.0,1582,1309.98261
2400.0,1510,1313.710977
2700.0,1324,1316.955224
2200.0,1212,1320.521315
600.0,407,1321.191636
2400.0,1176,1324.515292
3100.0,1370,1335.321405
2600.0,1494,1339.636024
3000.0,1409,1343.79487
2450.0,1309,1347.149401
3300.0,1519,1351.351673
2800.0,1600,1355.611084
3100.0,1802,1360.700874
1100.0,660,1362.335373
3100.0,1390,1366.111905
3200.0,1469,1377.116147
2500.0,1501,1381.275273
2300.0,1647,1385.658316
2300.0,1336,1388.92727
1200.0,656,1391.149469
2700.0,1360,1394.404847
2800.0,1316,1398.075329
2350.0,1206,1401.074936
2700.0,1298,1404.32424
2900.0,1284,1407.855483
3000.0,1195,1418.04374
3200.0,1434,1422.296332
1800.0,986,1425.076988
2700.0,1283,1428.460471
2900.0,1688,1433.444533
2700.0,1298,1436.696622
2350.0,1584,1440.833473
2450.0,1731,1445.552801
450.0,296,1446.033077
2900.0,1381,1456.837615
3100.0,1492,1461.023694
2500.0,1296,1464.186193
2900.0,1452,1468.040112
2600.0,1501,1472.154138
2450.0,1589,1476.193158
3100.0,1572,1480.433353
2900.0,1245,1483.502387
2500.0,1387,1487.160989
2700.0,1500,1498.821523
2700.0,1519,1502.765162
2800.0,1201,1505.593469
2900.0,1521,1509.525728
3000.0,1434,1513.312908
2600.0,1640,1517.767916
1850.0,1160,1520.770321
3000.0,1569,1524.902726
3400.0,1754,1529.123018
1750.0,1126,1540.219276
3100.0,1547,1544.377232
3300.0,1484,1547.675525
1850.0,1162,1551.15687
2500.0,1437,1554.613138
2900.0,1441,1558.446353
2300.0,1239,1562.000953
2900.0,1432,1565.312721
3100.0,1446,1569.14268
2800.0,1315,1578.993985
2700.0,1458,1582.632586
3100.0,1864,1587.926512
3500.0,1682,1592.403896
2050.0,1168,1595.385273
3400.0,1511,1599.48463
2700.0,1529,1603.142762
2700.0,1422,1606.771291
2700.0,1234,1609.619087
3000.0,1644,1620.679825
2600.0,1286,1623.808559
3800.0,1822,1628.826932
2900.0,1407,1632.22631
1350.0,796,1634.450921
2900.0,1362,1637.725256
