#{"t_start": 1678806844.5649786, "env_id": "Breakout-v4"}
r,l,t
20.0,1039,6.805109
39.0,1391,10.562879
26.0,1102,13.58886
14.0,874,16.386736
36.0,1571,20.493788
53.0,1714,25.954806
49.0,1952,31.561515
33.0,1450,36.173886
26.0,1141,39.520802
37.0,1360,50.128159
32.0,1230,53.1741
46.0,1689,58.039513
39.0,1518,62.63933
16.0,969,65.370558
16.0,666,67.101372
41.0,1423,71.516584
40.0,1561,75.696792
21.0,1084,79.041351
26.0,1404,83.42049
31.0,1380,94.354091
16.0,1064,97.403043
7.0,560,98.998105
22.0,1107,102.393971
33.0,1311,106.296642
33.0,1475,111.11316
33.0,1363,114.940596
22.0,1152,118.56239
21.0,1127,122.074879
30.0,1163,126.055196
30.0,1249,129.778692
35.0,1119,133.181712
43.0,1402,145.788259
29.0,1193,149.255812
48.0,1574,154.354132
48.0,1758,159.642442
30.0,1075,162.890751
20.0,1014,166.060749
20.0,1109,169.627519
29.0,1296,173.467765
36.0,1280,177.70919
15.0,867,180.002256
41.0,1479,191.689889
33.0,1417,196.218185
27.0,1158,199.734668
46.0,1299,203.496939
11.0,783,205.515094
11.0,691,207.790264
21.0,1267,211.370197
20.0,1123,214.70006
38.0,1330,218.445617
31.0,1316,222.664509
30.0,1287,226.47427
19.0,875,229.253119
43.0,1701,242.28546
29.0,1176,245.952007
40.0,1537,250.631599
19.0,1139,253.906724
39.0,1484,258.673782
57.0,1765,263.763191
23.0,1109,267.102257
36.0,1413,271.749902
24.0,1275,275.23626
40.0,1410,287.326933
29.0,1170,290.665118
17.0,967,293.637761
38.0,1272,297.277051
35.0,1405,301.613852
29.0,1554,306.582786
31.0,1230,310.250967
40.0,1675,315.204499
55.0,1771,320.532859
32.0,1206,324.574789
19.0,924,334.732994
26.0,1282,338.889154
32.0,1315,342.624596
41.0,1705,347.563621
16.0,969,350.486629
31.0,1240,354.068406
24.0,1209,357.47464
25.0,1238,361.509492
31.0,1211,364.947057
12.0,713,366.781259
24.0,1306,370.88275
34.0,1326,382.190657
33.0,1569,387.009261
31.0,1457,391.560834
36.0,1330,395.292249
32.0,1430,399.647399
78.0,2269,406.523653
22.0,1050,409.752669
20.0,1205,413.108922
24.0,1194,416.581853
35.0,1692,428.704288
14.0,815,430.848383
9.0,661,432.702987
34.0,1012,435.618457
50.0,1557,440.184322
27.0,1122,443.595094
26.0,1287,447.379584
14.0,880,450.125553
54.0,1726,455.234903
51.0,1849,461.102073
17.0,962,463.655644
26.0,1075,472.207015
12.0,802,474.92626
66.0,2004,481.078678
42.0,1316,484.646696
14.0,858,487.461309
22.0,1236,491.207966
29.0,1255,495.030829
27.0,1115,498.376781
57.0,1892,504.151334
24.0,1200,507.732776
19.0,860,510.517254
28.0,1278,519.961735
11.0,662,521.660605
28.0,1257,524.859091
17.0,886,527.635042
26.0,1296,531.301385
50.0,1423,535.976264
22.0,960,538.888498
29.0,1000,542.002507
14.0,705,543.981989
43.0,1566,548.635827
11.0,700,550.582026
23.0,1136,554.034262
13.0,827,556.185148
46.0,1659,568.114816
6.0,472,568.996524
26.0,1223,573.0344
34.0,1437,577.217546
23.0,1224,580.811488
15.0,937,583.834004
31.0,1476,588.517748
35.0,1468,593.220658
21.0,1202,596.861447
23.0,989,599.938826
31.0,1465,610.413265
34.0,1285,614.598215
15.0,943,616.899649
48.0,1558,621.59475
25.0,1314,625.892863
32.0,1478,630.681196
32.0,1495,634.80328
26.0,1145,638.100283
30.0,1115,641.391344
25.0,1189,645.19557
27.0,1176,648.853734
21.0,837,656.749
45.0,1683,661.807165
34.0,1508,666.900715
45.0,1640,671.910754
28.0,1278,676.089097
25.0,1020,679.209908
42.0,1453,683.186619
35.0,1347,687.34531
26.0,1221,691.076052
33.0,1259,694.831682
34.0,1341,706.850747
23.0,944,709.704626
32.0,1258,713.331258
24.0,1198,716.937683
36.0,1331,721.261989
25.0,1173,724.470061
32.0,1444,728.306062
14.0,835,730.990958
18.0,955,734.041695
35.0,1429,738.089773
15.0,762,740.689277
15.0,763,742.817462
24.0,1039,752.671292
31.0,1410,756.948395
25.0,1255,760.811332
46.0,1628,765.657151
16.0,879,767.691959
23.0,1076,770.728487
18.0,1041,773.778053
8.0,608,775.452132
50.0,1760,781.351361
19.0,1121,784.748131
13.0,846,786.977013
22.0,1152,796.304443
20.0,972,799.223585
43.0,1481,803.791745
31.0,1370,807.56498
29.0,1223,811.474051
16.0,1005,813.840965
53.0,1561,818.348221
29.0,1169,821.793337
27.0,1233,826.005321
13.0,689,827.932441
41.0,1517,832.680913
35.0,1396,842.773975
27.0,1197,846.654367
14.0,710,848.567969
16.0,911,850.880756
24.0,1165,854.719836
29.0,1429,858.559075
51.0,1825,864.341557
52.0,1521,869.244574
44.0,1743,874.413007
23.0,1123,877.860342
38.0,1420,888.933225
27.0,1257,892.580644
18.0,942,894.94011
22.0,1159,898.854214
21.0,1103,902.237087
32.0,1219,905.636248
20.0,1039,908.752323
24.0,1214,912.392076
25.0,1201,915.978463
37.0,1368,920.4437
25.0,1242,924.031209
24.0,1242,933.377092
50.0,1659,938.131584
27.0,1114,941.538049
14.0,875,944.265415
34.0,1413,948.777061
34.0,1288,952.409732
18.0,1036,955.646673
21.0,1020,958.875805
38.0,1449,963.511585
21.0,1106,966.888809
32.0,1384,970.896698
33.0,1299,981.664537
27.0,1261,985.074646
13.0,718,986.919078
19.0,1065,990.147449
8.0,611,991.887381
52.0,1867,997.58959
33.0,1289,1001.286966
10.0,664,1003.217132
23.0,1112,1006.565262
48.0,1483,1011.205367
50.0,1597,1016.031867
40.0,1445,1026.666277
34.0,1570,1030.776574
34.0,1397,1035.327979
40.0,1408,1039.611571
38.0,1408,1043.354321
29.0,1527,1048.059488
39.0,1274,1052.358036
47.0,1795,1057.726367
40.0,1668,1062.639348
14.0,802,1071.5792
31.0,1356,1075.99282
14.0,700,1078.042044
33.0,1493,1082.694429
16.0,888,1085.490909
20.0,1004,1087.978639
32.0,1208,1092.016687
40.0,1649,1096.968273
56.0,1797,1102.170263
20.0,1083,1105.586137
48.0,1513,1110.464753
32.0,1181,1119.560191
32.0,1371,1124.025729
25.0,1197,1127.618475
46.0,1793,1132.750325
20.0,958,1135.746414
41.0,1489,1140.441191
13.0,830,1142.547094
38.0,1299,1146.68005
15.0,748,1148.786453
17.0,1006,1151.983557
36.0,1262,1155.531229
27.0,1076,1163.983832
33.0,1327,1168.390237
27.0,1120,1171.848293
47.0,1387,1175.503646
36.0,1090,1178.841365
23.0,1149,1182.194886
40.0,1549,1186.859792
31.0,1329,1191.238609
25.0,1041,1194.426127
32.0,1333,1198.200046
33.0,1018,1201.23392
19.0,1119,1211.73612
12.0,776,1213.936801
18.0,940,1216.794644
17.0,1052,1219.696919
16.0,1039,1222.683833
33.0,1503,1227.310556
20.0,1046,1230.572367
23.0,1110,1233.875912
21.0,1185,1237.383472
15.0,809,1239.549645
29.0,1326,1243.900581
34.0,1131,1247.291522
24.0,1097,1257.60254
39.0,1385,1261.564893
14.0,854,1263.958268
33.0,1438,1267.764404
52.0,1780,1273.79768
33.0,1520,1278.549171
23.0,1197,1282.005755
33.0,1356,1285.725459
32.0,1096,1289.106967
19.0,1160,1292.47748
26.0,1267,1304.277653
24.0,1178,1307.483402
29.0,1117,1310.650882
