#{"t_start": 1678808576.2526157, "env_id": "DemonAttack-v4"}
r,l,t
8640.0,7700,21.130841
8895.0,7539,92.061095
24875.0,17251,162.612299
8375.0,7211,220.27388
21190.0,14345,309.524166
20510.0,14055,394.923804
12060.0,9894,477.207284
7230.0,5932,491.673856
8150.0,7392,550.681035
9760.0,7982,569.943368
12025.0,10513,643.924447
10370.0,10003,710.873375
27710.0,17821,817.929539
20420.0,14970,962.792334
8870.0,6694,979.338419
8030.0,8203,1059.220031
9425.0,9101,1083.549055
9490.0,8945,1147.158655
16910.0,12013,1233.639716
12000.0,9269,1298.631102
24010.0,16130,1395.618888
6300.0,5058,1470.695292
10800.0,10168,1498.011595
31770.0,21137,1648.012312
8375.0,8982,1738.283378
25720.0,16167,1821.368958
24720.0,14866,1907.763346
17570.0,12727,1967.221714
29825.0,18266,2106.724763
23590.0,16018,2185.761001
37850.0,22917,2349.768426
9675.0,8520,2370.751138
72430.0,41590,2674.769787
9320.0,8457,2696.151908
14115.0,10852,2776.067524
8955.0,6759,2830.919359
18185.0,12913,2925.981322
8110.0,8112,2944.992546
6960.0,6580,3015.472101
7665.0,6299,3030.883745
17055.0,12060,3093.875306
8205.0,7141,3187.972794
23465.0,16287,3268.434099
8530.0,7547,3323.122882
8005.0,6927,3339.446076
4610.0,5227,3403.004449
8660.0,7260,3420.719595
8765.0,7536,3471.154224
40095.0,24872,3628.311464
10910.0,8176,3648.38007
8930.0,8091,3715.641463
8205.0,6863,3774.397102
8025.0,7406,3793.644691
9395.0,6371,3857.300643
11140.0,9951,3938.855532
10095.0,8224,3957.396198
28245.0,18274,4107.427953
25190.0,18066,4211.083485
13580.0,10131,4280.172335
9355.0,7185,4299.359149
24605.0,16889,4423.383248
7525.0,6475,4439.0285
9750.0,8724,4496.98992
7950.0,6347,4513.646541
24290.0,15875,4637.387431
7555.0,7700,4656.178739
7570.0,6630,4707.656957
9240.0,8433,4776.038757
13240.0,10721,4802.998516
8450.0,7830,4861.479285
9590.0,7737,4932.889099
13170.0,9948,4956.40782
20540.0,12589,5027.510536
25335.0,15963,5179.318588
8475.0,7275,5196.2521
28330.0,18025,5327.706723
8140.0,7390,5346.468665
7430.0,6266,5398.443403
8890.0,8088,5419.608185
10740.0,8477,5483.174289
25895.0,16901,5579.700231
6170.0,5797,5641.514426
23875.0,15525,5721.768738
9060.0,6865,5797.257035
8305.0,7953,5815.938329
16270.0,12187,5889.33898
8545.0,8029,5951.194744
8555.0,7590,5970.107043
10330.0,9062,6023.534083
6460.0,5735,6086.752533
7725.0,6805,6103.070861
8105.0,6214,6167.706564
8470.0,6603,6182.793022
26730.0,18661,6334.221588
8645.0,8362,6354.454676
5590.0,5244,6406.167649
9710.0,7996,6425.293539
39320.0,26456,6571.293951
13480.0,9492,6641.229617
12350.0,8467,6720.449321
13060.0,10418,6790.345224
8890.0,7207,6807.781321
7945.0,7953,6863.64292
8845.0,8104,6882.820845
16830.0,11251,6953.45264
14910.0,10790,7025.168608
7705.0,6451,7089.934631
24450.0,15237,7166.015057
41305.0,25092,7313.08121
6705.0,5308,7327.000344
17290.0,12333,7390.141887
24025.0,15082,7467.615243
8830.0,8493,7523.754028
7775.0,8504,7590.32262
10140.0,8241,7609.841798
8470.0,7347,7667.942779
7950.0,6818,7733.849889
8575.0,7964,7751.58141
7440.0,6966,7824.595565
7205.0,6367,7839.426863
11170.0,9908,7895.314598
41185.0,23802,8031.909033
9080.0,8160,8098.250108
15080.0,10997,8126.053066
10960.0,8783,8200.879013
17715.0,12371,8281.981568
41175.0,24417,8454.775277
11290.0,9180,8526.478453
11420.0,10534,8601.050541
11280.0,9388,8624.620421
33165.0,19415,8770.412224
14870.0,11169,8858.434024
6550.0,6362,8873.749103
20325.0,12502,8946.698218
9775.0,6855,9012.216291
21810.0,14211,9089.754327
7515.0,7132,9106.015115
18040.0,12121,9168.694285
10490.0,9367,9239.46418
8390.0,7487,9311.217356
4810.0,4262,9320.9965
9185.0,6681,9397.807101
8905.0,8449,9416.868177
23420.0,14904,9507.765936
8405.0,8076,9586.215312
8870.0,8043,9653.500965
6875.0,6628,9669.489109
385.0,1800,9673.550135
6500.0,6463,9735.816362
21060.0,13925,9812.022726
13900.0,10951,9900.821041
9990.0,8026,9918.838526
8655.0,8211,9968.042703
6110.0,5521,10044.507341
9215.0,7653,10062.038072
25720.0,17055,10170.010542
23780.0,15083,10293.57577
41375.0,24359,10445.140919
9470.0,8826,10465.777907
11580.0,8532,10544.907559
9495.0,7399,10604.316446
8050.0,6555,10621.262181
13480.0,10490,10683.69153
20110.0,12158,10750.934009
8770.0,7831,10770.22305
9385.0,7601,10853.734737
7995.0,7102,10936.79041
8140.0,7377,10955.274977
13655.0,10851,11024.997088
21910.0,15413,11120.156926
8615.0,7985,11194.55414
4340.0,4765,11205.036983
25280.0,15910,11349.292301
25805.0,16519,11443.170143
24660.0,16422,11520.514791
9075.0,7968,11590.028257
41935.0,25112,11765.657964
8025.0,6626,11780.714793
8120.0,7565,11840.873989
7980.0,6820,11857.71843
8860.0,7412,11916.407493
12395.0,8918,11996.611858
16610.0,11545,12058.57072
8155.0,7164,12075.808189
8525.0,6887,12131.24199
10510.0,8554,12152.106655
7155.0,6292,12223.219502
8720.0,7159,12240.769626
23710.0,14450,12381.490304
8770.0,7176,12397.475538
11280.0,9751,12471.585557
58670.0,34508,12685.665225
7795.0,6888,12700.811533
9075.0,7964,12790.922921
28100.0,19099,12899.306536
8290.0,7666,12957.127658
9380.0,8547,13022.92052
30465.0,18096,13120.67459
8490.0,6866,13187.647358
25410.0,17293,13292.543333
8765.0,7115,13355.97068
19455.0,12717,13431.329158
1120.0,2546,13437.296926
68760.0,41355,13678.78108
23365.0,14112,13782.071606
29845.0,18204,13909.810409
11565.0,9880,13930.493171
7745.0,6540,13982.466743
9580.0,8518,14058.776391
23405.0,16730,14149.540721
28460.0,17768,14243.809022
29855.0,18474,14369.523739
13750.0,11308,14433.003234
13695.0,9351,14452.117339
7640.0,8137,14532.1606
29430.0,17465,14605.2497
35580.0,20136,14725.160469
10560.0,8726,14775.404712
11070.0,8445,14793.176905
20440.0,13815,14884.149048
24870.0,15786,15028.557486
8980.0,8087,15044.86563
10840.0,8756,15118.767853
13100.0,10301,15189.759527
28030.0,17681,15259.663752
43095.0,25032,15414.459291
8090.0,7594,15484.797173
8955.0,7538,15501.603932
24880.0,16052,15633.2065
16070.0,10737,15656.269207
