#{"t_start": 1680734543.0835772, "env_id": "Freeway-v4"}
r,l,t
23.0,2751,12.165225
21.0,2730,19.646469
25.0,2739,26.989365
24.0,2727,35.209618
20.0,2741,63.507557
24.0,2719,71.567097
23.0,2739,79.887983
22.0,2717,88.229441
23.0,2727,97.400294
27.0,2728,123.85593
24.0,2740,132.249207
26.0,2718,140.685473
27.0,2747,149.826951
23.0,2736,175.942331
26.0,2752,183.684278
23.0,2722,193.006774
26.0,2735,201.830665
27.0,2738,210.691178
26.0,2747,237.214947
27.0,2724,245.962548
26.0,2725,254.814406
23.0,2720,263.464022
28.0,2762,289.800526
27.0,2705,298.025097
27.0,2744,306.74058
27.0,2718,315.839441
26.0,2746,324.536482
28.0,2738,350.12107
26.0,2720,358.570808
23.0,2724,367.923798
27.0,2711,376.418192
26.0,2712,385.073989
25.0,2714,412.028318
26.0,2753,420.9158
24.0,2738,429.610492
23.0,2743,438.486767
26.0,2715,464.561774
30.0,2706,473.527519
24.0,2766,481.897336
21.0,2727,490.836285
31.0,2699,499.344032
26.0,2731,524.967342
28.0,2744,534.042525
27.0,2718,542.360049
31.0,2743,551.209731
29.0,2748,560.30608
25.0,2711,586.651747
26.0,2735,595.21387
29.0,2743,604.196681
27.0,2714,612.148337
26.0,2735,637.558426
29.0,2746,645.866896
26.0,2736,654.721988
30.0,2745,663.25946
26.0,2730,670.960383
26.0,2711,697.751992
26.0,2732,706.505396
29.0,2724,714.883193
27.0,2751,723.527119
28.0,2703,748.918684
24.0,2723,758.128369
27.0,2724,766.514056
24.0,2752,775.413955
26.0,2709,783.488742
28.0,2723,810.308345
30.0,2732,820.034182
27.0,2740,829.0675
25.0,2719,836.801584
29.0,2733,844.348905
28.0,2715,872.925622
28.0,2752,881.772724
28.0,2708,889.991313
24.0,2736,897.987237
27.0,2738,924.715806
23.0,2757,933.572528
24.0,2730,942.435482
30.0,2719,950.393538
30.0,2747,957.784805
27.0,2736,986.686651
28.0,2730,995.170734
27.0,2722,1003.820551
29.0,2740,1011.864625
26.0,2732,1037.973562
29.0,2752,1046.602309
30.0,2706,1054.756502
28.0,2744,1063.043627
30.0,2722,1070.449635
30.0,2705,1096.772225
31.0,2766,1105.476292
30.0,2736,1113.274187
30.0,2759,1120.723795
28.0,2752,1129.083882
29.0,2726,1155.053582
31.0,2735,1162.891749
27.0,2714,1171.177696
27.0,2730,1179.648345
30.0,2747,1206.000175
27.0,2715,1214.890104
29.0,2701,1222.718447
28.0,2705,1230.642529
28.0,2725,1238.353276
29.0,2729,1264.772881
26.0,2714,1272.414133
27.0,2696,1280.554066
26.0,2738,1288.627553
28.0,2734,1314.394448
29.0,2747,1321.876403
30.0,2748,1329.382298
31.0,2721,1338.337937
28.0,2737,1346.010238
27.0,2725,1372.568684
29.0,2734,1381.063638
29.0,2709,1389.649604
27.0,2760,1398.161309
28.0,2715,1406.193367
29.0,2750,1432.849355
30.0,2719,1440.963015
30.0,2750,1449.790918
27.0,2751,1457.717384
28.0,2716,1484.557734
29.0,2744,1493.056415
27.0,2740,1501.538341
30.0,2721,1509.504297
30.0,2725,1517.221448
29.0,2730,1542.908949
25.0,2725,1551.629098
