#{"t_start": 1679346027.037302, "env_id": "Frostbite-v4"}
r,l,t
80.0,541,8.554704
40.0,515,10.353681
120.0,753,13.014601
60.0,615,14.910422
80.0,499,16.553089
30.0,499,17.989616
80.0,462,19.055795
60.0,486,20.610669
0.0,371,21.915703
20.0,384,22.734432
90.0,514,24.378309
100.0,537,26.125589
20.0,380,27.533514
100.0,499,29.153588
60.0,491,30.730187
110.0,498,31.784635
60.0,419,33.161042
100.0,520,34.670017
30.0,377,35.908125
90.0,475,36.901559
170.0,734,39.479825
80.0,593,41.260789
170.0,590,43.087442
60.0,517,44.639867
70.0,479,46.157753
150.0,631,47.974407
20.0,375,48.733446
90.0,602,53.183845
110.0,522,54.805342
150.0,652,56.819288
120.0,569,58.605177
40.0,476,60.113382
100.0,576,61.859288
150.0,653,63.8189
60.0,407,65.439093
70.0,476,67.120326
10.0,347,67.94109
110.0,529,69.514701
110.0,505,71.191127
80.0,493,72.833513
30.0,492,74.451307
100.0,572,76.172395
60.0,485,77.654829
60.0,467,79.054354
190.0,684,81.026325
110.0,500,82.55073
110.0,528,84.168964
110.0,508,85.1582
70.0,420,86.62248
130.0,611,88.390872
90.0,597,90.187895
60.0,587,91.93606
50.0,473,93.398013
110.0,543,95.04483
70.0,498,99.350026
100.0,457,100.725314
170.0,644,102.601193
130.0,570,104.23929
200.0,700,106.204354
90.0,517,107.787774
190.0,725,110.000111
240.0,808,112.814676
170.0,619,114.67832
150.0,698,116.608321
190.0,699,118.661996
120.0,627,120.553992
190.0,656,122.864861
160.0,594,124.522304
190.0,597,126.233703
140.0,613,128.025265
170.0,603,129.857118
170.0,628,131.597777
210.0,649,133.422119
140.0,509,134.954018
120.0,501,136.42489
180.0,579,138.087263
100.0,478,139.540452
150.0,529,144.369791
190.0,631,146.255153
170.0,612,148.018107
180.0,681,149.96065
90.0,418,151.272504
220.0,750,153.438011
170.0,642,155.288009
120.0,532,156.936336
100.0,500,158.404707
180.0,572,160.009965
170.0,621,161.839377
210.0,662,163.729329
160.0,553,165.19896
260.0,668,167.014638
200.0,706,169.437625
160.0,599,171.231664
180.0,615,172.94188
200.0,613,174.794507
180.0,621,176.610493
170.0,554,178.214298
90.0,546,179.91002
220.0,732,181.978601
200.0,732,187.675633
240.0,724,189.741316
160.0,630,191.553445
190.0,584,193.260324
90.0,485,194.729881
120.0,475,196.121916
190.0,602,197.886792
220.0,733,199.950507
250.0,896,202.928871
190.0,727,204.978323
170.0,644,206.789956
200.0,537,208.269908
120.0,611,209.99438
210.0,554,211.603286
210.0,658,213.441128
160.0,537,215.147909
160.0,596,216.953269
170.0,649,219.275534
200.0,616,221.124784
120.0,462,222.150778
210.0,582,223.85974
180.0,741,226.476078
170.0,772,232.023333
190.0,604,233.786546
