#{"t_start": 1680765655.472495, "env_id": "Krull-v4"}
r,l,t
6640.0,1933,9.629068
7050.0,2004,15.819744
6080.0,1911,21.551946
7080.0,2005,26.854539
6660.0,1939,33.233854
7020.0,1972,39.64566
6790.0,1936,58.621543
4130.0,1600,63.431446
6000.0,1839,68.546902
6740.0,1998,75.150917
6510.0,1903,81.64083
4260.0,1452,85.995734
6680.0,1914,92.506696
6760.0,1995,110.796156
6650.0,1959,116.69009
6370.0,1912,122.333652
7030.0,1988,129.228494
6470.0,1979,136.183607
4990.0,1662,141.384466
6280.0,1901,147.804606
5270.0,1710,164.994408
6790.0,1943,170.718298
6270.0,1867,177.250262
6420.0,1950,183.724343
6380.0,1960,189.323296
7040.0,2062,196.350037
7070.0,1997,213.916976
6420.0,1971,220.139705
6250.0,1908,226.064655
6270.0,1906,231.672678
6530.0,1995,238.237393
6760.0,1962,244.460533
5670.0,1784,249.377161
6820.0,1983,266.084276
6330.0,1936,271.970499
6660.0,1944,277.521168
6360.0,1938,283.731484
4400.0,1583,288.709943
4670.0,1727,293.526848
5610.0,1722,298.769336
6900.0,1987,314.99616
6270.0,1933,321.079741
5470.0,1693,326.065046
6680.0,1980,332.176022
6820.0,1949,338.153502
6920.0,1966,344.100716
6550.0,1954,349.65676
6320.0,1912,367.533909
6230.0,1850,372.900051
6350.0,1931,379.013884
6480.0,1943,384.897037
6540.0,1978,390.429571
6200.0,1876,395.585297
6710.0,1986,413.806732
6690.0,1976,419.981167
6420.0,1869,425.338747
5200.0,1578,429.731947
5180.0,1646,433.941361
7070.0,1954,439.679201
5810.0,1843,445.714355
6180.0,1927,463.084598
6300.0,1919,469.137721
4610.0,1551,473.571319
6670.0,1973,478.849905
6890.0,2007,483.959615
6310.0,1936,490.066458
6880.0,1952,496.21552
6220.0,1951,513.871049
4920.0,1724,518.420587
6020.0,1941,523.727547
6690.0,1974,528.948973
6230.0,1877,534.944488
6850.0,1986,541.15121
5610.0,1797,546.438231
6360.0,1975,564.007084
6490.0,1949,569.537712
5190.0,1705,574.131241
6730.0,1920,579.640674
4380.0,1452,584.232731
7190.0,1936,590.547216
6550.0,1934,596.567158
6320.0,1880,612.957813
4910.0,1484,617.11202
4380.0,1488,621.325752
6370.0,1948,627.561116
6660.0,1900,633.063547
6050.0,1906,638.871862
5740.0,1828,643.834949
7000.0,1939,660.776204
6790.0,1978,666.737167
6450.0,1950,672.675068
6430.0,1860,678.484291
4630.0,1475,682.771991
6590.0,1889,688.06456
6480.0,1934,694.155605
6580.0,1950,710.749491
6810.0,1932,716.700629
5290.0,1791,721.763557
5390.0,1661,726.482436
7150.0,2001,732.492094
6020.0,1869,738.164448
6860.0,1984,744.37464
5950.0,1872,761.231333
6560.0,1930,766.355299
6670.0,1953,771.931982
6360.0,1952,778.01273
6420.0,1933,784.161863
6580.0,1941,789.704682
5920.0,1904,795.458188
7030.0,1999,811.770149
6670.0,1961,817.719984
6440.0,1912,823.166725
6630.0,1952,829.566164
4440.0,1459,834.088408
6800.0,1929,839.493075
4860.0,1759,856.407784
4830.0,1572,861.311111
5650.0,1755,866.688068
6390.0,1932,872.813222
7160.0,1990,878.420681
6610.0,1939,884.274978
6490.0,1957,890.106261
4650.0,1628,894.30707
4110.0,1454,910.288093
6750.0,1939,916.051002
6500.0,1904,922.074036
7070.0,1951,928.431989
5670.0,1922,934.256303
6470.0,1926,938.882148
6310.0,1904,956.044988
6500.0,1944,962.098621
4880.0,1564,966.484966
6170.0,1940,972.622869
6530.0,1910,978.250901
7120.0,1976,983.61095
4790.0,1478,987.338263
6500.0,1913,1004.890754
5830.0,1877,1010.916698
4900.0,1588,1015.988991
6790.0,1965,1021.445025
6490.0,2003,1027.466326
6000.0,1807,1032.86429
6530.0,1939,1038.217217
5690.0,1923,1056.330377
7310.0,2006,1062.003692
6840.0,2006,1067.942549
6810.0,1997,1073.630887
5900.0,1804,1079.414661
7170.0,1994,1085.764222
6140.0,1844,1091.091294
6130.0,1864,1107.484854
6730.0,1982,1113.317158
6300.0,1960,1119.267183
6740.0,1939,1125.076138
4660.0,1544,1129.476904
5010.0,1658,1134.42074
6540.0,1883,1140.313315
5840.0,1871,1156.982338
6220.0,1834,1162.768221
6840.0,1972,1168.091907
6740.0,1965,1174.232291
6870.0,1938,1180.390218
4650.0,1563,1184.767037
5410.0,1685,1189.414949
6550.0,1928,1207.28418
4760.0,1535,1211.599311
4140.0,1444,1215.367172
4900.0,1602,1220.286358
6400.0,1939,1226.39429
6650.0,1957,1232.3746
7190.0,1995,1238.490945
6280.0,1942,1256.010953
6670.0,2004,1261.991667
6660.0,1995,1267.42884
6010.0,1928,1273.103657
4100.0,1458,1277.100335
6650.0,2051,1283.506315
6610.0,1914,1289.574214
6740.0,1937,1306.717869
6510.0,1957,1311.453001
6520.0,1950,1317.222516
5340.0,1707,1322.427129
6100.0,1953,1328.556697
6280.0,1933,1334.779594
6470.0,1959,1340.978812
6270.0,1951,1357.259728
6730.0,1963,1363.571386
5200.0,1691,1368.519319
6840.0,1960,1374.992652
6770.0,1939,1381.084136
6470.0,1939,1386.612621
6660.0,1896,1403.302946
7050.0,1952,1409.311615
6680.0,1921,1414.84655
5060.0,1632,1419.847895
6770.0,1930,1425.823917
4910.0,1618,1430.826031
4650.0,1480,1435.142144
6380.0,1887,1451.558563
6980.0,1955,1457.291278
6600.0,1985,1463.565974
5030.0,1600,1468.6409
6590.0,2031,1474.760579
6740.0,2009,1480.506979
6460.0,1947,1486.520434
7060.0,2015,1502.893029
6480.0,1903,1508.98059
6290.0,1935,1514.926366
6590.0,1927,1519.926398
6470.0,1910,1525.658557
6640.0,1957,1531.718591
6450.0,1933,1536.852103
6520.0,1970,1553.699343
5330.0,1703,1558.354084
6600.0,1912,1564.041544
6580.0,1905,1570.092722
6840.0,1938,1575.774083
4850.0,1529,1580.253934
6600.0,1889,1585.74703
6410.0,1837,1601.850099
7000.0,1975,1608.035423
5720.0,1851,1613.879861
5560.0,1710,1619.143783
6190.0,1939,1625.174488
6950.0,1908,1630.140671
6520.0,2004,1636.07379
6880.0,1930,1652.984054
6650.0,1932,1659.130049
6370.0,1952,1664.663845
6640.0,1946,1670.64951
6730.0,1932,1676.652056
5030.0,1728,1681.333776
6100.0,1820,1697.281742
4650.0,1483,1701.934426
6400.0,1942,1707.955701
6960.0,1960,1714.073952
