#{"t_start": 1678144133.4787, "env_id": "MsPacman-v4"}
r,l,t
500.0,887,6.136027
480.0,690,7.894855
290.0,584,9.894463
220.0,545,11.412008
190.0,513,12.811499
600.0,832,14.839256
210.0,636,16.545393
350.0,556,18.031906
210.0,459,19.37877
330.0,674,21.182161
480.0,675,23.360221
200.0,661,25.259557
310.0,621,26.991239
1100.0,880,29.812429
420.0,809,31.711739
390.0,618,33.790262
660.0,847,35.897159
250.0,615,37.666719
400.0,702,39.968531
420.0,694,46.468436
890.0,1204,49.959854
400.0,632,51.729438
400.0,699,54.085055
320.0,761,56.085972
210.0,505,57.540792
270.0,572,59.099915
310.0,506,60.573976
410.0,705,62.793634
1020.0,1167,66.020399
210.0,600,67.679374
390.0,653,69.324203
250.0,570,70.798917
1070.0,734,72.854379
380.0,704,74.376089
280.0,764,76.138321
360.0,1056,78.933733
420.0,945,86.401656
270.0,570,87.843467
320.0,571,89.353632
730.0,867,91.719628
760.0,916,94.263251
790.0,846,96.23473
450.0,895,98.784896
300.0,534,100.250185
360.0,712,102.053988
810.0,932,104.825841
670.0,1072,107.835976
1220.0,1219,111.499459
170.0,492,112.86401
970.0,1149,115.584041
580.0,791,117.403616
780.0,972,124.774822
750.0,1090,127.698087
1220.0,821,130.185085
1280.0,997,133.044955
710.0,793,135.042414
730.0,839,137.542362
390.0,915,140.29178
1030.0,1059,143.17641
340.0,498,144.126112
1410.0,856,146.624295
1750.0,1405,150.256683
820.0,1088,152.97661
630.0,808,154.91187
640.0,803,157.153473
1800.0,1096,166.000182
1020.0,1199,169.184337
790.0,1077,171.981994
660.0,861,174.528947
560.0,874,177.044366
700.0,793,179.02044
570.0,1022,181.738446
1500.0,1475,185.90343
310.0,789,187.862332
800.0,741,190.145782
500.0,552,191.519643
500.0,851,193.807436
930.0,827,195.768757
210.0,451,197.05822
760.0,738,198.858597
970.0,830,206.306119
600.0,921,208.990069
320.0,550,210.508064
670.0,1028,213.205988
480.0,712,214.902897
160.0,464,216.199869
850.0,1011,218.95496
650.0,1056,221.794307
850.0,939,224.488086
510.0,831,226.511922
540.0,705,228.721179
1120.0,1004,231.179178
890.0,882,233.482296
620.0,769,235.556348
650.0,832,237.591701
610.0,681,243.957217
870.0,930,246.536255
1000.0,921,249.161384
280.0,470,250.501184
1210.0,1421,254.546545
450.0,858,256.747405
480.0,701,258.966986
490.0,778,260.908632
930.0,1189,264.139451
600.0,690,266.34726
270.0,498,267.743711
1190.0,1267,271.161121
870.0,902,273.653637
670.0,929,275.759506
630.0,910,278.272976
1270.0,1186,286.986263
270.0,531,288.454391
910.0,724,290.701787
780.0,1135,293.798804
560.0,822,296.28876
410.0,777,298.184733
470.0,614,299.700438
1710.0,978,302.345855
1770.0,1305,306.222946
1030.0,862,308.233961
620.0,751,310.516823
750.0,957,312.752092
900.0,1101,316.001235
1090.0,1231,324.304326
410.0,834,326.245709
510.0,788,328.50299
1350.0,1398,332.634203
890.0,986,335.023722
300.0,908,337.747905
390.0,643,339.379476
630.0,783,341.754525
1080.0,1190,344.957592
950.0,1124,348.10038
270.0,472,349.422811
1150.0,879,351.910225
850.0,924,354.494662
690.0,818,356.351985
650.0,761,358.414365
520.0,747,365.577823
430.0,542,367.01451
1120.0,1455,370.963503
420.0,610,372.628709
620.0,815,375.053101
400.0,735,376.959133
970.0,1165,379.97054
520.0,567,381.444543
520.0,712,383.556063
500.0,702,385.322415
440.0,605,386.910338
460.0,578,388.479613
550.0,748,390.763256
570.0,745,392.721751
1210.0,1155,395.786214
810.0,898,398.356424
530.0,810,404.889383
280.0,703,407.145774
480.0,865,409.169631
860.0,1541,413.19371
1600.0,1193,416.833926
1180.0,1105,419.833214
430.0,660,421.539195
1020.0,1344,425.441057
480.0,624,427.126713
510.0,858,429.142414
650.0,1011,432.011771
270.0,640,434.151394
1240.0,1035,436.614025
1120.0,1408,445.743209
1190.0,1303,449.626447
1420.0,1094,452.382471
960.0,952,454.975825
530.0,740,456.841089
1110.0,851,459.31506
560.0,724,461.164207
740.0,862,463.751737
920.0,754,465.678529
490.0,814,468.145884
1080.0,1149,471.090287
370.0,497,472.412531
290.0,664,474.033898
880.0,900,476.708265
710.0,1015,483.977414
380.0,653,485.68877
280.0,775,487.637441
900.0,891,490.22076
400.0,999,492.925331
910.0,939,495.503366
710.0,643,497.083556
430.0,1016,499.880213
360.0,764,501.804518
370.0,638,503.878244
350.0,554,505.393751
670.0,973,508.145693
520.0,662,509.807992
200.0,429,511.082971
510.0,819,513.108366
480.0,650,514.810367
660.0,764,517.152161
710.0,817,525.366011
530.0,843,527.786937
1360.0,1060,530.696006
680.0,947,533.255813
270.0,483,534.48475
1110.0,877,536.484908
420.0,735,538.689283
1580.0,1258,542.095335
450.0,655,543.84693
1070.0,1130,547.409137
940.0,1151,550.523085
540.0,826,552.531025
410.0,637,554.567069
930.0,791,556.573637
820.0,1205,564.734302
560.0,618,566.70725
520.0,950,568.948157
660.0,867,571.444074
840.0,942,574.251982
770.0,844,576.271543
590.0,968,578.882479
700.0,807,581.25586
1460.0,1327,584.758089
1380.0,1313,588.56452
500.0,682,590.27616
580.0,749,592.552806
550.0,659,594.236965
670.0,833,596.289025
1240.0,989,599.075906
380.0,591,604.62119
160.0,506,606.007272
350.0,611,607.940005
730.0,1040,610.748335
300.0,541,612.222262
3440.0,799,614.288934
700.0,797,616.725429
850.0,1150,619.73671
450.0,745,621.519802
720.0,1226,625.186095
880.0,1219,628.413854
1620.0,1213,631.633444
1220.0,811,634.068128
2100.0,829,636.148345
670.0,890,638.789605
470.0,630,645.149181
1210.0,1132,648.270744
330.0,626,650.35546
1060.0,1277,653.578636
460.0,871,656.091231
570.0,1068,658.97587
480.0,811,660.909555
460.0,621,662.94356
810.0,1020,665.287129
410.0,543,667.201772
690.0,927,669.470191
770.0,938,672.139142
1030.0,1084,675.146112
600.0,955,677.915879
850.0,933,686.087133
1700.0,1218,689.403957
720.0,884,691.944125
740.0,842,693.899515
870.0,916,696.499851
590.0,702,698.230799
790.0,988,700.982149
420.0,719,703.169892
1000.0,761,705.08328
1390.0,1061,707.940819
560.0,829,710.318209
1540.0,1087,713.351003
630.0,794,715.340633
540.0,993,718.223511
2090.0,1073,725.495416
610.0,780,727.857621
490.0,845,729.890896
900.0,1054,732.817568
700.0,679,734.471396
560.0,867,736.856128
1120.0,1289,740.483989
650.0,954,742.748755
1220.0,1171,746.151246
880.0,836,748.11049
1090.0,997,750.873539
430.0,792,753.481766
1100.0,923,755.659002
1550.0,1007,758.536254
490.0,758,765.269528
550.0,871,767.46103
640.0,810,769.961833
640.0,710,771.740113
820.0,864,774.504456
550.0,807,776.428321
880.0,1140,779.823996
640.0,742,781.684508
470.0,624,783.30051
830.0,1018,786.012024
330.0,745,788.309421
1330.0,1445,792.218328
1200.0,1064,795.167243
690.0,775,797.700206
940.0,1341,806.148093
1480.0,1215,809.874665
810.0,858,812.034918
310.0,574,813.659352
760.0,1088,817.20299
700.0,841,819.182892
750.0,969,821.818401
400.0,650,823.518638
410.0,587,825.069729
750.0,851,827.523505
1140.0,867,830.095649
760.0,836,832.244804
1280.0,829,834.796151
510.0,868,836.978637
630.0,751,839.493934
880.0,915,846.911921
650.0,732,848.781496
1060.0,1017,851.697913
480.0,715,853.531781
1140.0,1206,857.208349
360.0,666,858.89192
550.0,890,860.881968
1170.0,1114,864.227917
760.0,751,865.953074
480.0,654,867.512333
630.0,988,870.214666
440.0,541,871.714002
1050.0,941,874.473447
410.0,585,876.068838
850.0,1381,885.341493
1060.0,857,887.520002
770.0,1053,890.602307
550.0,795,893.00941
1060.0,1413,897.074702
650.0,877,899.284092
1390.0,1253,902.946465
500.0,753,904.759447
700.0,891,907.34943
520.0,891,909.820117
340.0,577,911.396876
760.0,867,913.583992
1030.0,1051,916.591047
980.0,1129,920.136441
810.0,914,928.983037
660.0,930,931.670331
510.0,690,933.500121
840.0,609,935.459464
640.0,798,937.513171
980.0,839,940.191941
710.0,786,942.194777
820.0,795,944.506416
630.0,824,946.470207
700.0,845,948.865859
740.0,981,951.547914
770.0,936,954.33239
600.0,772,956.318199
610.0,671,958.112356
1350.0,1382,962.100213
960.0,978,970.058514
480.0,626,971.715154
880.0,951,974.448558
780.0,854,976.524007
870.0,926,979.222476
600.0,734,981.489413
780.0,1031,984.208983
1100.0,1037,986.429334
330.0,491,987.76584
1180.0,1320,991.606233
490.0,676,993.40157
1240.0,1166,996.55965
900.0,880,999.119388
500.0,773,1001.484814
460.0,658,1008.145691
380.0,578,1009.670262
450.0,528,1011.152323
760.0,895,1013.789189
420.0,671,1015.546404
1700.0,1564,1020.101639
1220.0,940,1022.809379
590.0,845,1024.78009
1280.0,1129,1027.520288
280.0,581,1029.34617
480.0,626,1030.88739
1660.0,1349,1034.389382
490.0,805,1036.771174
470.0,727,1038.630216
940.0,1397,1042.650844
1250.0,863,1051.268
850.0,874,1053.524282
580.0,698,1055.746073
1140.0,829,1057.79647
880.0,1226,1061.481766
800.0,981,1063.838147
290.0,766,1066.144791
480.0,659,1067.789221
560.0,884,1070.210284
740.0,782,1071.968727
740.0,907,1074.511056
600.0,851,1077.114368
920.0,1030,1079.993213
1280.0,1093,1083.015073
630.0,766,1090.347102
630.0,685,1092.113544
500.0,898,1094.690001
620.0,629,1096.407173
440.0,873,1098.943517
990.0,979,1101.706118
490.0,646,1103.398325
1870.0,973,1106.161083
920.0,776,1108.048692
460.0,685,1110.206421
660.0,822,1112.216626
1040.0,773,1114.39273
700.0,776,1116.277456
350.0,587,1117.877107
510.0,760,1120.135916
1530.0,1329,1123.718955
750.0,1404,1132.734932
1870.0,839,1134.860452
590.0,931,1137.629444
1260.0,1359,1141.648285
760.0,738,1143.49999
490.0,672,1145.66673
390.0,666,1147.343677
590.0,694,1149.181212
830.0,1068,1152.172935
600.0,824,1154.447071
410.0,665,1155.971592
470.0,533,1157.397837
470.0,669,1159.120292
360.0,530,1160.522278
690.0,999,1163.376139
640.0,816,1172.183961
440.0,571,1173.739005
350.0,762,1175.699477
550.0,673,1177.889221
600.0,690,1179.644565
730.0,950,1182.301152
680.0,971,1184.62669
320.0,498,1186.044846
780.0,1030,1188.928259
490.0,726,1191.181012
510.0,734,1193.022812
310.0,870,1195.382567
580.0,700,1197.011745
610.0,871,1199.458288
550.0,870,1201.62828
1010.0,1051,1204.55182
490.0,845,1207.209084
440.0,872,1216.121868
450.0,611,1217.65964
540.0,974,1220.362635
490.0,866,1222.642456
790.0,918,1225.362247
1130.0,955,1228.073289
1280.0,976,1230.852082
530.0,671,1232.529435
580.0,718,1234.277179
420.0,485,1235.636783
630.0,758,1237.711875
500.0,614,1239.179891
530.0,763,1240.986319
380.0,585,1242.55513
500.0,851,1245.055926
380.0,682,1246.818937
1180.0,1066,1255.267151
440.0,757,1257.645103
770.0,786,1259.612197
540.0,737,1261.933929
760.0,1282,1265.306344
430.0,839,1267.840889
650.0,656,1269.586376
580.0,807,1271.6488
700.0,790,1273.970872
500.0,746,1275.761971
1030.0,1173,1279.039723
610.0,652,1280.56765
390.0,523,1281.93792
1210.0,953,1284.673462
980.0,846,1286.767771
590.0,761,1289.024436
450.0,698,1295.747373
690.0,786,1297.744642
690.0,787,1300.194197
1430.0,1264,1303.611534
690.0,725,1305.898278
550.0,729,1307.776097
300.0,521,1309.253679
2160.0,1411,1313.405512
800.0,882,1316.040034
730.0,807,1318.072212
650.0,760,1320.230155
750.0,905,1322.201161
570.0,638,1324.202751
630.0,873,1326.325219
440.0,598,1327.849391
1530.0,1321,1335.919552
500.0,939,1338.713448
910.0,1082,1341.668545
1260.0,1098,1344.667603
820.0,1288,1348.000597
1420.0,911,1350.611606
500.0,693,1352.356662
980.0,846,1354.79666
1120.0,1330,1358.303089
600.0,729,1360.446122
740.0,1152,1363.294378
410.0,578,1364.748024
470.0,970,1367.330034
1290.0,1222,1375.068515
540.0,749,1377.410819
1000.0,1090,1380.412346
690.0,715,1382.251181
660.0,687,1384.107277
1040.0,992,1386.950127
670.0,698,1389.238003
870.0,915,1391.501822
370.0,528,1393.004061
680.0,847,1395.548888
530.0,794,1398.020534
680.0,904,1400.222112
540.0,633,1401.785368
1020.0,650,1403.831357
1180.0,869,1405.819565
750.0,767,1407.977322
530.0,844,1415.564153
820.0,1187,1419.133253
910.0,1237,1422.475703
1240.0,1451,1426.647348
740.0,1026,1429.468636
410.0,592,1431.069657
570.0,1054,1433.987999
560.0,748,1435.891206
700.0,986,1438.678159
570.0,699,1440.43668
550.0,743,1442.805177
800.0,1043,1445.579918
570.0,691,1447.24419
1360.0,1377,1456.232409
1190.0,1129,1459.247157
510.0,764,1461.234764
680.0,806,1463.659074
780.0,777,1465.661034
